#ɿ
ts[1]姿资咨兹滋龇{~牙}[3]子姊紫[5]自字□{舒服、痛快}
tsʰ[1]疵刺{用刀~}[2]慈磁瓷雌词祠辞[3]此[5]次伺{~候}赐厕刺{鱼~}
s[1]斯撕思私司师狮[3]死[5]四泗巳似肆士事

#ʅ
tʂ[1]知蜘踟支枝肢之芝[3]止扯趾旨指脂纸[5]至致志痣峙痔制治置滞稚
tʂʰ[1]痴□{疾驶、滑}[2]池驰弛持迟匙恃治{~鱼}[3]齿耻[5]翅侈
ʂ[1]诗施尸[2]时[3]史使驶始屎[5]寺侍恃2世市柿氏示是视势矢逝试誓嗜

#i
p[3]比彼鄙[5]敝弊蔽毙币避壁2璧2闭篦
pʰ[1]批披丕坯胚匹2[2]皮疲脾啤琵枇痹[3]痞庇[5]屁僻2譬
m[1]眯{~眼}[2]迷谜糜靡[3]米
t[1]低[3]抵底[5]地弟第帝进蒂屉
tʰ[1]梯[2]提堤啼蹄题[3]体[5]替剃涕缔
n[2]尼泥拟[3]你[5]腻溺逆2
l[2]梨犁黎篱璃厘狸倪[3]里理礼李里{~外}[5]利俐痢丽吏厉砺历隶荔例离
tɕ[1]几{茶~}几{~乎}机肌饥讥基鸡稽[3]己几{~个}挤虮[5]济剂荠季记纪忌技妓计寄际既继冀嫉祭系{~带子}
tɕʰ[1]妻凄期欺栖[2]齐脐其棋旗麒奇骑祈企[3]起启岂[5]气汽弃器砌契
ɕ[1]西牺希稀熙溪[2]奚携畦{菜~}[3]喜洗徙[5]系细戏
∅[1]衣依医[2]宜谊夷姨怡贻疑沂仪懿遗嵇{姓}[3]以已椅倚蚁[5]艺呓{~征}易义意肄亿忆

#u
p[3]卜补[5]布怖步部埠簿
pʰ[1]铺{~床}[2]蒲葡菩堡{~子}[3]普谱浦哺脯捕[5]铺{~子}
m[2]谋2模{~子}膜2[3]亩=母=牡[5]墓暮募慕幕2
f[1]夫肤麸敷{~衍}[2]扶孚浮俘孵符[3]府俯腑甫辅斧阜腐[5]父付附富副妇赴负傅赋敷{~料}
t[1]都3[3]堵赌肚{猪~}[5]度渡镀肚杜妒
tʰ[2]徒途涂屠图[3]土吐[5]兔唾
n[2]奴1[3]努1[5]怒1
l[2]卢炉庐颅芦[3]鲁橹卤[5]路露赂
ts[1]租[3]祖阻组
tsʰ[1]粗[5]措醋1
s[1]苏酥疏蔬[5]素嗦诉塑漱庶
tʂ[1]朱蛛株珠诛诸猪[3]主拄煮[5]住注柱驻蛀著助铸
tʂʰ[2]除厨橱储雏殊[3]楚础处{相~}鼠暑[5]处{~所}醋2
ʂ[1]书舒枢输[2]秫[3]黍[5]树竖数戍墅
ʐ[2]如[3]乳儒擩
k[1]姑孤箍辜[3]古估沽股鼓臌[5]故固雇顾
kʰ[1]枯[3]苦[5]库裤
x[1]呼夫{新}肤{新}麸{新}敷{新}[2]胡湖糊瑚葫狐弧壶核{桃~}扶{新}孚{新}浮{新}俘{新}孵{新}符{新}[3]虎琥浒戽{~水}府{新}俯{新}腑{新}甫{新}辅{新}斧{新}腐{新}[5]户护沪互父{新}付{新}富{新}副{新}妇{新}赴{新}负{新}傅{新}赋{新}敷{新}
∅[1]乌呜巫诬污侮[2]吴蜈无芜梧[3]五伍午忤吾捂{~住}武舞[5]误悟晤务戊雾恶{厌~}

#y
n[3]女
l[1]捋[2]驴[3]吕侣铝屡缕履[5]虑滤
tɕ[1]居拘驹疽车{~马炮}[3]举矩[5]巨拒距炬句据锯踞剧2具惧俱聚
tɕʰ[1]区驱躯岖趋蛆[2]徐渠[3]取娶[5]去趣
ɕ[1]虚嘘墟嘘须须{胡~}需[3]许[5]序絮叙绪婿续2
∅[1]淤瘀迂芋[2]于盂余鱼渔愚隅俞榆愉与虞[3]雨语宇羽禹舆[5]遇喻愈御誉预豫裕玉吁{呼~}育2狱2寓

#a
p[1]巴笆疤杷琶把{~给他}扒[3]靶把{~书拿来}爸[5]罢霸把{~子}
pʰ[1]趴{~下}[2]爬扒{~手}[5]怕
m[1]妈[2]麻[3]马码妈{~~(老年妇女)}蚂[5]骂
t[3]打[5]大
tʰ[1]他她它
n[2]拿[3]哪[5]那
