	注释：-白读，=文读
#a	
p	[1]巴芭疤笆爸□{扇巴掌}[2]爸{又读}[3]把{～握}饱靶[4]罢[5]霸坝
pʰ	[1]脬{阴囊}[4]泡
b	[5]龅[6]□{～～叫：喋喋不休}
m	[1]妈=吗[2]妈-[3]玛蚂马{～上}妈{奶奶}嬷{奶奶}
t	[1]□{干，与湿相对}[2]禾[3]打[5]罩-{圈养鸡等的竹笼}
tʰ	[1]他她它[5]□{打散}
n	[2]篮哪{～吒}[3]哪那拿榄{橄～}
l	[1]拉垃=[2]朥{动物油}[4]□{搅拌}□{足够}[6]□{晾}
ts	[1]查{姓}楂渣柞{橡树}吒{哪～}昨炸{油～馃：油条}[3]早[5]诈榨炸{～弹；油～}乍窄
tsʰ	[1]差{～别}[2]茬柴[3]差{～唔多：差不多}炒
s	[1]莎沙{豆～}[4]傻[5]洒□{牙～～：牙齿露出貌}
k	[1]交-{～落：掉落}胶铰{～刀：剪刀}家-{～己：自己}咳-曱{～甴：蟑螂}尻{～仓：臀部}胛-{～脊：背}[3]绞铰{～断}搅[4]咬[5]教{～书，～育}校{～对，上～}较窖
kʰ	[1]骹尻{又读}咖-{～囝：小弟}[3]岂巧卡[5]敲扣
ŋ	[5]□{痴呆}
h	[1]歊{热气逼人}哈[2]□{～皮带：系皮带}[5]孝={披麻带～}
∅	[1]阿{阿胶；阿哥}鸦桠亚[3]拗[5]亚{又读}詏{争论}
#aʔ	
pʰ	[7]拍
t	[7]遢搭贴-[8]踏□{～□tiʔ5：啰嗦}
tʰ	[7]塔[8]榻{～～米}沓{一～纸}叠
n	[7]垃-{～圾-}□{扑食}
l	[7]邋□{怀抱着}[8]蜡腊猎
ts	[7]扱{挽起}□{携带}[8]栅闸
tsʰ	[7]插
s	[7]□{～风：喝风}[8]煠{水煮}
k	[7]甲胛=钾岬合{刚好}
kʰ	[7]□{滚动}
h	[7]□{花～：花瓣}哈{～烧：取暖；～尔滨}[8]合{十合一升；～理}
∅	[7]鸭押
#e	
p	[1]扒-{用筷子～饭}[2]钯爬琶杷耙排{牛～，又音}扒{～手}[3]把{挡住；量词}[4]父
pʰ	[4]□{划（船等）}[5]帕{装，手～}
b	[3]马码
m	[1]□{手抓起（沙子等）}□{沙～：蜻蜓}[2]暝{夜晚}盲-{青～：瞎}[3]猛[6]骂
t	[2]茶
tʰ	[6]䖳
n	[1]呢[2]□{晾晒}[3]冷[4]□{副词，有点儿}
l	[1]咧[2]□{～枷：靠不住}[5]□{摔掉（瓷器、玻璃等）}
ts	[1]斋[3]姐这=[4]□{这会儿}[5]债[6]寨
tsʰ	[1]岔差{出～}叉杈[2]查[3]扯[5]厕{□手～～：手舞动欲打人状}
s	[1]纱裟[2]□{□nua35～～：流口水貌}[5]□{摔}
k	[1]家={～人；～具}加-{多}[2]枷[3]假{真～}[4]下{悬～：高低}[5]架驾家稼价
kʰ	[5]髂{消瘦}
ɡ	[2]牙芽蚜衙伢[6]砑
ŋ	[1]□{抓}[4]硬
h	[2]虾[4]下{安置神位，献出某物作为报答：～猪～牛}□{放～：放学}[6]厦夏
∅	[3]哑[4]下-{～爿：下面}[6]下{量词}
#eʔ	
p	[7]百柏伯擘檗[8]白帛
pʰ	[8]□{用力拨水}
b	[8]麦
m	[7]乜{什么}[8]脉
t	[7]□{压，押}
tʰ	[7]□{～□ne42：吃得少}[8]宅
n	[8]□{动词，很慢地做}
l	[7]叻{厉害}[8]历沥□{刀割}
ts	[7]织职责积{～累}绩仄
tsʰ	[7]策册
s	[7]□{量词，条}
k	[7]胳格隔[8]□{别扭}
kʰ	[7]乞{给}客
∅	[7]厄扼
#i	
p	[1]蓖碑波-{～美-，地名}[2]脾啤琵枇[3]彼比庇妣[4]闭币毙陛被={被动}备[5]臂祕泌痹费{姓}[6]蔽敝弊避
pʰ	[1]披丕[2]皮{调～}疲脾{～气}[3]鄙疕[5]譬
b	[3]米[4]□{～～叫：因美味而欣喜貌}[6]味未{地支}沕{憋气入水}
m	[1]眯咪[3]娓[2]迷糜弥{阿～陀佛}靡绵-棉-[4]媚谜[6]弥{～撒}麵{～条}
t	[1]低知={～了，～心}蜘雉的{我～}[2]池递{快～}[3]抵[4]弟隶娣[5]帝知{～识}智致置戴-{～帽}[6]治=地棣
tʰ	[1]黐{黏}[2]苔-{青～}提啼持[3]体□{张开}[4]痔[5]替涕剃屉翅滞
n	[1]□{拿}[2]年泥尼妮呢{做～：干什么，毛～}[3]弥{～漫}猕染-□{厚～：八爪鱼}[4]奶-{牛～}[5]□{胖嘟嘟}
l	[1]哩{凉～凉～：凉飕飕}[2]黎离篱璃厘狸[3]里{乡～}裏={～面}礼李理鲤旅娌[5]□{撕}[6]例吏□{走～～：全跑光了}
ts	[1]膣[3]紫只{～有}姊旨止趾={～骨}址籽枳指={戒～}[4]巳舐[5]祭际济剂制志挚至帜□{～泼掉：嫌弃某人}
tsʰ	[1]妻栖差{参～}嗜痴鳃□{～□ɡi55：脏}[2]齐={～国，整～}荠迟墀驰[3]侈耻[4]市[5]刺嗤试翅={鱼～}眦{目～毛：眼睫毛}[6]饲
s	[1]西{～瓜}施尸司丝诗私{家～}[2]匙辞{～别}时鲥[3]死矢始[4]是氏视恃[5]世势四[6]誓豉示逝
z	[2]儿[4]二[5]腻-{幼～：细腻}[6]字寺饵
k	[1]稽支{量词}枝栀岐{黄～山}饥肌基幾{～乎；～个}机讥饥[2]棋旗[3]几{茶～}己={自～}纪指-{动词}[4]企{～业}技妓冀忌[5]继记既[6]己-{家～：自己}
kʰ	[1]欺蹊㩻{倾斜}[2]畦奇祁鳍其期祈沂{～蒙}麒[3]起杞启齿[5]器弃气汽
ɡ	[2]疑□{□tsʰi33～：脏}
ŋ	[2]宜仪羿[3]议拟[4]蚁义毅[6]谊砚院
h	[1]奚兮牺嬉熙希稀颐[3]喜[4]系[5]戏
∅	[1]于伊衣依[2]移夷姨饴怡彝[4]易=异裔[5]肄意
#iʔ	
p	[7]鳖
pʰ	[7]□{中空不饱满}
b	[7]□{躲藏}瘪[8]篾
t	[7]滴蒂□{～交：脸颊}[8]碟牒跌{～停}□{□taʔ5～：啰嗦}
tʰ	[7]铁
n	[7]嗫{～囝：一丁点儿}□{闪烁；（蚊虫等）叮咬}
l	[8]裂
ts	[7]接折{周～}褶[8]舌折{断}
tsʰ	[7]□{电击}[8]蠘{海蟹}蠞{海蟹}
s	[7]薛熠{忽闪}[8]蚀
z	[7]折{～纸}[8]□{按压}廿
k	[7]砌[8]□{戳}
kʰ	[7]缺-{碗等的缺口}[8]□{附着}
#ɘ	
t	[1]猪[2]除[6]箸锄-
tʰ	[1]□{踢打}
l	[1]□{铲}[2]驴[3]汝[4]吕铝侣虑滤[5]□{摩擦}
ts	[1]书资姿咨恣兹滋之芝辎孜[2]薯[3]煮子梓[4]自[5]渍{渗透}
tsʰ	[1]蛆疵摅{铺开}[2]徐雌瓷糍慈磁[3]此鼠[5]次
s	[1]斯廝撕私思师[2]词祠辞{言～}[3]史[4]似祀伺士仕俟嗣侍[5]赐肆[6]事
z	[2]而侕{杂乱}□{拖（地）}[3]耳=洱玺尔迩□{弄乱}[4]腻={细～}[5]□{毛～～：头发乱}
k	[1]居车{～马炮}[2]□{抬杠}[3]举[4]据巨拒距炬□{吞咽}[5]锯
kʰ	[2]渠瞿衢[5]去
ɡ	[3]语[4]御驭
