ɐ
p[1]巴芭疤笆琶杷[2]爸[3]吧把{刀~、~握}[5]坝耙罢擘
pʰ[2]爬钯脬[5]怕帕
m[1]蟆妈[2]麻痲[3]马码[5]骂
t[3]打[5]大
tʰ[1]他
n[1]拉垃[2]哪{~吒、~里}那拿
ts[1]渣[5]诈榨炸煠
tsʰ[1]叉杈差钗[2]茶搽茬查[5]岔
s[1]沙纱痧砂萨[3]洒傻洒撒

æ
p[7]八
pʰ[7]拔
f[7]法发伐筏罚
t[7]搭答达
tʰ[1]坍[7]踏搨沓塔榻遢溻塌獭
n[7]纳腊蜡镴捺辣
ts[7]杂札眨札扎轧
tsʰ[7]插擦察
s[7]杀

ai
p[3]摆[5]拜稗败
pʰ[2]排牌徘[5]派
m[2]埋[3]买卖[5]迈
t[1]呆[5]戴贷待怠殆代袋带贻
tʰ[1]胎[2]台苔抬[5]态太泰
n[2]来[3]乃奶[5]耐奈赖癞
ts[1]灾栽斋[3]宰[5]载再载在载债寨拽
tsʰ[1]猜差{~距}差{出~}[2]纔才材财裁豺柴[3]彩采踩睬[5]菜蔡
s[1]鳃筛筛塞[5]赛晒
k[1]该街-[3]改[5]盖丐
kʰ[1]开揩楷[3]凯慨[5]概溉
x[2]孩鞋还[3]海[5]亥害
ŋ[1]哀埃唉[2]硙挨崖捱岩[3]矮[5]碍爱艾蔼隘

æn
p[1]班斑扳颁搬般[3]板版[5]扮办瓣辨半伴拌
pʰ[1]攀潘[2]盘[5]盼绊判畔叛
m[2]蛮瞒馒[3]满[5]慢蔓鳗漫幔
f[1]翻番藩[2]泛凡帆乏烦矾繁[3]反[5]范范犯贩饭
t[1]耽担丹单{~独}[3]胆疸[5]担淡掸旦诞但弹{子~}蛋涎
tʰ[1]贪探滩摊瘫[2]潭谭坛谈痰檀坛弹{~琴}[3]毯坦叹[5]炭
n[2]南男婪蓝篮难{困~}兰拦栏[3]览揽榄缆懒[5]滥难{落~}烂
ts[1]簪黏沾粘瞻檐砧簪闩毡[3]斩盏展[5]暂錾站蘸占赞灒赞绽栈攒战颤
tsʰ[1]参渗餐[2]蚕惭馋谗搀忏蟾残缠蝉禅[3]惨产[5]灿
s[1]三杉衫钐山[2]单{姓~}禅[3]陕闪伞[5]散搧扇善膳
z[2]然燃[3]染冉
k[1]甘柑泔尴干{~净}肝竿杆[3]感撼敢橄秆擀赶[5]干{~事}
