tsɿ²⁴ 咨兹资恣芝之支枝知蜘滋痴
tsɿ²¹³ 柿
tsɿ⁴² 紫智痔指脂趾子籽滓梓止纸{文}
tsɿ³³ 旨址置治制志稚糍痣齿{文}
ʦʰɿ²⁴ 疵茨雌疵
ʦʰɿ²¹³ 磁辞瓷慈祠持驰池迟
ʦʰɿ⁴² 赐此耻嗤□{撕}
ʦʰɿ³³ 次字自刺{文，~猬}
sɿ²⁴ 丝思嘶撕斯司{~机}私诗师狮尸{文}士{象棋中的棋子}市{~长}
sɿ²¹³ 时饲寺司{公~}
sɿ⁴² 死史屎士{烈~}使{大~}市{南昌~}
sɿ³³ 四势祀事视世驶示肆豉试{文}莳{文}
pᴀ²⁴ 背{负重}八巴粑疤笆伯芭扒
pᴀ²¹³ 把{小的条状物，青椒~俚}
pᴀ⁴² 把{手里握着，~伞}爸靶
pᴀ³³ 吧霸坝叭
pʰᴀ²⁴ □{液体溅出，~出汤来}
pʰᴀ²¹³ 爬耙
pʰᴀ⁴² 啪
pʰᴀ³³ 怕白帕琶杷罢
mᴀ²⁴ 抹{文}
mᴀ²¹³ 麻
mᴀ⁴² 马码玛
mᴀ³³ 骂麦蟆{蛤~}
fᴀ²⁴ 砝花法发{文}阀{~门}
fᴀ²¹³ 华划骅伐{白}
fᴀ³³ 化话{文}画桦猾阀{军~}罚{文}
tᴀ²⁴ 答达
tᴀ⁴² 打沓
tʰᴀ²⁴ 车{白}塌塔□{用绳子绞}尺{白名词}
tʰᴀ⁴² 扯{白}
tʰᴀ³³ 踏
lᴀ²⁴ 钠蜡垃哪尺{白，量词}
lᴀ²¹³ 拿{地名，~山}
lᴀ⁴² 捺
lᴀ³³ 纳娜
tsᴀ²⁴ 摘扎{~钢针}窄渣眨铡抓
tsᴀ²¹³ 榨{~菜}
tsᴀ⁴² 扎{量词，一~}诈{敲~}
tsᴀ³³ 炸闸诈{~骗犯}榨{~油}蔗
ʦʰᴀ²⁴ 车{文}拆钗{文}差{~不多}叉擦册尺{文}
ʦʰᴀ²¹³ 茶茶查搽茬
ʦʰᴀ⁴² 者{白}扯{文}
ʦʰᴀ³³ 察岔杂
sᴀ²⁴ 沙纱杉砂莎刹{名词，~车}赊奢
sᴀ²¹³ 蛇石
