字	片	区	小片	方言点	声母	韵母	调值	调类	备注
丈	閩東區	福寧片		柘榮	t/tʰ	ɔŋ/yøŋ	213	陽去	
丘	閩東區	福寧片		柘榮	kʰ	iu	42	陰平	
丹	閩東區	福寧片		柘榮	t	aŋ	42	陰平	
乖	閩東區	福寧片		柘榮	k	uai	42	陰平	
亦	閩東區	福寧片		柘榮	0	ik	2	陽入	
亲	閩東區	福寧片		柘榮	tsʰ	iŋ	42	陰平	親人。
人	閩東區	福寧片		柘榮	0	iŋ	21	陽平	
他	閩東區	福寧片		柘榮	tʰ	a	42	陰平	
付	閩東區	福寧片		柘榮	x	u	35	陰去	
仪	閩東區	福寧片		柘榮	ŋ	i	21	陽平	
伊	閩東區	福寧片		柘榮	0	i	42	陰平	
余	閩東區	福寧片		柘榮	0	y	21	陽平	
倍	閩東區	福寧片		柘榮	p	uɛ	213	陽去	
候	閩東區	福寧片		柘榮	x	ɛu	213	陽去	
傅	閩東區	福寧片		柘榮	x	u	35	陰去	
傻	閩東區	福寧片		柘榮	s	ua	51	上聲	
像	閩東區	福寧片		柘榮	tsʰ	yøŋ	213	陽去	
儒	閩東區	福寧片		柘榮	0	y	21	陽平	
兆	閩東區	福寧片		柘榮	t	iau	213	陽去	
共	閩東區	福寧片		柘榮	k	œŋ/yŋ	213	陽去	
冒	閩東區	福寧片		柘榮	m	ɔ	213	陽去	
冬	閩東區	福寧片		柘榮	t	œŋ/uŋ	42	陰平	
利	閩東區	福寧片		柘榮	l	i	213/35	陽去/陰去	利益，利刀。
制	閩東區	福寧片		柘榮	ts	ie	35	陰去	
刺	閩東區	福寧片		柘榮	tsʰ	u	35	陰去	
力	閩東區	福寧片		柘榮	l	ik	2	陽入	
努	閩東區	福寧片		柘榮	n	u	51	上聲	
動	閩東區	福寧片		柘榮	t	œŋ/uŋ	213	陽去	
勘	閩東區	福寧片		柘榮	kʰ	aŋ	42	陰平	
匣	閩東區	福寧片		柘榮	x	ak	2	陽入	
千	閩東區	福寧片		柘榮	tsʰ	ɛŋ/ieŋ	42	陰平	
单	閩東區	福寧片		柘榮	t	aŋ	42	陰平	
卫	閩東區	福寧片		柘榮	0	uɛ	213	陽去	
叉	閩東區	福寧片		柘榮	tsʰ	a	42	陰平	
双	閩東區	福寧片		柘榮	s	uŋ/uaŋ	42	陰平	
古	閩東區	福寧片		柘榮	k	u	51	上聲	
召	閩東區	福寧片		柘榮	s/t	iau	213	陽去	姓，單字讀。
后	閩東區	福寧片		柘榮	x	ɛu	213	陽去	
吳	閩東區	福寧片		柘榮	ŋ	u	21	陽平	
吼	閩東區	福寧片		柘榮	x	au/ɛu	51	上聲	
哽	閩東區	福寧片		柘榮	k	aŋ/œŋ	51	上聲	
善	閩東區	福寧片		柘榮	s	ieŋ	213	陽去	
喬	閩東區	福寧片		柘榮	k	iau	21	陽平	
嗟	閩東區	福寧片		柘榮	tsʰ	ia	42	陰平	嗟乎。
围	閩東區	福寧片		柘榮	0	ui	21	陽平	
圓	閩東區	福寧片		柘榮	0	uoŋ	21	陽平	
地	閩東區	福寧片		柘榮	t	i	213	陽去	
坠	閩東區	福寧片		柘榮	t	ui	35	陰去	
堵	閩東區	福寧片		柘榮	t	u	51	上聲	
壬	閩東區	福寧片		柘榮	0	iŋ	21	陽平	
声	閩東區	福寧片		柘榮	s	iaŋ/iŋ	42	陰平	
天	閩東區	福寧片		柘榮	tʰ	ieŋ	42	陰平	
夫	閩東區	福寧片		柘榮	x	u	21/42	陽平/陰平	文讀，句首發語詞，丈夫儂。
奈	閩東區	福寧片		柘榮	n	ai	213	陽去	
妍	閩東區	福寧片		柘榮	ŋ	ieŋ	42	陰平	
姑	閩東區	福寧片		柘榮	k	u	42	陰平	
姚	閩東區	福寧片		柘榮	0	iau	21	陽平	
姥	閩東區	福寧片		柘榮	m	u	51	上聲	太姥山。
威	閩東區	福寧片		柘榮	0	ui	42	陰平	
婆	閩東區	福寧片		柘榮	p	ɔ	21	陽平	
宜	閩東區	福寧片		柘榮	ŋ	ie/i	21	陽平	文讀，便宜。
寄	閩東區	福寧片		柘榮	k	ia	35	陰去	
尾	閩東區	福寧片		柘榮	m	uɛ	51	上聲	
尿	閩東區	福寧片		柘榮	n	iau	213	陽去	
屙	閩東區	福寧片		柘榮	0	œ	42	陰平	
屹	閩東區	福寧片		柘榮	ŋ	yk	5	陰入	
峯	閩東區	福寧片		柘榮	pʰ/x	uŋ	42	陰平	
峰	閩東區	福寧片		柘榮	pʰ/x	uŋ	42	陰平	
巖	閩東區	福寧片		柘榮	ŋ	iaŋ	21	陽平	
工	閩東區	福寧片		柘榮	k	œŋ/uŋ	42	陰平	
左	閩東區	福寧片		柘榮	ts	ɔ	51	上聲	
巫	閩東區	福寧片		柘榮	x	u	21	陽平	
己	閩東區	福寧片		柘榮	k	i	51	上聲	
巽	閩東區	福寧片		柘榮	s	ɔŋ	35	陰去	
布	閩東區	福寧片		柘榮	p	uoʔ/uo	5/35	陰入/陰去	布告，白布。
帐	閩東區	福寧片		柘榮	t	yøŋ	35	陰去	
