"ID"	"IPA"	"simp"	"trad"	"detail"	"pinyin"	"调类"
1	"tsɿ⁵³"	"知"	"知"			"tsɿ1"
2	"tsɿ⁵³"	"蜘"	"蜘"			"tsɿ1"
3	"tsɿ⁵³"	"支"	"支"			"tsɿ1"
4	"tsɿ⁵³"	"枝"	"枝"			"tsɿ1"
5	"tsɿ⁵³"	"肢"	"肢"			"tsɿ1"
6	"tsɿ⁵³"	"栀"	"梔"			"tsɿ1"
7	"tsɿ⁵³"	"资"	"資"			"tsɿ1"
8	"tsɿ⁵³"	"姿"	"姿"			"tsɿ1"
9	"tsɿ⁵³"	"咨"	"諮"			"tsɿ1"
10	"tsɿ⁵³"	"脂"	"脂"			"tsɿ1"
11	"tsɿ⁵³"	"滋"	"滋"			"tsɿ1"
12	"tsɿ⁵³"	"辎"	"輜"			"tsɿ1"
13	"tsɿ⁵³"	"之"	"之"			"tsɿ1"
14	"tsɿ⁵³"	"芝"	"芝"			"tsɿ1"
15	"tsɿ⁴⁵"	"紫"	"紫"			"tsɿ3"
16	"tsɿ⁴⁵"	"纸"	"紙"			"tsɿ3"
17	"tsɿ⁴⁵"	"只"	"只"			"tsɿ3"
18	"tsɿ⁴⁵"	"姊"	"姊"			"tsɿ3"
19	"tsɿ⁴⁵"	"指"	"指"			"tsɿ3"
20	"tsɿ⁴⁵"	"子"	"子"			"tsɿ3"
21	"tsɿ⁴⁵"	"制"	"制"			"tsɿ3"
22	"tsɿ⁴⁵"	"止"	"止"			"tsɿ3"
23	"tsɿ⁴⁵"	"趾"	"趾"			"tsɿ3"
24	"tsɿ⁴⁵"	"址"	"址"			"tsɿ3"
25	"tsɿ⁴²³"	"翅"	"翅"			"tsɿ5"
26	"tsɿ⁴²³"	"至"	"至"			"tsɿ5"
27	"tsɿ⁴²³"	"志"	"志"			"tsɿ5"
28	"tsɿ⁴²³"	"痣"	"痣"			"tsɿ5"
29	"tsɿ⁴²³"	"智"	"智"			"tsɿ5"
30	"tsɿ⁴²³"	"置"	"置"			"tsɿ5"
31	"tsʰɿ⁵³"	"雌"	"雌"			"tsʰɿ1"
32	"tsʰɿ⁵³"	"疵"	"疵"			"tsʰɿ1"
33	"tsʰɿ⁵³"	"眵"	"眵"			"tsʰɿ1"
34	"tsʰɿ⁵³"	"牸"	"牸"			"tsʰɿ1"
35	"tsʰɿ⁵³"	"痴"	"痴"			"tsʰɿ1"
36	"tsʰɿ⁵³"	"嗤"	"嗤"			"tsʰɿ1"
37	"tsʰɿ⁵³"	"吹"	"吹"			"tsʰɿ1"
38	"tsʰɿ⁴⁵"	"此"	"此"			"tsʰɿ3"
39	"tsʰɿ⁴⁵"	"齿"	"齒"			"tsʰɿ3"
40	"tsʰɿ⁴⁵"	"耻"	"恥"			"tsʰɿ3"
41	"tsʰɿ⁴²³"	"刺"	"刺"			"tsʰɿ5"
42	"tsʰɿ⁴²³"	"次"	"次"			"tsʰɿ5"
43	"tsʰɿ⁴²³"	"厕"	"廁"			"tsʰɿ5"
44	"dzɿ¹³"	"池"	"池"			"dzɿ2"
45	"dzɿ¹³"	"驰"	"馳"			"dzɿ2"
46	"dzɿ¹³"	"匙"	"匙"			"dzɿ2"
47	"dzɿ¹³"	"迟"	"遲"			"dzɿ2"
48	"dzɿ¹³"	"持"	"持"			"dzɿ2"
49	"dzɿ²¹³"	"滞"	"滯"			"dzɿ6"
50	"dzɿ²¹³"	"稚"	"稚"			"dzɿ6"
51	"dzɿ²¹³"	"痔"	"痔"			"dzɿ6"
52	"dzɿ²¹³"	"治"	"治"			"dzɿ6"
53	"sɿ⁵³"	"斯"	"斯"			"sɿ1"
54	"sɿ⁵³"	"厮"	"廝"			"sɿ1"
55	"sɿ⁵³"	"撕"	"撕"			"sɿ1"
56	"sɿ⁵³"	"施"	"施"			"sɿ1"
57	"sɿ⁵³"	"私"	"私"			"sɿ1"
58	"sɿ⁵³"	"师"	"師"			"sɿ1"
59	"sɿ⁵³"	"狮"	"獅"			"sɿ1"
60	"sɿ⁵³"	"蛳"	"螄"			"sɿ1"
61	"sɿ⁵³"	"尸"	"屍"			"sɿ1"
62	"sɿ⁵³"	"矢"	"矢"			"sɿ1"
63	"sɿ⁵³"	"司"	"司"			"sɿ1"
64	"sɿ⁵³"	"思"	"思"			"sɿ1"
65	"sɿ⁵³"	"丝"	"絲"			"sɿ1"
66	"sɿ⁵³"	"诗"	"詩"			"sɿ1"
67	"sɿ⁴⁵"	"死"	"死"			"sɿ3"
68	"sɿ⁴⁵"	"屎"	"屎"			"sɿ3"
69	"sɿ⁴⁵"	"使"	"使"			"sɿ3"
70	"sɿ⁴⁵"	"史"	"史"			"sɿ3"
71	"sɿ⁴⁵"	"驶"	"駛"			"sɿ3"
72	"sɿ⁴²³"	"世"	"世"			"sɿ5"
73	"sɿ⁴²³"	"势"	"勢"			"sɿ5"
74	"sɿ⁴²³"	"赐"	"賜"			"sɿ5"
75	"sɿ⁴²³"	"四"	"四"			"sɿ5"
76	"sɿ⁴²³"	"肆"	"肆"			"sɿ5"
77	"sɿ⁴²³"	"试"	"試"			"sɿ5"
78	"zɿ¹³"	"瓷"	"瓷"			"zɿ2"
79	"zɿ¹³"	"糍"	"糍"			"zɿ2"
80	"zɿ¹³"	"餈"	"餈"			"zɿ2"
81	"zɿ¹³"	"兹"	"茲"			"zɿ2"
