i
p  [31]琵 [253]臂秘庇痹屁
ɬ  [552]撕
n  [31]宜谊疑 [13]拟 [221]腻
tɕ  [552] 遮知蜘资脂滋痴之芝 [31]池驰瓷迟慈磁辞祠词寺饲持 [33]扯紫此指旨子{又音}仔耻止址趾齿 [13]痔 [253]借蔗鹧刺智次致至置志痣志 [221]昨自致稚字伺巳治 
ɕ  [552]赊畬施尸诗 [31]蛇匙 [33]屎始 [13]社市 [253]世试 [221]誓是氏豉示视
ȵ  [31]儿 [13]乳 [221]仪议义二 
j  [31]如余而 [13]与予以已 [253]弃 [221]喻异易{容～}
k  [31]奇棋其期 

u
p  [552]波铺 [31]婆蒲葡 [33]谱普捕辅 [253]簸
f  [31]抚
m  [31]磨无 [221]务雾 
t  [552]都 [33]朵 [253]剁唾
ɬ  [33]锁
n  [221]糯
l  [31]脶 [13]鲁虏卤 
tɕ  [13]坐 [221]座
k  [552]锅棵姑菇箍 [33]果裹估股 [253]过故固顾 
ŋ  [31]吴梧悟娱 [221]误互 
ʔ  [552]窝 [253]污恶{可~} 
h  [552]科呼 [31]禾胡湖糊狐壶葫蝴乎 [33]火伙 [253]货 [221]祸

a
p  [552]巴芭疤 [31]琶杷耙 [33]把靶 [253]坝怕 [221]罢 
m  [31]麻 [13]马码蚂
w  [552]花 [31]华 [13]瓦 [253]化 [221]画话
t  [552]他 [33]打 [13]舵
n  [31]挪哪那 
l  [552]罅 [31]罗锣箩 
tɕ  [552]搓叉差 [31]茶査 [33]左- [253]诈榨炸岔 
ɕ  [552]沙砂纱痧㸺{黄牛} [33]洒 
ȵ  [552]渣揸 [31]牙芽衙涯 [13]雅
j  [31]厦霞 [221]下夏夜
k  [552]家加嘉枷歌{山~} [33]假 [253]架驾嫁价假 
ŋ  [552]桠 [13]我 [221]饿-{馋}
ku  [552]瓜夸 [33]寡 [253]挂卦褂
ʔ  [552]屙鸦 [33]哑亚阿
h  [552]虾瘕{沙哑} [31]河{壮语地名音译用字，那河}

e
w  [552]靴
ɬ  [33]写 [253]泻卸 
tɕ  [552]车 [31]邪斜 [33]姐且者 
ɕ  [33]舍 [253]舍{宿~} [221]射麝 
ȵ [13]□{东西}
j  [31]椰 [13]惹野 
k  [31]茄
ku  [31]□{小蛙}

ɯ
k [253]个{量词，指示代词}

ø
p  [552]坡玻 [31]菩 [253]播破 
m  [552]魔摩模摹摸 [221]墓募 
