"参考资料"	"《怀宁石牌方言语音系统》"
"方言点"	"安徽省安庆市怀宁县石牌镇"
"方言归属"	"赣语怀(石牌)岳片"
"说明"	"音系排列，先以韵母为序，在同韵的字里按声母的顺序排列，声母相同的按声调排列。"
"符号"	"“*”表示写不出来的字"
"调值"	"①阴平31②阳平44③上声42④阴去35⑤阳去33"
""	"ɿ"
"ts"	"①资姿咨兹滋孜淄齜吱之支知枝芝脂肢栀③子紫梓籽姊滓纸指止址旨祉④志至只窒质制智致置织汁执趾挚稚帜咫"
"tsʰ"	"①呲疵差眙痴嗤②词辞磁慈瓷雌祠糍饲迟池驰持匙③此耻豉④次刺(刺猬)赐伺尺斥赤炽翅⑤字刺值职直秩治痣植侄殖峙"
"s"	"①丝思司私斯撕厮狮尸师诗施②时③死屎史矢使始驶④寺已似肆祀湿世式势饰试视适恃室逝释嗜噬⑤十石识实食蚀士氏示仕市事侍柿是誓"
"z"	"④日"
""	"a"
"p"	"①爸巴扒芭疤笆粑杷③把靶④八叭⑤坝霸"
"pʰ"	"①趴啪葩琶②爬扒毳③拔跋罢怕"
"m"	"①妈②麻③马码蚂拇④抹蟆⑤骂"
"f"	"④法发⑤罚乏阀"
"t"	"④哒搭耷答打⑤大"
"tʰ"	"①他她它④塔趿塌遢踏拓⑤达"
"n"	"②拿③哪④娜纳那捺"
"l"	"①拉垃啦叽③喇④辣蜡腊癞"
"k"	"①家嘎咖胳稼④夹⑤架嫁尬"
"kʰ"	"①咔咖②跨蛤③咳④掐⑤胯(人的下身裆部，男女通用)"
"x"	"①哈虾②还③下(傻、笨：你许~哟）⑤下"
"ŋ"	"①丫②伢牙③哑④压押鸭⑤轧"
"ts"	"①渣吒查(姓)揸喳楂③榨④扎闸眨砸杂⑤炸铡诈"
"tsʰ"	"①差(好~)叉杈②茶查检搽察④插踏馇衩岔擦"
"s"	"①沙杉纱砂莎痧鲨③傻撒④杀刹"
"Ø"	"①啊阿"
""	"o"
"p"	"①波玻菠卜③跛④播拨剥钵驳亳脖博搏"
"pʰ"	"①坡②婆鄱膊③剖④泼颇魄檗⑤破"
"m"	"①摸②魔馍模仿摹膜摩磨粉蘑③某么抹④摸末沫没茉陌寞⑤莫磨漠"
"f"	"②佛③否"
"t"	"①多哆③躲④朵柘堕⑤剁垛草舵惰跺"
"tʰ"	"①拖②陀驼驮佗陀坨驼鸵跎③妥椭④托脱拓唾⑤夺"
"n"	"②挪娜④躇懦⑤糯诺"
"l"	"①哕②锣罗萝逻骡螺③裸④乐洛骆络⑤落摞"
"k"	"①哥戈歌锅聒咯③果裏④搁割疙鸽郭⑤过个各"
"kʰ"	"①颗棵苛科稞窠蝌③可渴④磕瞌壳扩阔廓⑤课"
"x"	"①豁②河禾和合何荷③火伙④喝褐霍藿豁⑤盒贺赫鹤壑货祸惑"
"ŋ"	"①阿婀②额鹅讹俄峨蛾娥③我恶④扼噩⑤恶饿鳄"
"ts"	"①啄嘬③左佐④茁桌镯卓浊捉灼啄琢撮⑤作做"
"tsʰ"	"①搓磋④戳啜绰辍龊⑤坐座措错"
"s"	"①蓑嗦④朔烁硕③所锁索唢琐④嗍唆梭缩"
"z"	"④弱若"
"Ø"	"①哦"
""	"æ"
"x"	"④黑瞎吓"
"ts"	"①遮蛰则责③者褶④摘折蛰哲浙甘择窄则责"
"tsʰ"	"①车③扯④拆彻撤澈册测厕侧策择泽色涩啬糁(饭~)⑤贼"
"s"	"①赊奢②蛇舌③舍④设摄⑤社射涉赦慑"
"z"	"③惹④热"
"Ø"	"②儿而③耳尔饵珥洱迩⑤二"
""	"n̩"
"Ø"	"①嗯③你"
""	"ai"
"p"	"①掰③摆④拜"
"pʰ"	"②排牌④派⑤败"
"m"	"②埋霾③买⑤卖迈"
"t"	"①呆待③歹逮住傣④带戴黛"
"tʰ"	"①胎苔苦②抬苔台跆④太态泰⑤待(对~)逮(~捕)大(~夫)代贷怠"
"n"	"①奶(祖母)③乃奶⑤耐奈"
"l"	"②莱⑤赖癞籁"
"k"	"①该街③解改④介丐芥钙盖概溉截戒"
"kʰ"	"①开③楷凯铠慨"
"x"	"①嗨②鞋③海⑤害亥"
"ŋ"	"①挨哀埃②挨癌③矮蔼④爱⑤艾碍"
"ts"	"①斋栽灾③宰仔崽④债再"
"tsʰ"	"①钗差(出~)猜②才材财裁柴豺③踩彩采④菜蔡⑤在载寨"
"s"	"①腮鳃筛③摟④赛晒⑤"
""	"au"
"p"	"①包苞胞褒③饱宝保堡鸨④报⑤豹"
"pʰ"	"①嘜抛脬②跑袍刨④泡炮疱⑤抱雹爆暴"
"m"	"①猫②毛矛茅锚髦③卯铆④茂冒⑤贸帽貌"
"t"	"①刀③导倒捣祷蹈④到倒"
"tʰ"	"①陶淘逃桃萄③讨④套⑤道盗悼稻"
"n"	"①孬②挠③脑恼瑙⑤闹"
"l"	"①捞②牢劳痨③老佬④酪⑤涝烙"
"k"	"①高膏篙糕③搞稿搅④告膏窖"
"kʰ"	"①敲撬③考拷烤④靠铐犒"
"x"	"①蒿②嚎蚝亳嚎豪③好郝④耗浩⑤号吹好(爱~)"
"ŋ"	"①*(喊)②熬鳌翱獒嗷爊③咬袄⑤奧澳凹⑤傲"
"ts"	"①钊招昭朝糟遭③爪找沼早澡枣蚤藻④照召诏罩灶噪燥"
"tsʰ"	"①抄超钞焯操糙草②巢朝(~廷)晁嘲潮槽曹嘈漕③吵炒草⑤兆赵肇造皂凿"
"s"	"①烧梢捎稍艄骚搔②勺芍韶③少④少(~年)哨扫⑤邵绍臊"
"z"	"②饶娆③扰⑤绕"
""	"oi"
"p"	"①杯卑悲碑④背"
"pʰ"	"①胚②陪培赔裴④配沛佩⑤狈备背倍被辈焙惫"
"m"	"②玫枚眉莓梅媒嵋煤酶霉③每美⑤妹昧寐媚魅"
"f"	"①飞妃非菲啡绯扉蜚霏②肥淝③翡斐匪诽悱④废肺狒费痱沸吠"
"t"	"①堆③怼⑤对队兑"
"tʰ"	"①推②颓③腿④退蜕褪⑤袋"
"l"	"①勒②雷来③累积磊垒蕾⑤累劳肋泪类擂"
""	"ou"
"t"	"①兜都督③堵赌斗抖陡蚪肚笃睹④逗斗"
"tʰ"	"①偷凸突秃②头投图徒涂途屠③吐土④透兔⑤豆痘读窦毒独渎渎杜妒度渡镀吐"
"n"	"②奴③努弩⑤怒"
"l"	"①搂②娄喽髅庐卢芦(~花)炉泸颅③搂篓呕吐卤掳鲁虏④绿六鹿⑤陋镂漏露路陆录赂禄鹭"
"x"	"①瘊②猴侯喉篌③吼⑤后厚候逅"
"ts"	"①周州舟粥洲租③肘走组祖诅阻④皱妯轴咒纣宙昼骤足族卒奏揍"
"tsʰ"	"①抽粗②仇绸畴酬稠筹踌③丑④臭促凑⑤猝醋卒簇蹴"
"s"	"①收搜馊嗖飕艘苏酥稣②俗③手守首叟擞④瘦速诉嗽宿肃塑⑤寿受兽授售狩素"
"z"	"②揉柔蹂④肉"
""	"an"
"p"	"①班扳般斑③板阪版④绊跘"
"pʰ"	"⑤办"
"m"	"②蛮⑤慢漫"
"f"	"①翻帆番藩②凡矾烦樊璠繁③反返④泛畈⑤犯饭范贩梵"
"t"	"①丹担单眈耽殚郸③胆疸掸④担"
"tʰ"	"①摊坍滩②谈弹琴谭檀潭③坦忐毯袒④叹炭碳⑤但旦诞淡惮弹蛋氮"
"n"	"②难腩⑤难(苦~)"
"l"	"②兰岚拦栏婪蓝澜褛篮斓③览揽缆榄懒⑤烂滥"
"k"	"①间③敢感橄④干"
"kʰ"	"①刊堪铅③槛砍侃"
"x"	"①憨酣②邯韩寒咸③罕喊⑤汉焊憾撼"
"ŋ"	"①鹌鞍庵淹⑤眼④案按⑤黯岸暗"
"ts"	"①簪③攒"
"tsʰ"	"①餐参②残惭③惨④灿璨⑤暂赞攢"
"s"	"①三③伞馓散④散"
""	"ən"
"p"	"①奔③本畚④奔(投~)"
"pʰ"	"①喷②盆④喷⑤笨"
"m"	"①扪②门⑤闷焖"
"f"	"①分芬吩纷②坟汾焚③粉④粪奋愤忿⑤份氛分"
"t"	"①吨敦蹲登灯蹬③等墩礅盹④凳瞪澄炖钝盾顿遁"
"tʰ"	"①吞②腾誊囤屯饨豚藤③*(口气味难闻）④褪⑤邓"
"n"	"②能⑤嫩"
"l"	"①抡②轮沦纶囵伦仑棱③冷⑤愣论"
"k"	"①跟根庚耕羹更③埂耿梗哽艮④亘更"
"kʰ"	"①坑铿吭③肯啃垦恳"
"x"	"①哼②横竖恒衡珩痕③很狠④恨横(蛮~)"
"ŋ"	"①恩嗯④摁⑤硬"
"ts"	"①睁筝蒸争征峥狰挣贞针真珍侦砧斟甄榛箴臻增曾尊遵樽③拯整疹诊枕缜怎④症正证政挣圳阵振赈震镇憎"
"tsʰ"	"①皴村臣尘辰沉忱陈晨成呈丞诚承城乘盛程橙②存③逞惩④蹭锃寸趁衬称秤⑤赠郑"
"s"	"①申身伸呻参人绅士娠深莘升声生牲笙森僧孙②神什绳③审婶沈省损笋榫④肾甚渗蜃瘳慎圣胜⑤剩盛"
"z"	"①扔②仍人仁壬③忍⑤认任刃纫韧妊饪"
""	"an"
"ts"	"①斩占(姓)詹沾粘好瞻③盏崭展辗搌④站战绽蘸占栈"
"tsʰ"	"①掺搀②缠馋婵谗禅意蝉蟾③铲产谄阐④颤忏⑤湛"
"s"	"①煽山珊杉删衫姗膻扇(~耳光)③闪陕④扇善"
"ts"	"②然燃③冉染"
""	"on"
"p"	"①搬颁④半"
"pʰ"	"①潘攀②盘磐槧蹣蟠④判盼叛畔⑤瓣扮伴拌"
"m"	"①蛮馒瞒⑤满螨⑤蔓漫"
"t"	"①端③短④段缎锻缎"
"tʰ"	"①贪瘫②坛昙④探⑤断"
"n"	"②男南楠③暖"
"l"	"②挛孪銮峦③卵⑤乱"
"k"	"①干甘杆肝泔柑竿官棺冠观③赶擀秆莞管①贯灌罐鹳观(道~)干"
"kʰ"	"①堪刊勘看(~门)③侃④看坎"
"x"	"①獾欢②含涵完环鹦擐③薅缓⑤汗旱幻焕涣奂宦换唤涣患瘓"
"ŋ"	"①安"
"ts"	"①钻④钻纂攥"
"tsʰ"	"①汆撺②蹿躜④篡窜蚕⑤镩"
"s"	"①酸④算蒜"
""	"aŋ"
"p"	"①帮邦梆③绑膀(~子)榜④棒谤镑泵"
"pʰ"	"①乓滂膀②旁螃彷庞磅膀胱④胖⑤蚌傍"
"m"	"②忙芒盲茫氓③莽蟒"
"f"	"①方芳②房防妨肪③仿访仿纺坊④放"
"t"	"①裆当时铛③党④挡档当荡"
"tʰ"	"①汤鸭趟②唐搪堂棠膛糖螳③躺淌傥倘④趟烫⑤溏砀塘"
"n"	"②囊③攮"
"l"	"①啷②狼郎君琅榔廊榔螂③朗⑤晾浪岚阆蒗"
"k"	"①冈刚肛钢纲缸罡③港岗讲④杠钢"
"kʰ"	"①康慷糠②抗④亢伉抗炕"
"x"	"①夯②航行杭⑤巷"
"ŋ"	"①肮昂②昂"
"ts"	"①张章彰漳樟蟑脏肮赃臧③长涨掌④仗帐账胀涨葬"
"tsʰ"	"①昌猖娼仓苍沧舱②长肠尝常徜嫦偿藏③场操敞④畅怅倡唱⑤杖丈仗奘玄藏(西~)"
"s"	"①桑丧伤商殇觞墒②尝③嗓搡赏晌上⑤尚绱裳"
"z"	"①嚷②瓤③壤攘⑤让"
""	"oŋ"
"p"	"①崩绷(~带)嘣④迸镚蹦"
"pʰ"	"①嘭砰抨怦烹②朋芃彭棚鹏蓬篷硼澎膨骺③捧④碰⑤蚌"
"m"	"①懵蒙②萌盟檬朦③猛锰懵蜢⑤梦孟"
"f"	"①疯丰风封枫峰烽锋蜂②缝补冯逢③讽④奉⑤缝凤俸"
"t"	"①冬东咚③懂董④冻栋"
"tʰ"	"①通嗵②同(~样)铜桐童彤佟瞳茼潼峒③统桶捅筒④痛⑤洞动"
"n"	"①农浓脓⑤弄"
"l"	"①隆②胧龙隆兴聋笼⑤窿"
"k"	"①公工弓功攻宫恭蚣躬龚③拱巩①贡供"
"kʰ"	"①空天箜崆③孔恐④空控⑤共"
"x"	"①轰烘②红宏弘鸿虹洪蕻③哄④哄"
"ts"	"①中(~国)衷终盅忠钟枞宗棕③总肿种(~子)踵④种(~树)中(~奖)仲众纵粽"
"tsʰ"	"①冲锋充憧葱聪匆囱②从丛虫重复崇③宠④冲⑤重"
"s"	"①松忪(惺~)凇(雾~)嵩棕枞踪宗综鬃②怂③耸悚④讼宋送诵颂"
""	"i"
"p"	"①屄③比彼妣④逼笔必毕滗碧壁匕臂璧⑤闭鄙币庇毖陛敝婢荜愎痹辟邪蔽弊避毙"
"pʰ"	"①劈噪噼砒批披坯霹②纰皮琵枇(~杷)啤脾匹③痞否(~极泰来)⑤鼻篦屁辟僻"
"m"	"①眯②弥迷猕谜醚糜麋靡④谧密蜜幂秘⑤縻觅泌"
"t"	"①低堤提(~防)③底抵邸诋④滴"
"tʰ"	"①梯②提啼醍题鹈蹄③体剔④踢缔⑤弟递剃屉涕替嚏惕狄的(~确)迪敌帝涤娣第缔蒂谛笛嘀嫡地"
"n"	"①泥尼妮呢倪霓疑蚁④拟⑤溺逆匿腻昵"
"l"	"②离梨厘狸犁黎鹂篱漓璃③礼李里理鲤④历力栗⑤厉立吏丽励利沥例隶荔俐俪莅莉砾砺粒痢雳笠蛎"
"tɕ"	"①鸡几讥击叽饥机肌奇(~数)姬基犄缉(~拿)畸跻激羁稽③几挤(~出)济己给戟④急及唧积吉汲级即疾棘集籍瘠籍鲫⑤纪既然脊计技记伎系(~鞋带)忌际妓季剂迹济(~世)觊继祭悸寄寂绩稷骥髻"
"tɕʰ"	"①蛆妻栖凄期(~待)欺蹊②齐岐祁其歧脐崎骑琪棋祺旗鳍麒③起祈乞岂企杞启取④七沏戚漆吃⑤气迄弃汽泣契器砌去"
"ɕ"	"①西夕兮希昔硒稀犀锡溪熙蜥曦膝嬉羲蟋蹊唏嘻③洗喜徙玺禧④吸析牺息悉惜熄习媳袭⑤戏席系细隙絮婿"
"Ø"	"①衣伊医依咿漪揖②移仪夷沂迤怡宜饴遗贻胰姨颐彝③椅已乙以矣倚④一咦⑤译亿义议亦异抑呓佚驿轶疫诣易役邑忆艺益肄意溢薏翼臆缢逸羿裔奕弈"
""	"ia"
"tɕ"	"①茄佳迦伽枷浃痂袈嘉夹葭③假甲贾钾④颊荚戛⑤价驾架"
"tɕʰ"	"④恰洽"
"ɕ"	"②侠狭遐峡瑕暇④辖⑤夏厦吓"
"Ø"	"①呀鸦丫②牙涯琊衙蚜④雅④押亚⑤讶娅"
""	"ie"
"p"	"①蹩④瘪憋鳖"
"pʰ"	"①瞥③擗撇④撇⑤别"
"m"	"①咩④蔑篾灭"
"t"	"①蝶跌迭谍喋"
"tʰ"	"②渠④贴帖铁⑤叠碟"
"n"	"④捏聂业⑤孽镊蹑"
"l"	"①咧④烈劣列裂猎冽⑤裂"
"k"	"③给"
"tɕ"	"③姐④结节接揭孑劫杰拮洁颉捷睫截竭⑤借"
"tɕʰ"	"②茄③且④切妾窃怯挈惬锲⑤绝决诀掘"
"ɕ"	"①些楔蝎②斜邪胁挟偕携③写④歇屑械雪⑤谢泄邂瀣穴"
"Ø"	"①耶掖椰噎②爷③也冶野④叶页曳咽液烨⑤夜腋靥"
""	"iæ"
"p"	"④百伯柏"
"pʰ"	"④拍迫⑤白"
"m"	"④脉没麦默墨"
"t"	"④德得⑤嗲"
"tʰ"	"④忑⑤特"
"k"	"④骼嗝革格阁隔"
"kʰ"	"①揩④刻客克恪咳"
""	"iai"
"tɕ"	"①阶皆④械届介界诫藉"
"ɕ"	"②协谐⑤懈卸"
"Ø"	"②崖"
""	"iau"
"p"	"①彪猋标彪瞟骠镖飙③表婊裱"
"pʰ"	"①飘漂缥渺②瓢瞟剽嫖朴③漂④票漂"
"m"	"①喵②瞄苗描渺③秒杪缈藐淼⑤妙庙"
"t"	"①刁叼凋貂碉雕③屌④调掉吊钓"
"tʰ"	"①挑②条迢调(~节)笤窕④跳眺⑤调"
"n"	"③鸟袅⑤尿"
"l"	"①撩②嘹獠潦(~草)聊辽疗僚缭燎寥撩③燎⑤料撂镣寥"
"tɕ"	"①交郊胶浇娇骄教蛟椒焦礁蕉跤③饺侥(~幸)佼狡绞搅缴(~费)剿④矫叫较酵窖教"
"tɕʰ"	"①锹悄跷②桥乔侨荞憔樵③巧④翘壳地峭俏窍鞘⑤撬轿"
"ɕ"	"①肖(姓)枵骁逍消宵萧硝箫潇销霄嚣③小晓④啸笑孝肖⑤校效哮"
"Ø"	"①谣瑶尧遥爻姚摇肴垚窑徭③杳舀④要耀"
""	"iou"
"t"	"①丢"
"n"	"①扭妞②牛③藕纽扭④拗"
"l"	"①溜②留刘浏流榴琉硫馏瘤榴③柳④遛"
"k"	"①钩勾佝勾沟③狗苟枸④构购诟够垢"
"kʰ"	"①抠③口④扣叩蔻寇"
"ŋ"	"①欧讴殴鸥③呕偶藕"
"tɕ"	"①揪纠究赳阄鬏③九酒久韭④灸救"
"tɕʰ"	"①秋丘邱蚯鳅②求囚酋逑球裘遒⑤旧咎臼柩疚就舅"
"ɕ"	"①修休馐羞③朽④秀绣锈岫臭(乳~未干)⑤袖"
"Ø"	"①优攸忧悠幽呦②由油尤邮犹疣鱿游蝣③有友酉莠④幼诱育⑤柚又右佑"
""	"iɛn"
"p"	"①编边蝙鞭砭③扁贬匾④变辩"
"pʰ"	"①偏篇翩扁②便④骗遍片⑤便(方~)辫辨"
"m"	"②棉绵眠③免缅勉冕娩腼⑤面"
"t"	"①颠掂滇巅癫甸③点典碘④店玷电踮佃"
"tʰ"	"①天添②填田恬甜③舔腆殄⑤垫惦殿奠淀"
"n"	"①粘蔫②年鯰鲇黏严研③撵碾辇⑤念验"
"l"	"②连怜帘莲涟联廉鲢镰③敛脸⑤练链炼恋"
"tɕ"	"①尖奸歼坚肩艰缄蒹煎菅监兼③剪减检捡拣俭简戩柬茧碱④见建间(离~)荐箭剑鉴"
"tɕʰ"	"①千阡迁牵谦签②全前钱虔钳乾潜黔③浅谴遣④欠纤芡倩堑嵌歉"
"ɕ"	"①先仙纤掀锨籼鲜②闲贤弦涎娴衔痫嫌③显险蘚癣④线羡腺⑤现县限宪陷献馅"
"Ø"	"①烟胭嫣焉阉腌湮②盐延言岩炎沿颜妍阎檐蜒③演奄兖俨衍掩④厌燕艳雁⑤焰砚咽彦宴谚唁焱赝"
""	"in"
"p"	"①宾彬斌滨槟缤濒兵冰③饼丙秉禀④柄并殡鬓"
"pʰ"	"①拼乒②贫频嫔顰平苹萍评坪凭屏瓶③品④聘⑤病"
"m"	"①民名明鸣冥铭暝③皿闽抿泯悯敏⑤命"
"t"	"①丁仃叮盯钉③顶鼎④锭订钉"
"tʰ"	"①厅②廷亭婷庭停霆蜓③挺铤艇④听⑤定"
"n"	"②您宁狞咛凝③拧⑤泞"
"l"	"①拎②邻林临淋琳麟鳞粼嶙遴霖磷玲灵零凌陵龄铃伶菱囹瓴聆翎羚绫③领凛廪岭⑤另令吝赁"
"tɕ"	"①金今斤巾津矜筋禁襟经京精晶惊荆菁茎鲸旌兢睛③仅紧锦谨井颈景警阱④进劲晋浸禁烬觐靳镜"
"tɕʰ"	"①钦侵亲清青轻氢倾卿蜻②秦琴勤禽擒情晴③寝请顷④沁庆罄⑤近竞竟敬静境"
"ɕ"	"①新心辛鑫欣芯馨锌昕歆薪兴星猩惺腥②行型形邢刑荥③醒④信衅兴(高~)杏幸性姓"
"Ø"	"①因音阴茵氤殷姻英鹦婴罂樱瑛缨莺瓔膺鹰②银吟淫寅龈垠迎盈荧莹萤萦蝇赢赢营盈瀛③引尹饮隐瘾蚓颍影④印胤应映"
""	"iaŋ"
"n"	"②娘③仰⑤酿"
