#来源	Pekkhak（啵啵）整理自颜森《黎川方言研究》
#调值	［1］²²［2］³⁵［3］⁴⁴［5］⁵³［6］¹³［7］³［8］⁵
#符号说明	-白=文*俗?待考
#a	
f	［1］分{～开}芬纷［2］坟焚［3］粉［5］粪奋愤忿［6］分{考一百～}份
tʰ	［5］衬
n	［2］□{脚跟踮起}
k	［1］跟根筋
kʰ	［3］垦恳啃
h	［1］吞□{鞭痕}［2］痕［3］很［6］恨□{几～崽：什么时候}
∅	［1］恩
#uɛn	
∅	［2］文纹闻［6］问
#iɛn	
p	［1］鞭边辫［3］贬扁匾［5］变遍
pʰ	［1］编篇偏［2］便{～宜}［5］骗片［6］辫辩汴便{方～}
m	［2］绵棉眠［3］免勉缅［6］面麵
f	［2］玄悬□{（小虫）爬}［6］县
v	［1］渊冤［2］丸{肉～}圆员缘沿铅袁媛辕援園完{喫～了饭}［3］远［5］怨［6］院
t	［1］颠癫［2］连莲联怜鲢［3］脸{不要～}典碘［6］练炼链恋楝{苦～树}
tʰ	［1］迁千扦{烟～}［2］钱前全泉［3］浅藓廯［5］践［6］贱
n	［2］年［3］碾撚［6］砚
tɕ	［1］煎氈笺专砖［3］展剪转{～学}［5］箭溅战荐转{～圈}
tɕʰ	［1］川钏［2］缠传{～下去}［3］喘［5］串［6］篆传{～记}□{～临时儿：临时}
ɕ	［1］仙鲜{新～}搧先宣暄［2］涎蝉禅{～宗}旋{～转}船□{～梗：（壁虎、蚂蚁等）爬}［3］鲜{朝～}选［5］线扇鏾{阉割：～鸡}□{～架：（造房子时）上梁}［6］善羡膳擅单{姓}禅{～位}旋{～头风：旋风}鳝
k	［1］肩坚［3］茧笕［5］建见
kʰ	［1］牵□{～床：铺床}［2］乾{～坤}虔［3］遣［6］件键健
ŋ	［2］言研［6］谚
h	［1］天轩掀［2］田填贤弦{三～}舷{瓦～仔：瓦头}［3］显［5］宪献［6］电殿奠佃现
∅	［1］烟燕{～京}蜒{～蚰}然燃焉延筵［3］演衍［5］堰燕{～雀}□{纸～：纸捻儿}
#ən	
f	［1］昏婚荤［2］魂［6］混
t	［1］敦墩［2］轮沦伦［3］断{拦截：～住汽车}［5］盾顿燉敦{竖立}□{挟～：裌衣}
tʰ	［1］村［2］存蹲［5］寸
n	［6］嫩
l	［1］□{噎}［2］论{～语}仑崙［3］□{撚：～线}［6］论{讨～}［0］□{石～：一种体型较大、生活在陆地的青蛙}
ts	［1］津尊遵諄［3］侭{钱～汝用}准準［5］晋俊
tsʰ	［1］春椿［3］蠢
s	［1］孙狲荀［2］旬询循巡唇纯醇［3］损筍榫［5］讯汛迅逊舜瞬巽［6］殉顺□{～子：睾丸}［0］鹑{鹌～}
h	［1］□{篾～：一种簸箕，晒粮食用}［2］□{～养新妇：童养媳}［3］□{～谷：用耙子翻动平晒的稻谷}［6］钝□{蝦蟆～：蝌蚪}
#un	
k	［1］滚［5］棍［6］□{打水～儿：打水飘儿}
kʰ	［1］昆崑坤［3］綑捆［5］困睏
∅	［1］温瘟□{～人：对人怒目而视}［2］浑{水好～}炆{小火慢煮：～肉}［3］稳吻刎□{皮肤上生的小疙瘩：酒刺～}
#in	
p	［1］彬宾槟［5］殡鬓
pʰ	［1］拼{～命}姘［2］贫频［3］品［5］聘［6］並
m	［2］闽{～筍：竹筍}民［3］悯敏
f	［1］熏勳薰［5］喷{～水}训
v	［2］匀云雲耘［3］允尹永［5］陨［6］泳咏
t	［2］邻鳞麟磷［3］凛［0］吝{悭～}鳞{逆～：倒刺}
tʰ	［1］亲{～戚，～家}［2］秦［3］□{～头：点头}［6］尽
tɕ	［1］珍真贞侦［3］疹［5］进镇
tɕʰ	［1］陈尘［5］趁［6］阵
ɕ	［1］辛新薪身申伸洵{～口：黎川地名}［2］神辰晨臣［5］信囟{～门}［6］肾慎
k	［1］今斤巾=［3］紧谨□{～几：如何，怎样}［5］劲{有～，～敌}
kʰ	［1］近肫?{鸡～，鸭～}［2］勤芹［6］近
ŋ	［2］人仁银［3］忍［6］韧认
h	［1］欣［5］衅
∅	［2］人=仁=寅［3］引瘾隐［5］印洇{纸不好，会～水}［6］纫
#yn	
tɕ	［1］菌［3］炯{～然不同}
k	［1］巾均钧军君皲{开～进㿭}
kʰ	［1］倾{～家荡产}顷［2］群裙琼［6］郡
∅	［1］晕{～车～船}［6］韵运闰润
#aŋ	
p	［1］□{～脓：化脓}□{脚肚～：小腿肚子}□{蒙：～了桌布}［2］□{升变音。弹：～琵琶}［5］迸
pʰ	［1］㧸{撵，赶：把鸡～出去}□{油～：一种油炸食品，圆球形，内空}□{pʰiŋ˩～子：一种藤的果实，可做凉粉}□{～～tɕy：道情筒}［2］彭膨［5］□{好说大话，爱吹牛：该人好～}［6］㼞{杀火～：盛馀火的瓦罐}
m	［3］猛{～子：高个子}
tʰ	［1］撑{～船}［2］橙{～仔：柚子}锃?{光线刺眼}［5］撑{～门}
n	［2］□{只、仅：～两块钱}
l	［1］□{凹：～下去}［2］□{～手节：小拇指；～脚趾：小脚趾}［3］冷
ts	［1］争［3］整{～病：治病}［5］正{做～了}□{～秧：将稻秧从秧田中拔出准备移栽}［5］㬹{肘～弯：胳膊弯。脚～跟：脚跟}
tsʰ	［2］程成{七～八～}［6］郑-{姓}
s	［1］生甥［2］盛{～饭}生{活：～鸡，～鱼}城成{～千～万}［3］省{节～}
k	［1］耕更{打～}羹{糊～}［2］□{升变音。～苦：很苦；～瘦：很瘦}［3］埂［5］耕?{好会～：着于持家}
kʰ	［1］坑□{～豉：甜豆豉}［6］□{～硬：很硬}
ŋ	［6］硬
h	［1］□{噎；气味刺激性强烈}［2］行{～路：走路}桁{～条}
∅	［1］罂{瓦罐}［0］䰲{黄～角：一种鱼名}
#uaŋ	
k	［1］梗{菜～}［0］□{船～：壁虎}
kʰ	［1］□{～锣：敲锣}［5］□{脆，易折：该木头好～}
∅	［2］横{～竖}宏-{～村：黎川地名}［6］横{强～}
#iaŋ	
p	［1］饼［5］柄{欛～}
pʰ	［2］平坪{～仔：空旷的平地}［3］坪{一～菜地：（分成若干畦）一大片菜地}［6］病
m	［2］明名［6］命
f	［1］兄［5］□{甩：～开手}
v	［1］萦{绕：～线}□{～～位：蝉，知了}［3］茔{坟～：修得较大较好的坟}［5］□{～光：（油漆、镜面等）很光亮}［6］□{扔：～到外头去；晃：～绳}
t	［1］丁钉{名词}靪疔［2］铃零伶{～俐：干净}［3］岭领［5］钉{动词}［6］{逐渐减少：奶～了}
tʰ	［1］青清［2］晴［3］请□{木椿}［6］靖{～安县}［0］戚{亲～}
n	［2］宁{～都县}
tɕ	［1］精睛腈{～肉：瘦肉}［3］井
ɕ	［1］星腥［3］醒［5］姓
k	［1］惊{睏觉好～：睡觉时易醒}经{～纬，念～}茎{黄～：植物名，端午节插门上}［3］颈［5］镜
kʰ	［1］轻［2］擎{灯～：菜油灯}［5］磬［6］儆{～口：忌口}
ŋ	［2］迎{～龙灯}
h	［1］厅听{～到了}［2］停{～寮：将棺木暂时停放在小屋不下葬}［6］定
∅	［2］赢［3］影［5］䁐{看守：～牛}
#ɔŋ	
p	［1］帮邦浜{沙家～}［3］榜绑［5］谤棒{冰～}
pʰ	［1］棒-{竹～}［2］旁庞螃［3］□{碰撞：莫～我}［5］胖［6］傍塝{～铲}蚌
m	［2］忙芒盲茫□{～裆裤：完裆裤}［3］莽蟒网［6］望
f	［1］方芳坊慌荒［2］皇蝗房防妨黄={硫～}［3］谎倣纺仿访彷［5］放况{情～，姓～}
t	［1］当{～官}裆□{～儿：开水壶}［2］荡{升变音。～马路：逛马路}［3］党挡［5］当{上～}
tʰ	［1］仓苍疮窗［2］藏{做～蛋：腌咸蛋}［5］创［6］藏{西～}臟{肝～}状撞
l	［1］朗?{～疏：很稀疏}［2］囊朗廊狼螂瓤［3］郎埌朗［6］浪晾{～乾衣裳}［0］□{该～：这样}
ts	［1］髒{肮～}赃张章莊装樟妆樁［3］长涨掌［5］葬仗{打～}账帐壮障瘴幛{一～山}
tsʰ	［1］昌倡{提～}菖{～蒲}［2］长肠场常={无～}［3］闯{李～王}厂绱{～鞋}［5］畅唱［6］像{～不～}丈杖
s	［1］桑丧{～婚}霜商伤上双相{～骂}［2］床常{经～}尝嫦［3］嗓磉{～石：柱下石}爽赏偿{赔～}［5］丧{～失}［6］上=尚［0］裳{衣～}
k	［1］岡崗剛鋼綱江缸扛肛［3］讲港［5］降{～落}虹{天～}槓{门～}
kʰ	［1］康糠［2］□{说话故意噎人}［3］慷□{霉：衣裳上了～}江?{～鸡：蜻蜓}［5］抗囥{藏：～起来}
ŋ	［2］昂
h	［1］汤盪{涮洗：～碗}［2］堂螳唐糖塘搪行{银～}绗{～花：做棉衣时用长针脚把棉花缝在布上}杭航降{投～}□{打～：打樁}□{～锅：煮猪食的大锅}□{～人：专殓死尸的人}［3］倘躺□{发～絮：气喘病发作}［5］趟烫{～衣裳}□{一大～仔：一大滩（血等）}［6］荡{扫～}项巷□{鸡～儿：半大的母鸡}□{～了颈：落枕}
∅	［1］骯{～髒}□{～清：（稀饭等）很稀；～青：（蔬菜等）翠绿}
#uɔŋ	
k	［1］光［3］广
kʰ	［1］筐［2］狂［5］旷矿
∅	［1］汪［2］黄蟥亡忘王隍［3］枉往［6］妄望={～远镜}
#iɔŋ	
t	［2］良凉量粮梁粱［3］两［6］量辆亮谅
tʰ	［1］枪［2］墙［3］抢［5］呛摪{木锅盖上的长柄}
n	［2］娘孃［0］□{桶～：一种含水分较少的豆腐，价钱略贵}
tɕ	［1］将浆［3］蒋奖桨［5］将酱
ɕ	［1］相={互～}箱厢襄镶［2］祥详翔［3］想［5］相{长～：相貌}［6］象{～棋}匠相象棋中的～}
k	［1］疆僵薑姜
kʰ	［1］羌匡眶［2］强{～壮}［3］强{勉～}
ŋ	［3］仰［6］让
h	［1］香乡［3］享响饷{关～}［5］向
∅	［1］央秧殃［2］羊洋阳杨扬烊{融：～雪}［3］攘{～外}养痒［6］样恙旺{生意～：生意兴隆}
#ɛŋ	
p	［1］奔冰崩痭{血～：妇女病，出血不止}
pʰ	［1］烹［2］凭{靠：～到墙}
m	［3］猛［6］孟
f	［1］轰{～炸}［2］宏{～伟}［6］横={发～财}
t	［1］灯登□{～屎～尿：把屎把尿}［3］等戥［5］凳
tʰ	［2］层曾{～经}［6］赠
n	［2］能
l	［2］楞{～角}□{架子大}［6］凌{～豆腐：冻豆腐}
ts	［1］曾{姓}增僧争={斗～}［5］甑{木制蒸饭用具，桶状}
s	［1］生=笙［3］省={江西～，反～}
k	［1］庚羹={调～：汤匙}［2］□{升变音。～～锣：小锣}［3］哽耿梗{桔～}□{～面：绞去脸上的寒毛}□{整：五百块～箇}［5］更［6］□{～～崽：现在，立即}
kʰ	［1］悭{～吝鬼}坑=［3］肯
ŋ	［2］戆?{傻：发～，农～子}
h	［1］亨［2］腾藤誊謄恒行{自～车，人～道}衡澄{～清水}［3］□{帮，替：～我写封信}［6］邓杏幸
∅	［1］鹰［5］应-{～一声}
#iŋ	
p	［1］兵［3］禀丙秉饼=［5］併{合～}
pʰ	［1］□{～pʰaŋ˩：一种藤的果实，可做凉粉}［2］凭{～证}平=评瓶苹萍屏
m	［2］明=名=鸣盟铭冥［3］皿［6］命
t	［1］丁=叮［2］陵菱凌{～云}［3］领=顶鼎［5］订［6］令另［0］□{打～裸：裸体}
tʰ	［1］青=清=［2］情［5］听{～烟}［6］静净靖={嘉～}
n	［2］宁{福建省泰～建～}
tɕ	［1］徵{～求}蒸精=晶［3］拯整={～齐}［5］证症政正={～确}
tɕʰ	［1］称{～秤}［2］惩{～办}呈澄{～清事实}［3］逞［5］称{对～}秤［6］郑={～州}
ɕ	［1］升［2］乘绳承丞堘{田～}成={～功}行={～不～}［5］胜圣姓=［6］剩盛
k	［1］京荆经={已～}［3］境景警［5］敬竟径{～口}□{～似：故意}
kʰ	［1］卿［2］鲸［5］庆［6］竞
ŋ	［2］迎={欢～}
h	［1］兴汀{福建省长～}［2］停=亭廷亭形型刑［3］艇挺［5］兴听{～其自然}［6］定=锭
∅	［1］因姻殷英应{～当}莺鹦樱［2］扔蝇盈［3］影={电～}颖［5］映应{～酬}［6］孕
#uŋ	
p	［1］繃{～子床：棕绳床}［3］捧{抱：～伢儿}［5］蹦
pʰ	［1］埲{尘土飞扬}□{～蛋：蒸蛋羹}［2］篷蓬朋［5］碰□{～香：很香}
m	［1］蒙{～到眼睛}［2］蒙{～古}［3］濛{打～：起雾}懵{～懂}朦［6］梦
f	［1］风疯丰封锋蜂峰烘［2］红洪鸿冯逢蕻{雪里～：蔬菜名}缝{～补}［3］哄［5］讽俸［6］凤奉缝{门～}
t	［1］东冬［2］□{升变音。～背：捶背}□{升变音。一～屎：一泡屎}［3］董懂［5］冻
tʰ	［1］通=聪怱葱［2］同桐=铜=童=瞳=丛崇［3］统［6］动=
l	［1］□{脓～～仔：伤口化脓状}［2］笼聋农脓□{～蚣：蜈蚣}［3］拢陇{～海}［5］□{～鬆：毛发脏乱}洞?{洞孔：狗～，桥～}［6］弄［0］咙{喉～}
ts	［1］棕鬃宗中{～国}忠终钟鐘盅□{（苍蝇）爬}［3］总冢种{～子}肿□{巴～纹：巴掌纹}［5］中{打～了}众种{～菜}纵{～横，放～}粽
tsʰ	［1］充冲重{轻～}［2］虫重{～复}［3］宠［5］铳□{揪：～到我箇衣领}［6］仲
s	［1］鬆舂{～米}［2］□{衣服皱起：衣裳～起来了}［3］怂㧐{推}［5］送宋
k	［1］公功工攻［2］□{升变音。～黄：（脸色、纸张等）很黄；～圆：很圆}［3］拱{～背～儿：驼背者}［5］贡汞{红～}
kʰ	［1］空［3］孔□{～下来箇雨：倾盆大雨}［5］空控
∅	［1］翁{不倒～}［5］蕹{～菜：空心菜}𪖵{～鼻公：说话时鼻音很重（的人）}
#iuŋ	
t	［2］隆{乾～}龙
tʰ	［1］从{～容}［2］从{～前}松{～树}
n	［2］浓
tɕ	［5］纵{～横，放～}［0］□{蒂～：喉结}
ɕ	［1］嵩松={武～}［2］熊鱅{～鱼，头大，鳞细密，黑色}［5］诵讼颂
k	［1］弓躬宫恭供芎{川～：芹菜}［3］鞏拱{三星～照：划拳语}
kʰ	［2］穷穹［3］恐［6］共
h	［1］胸凶兇［2］雄［5］嗅
∅	［1］雍壅{～土，～灰}［2］荣营戎绒茸容镕蓉庸［3］甬勇［5］拥{～护}涌［6］用
#ap	
f	［7］法［8］乏
t	［7］答搭遢{邋遢水：污水}
tʰ	［7］插［8］杂
n	［7］纳呐{唢～}
l	［7］腊{～月}□{～手捋脚：挽起袖子和裤脚（准备干活或打架）}［8］腊{～肉}蜡
ts	［7］摺闸{水～}
s	［7］卅摄［8］煠{～油条}涉
k	［7］夹裌甲□{～酒：一种较浓的米酒}
kʰ	［7］恰掐
h	［7］塔［8］踏狭峡匣洽
∅	［7］鸭押压
#iap	
t	［7］叠{一～票子}［8］猎
tʰ	［7］妾［8］捷
n	［7］聂业孽□{眨：～眼}□{耳耳～～耳语}
tɕ	［7］接□{禾～：麻雀}
ɕ	［7］楔
k	［7］劫［8］□{拔：～眉毛；蜇：蜂仔～人}
kʰ	［7］怯
h	［7］帖贴［8］胁协侠叠{～起来}牒谍碟
∅	［7］腌{～肉}𥣘{～谷：空瘪的谷粒}蝶{蝴～}［8］葉
#ɔp	
ts	［7］撮{一～米}
k	［7］鸽合{容量单位}佮{～伙}［8］佮{高变音。戏面～：假面具}
kʰ	［7］磕
h	［8］合{～作}盒
∅	［7］罯{聚拢：把谷～拢来}
#ɛp	
t	［8］□{～重：很重；～浓：（稀饭等）很浓}
s	［7］涩□{耳～：耳环}
#ip	
t	［7］立［8］笠
tʰ	［8］缉辑集
tɕ	［7］执汁［8］吸?{吮吸：～奶}
ɕ	［7］湿［8］习十袭拾
k	［7］急级吸{～一口气}
kʰ	［7］泣吸{～铁石：磁铁}［8］及
∅	［7］入揖
#aiʔ	
p	［7］八
pʰ	［8］拔
f	［7］發髪［8］罚伐
t	［7］妲［8］笪{升变音。使劲扔：把鞋仔～过去}
tʰ	［7］察擦□{耽误，耽搁：～了车}［8］蚻{蟑螂}
n	［7］捺
l	［7］癞□{燎：着火～着了}□{～名：末名；交～卷：交末卷}［8］辣
ts	［7］扎札［8］闸{～门}煠{～肉丸}
s	［7］萨{普～}杀［8］撒{～种}铡{～刀}
k	［8］□{米～儿}□{斜视：～一眼}
ŋ	［8］轧{着车～}啮{咬：癫狗～人}
h	［7］獭瞎辖［8］达
∅	［8］□{打～tɕʰi：打喷嚏}
#uaiʔ	
k	［7］刮{搜～}决诀□{鼠～：狡猾}［8］刮{高变音。～破皮：蹭破皮}
kʰ	［7］缺={～少}［8］轰?{雷击：雷公～倒了树}
∅	［7］挖［8］滑猾袜月
#ɔiʔ	
p	［7］钵［8］拨{高变音}□{～笔：㮇笔}
pʰ	［7］泼［8］□{～笔：㮇笔}
m	［7］抹沫沐{斋戒～浴}［8］末
f	［8］活佛
t	［7］掇律
tʰ	［7］撮{～斗}
l	［8］捋{～袖}
ts	［7］卒{生～}［8］卒{高变音。兵～}
s	［7］刷蟀戌恤
k	［7］割葛
kʰ	［7］渴阔
h	［7］脱□{一～衣裳：一套衣服}［8］喝{～一声}夺核{审～}
∅	［7］握{把～，～手}
#uɔiʔ	
k	［7］括
#iɛʔ	
p	［7］屄{女阴}
pʰ	［7］撇［8］别{区～，分～}
m	［7］灭搣{掰：～一块下来}［8］篾
f	［7］血［8］穴{～位}
v	［7］悦阅越曰粤
t	［7］跌劣跕{～骰子：掷骰子}
tʰ	［7］切［8］截绝
tɕ	［7］桔{～梗}蜇{～皮}哲折{～扣}浙节䇽{围～}
tɕʰ	［7］□{小口喝}［8］彻撤辙{苏～}
ɕ	［7］薛泄设雪屑说{小～}膝{～头公：膝盖}［8］舌折{～本}
k	［7］结洁羯吃{～巴}
kʰ	［7］揭{～开}□{拿}［8］杰竭
ŋ	［8］热{天～}捏{娆娆～～：扭扭捏捏}
h	［7］歇铁［8］□{～脯：挺起胸脯}
∅	［7］热={～水瓶}谒
#uiʔ	
k	［7］骨橘□{liʔ˥～虫：孑孓}［8］□{高变音。疑疑～～：犹豫不决}□{高变音。～短：（绳子）很短}□{～俐：（小孩）聪明灵活}
kʰ	［7］屈窟
∅	［7］鬱熨{～斗}域疫役［8］𣝗杌舞?{做、弄、搞：～饭，把该事～一下，～狲（猴子）}
#iʔ	
p	［7］笔毕必不逼碧壁=［8］□{尖儿：筍～}□{～臭：很臭}□{～脚：鞋小脚大的感觉}
pʰ	［7］匹弼{～马温}僻辟蔔{萝～}［8］𤐧{不加水或只加少量水将食物加热：～饭}鼻{～毛}弼{辅～}
m	［7］蜜密={保～}［8］密{稀～}
t	［7］的滴嫡曆=歷［8］栗力□{慢～tʰɔʔ˥儿：缓慢，迟缓}
tʰ	［7］七漆戚{姓}［8］疾籍藉
n	［7］匿
l	［8］□{～骨虫：孑孓}
tɕ	［7］质即稷{社～}织职积膱{油质食物腐败}□{眼～：睫毛}［8］□{高变音。一～儿：一点儿}□{高变音。～起耳朵：竖起耳朵（注意听）}
tɕʰ	［7］赤{～芍}［8］蜇姪秩直值殖植
ɕ	［7］悉蟋失室熄息识式饰昔惜={可～}适析［8］实食蚀夕席={主～}□{～糖：麦芽糖}
k	［7］吉戟击激［8］□{高变音。～～tʰau˩˧ tʰau˩˧：服装整齐状}□{打～kuʔ˧笑：窃喜}
kʰ	［7］乞迄讫［8］极
ŋ	［7］逆=［8］日
h	［7］□{细：桌仔脚做得好～}［8］敌□{极，非常：～好}
∅	［7］一乙逸益亦译液［8］弋翼
#yʔ	
t	［7］率{效～}［8］□{搁、放：把书～到桌上；停止：雨～了}
tʰ	［7］突={～然}禿{～头发}□{～汗：抹澡}
l	［7］□{搔：裤～下来了}［8］□{～饭：做饭}□{～槌：钝，不锋利}
tɕ	［8］□{高变音。～矮：很矮}□{高变音。线～儿：线轴}
tɕʰ	［7］出
ɕ	［7］戍{卫～}蓄{摺～：袖口或裤脚留一点儿边儿折进去}［8］术{苍～}術□{～鼻：吸溜鼻涕}
h	［8］突{～然}
#aʔ	
p	［7］柏百伯
pʰ	［7］拍［8］白
m	［7］𧻙{大步走：～开脚行}［8］麦
f	［7］□{（用毛巾等）拍打}［8］劃{～开}
t	［8］□{高变音。～子：独眼}□{高变音。～粘：很粘}□{高变音。～儿：唱道情用的乐器，两块小竹片}
tʰ	［7］拆㿭册［8］择
n	［7］拿{捉～}
l	［7］邋{邋遢水：污水}［8］□{～～luʔ luʔ：搞小动作}
ts	［7］摘隻炙□{～宝：押宝}□{胳～窝：腋下}
tsʰ	［7］赤{～膊}尺
s	［7］栅{轮～：车辐}䅴{禾～：稻穗}［8］石□{肩负：～枷}
k	［7］格隔膈{～tsaʔ˥骚：狐臭}
kʰ	［7］客［8］□{攒：～拳，好会～（很节省）}
ŋ	［7］轭{牛～}
h	［7］嚇{～着了}
∅	［7］□{编织（篾器等）}
#uaʔ	
k	［7］□{漂亮：生得好～}
kʰ	［7］□{沸：粥在火上～}□{～～叫来：快来}［8］□{～声一下：形容炸雷的声音}
∅	［8］劃{挑：拿根竹篙～起来}
#iaʔ	
p	［7］壁［8］□{打～儿：大拇指和中指弹击，发出清脆响声}
pʰ	［7］劈
t	［7］笛曆栎□{kuiʔ˥～：小孩聪明灵活}
tʰ	［7］踢=［8］席{草～}
tɕ	［7］脊迹
tɕʰ	［7］喫
ɕ	［7］锡惜{疼爱：～伢儿}□{好出风头，好表现}
kʰ	［8］屐{木～}
ŋ	［8］额{～头；灶～公公：灶王爷}逆{～鳞：倒刺，手指甲边破裂的小片表皮}
h	［7］踢［8］糴
∅	［8］易{姓}
#ɔʔ	
p	［7］剥驳博{广～}［8］博{高变音。卖～郎箇：货郎}
pʰ	［7］泊{梁山～}朴{～素}□{猪～儿：架子猪}［8］薄{厚～}雹
m	［7］膜幕寞摸{～～索索：形容在黑暗中摸索的样子}［8］募{～捐}莫
f	［7］霍藿［8］缚
t	［8］斫{高变音。剁、砍：～肉}啄{高变音。～木鸟}□{～木：很呆板}
tʰ	［7］戳{交合}［8］凿镯昨柞{～蚕}
l	［7］诺骆烙洛络乐{快～}落={座～，莲花～}［8］落{～雨}
ts	［7］斫{～肉：买肉}作着{穿：～一件新衣裳}酌桌卓琢啄捉□{假定：就～渠不来}
tsʰ	［7］焯［8］着{睏～了}
s	［7］塑{～料}索{绳～}朔缩［8］芍勺硕
k	［7］各阁搁角{牛～}觉{不～得}［8］搉{高变音。敲击：拿棍仔～一下}□{高变音。～筛：丝绢制的细筛}□{猪头～：头脑简单、容易冲动的人}
kʰ	［7］确壳角{豆～，铜～子（铜钱）}
ŋ	［7］鄂鳄岳嶽箬{～叶：包粽子用的竹叶}乐{音～}［8］昂{～起头来，疑为阳入对转}
h	［7］托［8］鹤学
∅	［7］恶{凶～}
#uɔʔ	
k	［7］郭
kʰ	［7］廓扩
∅	［7］沃{～谷：饱满的谷粒}□{打～：恶心，有呕吐感}［8］镬{～颈：置于锅下的铁拳，用来保护灶面、集中火力}
#iɔʔ	
t	［8］略掠
tʰ	［7］雀鹊
tɕ	［7］爵
ɕ	［7］削
k	［7］脚䦆
kʰ	［7］却
ŋ	［7］弱虐瘧
h	［7］跃{大～进}
∅	［7］若约［8］药籰{～筒：绕线纱的竹筒}
#ɛʔ	
p	［7］北迫百={～姓}
pʰ	［7］珀魄［8］勃白=帛
m	［7］默脉［8］墨
f	［7］拂彿忽勿［8］或惑获
t	［7］得德［8］捩{拗～：脾气执拗；头～着了：头颈不能转动自如；拧：～干毛巾}
tʰ	［7］测恻策厕［8］贼泽宅
l	［7］肋勒{～索}［8］𠢠{荆棘上的刺}勒{打嗝～：打饱嗝}
ts	［7］则测鲫责
s	［7］虱色塞
k	［7］革胳{～tsaʔ˧窝：腋下}［8］嗝{高变音。打～勒：打饱嗝}
kʰ	［7］刻克缺{～牙，田仔挖了一个～}
ŋ	［7］厄扼额{名～}
h	［7］黑赫{～～有名}［8］特核{～心}□{～脯：挺胸}
∅	［8］□{ŋ̩˩ ŋ̩˩～～：哼哼哈哈，爱理不理}
#uɛʔ	
k	［7］国虢
∅	［7］物［8］□{～嘴：歪嘴}
#uʔ	
p	［7］卜{～卦}瀑{～布}［8］□{高变音。（因震荡而）溢出}
pʰ	［7］伏{～～睏：俯卧}［8］伏{趴：～到桌上}扑{～灭，～客}
m	［7］目穆牧［8］木
f	［7］福幅腹［8］復{～兴}服伏{三～}覆複□{～儿：抹布}
t	［7］笃督䐁{底儿：碗～}［8］𧰵{高变音。捣击}厾{高变音。捣击}啄{鸡～米}
tʰ	［8］族
l	［7］鹿禄［8］□{整人：～渠一下；laʔ˥ laʔ˥～～：搞小动作}
ts	［7］祝𡎺{使劲塞：装满了还要拼命～进去}粥筑烛嘱竹{～椅}
tsʰ	［7］畜{～牲}触束{～修}竹{打炮～：放鞭炮}
s	［7］速叔淑肃漱{～口}粟［8］熟续赎属蜀
k	［7］谷穀［8］□{打kiʔ˥笑：窃喜}
kʰ	［7］哭酷
h	［7］厝?{屋}□{只，仅}［8］独读牍毒
∅	［7］屋{灵～}
#iuʔ	
t	［7］陆{～地}戮录［8］六绿辘{～轴：耙田用的农具}
tʰ	［7］促
n	［7］玉狱［8］肉
tɕ	［7］足
tɕʰ	［7］□{ɕiɛ˥˧～：什么}
ɕ	［7］宿{～舍}［8］俗
k	［7］菊
kʰ	［7］曲［8］局
h	［7］畜蓄{储～}郁育浴慾欲旭
∅	［7］辱
