#来源	Pekkhak（啵啵）整理自颜森《黎川方言研究》
#调值	［1］²²［2］³⁵［3］⁴⁴［5］⁵³［6］¹³［7］³［8］⁵
#符号说明	-白=文*俗?待考
#a	
∅	［1］威□{～tɕiʔ˥～tɕiʔ˥痛：隐隐作痛}［2］为{作～}维惟遗微巍违围［3］委伟苇□{～嘱：叮嘱}［5］畏尉慰［6］卫位为{～什么}未味纬胃谓猬会{～不～}□{萦萦～：蝉，知了}
#u	
p	［1］补［5］布怖
pʰ	［1］铺{～设}簿{账～}□{喷：～水}潽{沸腾后溢出}［2］蒲菩脯［3］普谱浦甫{杜～，台～}圃{苗～}［5］铺{店～}［6］部步埠捕{～快}
m	［2］模摹［3］母拇［6］暮慕墓
f	［1］乎呼夫肤敷俘伕{长～：长途脚伕}［2］胡湖壶葫{～芦}瓠{～仔：瓜菜名}符扶芙和{麻将用语}□{～奴：男仆}□{～臼：臼}［3］虎浒府斧抚虎［5］付赋傅赴讣富副□{～脚：抖腿}［6］户沪互护父腐{～竹}辅{～导}附妇负□{～震：颤抖}□{～仔：玩具名}
t	［1］都{首～，～是}嘟{低低～～：嘟哝}［2］□{高变音。打～儿：说话滔滔不绝}［3］赌肚{猪～}［5］妬到倒{～水}
tʰ	［1］粗初［2］锄=塗=［3］土=楚［5］醋吐=［6］助度=
l	［2］奴庐芦炉卢鸬□{～碗：一种大碗}［3］努鲁橹滷虏［6］怒路赂露
ts	［1］租［3］祖组阻［5］做灶
s	［1］苏酥［3］数{动词：～一下}所［5］素诉塑{～菩萨}数{名词：过下～}扫{～地}［0］鷀{鸬～}
k	［1］姑辜孤□{～毛：食物上生的白毛}［3］古估股鼓牯姑?{大～：少女，令媛；毛～：小伙子，令郎}［5］故估顧雇
kʰ	［1］枯箍𣗺{～饼：花生、芝麻等榨油后，渣滓压成的饼，作肥料用}呼{口中发出声音来诱出：～蛇}［3］苦□{～痰：吐痰}［5］库裤
ŋ	［2］吾梧吴=［3］五=伍午［6］悟误
h	［1］肚{～饥：肚子饿了}［2］徒屠途塗图涂{姓}荼{～䕷花}［3］土［5］吐兔［6］杜度渡镀
∅	［1］乌［2］鬍{刮～子}糊{饭烧～了；搅～：做浆糊}巫诬无狐［3］武舞侮鹉仵{～作}［5］恶{～众：遭众人嫌恶}［6］务雾戊
#y	
t	［1］堆［2］驴［3］旅屡{～教不改}［6］虑滤类累={～积}
tʰ	［1］趋推=［3］取娶［5］趣脆翠［6］聚罪兑{汇～}
n	［2］愚虞娱［3］女={妇～}语［6］御禦遇
l	［2］雷={姓}擂{～钵}［3］缕={千丝万～}垒［6］内=锐□{～饭：做饭}
tɕ	［1］朱诸株{湖南～洲}诛珠硃追［2］锥?{高变音。捅：拿刀～过去}［3］主嘴煮=［5］著{～名}驻注註铸最缀赘醉［0］□{pʰaŋ˩ pʰaŋ˩～：道情筒}
tɕʰ	［1］柱枢{～密}吹炊竖{～心旁}［2］除储橱槌锤□{（刀口）钝。～砖：断砖}［3］处{～理}杵{拨动：把火～空来}［5］处={～所}去={～风，中医术语}［6］住
ɕ	［1］胥舒鬚须需输{～赢，运～}竖{～起来}虽绥书=［2］随垂［3］许={言午～}暑=鼠={子～丑牛}水□{～袜：袜子}［5］庶岁恕税［6］序叙绪署树瑞髓遂隧［0］殊{特～}睡{打鼾～：睡觉打呼噜}
k	［1］居拘俱［3］举矩［5］据句剧{戏～}
kʰ	［1］区驱［2］瞿［6］巨拒距具惧
h	［1］虚={～心}嘘墟=
∅	［1］於{～此}迂［2］餘于盂榆愉［3］与逾{～期}雨宇禹羽愈{～合}［5］淤{～血}［6］与{参～}誉预豫寓芋喻裕
#m̩	
∅	［1］姆{～妈：母亲}［5］姆{～妈：祖母}
#ŋ̩	
h	［1］通动［2］铜桐童瞳筒［3］桶［5］痛［6］洞
∅	［1］尔?{指示代词，相当于北京话的“那”}□{～～ɛʔ˥ ɛʔ˥：哼哼哈哈，爱理不理}［2］吴毋{否定副词，相当于北京话的“不”：～去，～喫}［3］五［6］嗯{应答声，不会就～一声}
#ai	
p	［1］摆把{～门关拢，话～渠听}［5］拜
pʰ	［2］牌排簰［3］□{～仔：偏厦}［5］派［6］败
m	［2］埋［3］买［6］卖迈
f	［2］槐淮［6］怀
t	［1］呆［3］歹［5］戴带
tʰ	［1］猜钗差{出～}［2］才财裁豺={～狼虎豹}［3］踩彩［5］菜蔡［6］在=寨
n	［3］乃奶
l	［2］遗?{～记：忘记；～尿：遗尿}裸?{打～丁：裸体}［6］耐奈赖
ts	［1］灾栽哉斋［3］宰载{年～}［5］再载{～重}
s	［1］腮鳃筛［2］豺{～狗}柴［3］甩□{～阔：摆阔气}□{散：绳子～到去；～手：放手}［5］帅赛率
k	［1］阶皆街［3］解{～放}［5］介界芥尬疥届戒械{机～}
kʰ	［1］揩［3］楷［6］隑{蹭、擦}
ŋ	［2］涯崖捱{～了淋}［3］□{咬，着渠～了一口}［6］艾
h	［1］胎苔{舌～}［2］台{～湾}抬鞋还{～有}［3］蟹□{～肩：垂肩}［5］态太泰［6］大{～小}解{～不～}解{姓}台{～甫}代贷怠待
∅	［1］埃挨唉［3］矮［5］隘{～口}
#uai	
k	［1］乖［3］拐［5］怪
kʰ	［5］块{一～钱，一～板子}会{～计}快刽{～子手}
∅	［1］歪［2］怀［6］外
#ɔi	
p	［1］杯［5］贝辈背{靠～}
pʰ	［1］胚坯背{～下：背后}［2］陪培赔裴［5］配沛［6］倍佩焙{～干}背{～书}
m	［1］□{（植物）蔫萎：菜～下去了}［2］煤媒梅枚霉［3］毎［6］妹
f	［1］灰恢［3］悔［6］汇
t	［3］㨃{都，通通：禾～着水浸到去}［5］对队碓
tʰ	［1］崔催［3］□{探：手～进去，～鱼（抓鱼）}
n	［6］内
l	［3］儡缕{打死～：打死结}［6］累
ts	［5］□{团块：一～泥；肉～儿：剁烂的肉团}
s	［1］衰［3］□{～田：耕翻和耙田的总称}［5］碎粹{纯～}
k	［1］该［3］改［5］盖
kʰ	［1］开［3］凱愷［5］概溉慨
ŋ	［2］獃{～头～脑}危［6］伪碍魏
h	［1］推［2］孩［3］海腿［5］退蜕{虫～}［6］袋害亥
∅	［1］哀嗳{打～儿}［3］霭蔼［5］爱
#uɔi	
∅	［1］煨［3］猥{顽：去街上～}
#ɛi	
tʰ	［1］在［5］□{疑问词，相当于北京话“哪”}
l	［2］来莱
ts	［1］崽{儿子}
#au	
p	［1］包胞［3］饱［5］豹暴{～发户}爆
pʰ	［1］抛［2］刨{～草：锄草}［5］泡{灯～；碱泡：肥皂泡}炮［6］鲍铇{～儿：木工用具}
m	［2］茅矛{～盾}［3］卯［6］貌
tʰ	［1］抄钞勦{～田：耕田}［2］巢□{（花）萎谢}［3］炒吵［5］觘{牛用脚相顶撞：～角；撑：把衣裳～上去晒}［6］□{kiʔ˥ kiʔ˥～～：服装整齐的样子}
n	［2］挠{六齿～：六齿耙}
l	［1］劳?{看望（病人）}［6］闹
ts	［1］朝昭招正{～月}□{干燥，焦脆：花生好～}［3］蚤爪找沼［5］罩笊{～捞：篾勺}照诏□{～桶：汲井水用的小桶}
tsʰ	［1］超［2］朝潮［6］赵兆肇召
s	［1］烧筲{～箕}［2］韶［3］稍少{多～}［5］少{～年}［6］邵绍［0］梢{竹～：小竹枝儿}
k	［1］交郊跤铰{拿剪刀来～}胶［3］狡绞搅搞［5］教校{～对}珓{占卜用具}较窖酵觉{睏～：睡觉}
kʰ	［1］敲［3］巧{该女儿手好～}［5］□{前额较突出，奔儿头}
ŋ	［1］□{叫：猫儿～春}［2］熬{～糖；～猪膏：熬猪油}［3］咬拗{～断竹子}
h	［2］肴{钳～：酒席上为未到的客人留菜}［5］孝［6］效校{学～}
∅	［1］坳{山～}凹{～鼻公：塌鼻子}［5］拗{～戾}
#iau	
p	［1］标臕彪膘{鱼～}［3］表錶裱婊
pʰ	［1］飘［2］瓢嫖［3］漂{～白}□{～轻：（重量）很轻}［5］票漂{用清水浸泡以去掉味儿：～鱼，～筍}
m	［1］苗{～～仔：（女性）身材苗条漂亮}［2］苗描猫矛{～子：梭标}［3］秒渺藐杪{树～：树梢}［6］庙妙
t	［1］刁雕貂□{提：～篮儿；～水：汲水}□{量词，相当于“朵”：一～花}□{乌～蛇：一种毒蛇}□{～楼：伸出房屋外的晒楼，阳台}□{～～落：水不断滴落}［2］燎辽撩{莫相～：别打闹}镣寮{～仔：简陋的小屋}聊［3］鸟{～儿：鸟雀的总称}了{～结}［5］钓弔吊［6］疗料廖
tʰ	［1］锹［2］□{～猪：母的架子猪}［3］斢{调换}［5］俏［6］噍{嚼：～烂来}
n	［3］□{～身：周身，全身}［6］尿
tɕ	［1］焦椒［3］剿［5］醮{打～}
ɕ	［1］消宵霄硝销萧箫［3］小［5］笑
k	［1］骄娇浇［3］缴饺{～子}［5］叫
kʰ	［2］乔桥荞侨［5］窍翘［6］轿藠{～仔：菜名，根如蒜头}
ŋ	［1］娆{～～捏捏：扭扭捏捏}［2］尧饶{姓；上～市}
