"拼音"	"IPA"	"調號"	"單字"
"z"	"tsɿ"	1	"资姿咨兹滋辎[～重]"
"z"	"tsɿ"	3	"紫姊子梓"
"c"	"tsʰɿ"	1	"雌"
"c"	"tsʰɿ"	3	"此"
"c"	"tsʰɿ"	5	"刺赐次厕-[茅～]"
"z"	"dzɿ"	2	"瓷餈慈磁辞词祠嗣"
"z"	"dzɿ"	6	"是氏自示视似祀[祭～]巳[辰～]字牸[～牛]寺饲-士仕柿事市侍"
"s"	"sɿ"	1	"斯厮撕私师狮司丝思伺[～机]"
"s"	"sɿ"	3	"死"
"s"	"sɿ"	5	"四肆饲="
"zr"	"tʂʅ"	1	"知支枝肢栀[～子花]之芝隻[一～]"
"zr"	"tʂʅ"	3	"纸只[～有]脂旨指止趾址"
"zr"	"tʂʅ"	5	"制[～度]製[～造]智致至志誌痣蛰[惊～]翅"
"zr"	"tʂʅ"	7	"执汁侄质织职蜘[～蛛]脂[又]"
"cr"	"tʂʰʅ"	1	"痴嗤"
"cr"	"tʂʰʅ"	3	"侈[奢～]耻齿匙[钥～]"
"cr"	"tʂʰʅ"	5	"直值殖植置"
"cr"	"tʂʰʅ"	7	"赤斥尺=秩"
"zr"	"dʐʅ"	2	"池驰迟稚持时鲥"
"zr"	"dʐʅ"	6	"豉[豆～]雉痔治柿[又]誓-"
"sr"	"ʂʅ"	1	"施尸[～位]屍[～体]诗"
"sr"	"ʂʅ"	3	"豕矢屎使史驶始"
"sr"	"ʂʅ"	5	"世势试逝誓=式十什[～物]拾[捡～]实食蚀石="
"sr"	"ʂʅ"	7	"湿失室识适释"
"bi"	"pi"	3	"彼婢比[～较]"
"bi"	"pi"	5	"蔽毙闭秘泌痹"
"bi"	"pi"	7	"笔毕必逼碧璧=壁=臂"
"pi"	"pʰi"	1	"批披"
"pi"	"pʰi"	3	"鄙庇"
"pi"	"pʰi"	5	"屁鼻-"
"pi"	"pʰi"	7	"匹弼僻辟劈=譬避"
"bi"	"bi"	2	"皮疲脾琵[～琶]枇[～杷]"
"bi"	"bi"	6	"敝弊币被[～子；～迫]备鼻=篦"
"di"	"ti"	1	"爹低"
"di"	"ti"	3	"底抵"
"di"	"ti"	5	"帝"
"di"	"ti"	7	"的[目～]滴=嫡笛敌"
"ti"	"tʰi"	1	"梯="
"ti"	"tʰi"	3	"体"
"ti"	"tʰi"	5	"替涕剃隶狄籴"
"ti"	"tʰi"	7	"踢剔屉"
"di"	"di"	2	"堤题提=蹄啼"
"di"	"di"	6	"弟第递地"
"ni"	"ni"	2	"犁黎离[～别；～开]篱璃梨厘"
"ni"	"ni"	3	"礼狸李里裏理鲤旅履"
"ni"	"ni"	5	"励丽笠粒栗律率[速～]力歷[～史]曆[日～]"
