汉字	注释	隘子
多		to33
拖		tʰo33
他		tʰa33
駝		tʰo11
羅		lo11
鑼		lo11
搓		tsʰai33
歌		ko33
哥		ko33
鵝		ŋo11
河		ho11
何		ho11
荷	~花	ho11
舵		tʰo11
左		tso31
可		kʰo31
我		ŋo55
大		tʰai31
那		na11
個	一~	ke55
餓		ŋo31
荷	薄~	ho11
賀		ho31
茄		tɕʰio11
波		po33
坡		po55
玻		po55
婆		pʰo11
磨	~刀	mo11
螺		lo11
腡	指紋	lo11
囉		lo11
蓑		so33
梭		so33
唆		so33
戈		ko33
科		kʰo33
棵		ko31
和	~氣	fo11
禾		vo11
倭		vo33
窩		vo33
跛		pe33
朵		to31
妥		tʰo55
惰		tʰo55
裸		/
坐		tsʰo33
鎖		so31
瑣		so31
果		ko31
裹		ko31
顆		ko31
火		fo31
禍		fo31
簸	~箕	po55
破		pʰo55
薄	~荷	pʰok5
磨	石~	mo31
刴		to55
糯		no31
銼		tsʰo55
座		tsʰo33
過		ko55
課		kʰo55
貨		fo55
瘸		tɕʰio11
靴		ɕio33
疤		pa33
爬		pʰa11
麻		ma11
痲		ma11
拿		na33
茶		tsʰa11
搽		tsʰa11
查	山~	tsa33
渣		tsa33
叉		tsʰa33
差	~別	tsʰa33
查	調~	tsʰa11
沙		sa33
紗		sa33
家		ka33
加		ka33
嘉		ka33
牙		ŋa11
芽		ŋa11
蝦	魚~	ha11
霞		ha11
鴉		a33
把		pa31
馬		ma33
假	真~	ka31
雅		ŋa11
下	底~	ha33
廈	~門	ha55
啞		a31
霸		pa55
壩	堤	pa55
怕		pʰa55
帕		pʰa55
耙		pʰa11
罵		ma55
詐		tsa55
榨		tsa55
岔	~路	tsʰa55
假	放~	ka31
嫁		ka55
價		ka55
揢	捕捉拿住	nak5
嚇	~一跳	hak2
下	~降	ha33
夏	春~	ha31
亞		a55
些		ɕia33
邪		ɕia11
斜		tɕʰia11
爹		tia33
遮		tsa33
車	馬~	tsʰa33
蛇		sa11
賒		tsʰa33
爺		ia11
姐		tɕia31
且		tɕʰia31
寫		ɕia31
者		tsa31
扯		tsʰa31
捨		sa31
社		sa55
惹		ɲia31
野		ia31
借		tɕia55
藉		tɕia31
瀉		ɕia55
卸		ɕia31
謝		tɕʰia31
蔗		tsa55
射		sa31
赦		sa31
舍		sa55
夜		ia31
瓜		kua33
蝸		vo33
誇		kʰua33
花		fa33
華	中~	fa11
划		vak5
划		pʰa11
蛙		va33
漥		/
寡		kua31
垮		kʰua33
瓦		ŋa31
跨		kʰua33
化		fa55
華	姓	fa31
鋪	~設	pʰu33
菩		pʰu11
脯		pʰu31
模		mu11
都		tu55
都		tu33
徒		tʰu11
塗		tʰu11
圖		tʰu11
奴		nu11
盧		lu11
爐		lu11
租		tsu33
粗		tsʰu33
蘇		su33
酥		su33
姑		ku33
孤		ku33
箍		kʰu33
枯		ku33
吳		m11
梧		m11
呼		fu33
胡		fu11
湖		fu11
壺		fu11
烏		vu33
污		vu33
補		pu31
譜		pʰu31
普		pʰu31
