壮	ʦuɑŋ	52	5
疮	tsʰuɑŋ	212	1
床	tsʰuɑŋ	24	2
霜	suɑŋ	212	1
章	ʦɑŋ	212	1
厂	ʦʰɑŋ	213	3
唱	ʦʰɑŋ	52	5
伤	sɑŋ	212	1
尝	ʦʰɑŋ	24	2
上	sɑŋ	52	5
让	iɑŋ	52	5
姜	ʨiɑŋ	212	1
响	ɕiɑŋ	213	3
向	ɕiɑŋ	213	3
秧	iɑŋ	212	1
痒	iɑŋ	213	3
样	iɑŋ	52	5
雀	ʨʰyɛ	52	5
削	ɕyɛ	212	1
着	ʦɑu	24	2
勺	sɑu	24	2
弱	yɛ	52	5
脚	ʨiɑu	213	3
约	iɑu	212	1
药	iɑu	52	5
光	kuɑŋ	212	1
慌	xuɑŋ	212	1
黄	xuɑŋ	24	2
郭	kuə	212	1
霍	xuə	52	5
方	fɑŋ	212	1
放	fɑŋ	52	5
纺	fɑŋ	213	3
房	fɑŋ	24	2
棚	pʰəŋ	24	2
争	ʦəŋ	212	1
耕	kəŋ	212	1
麦	mæ	52	5
摘	ʦæ	24	2
策	ʦʰə	52	5
隔	kə	24	2
兵	piŋ	212	1
柄	piŋ	213	3
平	pʰiŋ	24	2
病	piŋ	52	5
明	miŋ	24	2
命	miŋ	52	5
镜	ʨiŋ	52	5
庆	ʨʰiŋ	52	5
迎	iŋ	24	2
影	iŋ	213	3
剧	ʨy	52	5
饼	piŋ	213	3
名	miŋ	24	2
领	liŋ	213	3
井	ʨiŋ	213	3
清	ʨʰiŋ	212	1
静	ʨiŋ	52	5
姓	ɕiŋ	52	5
贞	ʦən	212	1
程	ʦʰəŋ	24	2
整	ʦəŋ	213	3
正	ʦəŋ	52	5
声	səŋ	212	1
城	ʦʰəŋ	24	2
轻	ʨʰiŋ	212	1
赢	iŋ	24	2
积	ʨi	212	1
惜	ɕi	212	1
席	ɕi	24	2
尺	ʦʰɿ	212	1
石	sɿ	24	2
益	i	52	5
瓶	pʰiŋ	24	2
钉	tiŋ	212	1
菊	ʨy	24	2
育	y	52	5
封	fəŋ	212	1
蜂	fəŋ	212	1
缝	fəŋ	24	2
浓	nuŋ	24	2
龙	luŋ	24	2
松	suŋ	212	1
重	ʦuŋ	52	5
肿	ʦuŋ	213	3
种	ʦuŋ	213	3
冲	ʦʰuŋ	212	1
恭	kuŋ	212	1
共	kuŋ	52	5
凶	ɕyŋ	212	1
拥	yŋ	212	1
容	yŋ	24	2
用	yŋ	52	5
绿	ly	52	5
足	ʦu	24	2
烛	ʦu	24	2
赎	su	24	2
属	su	213	3
褥	y	52	5
曲	ʨʰy	213	3
局	ʨy	24	2
玉	y	52	5
浴	y	52	5
蓬	pʰəŋ	24	2
东	tuŋ	212	1
懂	tuŋ	213	3
冻	tuŋ	52	5
通	tʰuŋ	212	1
桶	tʰuŋ	213	3
痛	tʰuŋ	52	5
铜	tʰuŋ	24	2
动	tuŋ	52	5
洞	tuŋ	52	5
聋	luŋ	24	2
弄	nuŋ	52	5
粽	ʦuŋ	52	5
葱	ʦʰuŋ	212	1
送	suŋ	52	5
公	kuŋ	212	1
宫	kuŋ	212	1
穷	ʨʰyŋ	24	2
熊	ɕyŋ	24	2
雄	ɕyŋ	24	2
福	fu	24	2
服	fu	24	2
目	mu	52	5
六	liəu	52	5
宿	ɕiəu	213	3
竹	ʨu	24	2
畜	ʦʰu	52	5
缩	su	24	2
粥	ʦəu	212	1
叔	su	212	1
熟	səu	24	2
肉	iəu	52	5
红	xuŋ	24	2
翁	uəŋ	212	1
木	mu	52	5
读	tu	24	2
鹿	lu	52	5
族	ʦu	24	2
谷	ku	213	3
哭	kʰu	212	1
屋	u	212	1
冬	tuŋ	212	1
统	tʰuŋ	213	3
脓	nuŋ	24	2
宋	suŋ	52	5
毒	tu	24	2
风	fəŋ	212	1
丰	fəŋ	212	1
凤	fəŋ	52	5
梦	məŋ	52	5
中	ʦuŋ	212	1
虫	ʦʰuŋ	24	2
终	ʦuŋ	212	1
充	ʦʰuŋ	212	1
冷	ləŋ	213	3
生	səŋ	212	1
省	səŋ	213	3
更	ʨiŋ	212	1
梗	ʨiŋ	212	1
坑	kʰəŋ	212	1
硬	iŋ	52	5
行	ɕiŋ	24	2
百	pæ	213	3
