// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	tʂ	tʂʰ	ʂ	ʐ	k	kʰ	x	ɣ
@FIN	an
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
p	an	陰平	幫
p	an	陽平上	棒 榜 綁
p	an	去聲	棒{好}
pʰ	an	陰平	肨{腫}
pʰ	an	陽平上	旁
pʰ	an	去聲	胖
m	an	陽平上	茫 莽
m	an	去聲	忙 盲
f	an	陰平	方 芳 雙 霜
f	an	陽平上	妨{~害} 房 仿{效~，~佛} 防 紡 爽
f	an	去聲	放 雙{~生}
v	an	陰平	汪{一~水}
v	an	陽平上	亡 芒{麥~} 王 網
v	an	去聲	忘 望 枉 旺
t	an	陰平	當{~時}
t	an	陽平上	黨
t	an	去聲	蕩 當{作} □{在石上磨刀} 擋{阻}
tʰ	an	陰平	湯
tʰ	an	陽平上	唐 糖 塘 堂 躺
tʰ	an	去聲	燙 趟
n	an	陽平上	齉 囊{浪費：工}
n	an	去聲	攮 □{語氣詞}
l	an	陽平上	廊 狼
l	an	去聲	浪
ts	an	陰平	髒{骯~} 贓{~物}
ts	an	去聲	葬 臟{肝~}
tsʰ	an	陰平	倉
tsʰ	an	陽平上	藏{隱~}
tsʰ	an	去聲	□{串門}
s	an	陰平	喪{婚~}
s	an	陽平上	嗓 搡
s	an	去聲	喪{~失}
tʂ	an	陰平	張 章 □{因急而瘋狂}
tʂ	an	陽平上	長{生~} 漲{~水} 掌
tʂ	an	去聲	仗 丈 杖 賬 脹 漲{大~}
tʂʰ	an	陰平	昌 娼
tʂʰ	an	陽平上	長{~短} 腸 場 常 償{賠~} 廠 敞
tʂʰ	an	去聲	唱
ʂ	an	陰平	商 傷
ʂ	an	陽平上	晌{~午}
ʂ	an	去聲	上{~山，又xan}
ʐ	an	陽平上	穰 瓤 嚷
ʐ	an	去聲	讓 釀{~皮子}
k	an	陰平	綱 鋼 缸
k	an	陽平上	□{踢：~了她一腳} □{鏟：~土} 崗{位置}
k	an	去聲	杠 虹{又xuŋ}
kʰ	an	陰平	康 糠 慷{~慨} 腔{又tɕian}
kʰ	an	陽平上	抗 扛
kʰ	an	去聲	炕
x	an	陰平	夯
x	an	陽平上	行{~列}
x	an	去聲	項{脖~，又ɕian} 巷{~子，又ɕian} 上{又ɕan}
ɣ	an	陽平上	昂 骯
﻿// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	p	pʰ	m	f	v	ts
@FIN	ei
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
p	ei	陰平	杯 碑 背
p	ei	陽平上	輩 背{脊~；~誦} 焙{乾~} 貝
pʰ	ei	陰平	坯
pʰ	ei	陽平上	培 陪 賠 裴
pʰ	ei	去聲	配
m	ei	陽平上	每 梅 煤 媒 美
m	ei	去聲	妹 沒{副詞：~有}
f	ei	陰平	非 飛
f	ei	陽平上	誰 水 肥 匪
f	ei	去聲	肺 廢 費 稅 睡
v	ei	陰平	危 威 圍{~脖} 微
v	ei	陽平上	衛 偽 為{作~} 違 圍 □{挪動} 煨 偉 葦 尾
v	ei	去聲	為{~什麼} 位 魏 胃 未 味 瑞
ts	ei	陽平上	賊
// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	p	pʰ	m	l	ʈ	ʈʰ	ɳ	tɕ	tɕʰ	ɕ	ʑ
@FIN	i
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
p	i	陰平	屄
p	i	陽平上	鼻 秕 比
p	i	去聲	必 壁 蔽 備 被 閉 筆 畢 箅 被{~子，~打} 逼 篦
pʰ	i	陰平	批 披 匹 坯{又pʰei}
pʰ	i	陽平上	避 皮 疲 脾
pʰ	i	去聲	屁 痺{麻~} 劈
m	i	陰平	眯
m	i	陽平上	米 女 糜 眉 迷 謎 篾{竹~子}
m	i	去聲	密 蜜 秘 縻 咪{~~子：嗩吶哨}
l	i	陽平上	離{~別} 梨 犁 粒 黎 鯉 李 里 理 禮 □{割開}
l	i	去聲	利 痢 立 例 麗 力 曆{日~}
ʈ	i	陰平	低
ʈ	i	陽平上	笛 敵 帝 遞 底
ʈ	i	去聲	地 的{~確} 弟 第 滴
ʈʰ	i	陰平	梯
ʈʰ	i	陽平上	體 題 蹄 啼 提 堤 涕
ʈʰ	i	去聲	踢 剔 替 剃 屜 嚏
ɳ	i	陽平上	尼 泥 你
ɳ	i	去聲	逆 膩 擬
tɕ	i	陰平	幾{~乎} 飢 機 譏 雞
tɕ	i	陽平上	技 及 極 級 急 幾{~個} 擠
tɕ	i	去聲	寄 即 吉 髻 集 己 記 忌 繼 擊 激 祭 脊 寂 計 繫 季 積 跡{事~}
tɕʰ	i	陰平	欺
tɕʰ	i	陽平上	妻 奇 騎 企 齊 臍 膝 契 其 棋 期 旗 起
tɕʰ	i	去聲	七 氣 戚 漆 器 緝{~鞋口}
ɕ	i	陰平	西 夕 稀 希 昔
ɕ	i	陽平上	席{~子、主~} 喜 洗
ɕ	i	去聲	戲 吸 息 媳 習 系 襲 細 惜
ʑ	i	陰平	衣 醫
ʑ	i	陽平上	億 憶 宜 移 議 蟻 易 姨 飴 異 依 肄 疑 異 疫 椅 尾{~巴} 已
ʑ	i	去聲	義 意 揖 {一~目} 益
﻿// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	ɳ	l	tɕ	tɕʰ	ɕ	ʑ
@FIN	ian
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
ɳ	ian	陽平上	娘
ɳ	ian	去聲	釀
l	ian	陽平上	涼 糧 梁 粱
l	ian	去聲	晾 亮 輛 量{稱~，數~}
tɕ	ian	陰平	將{~來} 漿{~水} 蔣 姜 薑 韁 江
tɕ	ian	陽平上	講
tɕ	ian	去聲	醬 將{大~} 匠 降 強{倔~}
tɕʰ	ian	陰平	槍 腔{又 kʰan}
tɕʰ	ian	陽平上	牆 祥 詳 強{強盛；勉~} 搶
tɕʰ	ian	去聲	嗆
ɕ	ian	陰平	相{~互} 箱 廂 香 鄉
ɕ	ian	陽平上	享 降{投~} 想 響
ɕ	ian	去聲	相{~貌} 向 象 巷{又 xan}
ʑ	ian	陰平	央 秧 殃
ʑ	ian	陽平上	羊 楊 揚 仰 陽 養 癢
ʑ	ian	去聲	樣 □{撒：把水~掉了}
﻿// HSD Syllabary Data Partition
// 地区：甘肅省-張掖市-臨澤縣-沙河鎮
// 来源：何劍麗《臨澤方言音系記略》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-張掖市-臨澤縣-沙河鎮
@SRC	何劍麗《臨澤方言音系記略》

@INI	p	pʰ	m	ʈ	ʈʰ	ɳ	l	tɕ	tɕʰ	ɕ	ʑ
@FIN	in
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	31

// Initial	Final	Tone	CharList (Space separated)
p	in	陰平	賓 兵 冰
p	in	陽平上	丙 餅 柄
p	in	去聲	病 並{合~，~立}
pʰ	in	陰平	拼{~合}
pʰ	in	陽平上	品 貧 平 評 聘 瓶 萍
pʰ	in	去聲	姘{~頭} 拼{~命}
m	in	陽平上	民 明 名 抿
m	in	去聲	命
ʈ	in	陰平	丁 釘{~子}
ʈ	in	陽平上	頂
ʈ	in	去聲	釘{~住} 定
ʈʰ	in	陰平	聽
ʈʰ	in	陽平上	停 蜓 挺{~好} 庭
ʈʰ	in	去聲	停{等}
ɳ	in	陽平上	寧{安~}
ɳ	in	去聲	硬
l	in	陽平上	林 臨 鄰 吝 靈 零 鈴 檁 領 嶺
l	in	去聲	令 另
tɕ	in	陰平	今 金 襟 巾 斤 筋 荊 驚 精 晶 睛 經{~過，~線} 禁{不~} 更{五~}
tɕ	in	陽平上	緊 警 井
tɕ	in	去聲	禁{~止} 盡 進 近 勁{有~} 竟 敬 鏡 靜 淨 境
tɕʰ	in	陰平	親 清 輕 青 蜻
tɕʰ	in	陽平上	侵 寢 禽 勤 芹 慶 情 晴 頃 請 □{吐}
tɕʰ	in	去聲	□{凝固：~住} 親{~家} □{羞}
ɕ	in	陰平	心 辛 新{興~旺} 星 腥
