IPA	Tone	Tone	字
pa	2	21	八
pʰa	2	21	爬
fa	5	13	化畫話
ta	5	13	大
tʰa	2	21	踏塔
tsa	2	21	雜閘紮
sa	2	21	殺刷
tsʰa	2	21	茶插擦
xa	1	33	蝦
ma	5	13	罵
la	2	21	蠟辣
pa	3	35	把
fa	2	21	華法滑發罰劃
ta	2	21	搭達
tsa	1	33	抓
sa	1	33	沙
ma	3	35	馬
la	1	33	拉
fa	1	33	花
ta	3	35	打
po	2	21	撥薄剝
pʰo	5	13	破
to	2	21	奪
tʰo	2	21	脫托
tso	5	13	坐
so	2	21	索勺
tsʰo	5	13	錯
ko	5	13	個過
kʰo	5	13	課
xo	5	13	貨禍
mo	5	13	磨
ŋo	5	13	餓
lo	2	21	鑼螺落
Ǿo	2	21	惡握
pʰo	2	21	婆潑
to	1	33	多
tʰo	1	33	拖
tso	2	21	作著桌鐲
so	3	35	鎖所
ko	2	21	鴿割各郭角
kʰo	2	21	渴闊霍殼
xo	2	21	河盒鶴
mo	2	21	末
ŋo	2	21	鵝
to	3	35	躲
tso	3	35	左
ko	1	33	歌
kʰo	3	35	可
xo	3	35	火
mo	1	33	摸
ko	3	35	果
pu	5	13	布簿步
pʰu	3	35	譜
fu	5	13	戶付父富副婦縛
tu	5	13	杜
tʰu	2	21	圖
tsu	5	13	做
su	5	13	數豎
tsʰu	2	21	鋤卒出畜
ku	2	21	骨穀
kʰu	5	13	褲
mu	2	21	木目
lu	5	13	路
Ǿu	5	13	霧
pu	1	33	鋪
fu	2	21	壺浮佛福服
tu	2	21	讀毒
tʰu	3	35	土
tsu	2	21	族竹足燭
su	2	21	宿縮叔熟贖屬
tsʰu	1	33	初
ku	1	33	箍
kʰu	2	21	哭
mu	3	35	母
lu	2	21	奴鹿六綠
Ǿu	2	21	吳物屋
fu	3	35	虎府
tu	3	35	賭
tsu	1	33	租
su	3	35	數
ku	3	35	古
kʰu	3	35	苦
Ǿu	1	33	烏
Ǿu	3	35	五武
pi	2	21	鼻
pʰi	5	13	屁
ti	5	13	弟地
tʰi	5	13	剃遞
tɕi	5	13	寄記季劇
ɕi	5	13	系戲
tɕʰi	5	13	契器氣
mi	2	21	眉
ȵi	5	13	遇藝蟻義
li	2	21	犁梨栗
Ǿi	5	13	意
pi	3	35	比
pʰi	2	21	皮
ti	1	33	低
tʰi	1	33	梯
tɕi	1	33	雞饑
ɕi	1	33	西溪希
tɕʰi	2	21	渠騎棋七
mi	3	35	米
ȵi	2	21	泥
li	3	35	呂李
Ǿi	2	21	移姨日一
tɕi	3	35	幾
ɕi	3	35	洗喜
Ǿi	1	33	衣
tɕy	5	13	鋸柱住句
ɕy	5	13	樹
tɕʰy	5	13	去
ȵy	5	13	芋
Ǿy	5	13	裕玉
tɕy	1	33	豬
ɕy	1	33	書輸
tɕʰy	2	21	徐除
ȵy	3	35	女
Ǿy	2	21	如魚余
tɕy	3	35	舉主
ɕy	3	35	鼠許
tɕʰy	1	33	區
Ǿy	3	35	雨
tɕʰy	3	35	取
pai	5	13	拜敗
pʰai	5	13	派
fai	5	13	壞
tai	5	13	袋帶
tʰai	2	21	台
tsai	5	13	菜
sai	5	13	曬
tsʰai	2	21	財柴
kai	5	13	蓋戒
kʰai	1	33	開
xai	5	13	害
mai	5	13	賣
ŋai	5	13	愛
lai	2	21	來
pai	3	35	擺
pʰai	2	21	排牌
fai	2	21	懷
tʰai	1	33	胎
kai	1	33	該街
xai	2	21	鞋還
mai	2	21	埋
ŋai	3	35	矮
kai	3	35	改解
xai	3	35	海蟹
mai	3	35	買
pɑu	5	13	抱
pʰɑu	5	13	炮
tɑu	5	13	道釣
tʰɑu	2	21	桃條
tsɑu	5	13	灶造罩照
sɑu	1	33	燒
tsʰɑu	5	13	糙
tɕɑu	5	13	轎叫
ɕɑu	1	33	簫
tɕʰɑu	2	21	橋
kɑu	1	33	高
kʰɑu	5	13	靠
xɑu	5	13	號
mɑu	5	13	帽
nɑu	5	13	鬧
ŋɑu	2	21	熬
lɑu	5	13	料
Ǿɑu	5	13	要
pɑu	1	33	包
tɑu	1	33	刀
tʰɑu	3	35	討
tsɑu	3	35	早找
sɑu	3	35	嫂
tsʰɑu	2	21	朝
kʰɑu	1	33	敲
xɑu	3	35	好
mɑu	2	21	毛
nɑu	3	35	腦
lɑu	3	35	老
Ǿɑu	2	21	搖
pɑu	3	35	寶飽
tsʰɑu	1	33	抄
mɑu	1	33	貓
Ǿɑu	1	33	腰
tsʰɑu	3	35	草
Ǿɑu	3	35	繞
təu	5	13	豆
tʰəu	2	21	頭
tsəu	1	33	州粥
səu	5	13	瘦壽
tsʰəu	5	13	湊臭
kəu	5	13	夠
kʰəu	3	35	口
xəu	5	13	後厚
ŋəu	3	35	藕
ləu	2	21	樓
təu	3	35	抖
tʰəu	1	33	偷
tsəu	3	35	走
səu	3	35	手
tsʰəu	2	21	綢愁
kəu	1	33	鉤
tsʰəu	1	33	抽
kəu	3	35	狗
pɛ	2	21	北百白
pʰɛ	2	21	拍
fɛ	2	21	活或
tɛ	2	21	得
tʰɛ	2	21	特
tsɛ	2	21	折賊側擇窄摘
sɛ	5	13	射
tsʰɛ	2	21	撤測拆策
kʰɛ	2	21	刻
xɛ	2	21	黑
mɛ	2	21	墨麥
Ǿɛ	5	13	二
sɛ	2	21	蛇舌設虱失塞色式
tsʰɛ	1	33	車
Ǿɛ	2	21	兒
Ǿɛ	3	35	耳
pɛi	5	13	貝幣背被
pʰɛi	5	13	配
fɛi	5	13	會肺費
tɛi	5	13	對
sɛi	5	13	歲
mɛi	5	13	妹
lɛi	5	13	類
pɛi	1	33	杯碑
pʰɛi	2	21	賠
fɛi	2	21	回肥
mɛi	2	21	煤
lɛi	2	21	雷
fɛi	1	33	灰飛
tsɿ	5	13	制字寺治
sɿ	5	13	世四柿事試市
tsʰɿ	5	13	刺
tsɿ	2	21	侄直織
sɿ	2	21	時十實食石
tsʰɿ	2	21	池遲祠尺吃
tsɿ	1	33	知資汁
sɿ	1	33	師絲
tsɿ	3	35	紫紙指子
sɿ	3	35	死使
tɕia	5	13	嫁
ɕia	5	13	下夏
Ǿia	2	21	牙鴨
tɕia	2	21	夾甲
ɕia	2	21	瞎
Ǿia	3	35	啞
tɕia	3	35	假
ɕia	1	33	蝦
tɕio	2	21	腳
ɕio	2	21	學
tɕʰio	2	21	雀
ȵio	2	21	弱
Ǿio	2	21	約藥
tɕiu	2	21	菊局
tɕʰiu	2	21	曲
Ǿiu	2	21	肉育褥浴
piɑu	3	35	表
pʰiɑu	5	13	票
tɕiɑu	1	33	交焦
ɕiɑu	5	13	孝校笑
miɑu	5	13	廟
ȵiɑu	3	35	鳥
ɕiɑu	1	33	削
ɕiɑu	3	35	小
tiəu	1	33	丟
tɕiəu	5	13	舅舊
ɕiəu	5	13	袖
tɕʰiəu	2	21	球
ȵiəu	2	21	牛
liəu	2	21	流
Ǿiəu	5	13	右幼
tɕiəu	3	35	酒九
ɕiəu	1	33	修休
Ǿiəu	2	21	油
Ǿiəu	1	33	優
Ǿiəu	3	35	有
piɛ	2	21	別憋筆逼壁
pʰiɛ	2	21	匹劈
tiɛ	2	21	跌碟笛
tʰiɛ	2	21	貼鐵踢
tɕiɛ	5	13	借
ɕiɛ	5	13	謝
tɕʰiɛ	2	21	茄切缺
kiɛ	2	21	格隔
kʰiɛ	2	21	客
miɛ	2	21	滅篾密
ȵiɛ	2	21	業孽捏
ŋiɛ	2	21	額
liɛ	2	21	立列律力曆
Ǿiɛ	5	13	夜
tɕiɛ	2	21	接集急及吸傑節截結絕決吉橘極積擊
ɕiɛ	2	21	靴斜協習歇雪血息惜席錫
Ǿiɛ	2	21	爺葉入熱月越益
tɕiɛ	3	35	姐
ɕiɛ	3	35	寫
Ǿiɛ	3	35	野
kua	5	13	掛
Ǿua	2	21	襪
kua	2	21	刮
Ǿua	1	33	挖
kua	1	33	瓜
Ǿua	3	35	瓦
kuai	5	13	怪
kʰuai	5	13	快
Ǿuai	5	13	外
kuai	3	35	拐
kʰuai	3	35	塊
Ǿuai	1	33	歪
kuɛ	2	21	國
tsuɛi	5	13	罪醉
suɛi	5	13	碎
tsʰuɛi	2	21	垂錘
kuɛi	5	13	桂櫃貴
kʰuɛi	5	13	跪
Ǿuɛi	5	13	衛位味胃
tsuɛi	1	33	追
suɛi	2	21	隨
tsʰuɛi	1	33	吹
kuɛi	1	33	規龜
kʰuɛi	1	33	虧
Ǿuɛi	2	21	危圍
tsuɛi	3	35	嘴
suɛi	3	35	水
kuɛi	3	35	鬼
Ǿuɛi	3	35	尾
tɕyo	2	21	角
pʰuŋ	2	21	蓬
fuŋ	5	13	鳳縫
tuŋ	5	13	凍動洞
tʰuŋ	5	13	痛
tsuŋ	5	13	重種
suŋ	5	13	送宋
