tsɿ¹知蜘智支枝肢资姿咨滋之芝辎紫膣(女阴)
tsɿ²子(词尾)趾(白，脚~公)指(白，手~公)
tsɿ³纸脂指子(儿子)籽止志(同~)
tsɿ⁵至致置詰痣制志(~气)
tsʰɿ¹雌侈雉稚嗤癡
tsʰɿ²疵池瓷迟慈磁兹辞词祠嗣治(拔毛：~头牲)
tsʰɿ³此恥齿
tsʰɿ⁵刺次厕
tsʰɿ⁶自字恃痔滞饲(给小孩喂饭)
sɿ¹私师狮尸屍伺司思丝斯撕(文)厮驰西使(白，~筷子)
sɿ²时
sɿ³匙死屎使史驶始豉
sɿ⁵赐四肆(胡~：乱来)世势逝试(~验)
sɿ⁶示视寺事试(考~)侍士仕市柿俟誓似巳是自(白：~家)祀豉(又音)
pi¹卑鄙蓖碑陂
pi³比臂
pi⁵闭箅痱庇痹蔽揹
pʰi¹婢被批披彼
pʰi²皮疲脾琵
pʰi⁵屁
pʰi⁶陛备鼻篦敝币弊毙
mi¹咪(又)
mi²靡弥眉楣媚迷谜(文)
mi³米美
mi⁵咪
mi⁶□(眠)
ti¹狸鲤李(~子)
ti²梨
ti³李(姓)
ti⁵□(~去~转，反复来回)
tʰi²堤题提梯啼蹄涕
tʰi³体
tʰi⁵隶(~书)
tʰi⁶地弟(文)第帝隶
ȵi¹你□(微微一笑)
ȵi²宜谊仪尼疑拟沂倪毅
ȵi³耳(白)
ȵi⁵蒂(~哥：植物的蒂，如茄子~)
ȵi⁶义二贰艺
li¹礼哩理
li²离璃黎
li³吏履里理(文)
li⁶荔丽利痢例厉励
tɕi¹饥肌基脐稽
tɕi³几己(文)纪(年~)姊(姑~：小姑子)
tɕi⁵继冀记既际祭计髻济剂
tɕʰi¹欺妻棲荠
tɕʰi²齐奇岐祈祁鳍其期棋旗
tɕʰi³启起
tɕʰi⁵器弃气汽
tɕʰi⁶忌妓技
ɕi¹牺嬉熙希稀奚溪兮
ɕi³喜起(白)
ɕi⁵系戏气(白)
i¹医衣依以矣
i²伊夷姨饴遗肄
i³已
i⁵意亿忆
i⁶易異
pu¹脯(白，身~)□(蹲)
pu³补
pu⁵布怖埠□(喷)
pʰu¹铺簿潽(溢出；~雪：鹅毛雪)
pʰu²菩□(~火：烧火)扶瓠□(一小堆)
pʰu³普谱浦甫辅捕铺
pʰu⁶部步埠
mu¹母拇
mu²模摹
mu⁵暮慕墓募
