id	middeng	middiao	midini	midkaihe	midshe	midyun	单字	音	注释
1	一	平	端	開	果	歌	多	tɔ33	～少
2	一	平	透	開	果	歌	拖	tʰɔ33	～拉机
3	一	平	透	開	果	歌	他	tʰa33	其～
4	一	平	定	開	果	歌	駝	tʰɔ24	骆～
5	一	上	泥	開	果	歌	哪	na21	～吒
6	一	平	來	開	果	歌	羅	lɔ24	姓
7	一	上	精	開	果	歌	左	ʦɔ21	～右
8	一	平	見	開	果	歌	哥	kɔ33	大～，学生～
9	一	上	溪	開	果	歌	可	hɔ21	～能，许～证
10	一	平	疑	開	果	歌	鵝	ŋɔ24	天～
11	一	上	疑	開	果	歌	我	ŋɔ33	自～[文]
12	一	上	疑	開	果	歌	我	ŋai24	涯，第一人称[白]
13	一	去	疑	開	果	歌	餓	ŋɔ21	饥～
14	一	平	匣	開	果	歌	河	hɔ24	黄～
15	一	去	匣	開	果	歌	賀	hɔ52	祝～，～礼
17	三	平	羣	開	果	歌	茄	kʰiɛ24	茄子；番～
18	一	平	幫	合	果	歌	波	pɔ33	风～，～浪
19	一	去	滂	合	果	歌	破	pʰɔ52	～坏
20	一	平	並	合	果	歌	婆	pʰɔ24	老～
21	一	平	明	合	果	歌	磨	mɔ24	石～[名]
22	一	上	端	合	果	歌	朶	tɔ21	一～花，花～
23	一	去	泥	合	果	歌	糯	nɔ21	～米
24	一	上	從	合	果	歌	坐	ʦʰɔ33	～车，～稳
25	一	去	從	合	果	歌	座	ʦʰɔ21	～位，上～
26							簑	sɔ33	棕～，～衣
27	一	上	心	合	果	歌	鎖	sɔ21	～匙
28	一	上	見	合	果	歌	果	kuɔ21	水～
29	一	平	見	合	果	歌	過	kuɔ52	～去，～头
30	一	平	溪	合	果	歌	科	fɔ33	～学，文～
31	一	去	溪	合	果	歌	課	fɔ52	上～
32	一	上	曉	合	果	歌	火	fɔ21	着～，～车
33	一	去	曉	合	果	歌	貨	fɔ52	～车，百～
34	一	平	匣	合	果	歌	禾	vɔ24	割～，～苗
35	三	平	曉	合	果	歌	靴	hɛ33	皮～
36	二	平	幫	開	假	麻	巴	pa33	～掌，～结，～黎
37	二	上	幫	開	假	麻	把	pa21	～握，～脉
38	二	去	幫	開	假	麻	霸	pa52	恶～，～王
39	二	去	滂	開	假	麻	怕	pʰa52	害怕，惊～
40	二	平	並	開	假	麻	爬	pʰa24	～树
41	二	平	明	開	假	麻	麻	ma24	天～，～烦
42	二	上	明	開	假	麻	馬	ma33	骑～，～虎
43	二	平	娘	開	假	麻	拿	na24	～手，推～
44	二	平	澄	開	假	麻	茶	ʦʰa24	～叶
45	二	平	莊	開	假	麻	渣	ʦa33	药～
46	二	去	莊	開	假	麻	炸	ʦa52	～药
47	二	平	莊	開	假	麻	查	ʦʰa24	调～
48	二	去	生	開	假	麻	沙	sa33	泥～，～漠
49	二	平	見	開	假	麻	家	ka33	老～，～庭
50	二	上	見	開	假	麻	假	ka21	真～，～设
51	二	去	見	開	假	麻	架	ka52	书～
52	二	平	疑	開	假	麻	牙	ŋa24	～齿，刷～
53	二	平	曉	開	假	麻	蝦	ha21	鱼～，～公
54	二	上	匣	開	假	麻	下	ha33	～背，底～
55	二	上	匣	開	假	麻	下	ha33	～降，～流
56	二	上	影	開	假	麻	啞	a21	哑巴，～佬
57	三	上	精	開	假	麻	姐	ʨia21	小～[文]
58	三	去	精	開	假	麻	借	ʨia52	～钱
59	三	上	清	開	假	麻	且	ʨʰia21	而～，况～
60	三	上	心	開	假	麻	寫	ɬia21	～字
61	三	平	邪	開	假	麻	斜	ʨʰia24	不正
62	三	去	邪	開	假	麻	謝	ʨʰia21	多～；姓
63	三	平	章	開	假	麻	遮	ʧa33	遮挡[动]；伞[名]
64	三	上	章	開	假	麻	者	ʧa21	记～，作～
66	三	平	昌	開	假	麻	車	ʧʰa33	火～
67	三	上	昌	開	假	麻	扯	ʧʰa21	～开，～烂
68	三	平	船	開	假	麻	蛇	sa24	毒～
69	三	去	船	開	假	麻	射	sa21	发～，～箭
