a	
p	[52]巴芭[31]耙扒{鸡～地}[25]把[33]霸坝坝[22]罢[-45]爸吧{酒～}
pʰ	[52]趴[31]爬琶杷[33]怕
f	[33]化
m	[52]孖{双}[31]麻[13]马码[22]骂[25]嫲{阿～：祖母}[-45]妈麻{出～：出麻疹}
t	[25]打
tʰ	[52]他
l	[31]哪拿[25]乸{雌}揦{抓；一～米：一把米}[13]哪那[33]罅缝隙[-45]□{疤痕}
ts	[52]楂渣揸{抓住}[25]苴{差劲}[33]诈榨炸
tsʰ	[52]差[31]茶查槎[13]□{～豉油：蘸酱油}[-45]叉杈岔
s	[52]痧砂[25]洒[-45]沙{豆～}纱
j	[13]也
k	[52]家加痂嘉[25]假{真～}贾[33]假{放～}架驾嫁稼价
ŋ	[52]□{拃量}□{张开}[31]牙芽衙[13]雅瓦[33]□{一拃长}[22]閕{叉开}枒{霸占}
ʔ	[52]鸦丫桠[25]哑[33]阿{称人词头}亚
h	[52]□{欺负}[31]霞瑕暇[22]厦下夏[-45]虾
kʷ	[25]寡剐[33]挂卦[-45]瓜
kʷh	[52]夸垮跨
w	[52]娃划{～艇}蛙[31]华[22]话[-45]花[25]话{电～}画名词
ai	
p	[25]摆[33]拜[22]败
pʰ	[31]牌排[33]派
f	[33]块
m	[31]埋[13]买[22]卖迈
t	[13]舵[33]大[22]戴带
tʰ	[33]态贷太泰[-45]呔{轮～：轮胎；领～：领带}
l	[52]拉[31]□{软～～：疲惫无力}[13]乃奶[33]癞[22]赖酹{～水：浇水}
ts	[52]斋[33]债[22]寨
tsʰ	[52]猜钗差{出～}搋{揉压}[31]豺柴[25]踩
s	[52]嘥{浪费}[25]玺徙[33]晒
k	[52]皆阶楷佳街[25]解[33]介界芥尬疥届戒
kʰ	[52]□{～来：用来}[25]解{～开}
h	[52]揩{蹭}[31]孩谐鞋嚡{粗糙}[25]骇蟹[22]械懈
ŋ	[31]涯崖捱[25]□{一～柚：一瓣柚子}[22]艾
ʔ	[52]埃挨
kʷ	[52]乖[25]拐[33]怪
w	[52]歪[31]怀槐淮[33]快筷[22]坏
au	
p	[52]包{～住}胞[-45]鲍包{叉烧～}
pʰ	[25]跑[33]豹炮[-45]泡{灯～}
m	[13]卯某亩牡[22]貌
l	[22]闹
ts	[25]爪找[33]罩[22]骤
tsʰ	[52]钞[31]巢
s	[52]梢[25]稍[33]哨
k	[52]郊交[25]饺[33]较
kʰ	[33]靠铐
h	[52]烤酵哮[25]考巧[33]孝[22]效校
ŋ	[31]肴熬[13]藕偶
am	
t	[52]頕{～高头：抬起头}耽担{动词}啗{衔，叼}[31]燂{熏烤}[25]胆[13]淡[33]担{名词}[22]啖淡
tʰ	[52]贪[31]潭谭谈痰[33]探
l	[52]南男蓝篮[25]揽{抱}榄□{舀}[13]览揽{包～}腩[33]□{一拃；跨过}[22]滥缆舰
ts	[25]錾{鱼尾～：一种雕刻工具}[22]暂站[-45]簪
tsʰ	[52]参[31]蚕惭[25]惨篸{筲箕}[33]杉
s	[52]三衫
k	[33]橄尴鉴监{太～}
h	[31]函咸{～丰：清朝年号}衔[22]陷
ŋ	[31]岩□{说}[33]□{趴}[-45]啱{对；～～：刚才}
an	
p	[52]斑[31]□{爬上}[25]扳板版[33]□{棒打}[22]扮办[-45]班
pʰ	[52]颁攀[22]盼
f	[52]翻番[31]凡帆藩烦矾繁[25]反玩[33]瓣泛贩[22]范犯饭[-25]犯{犯人}
m	[52]扳[31]蛮[13]晚[22]慢馒鳗漫万蔓
t	[52]单丹[33]诞旦{元～}[22]但[25]弹{子～}蛋旦{花～}
tʰ	[52]滩摊坍瘫[31]檀坛弹{～琴}[25]疸坦毯[33]炭叹
l	[52]躝爬[31]难{困～}兰拦栏[13]懒[33]□{蚊子叮咬起的肿块}[22]难{～民}烂
ts	[33]赞[22]绽赚[25]栈
tsʰ	[52]餐{一～饭}[31]残□{黄鳝身上粘液}[25]产铲{名词}[33]灿[-45]餐{早～}
s	[52]珊删山闩[25]散[33]散疝篡
k	[52]艰[25]简[33]间{～隔}[-45]间{中～}
h	[52]悭{节省}[22]限
ŋ	[31]颜[22]雁
ʔ	[33]晏{晚，迟}
kʷ	[52]鳏关
w	[52]弯{～腰}[31]顽环[25]玩[22]幻患宦[-45]弯{转～}
aŋ	
p	[31]棚[13]棒[22]湴{河边烂泥}□{一～人：一群人}
pʰ	[52]烹抨{赶走}[31]彭膨蟛{～蜞：河边的小螃蟹}
m	[52]繃{～眼：蒙眼睛}[31]盲[13]猛[22]孟[25]蜢{蚂蚱}
l	[13]冷[-45]□{毛线}
ts	[52]争踭{脚跟}[22]□{填塞}
tsʰ	[52]撑[33]掁{～眼：光线刺眼}[-45]橙铛{瓦～：沙锅}
s	[52]生牲[25]省□{刷洗}[-45]甥生{后～仔：小伙子}
j	[33]□{蹬}
k	[52]更{打～}耕[-45]经{经丝}
h	[52]行{～路：走路}[-45]坑
ŋ	[22]硬
ʔ	[52]罂
kʷh	[25]梗{菜～}[33]□{门栓}[-45]眶
w	[31]横
ap	
t	[3]答搭[2]踏沓{摞(动词和量词)}
tʰ	[3]塔塌錔{套上；锁上}
l	[3]擸{收拾}[2]立纳腊蜡衲{棉～：棉袄}
ts	[3]扎{～马：站马步}[2]集习袭铡杂闸
k	[3]胛
kʰ	[2]及
h	[3]荚{老黄菜叶}[2]狭峡侠
ʔ	[3]鸭
at	
f	[3]法发
t	[3]笪□{摔}[2]达
l	[3]瘌□{烫}□{虾～：水田里的螃蟹}[2]捺辣列{量词}
ts	[3]扎{～醒：警醒}轧[2]甴{曱～：蟑螂}
tsʰ	[3]擦察刷[25]獭{水～}
s	[3]撒萨杀煞
k	[2]曱{～甴：蟑螂}
ʔ	[3]压押
ak	
p	[5]北[3]帕百柏伯[2]白卜{萝～}
pʰ	[3]泊拍珀魄𢫦{用力打}
m	[5]擘{用力掰开}[3]擘{张开}[2]墨默陌麦脉
l	[3]肋{打赤～：赤膊}[2]肋勒簕{植物的刺}
ts	[3]窄责笮{压}[2]泽择宅摘
tsʰ	[5]测[3]拆策册[2]贼
s	[3]㿭{爆～：皮肤爆裂}□{一～苹果：一块苹果}
k	[3]格革隔
h	[5]刻克黑[3]客吓
ŋ	[5]呃{骗}[2]逆{～风}额{～头}[25]额{名～}
ʔ	[5]握扼[3]轭
kʷ	[2]掴{扇(耳光)}
w	[5]□{鞭打}[3]礊{抽打}[2]或惑划{计～}画{动词}
ɐi	
p	[52]跛[33]蔽闭[22]弊{糟糕}币毙陛[25]稗
pʰ	[52]㓟{削}批{~发}[-45]批{螺丝~：起子}
f	[52]徽[33]废肺费沸[22]吠
m	[52]迷谜[13]米咪{勿}[-45]咪{麦克风}
t	[52]低[31]蹄啼[25]底抵[33]帝蒂[22]逮弟第递隶
tʰ	[52]梯[31]堤题提[25]体睇{看}[13]娣[33]替涕剃[-45]锑{~煲：铝锅}
l	[31]泥犁黎[25]戾{~转身：侧身}[13]礼[22]例厉励丽荔䚕{以目示意}
ts	[52]挤剂□{放置}[25]仔{儿子}[33]祭际制济[22]滞
tsʰ	[52]妻栖[31]齐[33]砌
s	[52]筛{动词}西犀[25]洗驶使{~用}[33]世势细婿[22]誓逝[-45]筛{筛子}
j	[13]□{质次}
k	[52]鸡[33]计继髻[25]偈{倾~：聊天}
kʰ	[52]稽溪[25]启[33]契
h	[52]㞓{女阴}[31]奚兮[25]喺{在}[22]系係{是}
ŋ	[31]倪危[13]蚁[22]艺伪魏毅
ʔ	[25]矮[33]翳{憋闷}曀{闷热}
kʷ	[52]圭闺归[25]诡轨鬼[33]桂癸季贵[-45]龟
kʷh	[52]盔规窥[31]携葵[13]愧逵[22]跪柜
w	[52]挥辉威[31]桅为维惟遗唯违围[25]毁萎委[13]讳伟苇纬[33]秽畏慰[22]卫惠慧为胃谓位{~置}[-25]位{座位}
ɐu	
f	[31]浮[25]剖否
m	[52]踎{蹲}[31]谋[13]冇{没有}[22]茂贸谬[-45]□{口水～：围嘴儿}
t	[52]兜[31]头[25]斗{一～米}抖陡纠[33]斗{争～}窦{狗～：狗窝}[22]逗豆{黄～}□{老～：老爸}□{发吽～：发呆}[-25]豆{地～：花生}
tʰ	[52]偷[31]投[25]敨{～气：呼吸}[33]透
l	[52]嬲恼火[31]流刘留榴硫琉楼{～房}[25]纽扭朽[13]柳[33]□{～口：结巴}[22]漏陋馏[-45]褛{大衣}[-25]楼{起～：盖楼}
ts	[52]邹周舟州洲[25]走酒韭[33]奏昼皱咒[22]就袖纣宙[-45]鳅{泥蜘～：泥鳅}
tsʰ	[52]秋抽[31]囚泅稠筹酬[25]丑[33]凑臭[-45]筹{执～：抓阄}[-25]绸
s	[52]修羞收[31]愁仇[25]搜手首守[33]嗽秀绣宿锈瘦兽[22]受寿授售
j	[52]丘休忧优幽[31]柔揉尤邮由油游犹[13]有友酉诱[33]幼[22]又右佑[25]柚釉油{名词}
k	[52]㞗{男阴}[25]狗苟九久[33]够垢灸救究柩□{疲累}[22]旧□{团，块(量词)}
kʰ	[52]沟鸠□{掺和}[31]求球跔{单脚跪}[13]舅[33]构购叩扣寇
h	[52]□{狗～：狗吠}[31]侯喉猴[25]口[13]厚[22]后候
ŋ	[52]勾[31]牛[22]吽{发～：发呆}[-45]钩
ʔ	[52]欧区瓯殴[25]呕[33]沤怄
ɐm	
t	[13]氹{土坑，穴}[25]抌{捶打}[33]髧{垂下}[22]□{跺(脚)}
tʰ	[33]□{哄骗}
l	[31]林淋临腍{软}[25]恁{想，思考}[13]凛[33]□{倒塌}[22]□{草～：草丛；摞起}
ts	[52]针斟砧金{～瓜：南瓜}[25]枕□{趼子}[33]浸枕[22]□{一～风：一阵风}[-45]针{打～}
tsʰ	[52]侵[31]寻沉噆{吟～：唠叨}[25]寝
s	[52]心森参{人～深}[31]岑[25]沈审婶糁{撒}[33]渗[22]甚
j	[52]钦阴音{～乐}[31]淫檐[25]饮[33]□{～田：浸田}[22]赁壬任[-45]音{声～}阴{刘海儿}
k	[52]今[25]锦[33]禁□{～饭：喂饭}[22]㩒{按下}[-45]金
kʰ	[52]禁{耐用}[31]琴禽擒蟾{～蜍}[25]搇{盖}[-45]襟{老～：连襟}
h	[22]冚{全，一总}
ŋ	[31]吟{～噆：唠叨}□{掏(口袋)}[22]□{发～话：聊天}
ʔ	[25]揞{捂}
ɐn	
p	[52]彬宾槟滨奔[25]禀品[33]粪殡鬓捹{～辫：编辫子}[22]笨
pʰ	[31]贫频[13]笨{厚}[33]喷
f	[52]分芬纷勋熏荤[31]焚坟[25]粉[13]愤[33]奋训[22]忿份
m	[31]民文纹闻[13]闽悯敏吻刎[22]问[-45]蚊文{一～：一元钱}
t	[33]扽{颠簸，抖动}[25]墩
tʰ	[52]吞[31]□{发抖}[33]褪{～后：后退}
l	[25]撚{摆弄}[13]□{溢出}
ts	[52]珍真[33]镇振震[22]阵
tsʰ	[52]亲[31]陈尘[25]诊疹[33]亲{～家}衬
s	[52]辛新薪身申伸[31]神娠辰晨臣[25]□{薯类硬化}[33]擤趁{～墟：赶集}呻{怨叹}[22]肾慎
j	[52]恩因姻欣殷[31]人仁寅[25]忍隐[-25]引瘾[33]印[22]纴刃韧衅孕
k	[52]跟根斤筋[25]紧仅谨[22]近[-45]巾
kʰ	[31]勤芹[13]近胗{鸡～}
h	[31]痕[25]恳垦很[33]睏{～觉：睡觉}[22]恨欿{渴望}
ŋ	[52]奀{瘦小}[31]龈银[33]扤{抖动}[22]韧
kʷ	[52]均钧君军[25]滚[33]棍[22]郡
kʷh	[52]昆坤[31]群裙[25]捆菌滚[33]困
w	[52]昏婚温瘟晕[31]魂匀云耘{～草：薅草}[25]稳揾{寻找}[13]允尹韵[33]榅{关禁}[22]浑混运
ɐŋ	
p	[52]崩[22]凭{倚靠}
pʰ	[31]朋凭
m	[31]萌盟[33]掹{拔}
t	[52]登瞪[31]藤[25]等戥[13]□{用物体顶门}[33]凳[22]邓[-45]灯
tʰ	[31]腾誊疼[25]等
l	[31]能[33]掕{牵连；串}
ts	[52]曾{姓}增憎睁[22]赠[-45]僧筝甑
tsʰ	[31]曾{～经}层
k	[52]更{～换}庚[25]耿梗{一定}[33]更{～加}[-45]羹{汤匙}
kʰ	[25]骾{噎}[33]劥{酒或烟味道浓烈}
h	[52]亨[31]恒衡行{～为}[25]肯[22]杏行{品～}幸
ŋ	[25]哽{硌；梗塞}[-45]莺
kʷ	[52]轰
kʷh	[33]纊{绊}
w	[31]弘宏
ɐp	
t	[5]耷{垂低}[2]䂿{捶打}□{跌落}
l	[5]颗笠粒□{凹}[2]𣲷{潮湿；拖拉}
ts	[5]执汁□{一～：一撮}
tsʰ	[5]缉辑
s	[5]湿[2]十拾
j	[5]泣揖[2]入
k	[5]急
kʰ	[5]级给吸□{倒扣}
h	[5]恰洽瞌{打盹}□{欺负}
ŋ	[5]噏{说}[2]岌{摇晃}
ʔ	[5]罨{心～：郁闷；捂，敷(药)}
ɐt	
p	[5]笔毕不□{舀}[2]拔弼
pʰ	[5]匹
f	[5]忽[2]乏伐筏罚佛
m	[5]乜{什么}[2]袜密蜜物勿
t	[5]咄{呵斥}[2]凸突
l	[5]甩{脱，掉}
ts	[5]质[2]疾[25]侄{侄子}
tsʰ	[5]七漆[2]□{男阴}
s	[5]膝虱失室[2]实
j	[5]一[2]日逸
k	[5]吉讫桔㓤{刺扎}
kʰ	[5]咳[2]趌{撅起}
h	[5]乞[2]辖核
kʷ	[5]骨橘
kʷh	[5]掘倔
w	[5]朏{屎～：屁股}屈熏郁[2]核
ɐk	
t	[5]得德[2]特
ts	[5]则鲫侧
s	[5]塞
ɛ	
pʰ	[13]□{歪}[-45]□{扑克}
m	[52]孭{背}[25]乜{歪斜}[-45]咩{羊～仔：羊羔}
t	[52]爹
l	[33]□{～手～脚：手脚瘸，不灵活}
ts	[52]遮[25]姐者□{胳肢使人痒}[33]借藉蔗[22]谢[-45]遮{雨伞}
tsʰ	[52]车奢[31]邪斜[25]且笡{斜}扯
ss	[52]些赊车{水～}[31]蛇[25]写舍{～得}[13]社[33]泻卸赦舍{宿～}[22]射麝
j	[25]惹[13]嘢{东西}[22]廿{“二十”合音}
k	[33]嘅{的}
kʰ	[31]骑[25]茄
h	[31]耶爷[13]野[33]□{扒}[22]夜
ʔ	[52]□{食～饭：吃了饭}
w	[25]搲{抓}
ɛu	
p	[52]包{动词}[31]刨薸{浮～：微形漂浮植物}[25]饱[33]爆[-45]包{～心：聘金}
pʰ	[52]抛[33]泡炮{～仗：鞭炮}
m	[52]□{松～：松针}[31]茅锚苗矛[-45]猫
t	[52]刁[22]掉{扔}调
l	[52]捞[31]撩[-45]捞{～篱：笊篱}
tsʰ	[52]抄{牛角～人}[31]䩌{皱}[25]炒吵[-45]筲{～箕}
s	[33]哨{～牙：龅牙}
k	[52]交胶茭娇[25]绞狡搅搞饺[33]铰教校较窖滘觉{睏～：睡觉}臼
h	[52]敲[31]姣{风骚}
ŋ	[52]挠搔[31]淆[13]咬[-45]挠{带齿耙子}□{饭～：锅巴}
ʔ	[52]吆{～你去：喊你去}[25]拗[33]坳
ɛm	
l	[25]□{舔}
ts	[25]眨斩
tsʰ	[13]□{扎(刺儿)}[33]□{～草：锄草}
k	[52]监[25]减
h	[31]鹹嫌[33]喊[22]馅
ɛn	
p	[25]扁[-45]边
m	[31]眠{躺}
tʰ	[25]□{打仰～：仰泳}
l	[25]撚{～碎：捻碎}[33]□{渴望}□{肥腻}
ts	[25]盏
s	[52]闩{关(门窗)}山
k	[52]奸间{房～}[25]拣锏茧碱枧{肥皂}[33]见[-45]间{下～：厨房}
h	[52]掀[31]闲[25]蚬{河中小贝壳}[22]苋
ŋ	[31]研{碾}颜[13]眼
ʔ	[52]烟[25]躽{挺起(身躯)}
kʷ	[52]冠{鸡～}[33]惯
w	[31]还[13]挽{～水：提水}鲩{～鱼：草鱼}[-45]湾弯[25]环{耳～}
ɛŋ	
p	[31]平{便宜}[25]饼[33]柄[22]病
m	[22]命[31]□{“未曾”合音}[25]名{名字}
t	[52]钉{动词}[13]艇[33]掟{投掷}[25]顶{头～}[22]订碇{地方}[-45]钉{名词}[-25]碇{地方}
tʰ	[52]听[-45]厅
l	[31]灵{灵验}□{闪～：闪电}零{十～个：十个略多}[13]岭领{衫～}□{鱼篓}[33]靓{漂亮，美丽}[22]□{一～田：一丘田}
ts	[52]精{精明}[25]井[33]正[22]净郑
tsʰ	[25]请[-45]青{篾～：篾的青皮}
s	[52]声腥[25]醒[-45]星{天～：星星}
k	[52]惊[25]颈[33]镜
kʰ	[22]儆{～惜：爱惜}
h	[52]轻[31]赢
ɛp	
t	[2]叠
l	[3]□{躲藏}
tsʰ	[3]插[2]煠{清水煮}
s	[3]□{河蚌}楔{掖}
j	[3]□{褶皱}□{挽(袖子)}□{招(手)}
k	[3]甲{脚趾～}
kʰ	[5]笈{皮～：皮箱}[2]夹{动词}[25]夹{夹子}
h	[3]呷{啜，连喝带吃}□{闭上}□{捏}
ŋ	[3]挟{～餸：夹菜}
ɛt	
p	[3]八
m	[2]篾
l	[3]綟{绳结}
ts	[5]□{掐，胳肢}□{溅}
k	[5]□{掐}[2]□{～水：趟水}
ŋ	[3]胺{尿臊}
kʷ	[3]刮
w	[2]滑猾[3]挖[25]挖{耳～：耳挖子}
ɛk	
pʰ	[3]劈[2]擗{扔}□{犁～：犁镜}
t	[3]趯{快跑}[2]籴[25]笛
tʰ	[3]踢
l	[5]叻{聪明能干}[2]沥
ts	[3]脊隻炙
tsʰ	[2]席{席子}
s	[3]赤尺锡惜{疼爱}□{冰冷}[2]石
kʰ	[2]剧屐
en	
p	[52]冰兵[25]丙秉[22]并{～且}
pʰ	[52]平坪评瓶屏萍[22]并{合～}聘拼
f	[22]揈{甩，挥}
m	[52]鸣明名[13]皿铭[22]命
t	[52]丁汀[25]顶鼎[33]椗{蒂}[22]定
tʰ	[31]停廷庭蜓亭{～台}[13]挺[25]亭{凉～}
l	[52]拎[31]陵凌菱宁铃伶翎灵[13]岭领[22]令另拧{～转：扭转}
ts	[52]征蒸贞侦正{～月}征精[25]整[33]证症正政[22]静靖[-45]晶睛
tsʰ	[52]称{～呼}清蜻青[31]绳澄惩情晴呈程成{两～}埕{坛子}[25]拯逞[33]称{～心如意}秤[22]剩
s	[52]升星[31]乘承丞成城诚绳[25]省{反～}[33]胜性姓圣[22]盛[-45]猩
j	[52]应{～该}英婴缨[31]仍迎盈形型刑营萤[25]影映[22]认
k	[52]京荆经惊[25]境景警竟[33]敬径[22]劲竞[-45]荆{布～子：中药}
kʰ	[52]倾[31]□{澄清；沉淀；食油凝固}擎鲸琼[25]顷
h	[52]兴馨兄[31]蝇{牛～}[33]㷫{热；烤}[22]兴庆[-45]卿蝇{乌～：苍蝇}
ʔ	[52]鹰鹦[33]应{答应}[-45]樱
w	[52]荣[13]永[22]泳咏颖
et	
p	[5]迫碧璧[3]壁
pʰ	[5]僻辟霹
m	[5]搣{剥，掰}[2]觅
t	[5]的嫡[2]滴敌狄
tʰ	[5]剔
l	[5]匿搦{拎，提}[2]力溺{～尿：把尿}历
ts	[5]即织职积迹绩蟋{～蟀}[2]蛰直值殖植籍藉席{主～}夕寂
tsʰ	[5]斥戚
s	[5]悉息熄媳色啬识式饰惜{可～}昔适释析[2]食蚀
j	[5]忆亿抑益□{体垢}[2]亦译易液腋疫役
k	[5]击激戟[2]极
h	[2]翼
kʷh	[5]□{绊}
w	[2]域
i	
p	[52]蓖碑卑悲[31]皮[25]比畀{给}[13]被{被子}[33]臂秘泌庇痹[22]被{～动}避备鼻[-25]篦髀{大腿}
pʰ	[52]披丕[31]疲脾琵枇[25]彼鄙[13]婢[33]譬屁
f	[52]非飞翡[31]肥[25]匪[-45]妃
m	[52]眯渳□{抿}[31]糜弥眉楣微[13]美尾[22]媚寐未味□{～水：潜水}[-45]䤍{浮于液体面上的泡沫}
t	[22]地[-45]啲{一点儿}□{～度：这里}
l	[31]离篱尼梨厘狸[13]履理鲤李{姓}里艃{帆}[22]哩{我～：我们}腻利痢吏脷{舌头}[25]李{李子}里{三元～}[-45]璃{玻～}痢{瘌～}
