汉字	ipa	声母	韵母	声调
罷	pa31	p	a	陽去31:
爬	pʰa231	pʰ	a	陽平231:
怕	pʰa42	pʰ	a	陰去42:
巴	ɓa54	ɓ	a	陰平54:
爸	ɓa54	ɓ	a	陰平54:
疤	ɓa54	ɓ	a	陰平54:
把	ɓa44	ɓ	a	陰上44:
霸	ɓa42	ɓ	a	陰去42:
欛	ɓa42	ɓ	a	陰去42:
壩	ɓa42	ɓ	a	陰去42:
垻	ɓa42	ɓ	a	陰去42:
媽	ma54	m	a	陰平54:
麻	ma231	m	a	陽平231:
馬	ma24	m	a	陽上24:
罵	ma31	m	a	陽去31:
花	fa54	f	a	陰平54:
化	fa42	f	a	陰去42:
划	wa54	w	a	陰平54:
他	tʰa54	tʰ	a	陰平54:
它	tʰa54	tʰ	a	陰平54:
打	ɗa44	ɗ	a	陰上44:
拿	na231	n	a	陽平231:
挪	na231	n	a	陽平231:
威	na231	n	a	陽平231:
拉	la54	l	a	陰平54:
拉	la44	l	a	陰上44:
渣	tʃa54	tʃ	a	陰平54:
乍	tʃa42	tʃ	a	陰去42:
詐	tʃa42	tʃ	a	陰去42:
榨	tʃa42	tʃ	a	陰去42:
炸	tʃa42	tʃ	a	陰去42:
差	tʃʰa54	tʃʰ	a	陰平54:
錯	tʃʰa54	tʃʰ	a	陰平54:
參	tʃʰa54	tʃʰ	a	陰平54:
岔	tʃʰa54	tʃʰ	a	陰平54:
叉	tʃʰa54	tʃʰ	a	陰平54:
查	tʃʰa231	tʃʰ	a	陽平231:
茶	tʃʰa231	tʃʰ	a	陽平231:
搽	tʃʰa231	tʃʰ	a	陽平231:
岔	tʃʰa42	tʃʰ	a	陰去42:
沙	ʃa54	ʃ	a	陰平54:
紗	ʃa54	ʃ	a	陰平54:
灑	ʃa44	ʃ	a	陰上44:
耍	ʃa44	ʃ	a	陰上44:
家	ka54	k	a	陰平54:
加	ka54	k	a	陰平54:
嘉	ka54	k	a	陰平54:
假	ka44	k	a	陰上44:
賈	ka44	k	a	陰上44:
架	ka42	k	a	陰去42:
嫁	ka42	k	a	陰去42:
駕	ka42	k	a	陰去42:
稼	ka42	k	a	陰去42:
價	ka42	k	a	陰去42:
假	ka42	k	a	陰去42:
卡	kʰa54	kʰ	a	陰平54:
卡	kʰa42	kʰ	a	陰去42:
牙	ŋa231	ŋ	a	陽平231:
芽	ŋa231	ŋ	a	陽平231:
雅	ŋa24	ŋ	a	陽上24:
蝦	ha54	h	a	陰平54:
鴉	ha54	h	a	陰平54:
片	ha54	h	a	陰平54:
霞	ha231	h	a	陽平231:
下	ha24	h	a	陽上24:
下	ha31	h	a	陽去31:
瓜	kwa54	kw	a	陰平54:
寡	kwa44	kw	a	陰上44:
掛	kwa42	kw	a	陰去42:
卦	kwa42	kw	a	陰去42:
誇	kʰwa54	kʰw	a	陰平54:
垮	kʰwa54	kʰw	a	陰平54:
跨	kʰwa54	kʰw	a	陰平54:
鴉	øa54	ø	a	陰平54:
亞	øa44	ø	a	陰上44:
啞	øa44	ø	a	陰上44:
坡	pʰo	pʰ	o	陰平
棵	pʰo	pʰ	o	陰平
頗	pʰo	pʰ	o	陰平
婆	pʰo	pʰ	o	陽平
頗	pʰo	pʰ	o	陰上
破	pʰo	pʰ	o	陰去
玻	ɓo	ɓ	o	陰平
波	ɓo	ɓ	o	陰平
播	ɓo	ɓ	o	陰去
簸	ɓo	ɓ	o	陰去
摩	mo	m	o	陰平
魔	mo	m	o	陰平
摸	mo	m	o	陰平
磨	mo	m	o	陽平
磨	mo	m	o	陽去
臥	mo	m	o	陽去
科	fo	f	o	陰平
火	fo	f	o	陰上
伙	fo	f	o	陰上
貨	fo	f	o	陰去
課	fo	f	o	陰去
窩	wo	w	o	陰平
和	wo	w	o	陽平
禾	wo	w	o	陽平
禍	wo	w	o	陽上
左	to	t	o	陰去
惰	to	t	o	陽去
座	to	t	o	陽去
拖	tʰo	tʰ	o	陰平
搓	tʰo	tʰ	o	陰平
駝	tʰo	tʰ	o	陽平
馱	tʰo	tʰ	o	陽平
妥	tʰo	tʰ	o	陰上
錯	tʰo	tʰ	o	陰去
多	ɗo	ɗ	o	陰平
朵	ɗo	ɗ	o	陰上
躲	ɗo	ɗ	o	陰上
挪	no	n	o	陽平
糯	no	n	o	陽去
挪	no	n	o	陽去
動	no	n	o	陽去
羅	lo	l	o	陽平
鑼	lo	l	o	陽平
騾	lo	l	o	陽平
籮	lo	l	o	陽平
棵	lo	l	o	陰上
顆	lo	l	o	陰上
裹	lo	l	o	陰上
蓑	θo	θ	o	陰平
