汉字	音标	注释
多	təu1	
他	/	
驼	dəu2b	
大	dəu5	
哪	la3	
罗	ləu2a	
搓	tsʰəu1	
哥	kəu1	
个	kəu5	
可	kʰəu3	
鹅	ŋəu2a	
我	a3	
饿	ŋəu5	
河	ɣəu2b	
贺	ɣəu5	
波	pəu1	
跛	pəu3	
破	pʰəu5	
婆	bəu2b	
磨	məu2a	
朵	təu3	
妥	tʰəu1	
糯	ləu5	
脶	ləu2a	
坐	hzəu4	
座	hzəu5	
锁	səu3	
锅	kəu1	
果	kəu3	
过	kəu5	
棵	kʰəu1	
课	kʰəu5	
讹	ŋəu2a	
火	xəu3	
货	xəu5	
和	ɣəu2b	
祸	ɣəu4	
窝	/	
靴	ɕʯa1	
巴	pua1	
把	pua3	
霸	pua5	
怕	pʰua5	
爬	bua2b	
耙	bua2b	
麻	mua2a	
马	mua3	
茶	hzua2b	
渣	tsua1	
榨	tsua5	
叉	tsʰua1	
岔	tshua5	
查	hzua2b	
沙	sua1	
家	kua1	
假	tɕia3	真假
价	tɕia5	
牙	ŋua2a	
虾	xua1	
下	ɣua4	底下
下	ɣua5	下降
丫	/	
哑	ŋua3	
亚	ŋua5	
姐	tɕia3	
借	tɕia5	
且	tɕʰia3	
些	sɿ1	
写	ɕia3	
泻	ɕia5	
邪	hʑia2b	
爹	tia1	
遮	/	
者	tʂyi3	
蔗	tsa5	
车	tsʰua1	
扯	tɕʰia3	
蛇	hzua2b	
射	hʑia5	
赊	sua1	
舍	sua3	
舍	sua5	
惹	ȵia3	
也	iɛ3	
夜	ia5	
瓜	kua1	
寡	kua3	
侉	kʰua3	
瓦	ŋua3	
花	xua1	
化	xua5	
划	ɣua2b	
补	pu3	
布	pu5	
铺	pʰu1	
普	pʰu3	
铺	pʰu5	
菩	bu2b	
部	bu4	
步	bu5	
模	mu2a	
墓	mu5	
都	tu1	
赌	tu3	
土	tʰu3	
兔	tʰu5	
图	du2b	
肚	du4	
度	du5	
奴	lu2a	
努	lu3	
怒	lu5	
芦	lu2a	
鲁	lu3	
路	lu5	
租	tsu1	
祖	tsu3	
做	tsu5	
粗	tsʰu1	
醋	tsʰu5	
苏	su1	
素	su5	
姑	ku1	
古	ku3	
固	ku5	
枯	kʰu1	
苦	kʰu3	
库	kʰu5	
吴	u2a	
蜈	ʯ2a	
五	u3	
误	u5	
呼	xu1	
虎	xu3	
戽	xu5	
胡	ɣu2b	
户	ɣu4	
护	ɣu5	
乌	u1	
女	ȵʯ3	
庐	lu2a	
驴	lu2a	
吕	ȵʯ3	
滤	ȵʯ5	
蛆	tɕʰʯ1	
絮	ɕʯ5	
徐	hʑʯ2b	
绪	hʑʯ4	
猪	tʂʯ1	
着	tʂʯ5	
除	hʐʯ2b	
阻	tsu3	
初	tsʰu1	
楚	tsʰu3	
锄	hʐʯ2b	
助	hʐʯ5	
梳	ʂʯ1	
所	səu3	
疏	ʂʯ5	
杵	tʂʰʯ3	
处	tʂʰʯ5	
书	ʂʯ1	
鼠	tʂʰʯ3	
暑	ʂʯ3	
恕	ʂʯ5	
如	ʯ2a	
居	tʂʯ1	
举	tʂʯ3	
锯	tʂʯ5	
去	tsʰɿ5	
渠	/	
拒	tʂʯ5	
鱼	ȵʯ2a	
语	ʯ3	
虚	ɕʯ1	
於	ʯ1	
余	ʯ2a	
与	ʯ3	
预	ʯ5	
夫	fu1	
斧	fu3	
敷	fu1	
抚	fu3	
赴	fu5	
符	hvu2b	
父	hvu4	
附	hvu5	
诬	/	
舞	u3	
雾	u5	
缕	lʯ3	
屡	lʯ5	
趋	/	
取	/	
趣	/	
聚	/	
须	ʂʯ1	
蛛	tʂʯ1	
拄	tʂʯ3	
驻	tʂʯ5	
厨	/	
柱	hʐʯ3	
住	hʐʯ5	
雏	/	
数	su3	
数	su5	
朱	tʂʯ1	
主	tʂʯ3	
蛀	tʂʯ5	
枢	tʂʰʯ1	
输	ʂʯ1	
输	ʂʯ5	
殊	hʐʯ2b	
竖	hʂʯ3	
树	hʂʯ5	
拘	tʂʯ1	
矩	tʂʯ3	
句	tʂʯ5	
