漢字	拼音	IPA	注釋										
洗	soi3	soi˥˨											
細	soi5	soi˨˩˨											
婿	sai5	sai˨˩˨											
雞	koi1	koi˧˧											
稽	ki1	ki˧˧											
計	koi5	koi˨˩˨											
繼	ki5	ki˨˩˨											
繋	ki5	ki˨˩˨											
溪	khoi1	kʰoi˧˧											
啟	khi3	kʰi˥˨											
契	khoi5	kʰoi˨˩˨											
倪	goi6	ᵑɡoi˧˩	白，姓氏										
倪	ngi2	ŋi˥˥											
詣	tsi3	tɕi˥˨											
兮	hi1	hi˧˧											
奚	hi2	hi˥˥											
係	hi4	hi˧˥											
繋	ki5	ki˨˩˨											
縊	i5	i˨˩˨											
縊	ek7	ek˨	又										
杯	pue1	pue˧˧											
背	pue5	pue˨˩˨											
輩	pue5	pue˨˩˨											
背	pi5	pi˨˩˨											
坯	phue1	pʰue˧˧											
胚	phue1	pʰue˧˧											
配	phue5	pʰue˨˩˨											
培	pue2	pue˥˥											
陪	pue2	pue˥˥											
賠	pue2	pue˥˥											
倍	pue4	pue˧˥											
佩	pue4	pue˧˥											
媒	bue2	ᵐbue˥˥											
枚	bue2	ᵐbue˥˥											
玫	bung2	ᵐbuŋ˥˥											
娒	bue2	ᵐbue˥˥											
梅	bue2	ᵐbue˥˥											
每	mue3	mue˥˨											
昧	mue4	mue˧˥											
妹	mue4	mue˧˥											
妹	mue6	mue˧˩	又										
堆	tu1	tu˧˧											
堆	tui1	tui˧˧	文										
對	tui5	tui˨˩˨											
推	thui1	tʰui˧˧											
腿	thui3	tʰui˥˨											
退	tho5	tʰo˨˩˨											
頽	thue2	tʰue˥˥											
隊	tui6	tui˧˩											
餒	nue3	nue˥˨											
餒	nui3	nui˥˨	文										
內	lai4	lai˧˥	訓“裏”										
雷	lui2	lui˥˥											
儡	lui3	lui˥˨											
催	tshui1	tsʰui˧˧											
崔	tshui1	tsʰui˧˧											
罪	tsue4	tsue˧˥											
碎	tshui5	tsʰui˨˩˨											
瑰	kui5	kui˨˩˨											
盔	khue1	kʰue˧˧											
魁	khue1	kʰue˧˧											
魁	khui2	kʰui˥˥	又										
詼	khue1	kʰue˧˧											
詼	hui1	hui˧˧	又										
恢	khue1	kʰue˧˧											
傀	khui2	kʰui˥˥											
塊	ko5	ko˨˩˨											
桅	ui2	ui˥˥											
桅	ngui2	ŋui˥˥	又										
灰	hu1	hu˧˧	俗										
灰	hue1	hue˧˧											
灰	hui1	hui˧˧	文										
悔	hue5	hue˨˩˨											
賄	hue4	hue˧˥											
晦	hue5	hue˨˩˨											
回	hue2	hue˥˥											
匯	hue4	hue˧˥											
潰	khui4	kʰui˧˥											
煨	ui1	ui˧˧											
兌	tue4	tue˧˥											
最	tsue5	tsue˨˩˨											
劊	kuai5	kuai˨˩˨											
會	oi4	oi˧˥	俗										
會	hue4	hue˧˥											
外	gua6	ᵑɡua˧˩											
會	kuai5	kuai˨˩˨											
繪	kuai5	kuai˨˩˨											
乖	kuai1	kuai˧˧											
怪	kuai5	kuai˨˩˨											
蒯	kuai5	kuai˨˩˨											
淮	huai2	huai˥˥											
懷	huai2	huai˥˥											
槐	huai2	huai˥˥											
壞	huai4	huai˧˥											
拐	kuai3	kuai˥˨											
掛	kua5	kua˨˩˨											
掛	kue5	kue˨˩˨	又										
掛	khua5	kʰua˨˩˨	又										
卦	kue5	kue˨˩˨											
卦	kua5	kua˨˩˨	文										
歪	uai1	uai˧˧											
畫	ue2	ue˥˥											
畫	ue6	ue˧˩											
蛙	ua1	ua˧˧											
快	khuai5	kʰuai˨˩˨											
筷	khuai5	kʰuai˨˩˨											
話	ue6	ue˧˩											
脆	tshui3	tsʰui˥˨											
脆	tshui5	tsʰui˨˩˨	又										
歲	hue5	hue˨˩˨											
歲	sue5	sue˨˩˨	文										
彗	hui4	hui˧˥											
綴	tue5	tue˨˩˨											
綴	tshuak7	tsʰuak˨											
贅	tsui4	tsui˧˥											
稅	sue5	sue˨˩˨											
說	sue5	sue˨˩˨											
鱖	kui5	kui˨˩˨											
衛	ue4	ue˧˥											
鋭	dzue4	dzue˧˥											
廢	hui5	hui˨˩˨											
肺	hui5	hui˨˩˨											
吠	bui6	ᵐbui˧˩											
吠	pui6	pui˧˩	又										
穢	ue5	ue˨˩˨											
圭	kui1	kui˧˧											
閨	kui1	kui˧˧											
桂	kui5	kui˨˩˨											
奎	kui1	kui˧˧											
攜	hi4	hi˧˥											
慧	hui4	hui˧˥											
惠	hui4	hui˧˥											
卑	pui1	pui˧˧											
碑	pi1	pi˧˧											
裨	pi1	pi˧˧											
裨	pi2	pi˥˥	又										
彼	hi3	hi˥˨	俗										
彼	pi3	pi˥˨											
俾	pi3	pi˥˨											
臂	pi5	pi˨˩˨											
披	phi1	pʰi˧˧											
譬	phi5	pʰi˨˩˨											
皮	phue2	pʰue˥˥											
疲	phi2	pʰi˥˥											
脾	pi2	pi˥˥											
脾	phi2	pʰi˥˥	又										
被	phue4	pʰue˧˥											
被	pi4	pi˧˥	文										
婢	pi4	pi˧˥											
避	pi6	pi˧˩											
糜	mue2	mue˥˥											
糜	mi2	mi˥˥											
彌	mi3	mi˥˨											
彌	ni2	ni˥˥	又，阿~陀佛										
彌	ni3	ni˥˨	又，~補										
靡	mi3	mi˥˨											
籬	li2	li˥˥											
離	li2	li˥˥											
璃	li2	li˥˥											
荔	noi2	noi˥˥											
荔	li4	li˧˥	文										
紫	tsi3	tɕi˥˨											
雌	tshur2	tsʰɯ˥˥											
此	tshur3	tsʰɯ˥˨											
刺	tshi5	tɕʰi˨˩˨	白										
刺	tshng5	tsʰŋ˨˩˨	文										
刺	tshiah7	tɕʰiaʔ˨	又白										
疵	tshur2	tsʰɯ˥˥											
斯	sur1	sɯ˧˧											
撕	thi5	tʰi˨˩˨	俗										
撕	li5	li˨˩˨	俗										
撕	sur1	sɯ˧˧											
廝	sur1	sɯ˧˧											
璽	dzur3	dzɯ˥˨											
徙	sua3	sua˥˨											
賜	sur5	sɯ˨˩˨											
知	tsai1	tsai˧˧											
知	ti1	ti˧˧	文										
智	ti5	ti˨˩˨											
池	ti2	ti˥˥											
馳	tshi2	tɕʰi˥˥											
篩	thai1	tʰai˧˧	俗										
篩	sai1	sai˧˧	文										
支	ki3	ki˥˨											
支	tsi1	tɕi˧˧	文										
枝	ki1	ki˧˧											
肢	tsinn1	tɕi ̃˧˧											
只	tsi3	tɕi˥˨											
只	tsiah7	tɕiaʔ˨	又										
紙	tsua3	tsua˥˨											
侈	tshi3	tɕʰi˥˨											
施	si1	ɕi˧˧											
豕	si3	ɕi˥˨											
啻	thi5	tʰi˨˩˨											
翅	tshi5	tɕʰi˨˩˨											
匙	si2	ɕi˥˥											
是	si4	ɕi˧˥											
氏	si4	ɕi˧˥											
豉	si6	ɕi˧˩											
兒	dzi2	dzi˥˥											
爾	dzur3	dzɯ˥˨											
羈	ki4	ki˧˥											
寄	kia5	kia˨˩˨											
企	khia4	kʰia˧˥	俗										
企	ki4	ki˧˥	文										
奇	khia1	kʰia˧˧	白										
奇	ki1	ki˧˧	又										
奇	khi2	kʰi˥˥	文										
騎	khia2	kʰia˥˥											
岐	kia4	kia˧˥	~山（汕頭地名）										
岐	ki2	ki˥˥	文										
技	ki4	ki˧˥											
妓	ki4	ki˧˥											
宜	ngi2	ŋi˥˥											
儀	ngi2	ŋi˥˥											
蟻	ngi4	ŋi˧˥	文										
義	ngi4	ŋi˧˥											
議	ngi3	ŋi˥˨											
誼	ngi5	ŋi˨˩˨											
誼	ngi2	ŋi˥˥	又										
犧	hi1	hi˧˧											
戲	hi5	hi˨˩˨											
戲	hi1	hi˧˧	又										
椅	inn3	i ̃˥˨											
移	i2	i˥˥											
易	koi6	koi˧˩	訓										
易	goi6	ᵑɡoi˧˩	又										
易	i4	i˧˥	文										
悲	pui1	pui˧˧											
鄙	phi3	pʰi˥˨											
比	pi3	pi˥˨											
庇	pi5	pi˨˩˨											
痹	pi5	pi˨˩˨											
泌	pi5	pi˨˩˨											
秘	pi5	pi˨˩˨											
秘	pi2	pi˥˥	又，便~										
轡	pi5	pi˨˩˨											
丕	phi1	pʰi˧˧											
丕	phi3	pʰi˥˨	俗										
屁	phui5	pʰui˨˩˨											
琵	pi2	pi˥˥											
牝	phing3	pʰiŋ˥˨											
備	pi4	pi˧˥											
鼻	phinn6	pʰi ̃˧˩											
篦	pi5	pi˨˩˨											
眉	bai2	ᵐbai˥˥											
楣	bai2	ᵐbai˥˥											
黴	bue2	ᵐbue˥˥											
美	mui3	mui˥˨											
媚	mi4	mi˧˥											
寐	mue4	mue˧˥											
地	ti6	ti˧˩											
尼	ni2	ni˥˥											
呢	ni2	ni˥˥											
呢	ni1	ni˧˧	又										
呢	ne1	ne˧˧	又										
呢	ni6	ni˧˩	又										
膩	dzur4	dzɯ˧˥											
梨	lai2	lai˥˥											
履	li3	li˥˨											
利	lai6	lai˧˩											
利	li4	li˧˥	文										
痢	li4	li˧˥											
咨	tsur1	tsɯ˧˧											
資	tsur1	tsɯ˧˧											
姿	tsur1	tsɯ˧˧											
姊	tsi3	tɕi˥˨											
次	tshur5	tsʰɯ˨˩˨											
瓷	tshur2	tsʰɯ˥˥											
糍	tsinn2	tɕi ̃˥˥											
糍	tshur2	tsʰɯ˥˥	文										
自	tsur6	tsɯ˧˩											
私	sai1	sai˧˧	白，走~										
私	si1	si˧˧	又白，家~										
私	sur1	sɯ˧˧											
死	si3	ɕi˥˨											
四	si5	ɕi˨˩˨											
肆	sur5	sɯ˨˩˨											
致	ti5	ti˨˩˨											
遲	tshi2	tɕʰi˥˥											
雉	ti4	ti˧˥											
稚	tsinn3	tɕi ̃˥˨											
師	sai1	sai˧˧											
師	sur1	sɯ˧˧	文										
獅	sai1	sai˧˧											
脂	tsinn1	tɕi ̃˧˧											
指	ki3	ki˥˨											
指	tsoinn3	tsoi ̃˥˨	又										
指	tsng3	tsŋ˥˨	又										
指	tsi3	tɕi˥˨	文										
旨	tsi3	tɕi˥˨											
至	tsi5	tɕi˨˩˨											
鴟	tshi1	tɕʰi˧˧											
示	si6	ɕi˧˩											
屍	si1	ɕi˧˧											
鈰	tshi4	tɕʰi˧˥											
矢	si3	ɕi˥˨											
屎	sai3	sai˥˨											
嗜	tshi1	tɕʰi˧˧	俗										
嗜	si6	ɕi˧˩											
視	si4	ɕi˧˥											
二	no4	no˧˥	訓“兩”										
二	dzi4	dzi˧˥											
貳	no4	no˧˥											
貳	dzur4	dzɯ˧˥											
肌	ki1	ki˧˧											
飢	ki1	ki˧˧											
幾	ki1	ki˧˧											
幾	kui3	kui˥˨											
幾	kua3	kua˥˨	又										
幾	ki3	ki˥˨	文										
冀	ki4	ki˧˥											
器	khi5	kʰi˨˩˨											
棄	khi5	kʰi˨˩˨											
祈	khi2	kʰi˥˥											
鰭	tshi1	tɕʰi˧˧	白										
鰭	khi2	kʰi˥˥											
耆	khi2	kʰi˥˥											
伊	i1	i˧˧											
懿	i5	i˨˩˨											
夷	i2	i˥˥											
姨	ai2	ai˥˥	俗										
姨	i2	i˥˥											
肄	i5	i˨˩˨											
你	lur3	lɯ˥˨	訓“汝”										
你	ni3	ni˥˨											
厘	li2	li˥˥											
狸	lai2	lai˥˥	白，狐~										
狸	li2	li˥˥											
李	li3	li˥˨											
理	li3	li˥˨											
裏	lai4	lai˧˥											
裏	li3	li˥˨											
鯉	li3	li˥˨											
吏	li6	li˧˩											
茲	tsur1	tsɯ˧˧											
茲	tshur2	tsʰɯ˥˥	龜兹										
滋	tsur1	tsɯ˧˧											
子	tsi3	tɕi˥˨											
子	tsur3	tsɯ˥˨	文										
梓	tsur3	tsɯ˥˨											
磁	tshur2	tsʰɯ˥˥											
慈	tshur2	tsʰɯ˥˥											
字	dzi6	dzi˧˩											
字	dzur4	dzɯ˧˥	文										
司	si1	ɕi˧˧											
絲	si1	ɕi˧˧											
思	sur1	sɯ˧˧											
伺	sur4	sɯ˧˥											
辭	sur2	sɯ˥˥											
詞	sur2	sɯ˥˥											
祠	sur2	sɯ˥˥											
巳	tsi4	tɕi˧˥											
祀	sur4	sɯ˧˥											
似	sur4	sɯ˧˥											
寺	dzi6	dzi˧˩											
嗣	sur4	sɯ˧˥											
嗣	sur2	sɯ˥˥	又										
飼	tshi6	tɕʰi˧˩											
置	ti5	ti˨˩˨											
癡	tshi1	tɕʰi˧˧											
恥	tshi5	tɕʰi˨˩˨											
持	thi2	tʰi˥˥											
峙	si4	ɕi˧˥											
峙	sur4	sɯ˧˥	文										
痔	thi4	tʰi˧˥											
治	ti6	ti˧˩											
輜	tsur1	tsɯ˧˧											
廁	tshe5	tsʰe˨˩˨											
俟	sur4	sɯ˧˥											
士	sur4	sɯ˧˥											
事	sur6	sɯ˧˩											
史	sai3	sai˥˨											
史	sur3	sɯ˥˨											
使	sai3	sai˥˨											
使	sai5	sai˨˩˨											
駛	sai3	sai˥˨											
芝	tsur1	tsɯ˧˧											
之	tsur1	tsɯ˧˧											
址	tsi3	tɕi˥˨											
止	tsi3	tɕi˥˨											
趾	tsoinn3	tsoi ̃˥˨	白										
趾	tsi3	tɕi˥˨											
志	tsi5	tɕi˨˩˨											
痣	ki5	ki˨˩˨											
嗤	tshi1	tɕʰi˧˧											
齒	khi3	kʰi˥˨											
齒	tshi3	tɕʰi˥˨	文										
詩	si1	ɕi˧˧											
始	si3	ɕi˥˨											
試	tshi5	tɕʰi˨˩˨											
時	si2	ɕi˥˥											
鰣	si2	ɕi˥˥											
市	tshi4	tɕʰi˧˥											
恃	si4	ɕi˧˥											
侍	si4	ɕi˧˥											
而	dzur2	dzɯ˥˥											
耳	hinn4	hi ̃˧˥											
耳	dzur3	dzɯ˥˨											
餌	dzi6	dzi˧˩											
餌	dzur3	dzɯ˥˨	文										
基	ki1	ki˧˧											
姬	ki1	ki˧˧											
己	ki3	ki˥˨											
紀	ki3	ki˥˨											
記	ki5	ki˨˩˨											
欺	khi1	kʰi˧˧											
起	khi3	kʰi˥˨											
杞	khi3	kʰi˥˨											
棋	ki2	ki˥˥											
其	khi2	kʰi˥˥											
旗	ki2	ki˥˥											
期	khi2	kʰi˥˥											
忌	ki4	ki˧˥											
疑	gi2	ᵑɡi˥˥											
擬	ngi3	ŋi˥˨											
擬	ni3	ni˥˨	新										
嘻	hi1	hi˧˧											
嬉	hi1	hi˧˧											
禧	hi1	hi˧˧											
熙	hi1	hi˧˧											
喜	hi3	hi˥˨											
醫	ui1	ui˧˧											
意	i5	i˨˩˨											
矣	i6	i˧˩											
怡	i2	i˥˥											
貽	i2	i˥˥											
已	inn3	i ̃˥˨											
以	inn3	i ̃˥˨											
異	i4	i˧˥											
機	kui1	kui˧˧	白										
機	ki1	ki˧˧											
鉿	hah7	haʔ˨											
譏	ki1	ki˧˧											
饑	ki1	ki˧˧											
幾	ki1	ki˧˧											
幾	ki3	ki˥˨	又										
既	ki5	ki˨˩˨											
豈	kha3	kʰa˥˨											
豈	khi3	kʰi˥˨	文										
氣	khui5	kʰui˨˩˨											
氣	khi5	kʰi˨˩˨											
汽	khi5	kʰi˨˩˨											
祈	khi2	kʰi˥˥											
沂	khi2	kʰi˥˥											
毅	ngi2	ŋi˥˥											
毅	ngi4	ŋi˧˥	又										
希	hi1	hi˧˧											
稀	hi1	hi˧˧											
依	i1	i˧˧											
衣	ui1	ui˧˧	白										
衣	i1	i˧˧											
累	lui4	lui˧˥											
嘴	tshui6	tsʰui˧˩											
髓	tshue3	tsʰue˥˨											
隨	sui2	sui˥˥											
揣	tshue6	tsʰue˧˩											
揣	tshui3	tsʰui˥˨											
吹	tshue1	tsʰue˧˧											
炊	tshue1	tsʰue˧˧											
垂	sui2	sui˥˥											
睡	sui4	sui˧˥											
瑞	sui4	sui˧˥											
蕊	lui3	lui˥˨											
規	kui1	kui˧˧											
詭	kui3	kui˥˨											
虧	khui1	kʰui˧˧											
窺	khui1	kʰui˧˧											
跪	kui4	kui˧˥											
危	ngui2	ŋui˥˥											
危	mui2	mui˥˥	又										
偽	ngui3	ŋui˥˨											
麾	hui1	hui˧˧											
毀	huinn3	hui ̃˥˨											
委	ui3	ui˥˨											
喂	ui3	ui˥˨											
為	ui2	ui˥˥											
為	ui6	ui˧˩	又										
壘	lui3	lui˥˨											
類	lui6	lui˧˩											
淚	lui4	lui˧˥											
醉	tsui5	tsui˨˩˨											
翠	tshui5	tsʰui˨˩˨											
悴	tshui5	tsʰui˨˩˨											
雖	sui1	sui˧˧											
粹	tsue4	tsue˧˥											
粹	tshui5	tsʰui˨˩˨	文										
遂	sui2	sui˥˥											
隧	sui2	sui˥˥											
穗	sui6	sui˧˩											
追	tui1	tui˧˧											
槌	thui2	tʰui˥˥											
錘	thui2	tʰui˥˥											
墜	tui4	tui˧˥											
衰	sue1	sue˧˧											
摔	suk7	suk˨											
帥	sue5	sue˨˩˨											
率	suk7	suk˨											
率	luk8	luk˥˦											
錐	tsui1	tsui˧˧											
水	tsui3	tsui˥˨											
水	sui3	sui˥˨	文										
誰	sui2	sui˥˥											
龜	ku1	ku˧˧											
龜	kiu1	kiu˧˧	俗										
龜	kung1	kuŋ˧˧	又										
龜	khiu1	kʰiu˧˧	又，~兹										
軌	khui3	kʰui˥˨											
癸	kui5	kui˨˩˨											
晷	khui3	kʰui˥˨											
愧	khui4	kʰui˧˥											
季	khui5	kʰui˨˩˨											
葵	kue2	kue˥˥	白										
葵	khui2	kʰui˥˥											
逵	khui2	kʰui˥˥											
夔	khui2	kʰui˥˥											
揆	khui2	kʰui˥˥											
櫃	kuinn6	kui ̃˧˩											
櫃	kur3	kɯ˥˨	又										
帷	dzui2	dzui˥˥											
位	ui6	ui˧˩											
維	dzui2	dzui˥˥											
遺	dzui2	dzui˥˥											
唯	dzui2	dzui˥˥											
唯	ui2	ui˥˥	文										
飛	pue1	pue˧˧											
飛	hui1	hui˧˧	文										
非	hui1	hui˧˧											
匪	hui3	hui˥˨											
沸	hui5	hui˨˩˨											
痱	bui5	ᵐbui˨˩˨											
妃	hui1	hui˧˧											
菲	hui1	hui˧˧											
費	hui5	hui˨˩˨											
肥	pui22	pui˥˥˥˥											
薇	mui2	mui˥˥											
微	mui2	mui˥˥											
尾	bue3	ᵐbue˥˨											
尾	mai3	mai˥˨	又										
未	bue6	ᵐbue˧˩											
未	bi6	ᵐbi˧˩	文										
味	bi6	ᵐbi˧˩											
歸	kui1	kui˧˧											
鬼	kui3	kui˥˨											
貴	kui5	kui˨˩˨											
巍	ngui2	ŋui˥˥											
魏	gui6	ᵑɡui˧˩											
揮	hui1	hui˧˧											
輝	hui1	hui˧˧											
徽	hui1	hui˧˧											
諱	hui3	hui˥˨											
諱	hui5	hui˨˩˨	又										
卉	hui3	hui˥˨											
威	ui1	ui˧˧											
畏	uinn5	ui ̃˨˩˨											
慰	ue5	ue˨˩˨											
違	ui2	ui˥˥											
圍	ui2	ui˥˥											
葦	ui3	ui˥˨											
偉	ui3	ui˥˨											
緯	hui6	hui˧˩	白										
緯	ui3	ui˥˨											
胃	ui6	ui˧˩											
謂	ui4	ui˧˥											
蝟	ui3	ui˥˨											
蝟	ui5	ui˨˩˨	又										
匯	hui4	hui˧˥											
褒	pau1	pau˧˧											
保	po3	po˥˨											
保	pau3	pau˥˨	文										
堡	pau3	pau˥˨											
寶	po3	po˥˨											
報	po5	po˨˩˨											
袍	phau2	pʰau˥˥											
抱	pho4	pʰo˧˥											
暴	pau4	pau˧˥											
毛	mo2	mo˥˥											
冒	mau4	mau˧˥											
帽	bo6	ᵐbo˧˩											
刀	to1	to˧˧											
叨	tau1	tau˧˧											
倒	to3	to˥˨											
倒	tau3	tau˥˨	文										
島	tau3	tau˥˨											
禱	tau3	tau˥˨											
到	kau5	kau˨˩˨	俗										
到	tau5	tau˨˩˨											
倒	to5	to˨˩˨											
掏	thau1	tʰau˧˧											
掏	thau2	tʰau˥˥	又										
滔	thau1	tʰau˧˧											
討	tho3	tʰo˥˨											
套	thau5	tʰau˨˩˨											
桃	to2	to˥˥	楊~										
桃	tho2	tʰo˥˥	又										
逃	to2	to˥˥											
陶	thau2	tʰau˥˥											
萄	tho2	tʰo˥˥											
濤	thiu2	tʰiu˥˥											
稻	tiu4	tiu˧˥											
稻	tau4	tau˧˥											
道	tau4	tau˧˥											
導	tau4	tau˧˥											
盜	tau4	tau˧˥											
腦	lo3	lo˥˨	白，頭~										
腦	nau3	nau˥˨											
惱	lo3	lo˥˨	白，煩~										
惱	nau3	nau˥˨											
勞	lau2	lau˥˥											
撈	lio2	lio˥˥	白										
撈	liau2	liau˥˥	又白										
撈	lau2	lau˥˥	文										
撈	lau1	lau˧˧	又										
嘮	lau2	lau˥˥											
牢	lo2	lo˥˥											
老	lau4	lau˧˥											
老	lau3	lau˥˨	文										
遭	tsau1	tsau˧˧											
糟	tsau1	tsau˧˧											
早	tsa3	tsa˥˨											
早	tsau3	tsau˥˨	文，~起										
棗	tso3	tso˥˨											
蚤	tsau3	tsau˥˨											
澡	tshau5	tsʰau˨˩˨											
躁	tshau5	tsʰau˨˩˨											
灶	tsau5	tsau˨˩˨											
操	tshau1	tsʰau˧˧											
操	tshau5	tsʰau˨˩˨	又，曹~										
造	tsau4	tsau˧˥											
草	tsho3	tsʰo˥˨											
草	tshau3	tsʰau˥˨	文										
曹	tshau2	tsʰau˥˥											
皂	tsau4	tsau˧˥											
騷	sau1	sau˧˧											
臊	tsho1	tsʰo˧˧											
臊	tshau5	tsʰau˨˩˨	又										
掃	sau5	sau˨˩˨											
嫂	so3	so˥˨											
掃	sau5	sau˨˩˨											
高	ko1	ko˧˧	白，姓氏										
高	kau1	kau˧˧											
膏	ko1	ko˧˧											
羔	ko1	ko˧˧											
糕	ko1	ko˧˧											
稿	ko3	ko˥˨											
告	ko5	ko˨˩˨											
告	kau5	kau˨˩˨	文										
考	khau3	kʰau˥˨											
烤	khau3	kʰau˥˨											
靠	kou4	kou˧˥	俗										
靠	khau5	kʰau˨˩˨											
犒	ko3	ko˥˨											
犒	khau5	kʰau˨˩˨	文										
熬	ngau2	ŋau˥˥											
傲	ngau4	ŋau˧˥											
蒿	o1	o˧˧											
蒿	hau1	hau˧˧	文										
薅	khau1	kʰau˧˧											
薅	hau1	hau˧˧	文										
好	ho3	ho˥˨											
好	hoh7	hoʔ˨	又										
好	hau3	hau˥˨	文										
好	haunn5	hau ̃˨˩˨	又文										
耗	ho5	ho˨˩˨											
豪	hau2	hau˥˥											
毫	hau2	hau˥˥											
號	hau1	hau˧˧											
浩	hau1	hau˧˧											
號	ho6	ho˧˩											
爊	ngau2	ŋau˥˥											
襖	o3	o˥˨											
奧	o5	o˨˩˨											
懊	o5	o˨˩˨	白										
懊	au5	au˨˩˨											
包	pau1	pau˧˧											
胞	pau1	pau˧˧											
飽	pa3	pa˥˨											
豹	pa5	pa˨˩˨											
爆	pau4	pau˧˥											
泡	pha4	pʰa˧˥											
拋	phau1	pʰau˧˧											
炮	phau5	pʰau˨˩˨											
跑	phau3	pʰau˥˨											
鮑	pau4	pau˧˥											
刨	phau2	pʰau˥˥											
刨	phau1	pʰau˧˧	又										
茅	mau2	mau˥˥											
貓	ngiau1	ŋiau˧˧											
卯	bau3	ᵐbau˥˨											
貌	mau4	mau˧˥											
鐃	nau2	nau˥˥											
撓	niau1	niau˧˧	白										
撓	nau2	nau˥˥											
鬧	nau4	nau˧˥											
罩	ta5	ta˨˩˨	又										
罩	tsau4	tsau˧˥											
抓	tsua1	tsua˧˧											
爪	dziau3	dziau˥˨											
找	tau3	tau˥˨											
笊	tsau3	tsau˥˨											
抄	tshau1	tsʰau˧˧											
鈔	tshau1	tsʰau˧˧											
炒	tsha3	tsʰa˥˨											
吵	tshau1	tsʰau˧˧											
巢	tshau2	tsʰau˥˥											
梢	sau1	sau˧˧											
梢	sau5	sau˨˩˨											
梢	siau1	ɕiau˧˧											
捎	siau1	ɕiau˧˧											
稍	tshiau1	tɕʰiau˧˧											
稍	tshiau3	tɕʰiau˥˨											
潲	sau5	sau˨˩˨											
交	kau1	kau˧˧											
郊	kau1	kau˧˧											
膠	ka1	ka˧˧											
絞	ka3	ka˥˨											
狡	kau3	kau˥˨											
鉸	ka1	ka˧˧											
搞	kau3	kau˥˨											
攪	ka3	ka˥˨											
攪	kiau3	kiau˥˨	文										
教	ka5	ka˨˩˨											
較	ka5	ka˨˩˨											
酵	ka5	ka˨˩˨											
窖	ka5	ka˨˩˨											
校	ka5	ka˨˩˨											
覺	kak7	kak˨											
敲	kha5	kʰa˨˩˨											
敲	khiau1	kʰiau˧˧											
巧	kha3	kʰa˥˨											
咬	ka4	ka˧˥											
孝	hau5	hau˨˩˨											
肴	ngau2	ŋau˥˥											
淆	ngau2	ŋau˥˥											
效	hau6	hau˧˩											
校	hau4	hau˧˥											
坳	au1	au˧˧											
拗	au3	au˥˨											
飈	pio1	pio˧˧											
標	pio1	pio˧˧											
標	phiau1	pʰiau˧˧	文										
錶	pio1	pio˧˧											
表	piau3	piau˥˨											
飄	phiau1	pʰiau˧˧											
漂	phiau1	pʰiau˧˧	又										
漂	pio5	pio˨˩˨											
漂	phiau5	pʰiau˨˩˨	文										
票	phio5	pʰio˨˩˨											
嫖	phiau2	pʰiau˥˥											
瓢	phio4	pʰio˧˥											
鰾	phio4	pʰio˧˥											
描	bio2	ᵐbio˥˥	白										
描	miau2	miau˥˥											
苗	bio2	ᵐbio˥˥	白，蝦~										
苗	miau2	miau˥˥											
藐	miau3	miau˥˨											
渺	miau3	miau˥˨											
秒	miau3	miau˥˨											
廟	bio6	ᵐbio˧˩											
妙	miau4	miau˧˥											
燎	liau2	liau˥˥											
焦	tsiau1	tɕiau˧˧											
椒	tsio1	tɕio˧˧											
剿	tshau1	tsʰau˧˧	俗										
鍬	tshiau1	tɕʰiau˧˧											
鍬	tshiu1	tɕʰiu˧˧	又										
繰	tshiau1	tɕʰiau˧˧											
繰	tshau2	tsʰau˥˥	又										
悄	tshiau1	tɕʰiau˧˧											
悄	tshiau3	tɕʰiau˥˨	又										
俏	tshiau3	tɕʰiau˥˨											
樵	tsiau1	tɕiau˧˧											
瞧	tshiau2	tɕʰiau˥˥											
消	siau1	ɕiau˧˧											
宵	siau1	ɕiau˧˧											
霄	sio1	ɕio˧˧	白，漳州雲~										
霄	siau1	ɕiau˧˧											
硝	siau1	ɕiau˧˧											
銷	siau1	ɕiau˧˧											
小	sio3	ɕio˥˨	白										
小	siau3	ɕiau˥˨											
笑	tshio5	tɕʰio˨˩˨											
鞘	siau3	ɕiau˥˨											
朝	tsiau1	tɕiau˧˧											
超	thiau5	tʰiau˨˩˨											
朝	tshiau2	tɕʰiau˥˥											
潮	tio2	tio˥˥											
趙	tio6	tio˧˩											
兆	tiau4	tiau˧˥											
肇	siau4	ɕiau˧˥											
召	tiau4	tiau˧˥											
召	siau4	ɕiau˧˥	又，姓氏										
昭	tsiau1	tɕiau˧˧											
招	tsio1	tɕio˧˧	白										
招	tsiau1	tɕiau˧˧											
沼	dziau5	dziau˨˩˨											
照	tsio5	tɕio˨˩˨											
詔	tsiau5	tɕiau˨˩˨											
詔	dziau5	dziau˨˩˨	又，漳州~安										
燒	sio1	ɕio˧˧											
少	tsio3	tɕio˥˨											
少	siau5	ɕiau˨˩˨	又										
韶	siau4	ɕiau˧˥											
紹	siau4	ɕiau˧˥											
邵	sionn6	ɕio ̃˧˩	白										
邵	siau4	ɕiau˧˥											
饒	dziau2	dziau˥˥											
擾	dziau3	dziau˥˨											
繞	dziau5	dziau˨˩˨											
驕	kiau1	kiau˧˧											
嬌	kiau1	kiau˧˧											
矯	kiau1	kiau˧˧											
矯	kiau3	kiau˥˨	又										
喬	khiau2	kʰiau˥˥											
橋	kio2	kio˥˥											
轎	kio6	kio˧˩											
囂	ngau1	ŋau˧˧											
枵	iau1	iau˧˧											
