#ʅ
tʂ[1]知蜘支肢枝吱之芝栀脂[3]纸旨指止址趾至[5]制置智致稚痔治志痣挚滞
tʂʰ[1]痴[2]池匙迟持[3]耻齿侈驰[5]峙恃
ʂ[1]施诗[2]时鲥[3]矢史驶使始屎[5]世势誓逝氏是嗜市饰式拭

#ɿ
ts[1]资咨姿滋孳孜[3]紫姊子仔籽[5]自字
tsʰ[1]疵雌[2]瓷糍嗣慈磁词祠辞治{~鱼}[3]此[5]刺赐次伺
s[1]斯撕厮私司丝思师狮蛳厕{茅~}[3]死[5]视四泗驷寺饲士仕柿事肆似祀

#i
p[1]屄[3]比秕[5]敝毙篦币闭避秘蔽匕
pʰ[1]批砒纰丕披[2]皮疲啤脾琵[3]痞[5]屁
m[1]眯[2]迷谜靡麋糜弥[3]米
t[1]低[3]底抵邸[5]帝蒂谛缔弟第地递
tʰ[1]梯[2]提堤题啼蹄[3]体[5]替屉涕嚏剃
l[2]尼泥呢倪黎犁梨离璃篱狸驴[3]你礼李里理鲤俚女缕褛履吕侣旅[5]腻例利痢丽历厉励吏戾唳沥虑滤
tɕ[1]鸡稽基饥肌机讥矶几{茶~}箕居拘驹车{~马炮}矩疽[3]己几{~个}挤戟举[5]计继寄冀既系{~鞋带}技妓伎纪记忌季悸祭际剂济荠据锯剧巨拒距句具俱惧聚
tɕʰ[1]期欺妻凄栖区躯驱蛆趋[2]奇骑崎其棋旗琪麒祁齐脐荠{荸~}渠瞿徐[3]启企起岂取娶[5]契器弃气汽砌去
ɕ[1]希稀牺嬉嘻熹溪西熙携虚墟嘘盱胥须需[3]喜洗徒玺许诩栩[5]系戏细酗絮序叙绪婿
∅[1]衣依医宇淤迂[2]仪移夷姨疑遗宜谊怡饴于鱼眙贻渔娱盂俞榆逾愈禺愚与[3]蚁椅矣已以拟语雨尾[5]艺刈诣义议易意异御翼誉喻芋玉裕寓遇豫禹

#u
p[3]补[5]布怖部簿步
pʰ[1]铺{动词}[2]蒲葡菩[3]普谱甫浦圃脯辅哺捕铺{名词}
m[3]母姆拇亩牡
f[1]夫肤麸敷[2]浮孚拂符扶芙抚[3]府腑俯斧釜腐[5]富副付赋傅父附驸负妇赴
t[1]都[3]堵赌睹肚{动物胃}[5]妒度渡镀杜肚
tʰ[2]徒屠途涂图[3]土[5]吐兔唾
l[2]奴卢炉芦颅庐[3]努弩鲁卤[5]赂怒路露
k[1]姑辜孤箍[3]古估鼓股[5]故固雇顾
kʰ[1]枯[2]苦[5]库
x[1]呼[2]胡湖糊蝴葫壶狐[3]虎琥浒[5]户互扈沪护瓠
tʂ[1]猪诸朱诛蛛株珠[3]煮渚主[5]著铸驻柱住注蛀
tʂʰ[2]除躇储厨橱殊褚[3]暑鼠[5]处
ʂ[1]书舒枢输[5]墅竖树署薯
ts[1]租[3]祖组阻[5]助
tsʰ[1]粗[2]锄[3]楚[5]醋
s[1]苏[3]数{动词}[5]诉塑数{名词}
∅[1]乌呜污诬巫[2]吴蜈梧无毋[3]五伍午武舞[5]悟晤焙戊误务雾

#o
p[1]巴芭疤粑扒[3]把[5]爸罢霸坝
pʰ[1]趴[2]爬琶耙扒{~手}[5]怕
m[1]妈蟆[2]麻[3]马码玛蚂[5]骂
t[3]打[5]大
tʰ[1]他她它
l[1]拉[2]拿[3]哪[5]那
kʰ[3]卡{~车}
x[1]哈
tʂ[1]查{山~}渣[5]榨
tʂʰ[1]钗叉杈差{~错}[2]茶搽查[5]诧岔衩汊
ʂ[1]沙砂纱鲨[3]耍傻
ts[5]诈
s[3]洒撒{~种}

#io
tɕ[1]家加枷嘉袈佳稼[3]假{真~}贾[5]假{放~}嫁驾架价
tɕʰ[3]卡{~住} 
ɕ[1]虾[2]霞瑕遐[5]下夏厦
∅[1]丫鸦椰[2]芽牙衙[3]雅哑[5]讶亚

#uo
tʂ[1]抓[3]爪
ʂ[1]刷
k[1]瓜[3]寡剐[5]卦挂褂
kʰ[1]夸[3]垮[5]跨胯
x[1]花[2]华哗划{~船}[5]化画话
∅[1]蛙[2]娃[3]瓦

#ʊ
p[1]波菠玻播簸[3]跛
pʰ[1]坡[2]婆鄱[3]颇叵[5]破剖
m[1]摸[2]魔摩摹摸磨[3]拇[5]磨{石~}墓暮慕募幕
t[1]多[3]朵躲垛[5]舵剁堕惰
tʰ[1]拖[2]陀驼驮鸵[3]妥椭
l[1]罗{~唆}[2]罗锣箩逻骡螺脶挪[3]裸虏[5]懦
k[1]歌锅哥戈[3]果裹[5]个过
kʰ[1]珂科蝌棵稞[3]可[5]课
x[1]呵[2]何河荷禾和[3]火伙[5]货贺祸
ts[3]左[5]坐座做
tsʰ[1]初搓[2]昨[5]挫锉错措
s[1]梭唆梳[3]锁琐所
∅[1]窝[2]蛾鹅俄峨讹[3]我[5]卧饿

#e
tʂ[1]遮[3]者
tʂʰ[1]车[3]扯
ʂ[1]奢赊[2]蛇佘[3]舍[5]社射麝舍

#ie
tɕ [1]皆阶秸[3]解[5]戒诫借介界届
tɕʰ [2]茄瘸
ɕ [2]鞋[3]蟹
ts [3]姐
tsʰ [3]且
s [2]邪斜[3]写些[5]泻卸谢泄
∅ [2]爷涯崖岩[3]也野冶[5]夜

#ɛ
p[3]摆[5]败拜稗
pʰ[2]排徘牌[5]派
m[2]埋[3]买[5]卖迈
t[1]呆[3]歹逮□{无此字，字意为多}[5]代贷袋黛戴待怠带
tʰ[1]胎苔[2]台抬[5]太汰态泰
l[2]来莱[3]奶乃[5]耐奈赖癞
k[1]该[3]改[5]概溉盖丐
kʰ[1]开揩[3]凯楷慨
x[2]孩[3]海[5]害
tʂ[1]斋栽哉[5]债寨{大~} 
tʂʰ[1]差{出~}[2]柴
ʂ[1]筛[5]晒
ts[1]灾[3]宰崽载[5]再在
tsʰ[1]猜[2]才财材豺裁[3]采彩踩睬[5]菜蔡
s[1]腮鳃[5]赛塞{要~}
∅[1]哀挨[2]捱癌[3]矮[5]爱艾碍

#uɛ
