常熟古里	
#ɿ	
ts	①資姿咨脂兹滋之支枝肢梔{～子花}淄輜③姊=指旨子籽梓止趾址紫紙⑤至志痔⑨☐{(21變調)☐[dʑie˨˦]～：腿腳有疾病不利索}
tsʰ	①雌差{參～}疵③齒此⑤次伺廁刺賜眵{眼睛～}翅
dz	②瓷{～器}慈磁{～鐵}辭詞祠
s	①梳{～頭髮}私師獅屍司絲思詩斯施③屎使史駛始⑤四肆自{僅用於「～家」}⑨師{(21變調)僅：老～}
z	②慈辭詞祠時鰣匙{鑰～，湯～}飼蒔{～秧，插秧}鋤-{～頭}④似墅{地名「王市」的舊名：王～}祀士仕柿市是⑥自視示字寺事侍
tʃ	①豬株朱蜘蛛知珠芝{～麻}③主嘴⑤著{顯～}注蛀製致置智
tʃʰ	①炊{～飯糕}癡吹③處{相～}恥侈{奢～}⑤處{到～}
dʒ	②除儲{～蓄}廚遲持池馳錘槌鋤④柱乳{～腐：豆腐乳}⑥住滯稚治
ʃ	①書舒尿1{☐[tsʰᴀʔ˨]～：小便}樞輸③水⑤世勢試⑨試{(41变调)考[kʰɔ˨˩]～}
ʒ	②如{～果[ʒɿ˨˩ kɯ˨˩]}殊儒嬬蠕乳④墅{別～}豎⑥樹誓逝
#i	
p	①屄③鄙比彼匕俾⑤蔽閉秘{～書}泌蔽庇痹潷臂{手～膀}
pʰ	①披批砒纰丕邳③痞⑤屁譬媲
b	②琵{～琶}皮疲肥{～皂}脾郫毗薇1{薔～}④被{～頭}婢⑥陛敝弊幣斃避味{～精；～之素}
f	①飛非妃菲啡③匪翡{翡～；又讀fe˥}榧⑤廢費肺吠沸
v	①微{[ʔʋi˥˨]}②維唯惟肥微薇2④尾=⑥未味=
m	①渳咪瞇②迷謎彌眉{眼～毛}棉{~襖，~鞋}④米蟻{螞～}⑥味
t	①低③底抵⑤帝
tʰ	①梯銻③體⑤替涕{鼻～}剃屜
d	②堤題提啼蹄④弟{～子，弟弟}⑥第遞{快～}地隸2
n	①你=
