cid	cʰaracter	initian	finan	tone	note
1	多	t	o	24	
	朵	t	o	42	
	堕	t	o	455	
2	拖	tʰ	o	24	
3	大	t	a	455	
	答	t	a	212	
	哆	n	o	24	
4	锣	n	o	212	
	罗	n	o	212	
	裸	n	o	42	
	懦	n	o	455	
	昨	ts	o	212	
5	左	ts	o	42	
6	歌	k	o	24	
7	个	k	o	455	
8	可	kʰ	o	42	
	屙	∅	o	24	
9	鹅	w	o	212	
10	饿	w	o	455	
	鹅	∅	o	212	
	饿	∅	o	455	
	喝	x	o	24	
11	河	x	o	212	
12	茄	tɕʰ	ie̞	212	
13	破	pʰ	o	455	
	坡	pʰ	o	24	
14	婆	pʰ	o	212	
	颇	pʰ	o	42	
15	磨	m	o	212	
16	磨	m	o	455	
17	躲	t	o	42	
18	螺	n	o	212	
19	坐	ts	o	455	
	唆	ts	o	24	
20	锁	s	o	42	
212	果	k	o	42	
22	过	k	o	455	
23	课	kʰ	o	455	
24	火	x	o	42	
25	货	x	o	455	
26	祸	x	o	455	
27	靴	ɕ	ye̞	24	
28	把	p	a	42	
	罢	p	a	455	
29	爬	pʰ	a	212	
	耙	pʰ	a	212	
	趴	pʰ	a	42	
	怕	pʰ	a	455	
	妈	m	a	24	
	麻	m	a	212	
30	马	m	a	42	
31	骂	m	a	455	
	差	tsʰ	a	24	
32	茶	tsʰ	a	212	
	岔	tsʰ	a	455	
33	沙	s	a	24	
	撒	s	a	42	
	啥	s	a	455	
	咖	kʰ	a	24	
	掐	kʰ	a	212	
	卡	kʰ	a	42	
	胯	kʰ	a	455	
	家	tɕ	ia	24	
34	假	tɕ	ia	42	
	驾	tɕ	ia	455	
455	嫁	tɕ	ia	455	
	鸦	∅	ia	24	
36	牙	∅	ia	212	
	押	∅	ia	212	
	呀	∅	ia	42	
	亚	∅	ia	455	
37	虾	ɕ	ia	24	
38	下	ɕ	ia	455	
39	夏	ɕ	ia	455	
40	哑	ŋ	a	42	
41	姐	tɕ	ie̞	42	
42	借	tɕ	ie̞	455	
43	写	ɕ	ie̞	42	
44	斜	ɕ	ie̞	212	
45	谢	ɕ	ie̞	455	
46	车	tsʰ	e̞	24	
47	蛇	s	e̞	212	
	舍	s	e̞	42	
48	射	s	e̞	455	
	社	s	e̞	455	
49	爷	∅	ie̞	212	
50	野	∅	ie̞	42	
51	夜	∅	ie̞	455	
52	瓜	k	ua	24	
	寡	k	ua	42	
53	瓦	∅	ua	42	
	凹	∅	ua	455	
54	花	f	a	24	白
54	花	x	ua	24	文
55	化	f	a	455	
56	华	f	a	212	
57	谱	pʰ	uᶹ	42	
	不	p	uᶹ	212	
	补	p	uᶹ	42	
58	布	p	uᶹ	455	
59	铺	pʰ	uᶹ	24	
	铺	pʰ	uᶹ	455	
	普	pʰ	uᶹ	42	
	朴	pʰ	uᶹ	212	
60	簿	p	uᶹ	455	
61	步	p	uᶹ	455	
62	赌	t	əu	42	
63	土	tʰ	əu	42	
64	图	tʰ	əu	212	
65	杜	t	əu	455	
66	奴	n	əu	212	
67	路	n	əu	455	
68	租	ts	əu	24	
69	做	ts	əu	455	
	搓	tsʰ	o	24	
	促	tsʰ	o	212	
	挫	tsʰ	o	42	
70	错	tsʰ	o	455	
71	姑	k	uᶹ	24	
72	古	k	uᶹ	42	
	股	k	uᶹ	42	
	顾	k	uᶹ	455	
	枯	kʰ	uᶹ	24	
73	苦	kʰ	uᶹ	42	
74	裤	kʰ	uᶹ	455	
	库	kʰ	uᶹ	455	
75	吴	v	uᶹ	212	
76	五	v	uᶹ	42	
77	虎	f	uᶹ	42	
78	壶	f	uᶹ	212	
79	户	f	uᶹ	455	
80	乌	v	uᶹ	24	
81	女	n	y	42	
82	吕	n	y	42	
83	徐	ɕ	y	212	
84	猪	tɕ	y	24	
85	除	tɕʰ	y	212	
86	初	tsʰ	əu	24	
87	锄	tɕʰ	y	212	
88	所	s	o	42	
89	书	ɕ	y	24	
90	鼠	tɕʰ	y	42	
91	如	ʐ	y	212	
	居	tɕ	y	24	
92	举	tɕ	y	42	
93	锯	tɕ	y	455	
	据	tɕ	y	455	
94	去	tɕʰ	i	455	白
94	去	tɕʰ	y	455	文
95	渠	tɕʰ	y	212	
96	鱼	∅	y	212	
97	许	ɕ	y	42	
98	余	∅	y	212	
99	府	f	uᶹ	42	
100	付	f	uᶹ	455	
101	父	f	uᶹ	455	
102	武	v	uᶹ	42	
103	雾	v	uᶹ	455	
	务	v	uᶹ	455	
104	取	tɕʰ	y	42	
105	柱	tɕ	y	455	
106	住	tɕ	y	455	
107	数	s	əu	42	
108	数	s	əu	455	
109	主	tɕ	y	42	
110	输	ɕ	y	24	
