#i							
p	[44]蓖碑悲痱[212]琵枇[24]臂比[21]币毙闭[33]避备蓖						
pʰ	[44]披						
m	[44]籋{竹篾}[212]迷谜梅=眉微[24]米美[33]味□{□~：什么}沕						
t	[44]猪锄朱[212]除迟[33]箸地-弟[42]啄滴						
tʰ	[21]剃[42]铁						
n	[24]女						
l	[44]璃俐[212]黎离篱尼狸[24]吕汝李=里理[33]厉痢鲤裂						
ts	[44]支=枝资姿滋虮[212]蜍薯[24]煮紫只旨指子=止趾址己{家~}[21]蛀铸智至痔置志痣[33]自舌						
tsʰ	[212]储池瓷磁持[24]暑鼠此齿始[21]刺次厕试-匙{~仔：勺子}[33]柱雉饲治=[42]秩						
s	[44]牺尸丝书司=诗[212]殊辞词时[24]死许=[21]匙{锁~}四肆是视市试=[33]氏豉示蚀豉						
k	[44]居拘几{茶几}基机饥箕支-[212]畦[24]举矩启己纪[21]据锯继器记既拘髻						
kʰ	[44]区欺[212]奇其棋期旗[24]起岂[21]去忌汽柿气=[33]距企						
ŋ	[212]疑[24]语[21]遇						
h	[44]墟虚嬉熙希稀[212]渔鱼[24]喜许-{姓}[21]戏[33]耳-						
ø	[44]伊医衣依[212]如余愚儿移=姨遗[24]雨=椅耳=乳[21]誉预意[33]艺义议易二贰字以□{按}						
#u							
p	[212]烰掊[33]孵斧妇-□{阿~□：背}						
pʰ	[212]菩浮						
v	[212]无[24]武舞侮鹉						
t	[44]都[212]厨[21]到						
n	[212]奴[21]怒[24]努						
l	[212]庐炉鸬卢□{扯~：打鼾}[24]鲁橹虏						
ts	[44]珠=[24]主子-[21]注						
s	[44]舒输私师司思躯[21]数~学漱[33]誓事						
k	[44]龟-□{~□：打瞌睡}[24]估韭[21]句[33]舅旧						
kʰ	[44]丘{一~田}[212]跍						
h	[44]呼=夫肤敷俘烌{灰}[212]胡=湖狐壶符芙糊=[24]府俯[21]恶{可~}付赋赴讣附负富副[33]户互护父腐辅妇=傅[42]许-					[42]许	
ø	[212]牛[33]有						
#a							
p	[24]把=饱[21]霸坝罢[33]爸						
pʰ	[42]拍						
m	[44]孖[212]麻						
v	[24]我[33]外{个~月}[42]□{肉}						
t	[44]焦[33]踏[42]答搭						
tʰ	[33]沓						
n	[44]□{□~：現在}[33]□{~舌：口吃}						
