参考资料	阮桂君《五峰方言研究》
嵇	ʨi55
肌	ʨi55
基	ʨi55
机	ʨi55
讥	ʨi55
叽	ʨi55
几	ʨi55
饥	ʨi55
奇	ʨi55
唧	ʨi55
集	ʨi13
急	ʨi13
级	ʨi13
及	ʨi13
疾	ʨi13
吉	ʨi13
即	ʨi13
鲫	ʨi13
极	ʨi13
汲	ʨi13
积	ʨi13
迹	ʨi13
稽	ʨi13
姬	ʨi13
圾	ʨi13
脊	ʨi13
瘠	ʨi13
籍	ʨi13
屐	ʨi13
笈	ʨi13
绩	ʨi13
寂	ʨi13
击	ʨi13
激	ʨi13
棘	ʨi13
吸	ʨi13
辑	ʨi13
藉	ʨi13
岌	ʨi42
挤	ʨi42
己	ʨi42
戟	ʨi42
几	ʨi42
纪	ʨi42
麂	ʨi42
济	ʨi42
祭	ʨi35
际	ʨi35
济	ʨi35
计	ʨi35
继	ʨi35
髻	ʨi35
寄	ʨi35
技	ʨi35
妓	ʨi35
冀	ʨi35
记	ʨi35
忌	ʨi35
既	ʨi35
嫉	ʨi35
系	ʨi35
穄	ʨi35
徛	ʨi35
霁	ʨi35
妻	ʨʰi55
欺	ʨʰi55
溪	ʨʰi55
骑	ʨʰi55
凄	ʨʰi55
戚	ʨʰi55
崎	ʨʰi55
栖	ʨʰi55
蹊	ʨʰi55
期	ʨʰi55
齐	ʨʰi13
脐	ʨʰi13
奇	ʨʰi13
骑	ʨʰi13
岐	ʨʰi13
祁	ʨʰi13
鳍	ʨʰi13
其	ʨʰi13
棋	ʨʰi13
旗	ʨʰi13
祈	ʨʰi13
泣	ʨʰi13
七	ʨʰi13
漆	ʨʰi13
讫	ʨʰi13
乞	ʨʰi13
迄	ʨʰi13
戚	ʨʰi13
吃	ʨʰi13
歧	ʨʰi13
颀	ʨʰi13
骐	ʨʰi13
琪	ʨʰi13
淇	ʨʰi13
祺	ʨʰi13
琦	ʨʰi13
埼	ʨʰi13
膝	ʨʰi13
企	ʨʰi42
启	ʨʰi42
起	ʨʰi42
杞	ʨʰi42
岂	ʨʰi42
砌	ʨʰi35
荠	ʨʰi35
契	ʨʰi35
器	ʨʰi35
弃	ʨʰi35
氣	ʨʰi35
汽	ʨʰi35
剂	ʨʰi35
西	ɕi55
犀	ɕi55
奚	ɕi55
兮	ɕi55
牺	ɕi55
嬉	ɕi55
熙	ɕi55
稀	ɕi55
希	ɕi55
嘻	ɕi55
唏	ɕi55
羲	ɕi55
浠	ɕi55
郗	ɕi55
烯	ɕi55
硒	ɕi55
醯	ɕi55
习	ɕi13
袭	ɕi13
吸	ɕi13
悉	ɕi13
息	ɕi13
熄	ɕi13
媳	ɕi13
惜	ɕi13
昔	ɕi13
席	ɕi13
夕	ɕi13
矽	ɕi13
锡	ɕi13
析	ɕi13
蜥	ɕi13
牺	ɕi13
稀	ɕi13
蟋	ɕi13
袭	ɕi13
隙	ɕi13
洗	ɕi42
铣	ɕi42
喜	ɕi42
蟢	ɕi42
细	ɕi35
系	ɕi35
戏	ɕi35
伊	Øi55
医	Øi55
衣	Øi55
依	Øi55
铱	Øi55
漪	Øi55
祎	Øi55
宜	Øi13
仪	Øi13
移	Øi13
夷	Øi13
姨	Øi13
胰	Øi13
疑	Øi13
嶷	Øi13
沂	Øi13
飴	Øi13
一	Øi13
壹	Øi13
乙	Øi13
逸	Øi13
忆	Øi13
亿	Øi13
弋	Øi13
谊	Øi13
抑	Øi13
翼	Øi13
益	Øi13
溢	Øi13
亦	Øi13
译	Øi13
轶	Øi13
佚	Øi13
液	Øi13
腋	Øi13
饴	Øi13
怡	Øi13
贻	Øi13
遗	Øi13
懿	Øi13
役	Øi13
绎	Øi13
疫	Øi13
裔	Øi13
揖	Øi13
噎	Øi13
易	Øi13
蜴	Øi13
燚	Øi13
迤	Øi13
矣	Øi42
已	Øi42
以	Øi42
蚁	Øi42
椅	Øi42
尾	Øi42
艺	Øi35
刈	Øi35
缢	Øi35
蚁	Øi35
义	Øi35
议	Øi35
毅	Øi35
意	Øi35
异	Øi35
臆	Øi35
薏	Øi35
易	Øi35
瞖	Øi35
肄	Øi35
逆	Øi35
□	pu55
□	pu55
不	pu13
钚	pu13
勃	pu13
卜	pu13
饽	pu13
谱	pu42
补	pu42
布	pu35
佈	pu35
部	pu35
簿	pu35
步	pu35
捕	pu35
埠	pu35
铺	pʰu55
噗	pʰu55
蒲	pʰu13
扑	pʰu13
仆	pʰu13
曝	pʰu13
朴	pʰu13
菩	pʰu13
脯	pʰu13
醭	pʰu13
瀑	pʰu13
濮	pʰu13
蹼	pʰu13
普	pʰu42
浦	pʰu42
谱	pʰu42
璞	pʰu42
蒲	pʰu42
圃	pʰu42
讣	pʰu35
铺	pʰu35
木	mu13
目	mu13
穆	mu13
牧	mu13
募	mu13
墓	mu13
没	mu13
母	mu42
姆	mu42
拇	mu42
亩	mu42
呼	fu55
忽	fu55
夫	fu55
肤	fu55
敷	fu55
跗	fu55
俘	fu55
孵	fu55
麸	fu55
□	fu55
胡	fu13
湖	fu13
狐	fu13
壶	fu13
乎	fu13
符	fu13
扶	fu13
佛	fu13
缚	fu13
富	fu13
福	fu13
幅	fu13
複	fu13
腹	fu13
服	fu13
伏	fu13
蝠	fu13
覆	fu13
栿	fu13
茯	fu13
复	fu13
拂	fu13
氟	fu13
黻	fu13
瓠	fu13
芙	fu13
芾	fu13
涪	fu13
佛	fu13
虎	fu42
府	fu42
腑	fu42
俯	fu42
甫	fu42
抚	fu42
辅	fu42
斧	fu42
腐	fu42
浒	fu42
脯	fu42
殕	fu42
□	fu42
户	fu35
沪	fu35
互	fu35
护	fu35
扈	fu35
付	fu35
赋	fu35
傅	fu35
赴	fu35
讣	fu35
附	fu35
父	fu35
副	fu35
负	fu35
阜	fu35
戽	fu35
瓠	fu35
嘟	tu55
都	tu55
独	tu13
读	tu13
牍	tu13
笃	tu13
督	tu13
毒	tu13
椟	tu13
犊	tu13
渎	tu13
赌	tu42
堵	tu42
睹	tu42
肚	tu42
度	tu35
渡	tu35
妒	tu35
杜	tu35
镀	tu35
突	tʰu13
秃	tʰu13
徒	tʰu13
屠	tʰu13
途	tʰu13
涂	tʰu13
图	tʰu13
凸	tʰu13
土	tʰu42
吐	tʰu42
兔	tʰu35
吐	tʰu35
鹿	nu13
禄	nu13
绿	nu13
录	nu13
氯	nu13
碌	nu13
麓	nu13
辘	nu13
戮	nu13
勠	nu13
奴	nu13
炉	nu13
芦	nu13
鸬	nu13
鲈	nu13
卢	nu13
颅	nu13
陆	nu13
肉	nu13
庐	nu13
卤	nu42
努	nu42
鲁	nu42
橹	nu42
虏	nu42
掳	nu42
怒	nu35
路	nu35
赂	nu35
漉	nu35
露	nu35
璐	nu35
鹭	nu35
租	ʦu55
猪	ʦu55
诸	ʦu55
诛	ʦu55
蛛	ʦu55
株	ʦu55
朱	ʦu55
硃	ʦu55
珠	ʦu55
铢	ʦu55
侏	ʦu55
洙	ʦu55
竹	ʦu13
筑	ʦu13
𥬄	ʦu13
逐	ʦu13
祝	ʦu13
𡎺	ʦu13
粥	ʦu13
足	ʦu13
烛	ʦu13
妯	ʦu13
卒	ʦu13
猝	ʦu13
祖	ʦu42
组	ʦu42
嘱	ʦu42
阻	ʦu42
煮	ʦu42
主	ʦu42
拄	ʦu42
渚	ʦu42
瞩	ʦu42
肘	ʦu42
助	ʦu35
驻	ʦu35
注	ʦu35
柱	ʦu35
住	ʦu35
注	ʦu35
蛀	ʦu35
铸	ʦu35
贮	ʦu35
炷	ʦu35
著	ʦu35
粗	ʦʰu55
初	ʦʰu55
除	ʦʰu13
锄	ʦʰu13
厨	ʦʰu13
橱	ʦʰu13
蹰	ʦʰu13
亍	ʦʰu13
雏	ʦʰu13
出	ʦʰu13
族	ʦʰu13
促	ʦʰu13
触	ʦʰu13
躇	ʦʰu13
雏	ʦʰu13
刍	ʦʰu13
黜	ʦʰu13
储	ʦʰu13
畜	ʦʰu13
楚	ʦʰu42
杵	ʦʰu42
处	ʦʰu42
褚	ʦʰu42
礎	ʦʰu42
醋	ʦʰu35
矗	ʦʰu35
绌	ʦʰu35
著	ʦʰu35
处	ʦʰu35
苏	su55
酥	su55
蔬	su55
书	su55
舒	su55
枢	su55
输	su55
殊	su55
抒	su55
纾	su55
梳	su55
疏	su55
姝	su55
术	su13
述	su13
秫	su13
速	su13
肃	su13
宿	su13
缩	su13
叔	su13
淑	su13
粟	su13
俗	su13
续	su13
赎	su13
束	su13
蜀	su13
属	su13
孰	su13
塾	su13
夙	su13
诉	su13
塑	su13
戍	su13
墅	su13
熟	su13
犊	su13
暑	su42
鼠	su42
黍	su42
嘱	su42
暑	su42
曙	su42
署	su42
薯	su42
素	su35
诉	su35
庶	su35
恕	su35
竖	su35
树	su35
漱	su35
数	su35
姑	ku55
孤	ku55
箍	ku55
辜	ku55
估	ku55
谷	ku13
穀	ku13
骨	ku13
□	ku13
古	ku42
牯	ku42
股	ku42
鼓	ku42
盬	ku42
钴	ku42
故	ku35
固	ku35
锢	ku35
雇	ku35
顾	ku35
枯	kʰu55
箍	kʰu55
哭	kʰu13
酷	kʰu13
窟	kʰu13
苦	kʰu42
库	kʰu35
裤	kʰu35
绔	kʰu35
□	kʰu35
呼	xu55
□	xu55
忽	xu13
核	xu13
斛	xu13
糊	xu13
□	xu42
乌	Øu55
坞	Øu55
污	Øu55
巫	Øu55
诬	Øu55
邬	Øu55
呜	Øu55
钨	Øu55
吴	Øu13
吾	Øu13
如	Øu13
无	Øu13
儒	Øu13
入	Øu13
物	Øu13
勿	Øu13
屋	Øu13
芜	Øu13
蜈	Øu13
梧	Øu13
五	Øu42
伍	Øu42
午	Øu42
武	Øu42
舞	Øu42
侮	Øu42
乳	Øu42
仵	Øu42
忤	Øu42
捂	Øu42
迕	Øu42
鹉	Øu42
误	Øu35
悟	Øu35
汝	Øu35
务	Øu35
雾	Øu35
戊	Øu35
务	Øu35
晤	Øu35
悟	Øu35
恶	Øu35
履	ny55
律	ny13
驴	ny13
氯	ny13
率	ny13
女	ny42
吕	ny42
旅	ny42
履	ny42
铝	ny42
屡	ny42
侣	ny42
闾	ny42
缕	ny42
褛	ny42
捋	ny42
虑	ny35
滤	ny35
居	ʨy55
拘	ʨy55
驹	ʨy55
狙	ʨy55
车	ʨy55
矩	ʨy55
橘	ʨy13
桔	ʨy13
菊	ʨy13
鞠	ʨy13
局	ʨy13
剧	ʨy13
剧	ʨy13
掬	ʨy13
锔	ʨy13
举	ʨy42
咀	ʨy42
沮	ʨy42
龃	ʨy42
蒟	ʨy42
据	ʨy35
踞	ʨy35
巨	ʨy35
拒	ʨy35
距	ʨy35
炬	ʨy35
聚	ʨy35
句	ʨy35
具	ʨy35
俱	ʨy35
惧	ʨy35
锯	ʨy35
矩	ʨy35
趋	ʨʰy55
驱	ʨʰy55
躯	ʨʰy55
岖	ʨʰy55
黢	ʨʰy55
焌	ʨʰy55
蛐	ʨʰy55
区	ʨʰy55
蛆	ʨʰy55
曲	ʨʰy55
渠	ʨʰy13
瞿	ʨʰy13
衢	ʨʰy13
龋	ʨʰy13
屈	ʨʰy13
麴	ʨʰy13
曲	ʨʰy13
取	ʨʰy42
娶	ʨʰy42
龋	ʨʰy42
趣	ʨʰy35
祛	ʨʰy35
去	ʨʰy35
虚	ɕy55
须	ɕy55
需	ɕy55
嘘	ɕy55
□	ɕy55
徐	ɕy13
戌	ɕy13
续	ɕy13
许	ɕy42
序	ɕy35
叙	ɕy35
绪	ɕy35
絮	ɕy35
婿	ɕy35
淤	Øy55
迂	Øy55
瘀	Øy55
鱼	Øy13
渔	Øy13
余	Øy13
馀	Øy13
愚	Øy13
虞	Øy13
娱	Øy13
舆	Øy13
吁	Øy13
于	Øy13
盂	Øy13
榆	Øy13
逾	Øy13
愉	Øy13
俞	Øy13
渝	Øy13
瑜	Øy13
谀	Øy13
庾	Øy13
域	Øy13
疫	Øy13
役	Øy13
郁	Øy13
育	Øy13
玉	Øy13
狱	Øy13
欲	Øy13
浴	Øy13
裕	Øy13
峪	Øy13
蜈	Øy13
语	Øy42
雨	Øy42
宇	Øy42
禹	Øy42
羽	Øy42
龉	Øy42
御	Øy35
预	Øy35
豫	Øy35
遇	Øy35
寓	Øy35
芋	Øy35
喻	Øy35
玉	Øy35
彧	Øy35
妪	Øy35
与	Øy35
誉	Øy35
愈	Øy35
巴	pa55
芭	pa55
疤	pa55
扒	pa55
笆	pa55
粑	pa55
八	pa13
拔	pa13
靶	pa42
把	pa42
㞎	pa42
霸	pa35
爸	pa35
欛	pa35
壩	pa35
坝	pa35
趴	pʰa55
汃	pʰa55
𤆵	pʰa55
爬	pʰa13
帕	pʰa13
扒	pʰa13
耙	pʰa13
钯	pʰa13
琶	pʰa13
杷	pʰa13
杷	pʰa13
怕	pʰa35
妈	ma55
吗	ma55
嫲	ma55
麻	ma13
痳	ma13
蟆	ma13
抹	ma13
马	ma42
玛	ma42
蚂	ma42
犸	ma42
码	ma42
骂	ma35
乏	fa13
发	fa13
伐	fa13
筏	fa13
罚	fa13
珐	fa13
法	fa13
嗒	ta55
哒	ta55
□	ta55
□	ta55
答	ta13
搭	ta13
达	ta13
耷	ta13
妲	ta13
跶	ta13
打	ta42
大	ta35
他	tʰa55
它	tʰa55
她	tʰa55
牠	tʰa55
祂	tʰa55
铊	tʰa55
踏	tʰa13
塔	tʰa13
榻	tʰa13
塌	tʰa13
獭	tʰa13
搨	tʰa13
沓	tʰa13
拉	na55
啦	na55
垃	na55
拿	na13
纳	na13
呐	na13
钠	na13
讷	na13
腊	na13
蜡	na13
辣	na13
瘌	na13
邋	na13
旯	na13
捺	na13
剌	na42
哪	na42
那	na35
渣	ʦa55
蔗	ʦa55
臜	ʦa55
吒	ʦa55
楂	ʦa55
奓	ʦa55
杂	ʦa13
闸	ʦa13
札	ʦa13
紮	ʦa13
扎	ʦa13
匝	ʦa13
砸	ʦa13
咂	ʦa13
轧	ʦa13
铡	ʦa13
炸	ʦa13
眨	ʦa42
鲊	ʦa42
咋	ʦa42
诈	ʦa35
栅	ʦa35
咤	ʦa35
蚱	ʦa35
榨	ʦa35
炸	ʦa35
叉	ʦʰa55
搽	ʦʰa55
杈	ʦʰa55
差	ʦʰa55
茶	ʦʰa13
搽	ʦʰa13
茬	ʦʰa13
插	ʦʰa13
擦	ʦʰa13
察	ʦʰa13
刹	ʦʰa13
檫	ʦʰa13
查	ʦʰa13
镲	ʦʰa13
敞	ʦʰa42
岔	ʦʰa35
沙	sa55
纱	sa55
杉	sa55
砂	sa55
莎	sa55
唦	sa55
鲨	sa55
痧	sa55
裟	sa55
杀	sa13
靸	sa13
霎	sa13
刹	sa13
萨	sa13
洒	sa42
傻	sa42
撒	sa42
趿	sa35
厦	sa35
姑	ka55
嘎	ka55
夹	ka13
甲	ka13
膈	ka13
嘎	ka42
搁	ka35
抲	kʰa55
掐	kʰa13
卡	kʰa42
胩	kʰa35
哈	xa55
□	xa55
吓	xa13
□	xa42
□	xa42
下	xa35
□	xa35
阿	Øa55
丫	Øa55
啊	Øa13
啊	Øa42
啊	Øa35
趴	pia55
□	pia55
爹	tia55
□	tia55
嗲	tia42
□	tʰia55
□	tʰia13
□	tʰia42
□	tʰia42
□	nia55
□	nia13
您	nia42
□	nia35
家	ʨia55
加	ʨia55
痂	ʨia55
笳	ʨia55
迦	ʨia55
伽	ʨia55
珈	ʨia55
袈	ʨia55
嘉	ʨia55
佳	ʨia55
稼	ʨia55
傢	ʨia55
镓	ʨia55
葭	ʨia55
夹	ʨia13
胛	ʨia13
裌	ʨia13
甲	ʨia13
岬	ʨia13
钾	ʨia13
假	ʨia42
贾	ʨia42
价	ʨia35
架	ʨia35
驾	ʨia35
嫁	ʨia35
假	ʨia35
□	ʨʰia55
恰	ʨʰia13
洽	ʨʰia13
虾	ɕia55
霞	ɕia13
瑕	ɕia13
暇	ɕia13
遐	ɕia13
狭	ɕia13
峡	ɕia13
侠	ɕia13
瞎	ɕia13
辖	ɕia13
匣	ɕia13
狎	ɕia13
夏	ɕia35
吓	ɕia35
下	ɕia35
厦	ɕia35
鸦	Øia55
丫	Øia55
桠	Øia55
牙	Øia13
芽	Øia13
衙	Øia13
鸭	Øia13
押	Øia13
压	Øia13
涯	Øia13
蚜	Øia13
琊	Øia13
睚	Øia13
轧	Øia13
伢	Øia13
雅	Øia42
哑	Øia42
垭	Øia42
亚	Øia35
讶	Øia35
砑	Øia35
娅	Øia35
氩	Øia35
抓	ʦua55
膼	ʦua13
欻	ʦua13
□	ʦua13
爪	ʦua42
□	ʦʰua55
歘	ʦʰua13
□	ʦʰua42
□	sua55
刷	sua13
耍	sua42
□	sua42
瓜	kua55
刮	kua13
寡	kua42
剐	kua42
挂	kua35
卦	kua35
褂	kua35
夸	kʰua55
□	kʰua55
侉	kʰua42
垮	kʰua42
侉	kʰua42
跨	kʰua35
挎	kʰua35
挂	kʰua35
胯	kʰua35
花	xua55
哗	xua55
滑	xua13
铧	xua13
骅	xua13
华	xua13
猾	xua13
划	xua13
化	xua35
话	xua35
画	xua35
华	xua35
桦	xua35
蛙	Øua55
洼	Øua55
娲	Øua55
哇	Øua55
挖	Øua13
袜	Øua13
娃	Øua13
瓦	Øua42
瓦	Øua35
波	po55
玻	po55
啵	po55
播	po55
菠	po55
钵	po13
拨	po13
钹	po13
博	po13
薄	po13
剥	po13
驳	po13
帛	po13
礴	po13
蕃	po13
勃	po13
脖	po13
搏	po13
渤	po13
箔	po13
舶	po13
铂	po13
跛	po42
簸	po42
簸	po35
薄	po35
坡	pʰo55
钋	pʰo55
婆	pʰo13
泼	pʰo13
鄱	pʰo13
珀	pʰo13
粕	pʰo13
破	pʰo35
摸	mo55
□	mo55
魔	mo13
摩	mo13
馍	mo13
末	mo13
沫	mo13
莫	mo13
膜	mo13
幕	mo13
寞	mo13
蘑	mo13
茉	mo13
漠	mo13
磨	mo13
模	mo13
摹	mo13
暮	mo35
慕	mo35
墓	mo35
募	mo35
□	mo35
磨	mo35
佛	fo13
多	to55
哆	to55
夺	to13
铎	to13
踱	to13
咄	to13
掇	to13
裰	to13
踱	to13
度	to13
朵	to42
躲	to42
剁	to35
舵	to35
惰	to35
垛	to35
堕	to35
跺	to35
拖	tʰo55
鸵	tʰo13
脱	tʰo13
讬	tʰo13
托	tʰo13
陀	tʰo13
坨	tʰo13
驼	tʰo13
砣	tʰo13
跎	tʰo13
沱	tʰo13
佗	tʰo13
拓	tʰo13
妥	tʰo42
椭	tʰo42
庹	tʰo42
唾	tʰo35
驮	tʰo35
罗	no55
挪	no13
猡	no13
锣	no13
箩	no13
萝	no13
骡	no13
诺	no13
落	no13
烙	no13
骆	no13
酪	no13
洛	no13
络	no13
逻	no13
珞	no13
挪	no13
娜	no13
乐	no13
螺	no13
脶	no13
裸	no42
瘰	no42
喏	no35
糯	no35
摞	no35
拙	ʦo13
茁	ʦo13
凿	ʦo13
昨	ʦo13
酌	ʦo13
灼	ʦo13
捉	ʦo13
桌	ʦo13
卓	ʦo13
浊	ʦo13
琢	ʦo13
啄	ʦo13
作	ʦo13
着	ʦo13
镯	ʦo13
涿	ʦo13
左	ʦo42
佐	ʦo42
坐	ʦo35
座	ʦo35
做	ʦo35
搓	ʦʰo55
撮	ʦʰo55
磋	ʦʰo55
蹉	ʦʰo55
浊	ʦʰo13
戳	ʦʰo13
锉	ʦʰo13
痤	ʦʰo13
撮	ʦʰo13
错	ʦʰo13
绰	ʦʰo13
□	ʦʰo42
锉	ʦʰo35
错	ʦʰo35
莝	ʦʰo35
措	ʦʰo35
厝	ʦʰo35
蓑	so55
梭	so55
嗦	so55
莎	so55
□	so55
朔	so13
烁	so13
硕	so13
铄	so13
妁	so13
说	so13
率	so13
蟀	so13
索	so13
勺	so13
芍	so13
□	so13
锁	so42
所	so42
唢	so42
琐	so42
歌	ko55
哥	ko55
锅	ko55
埚	ko55
戈	ko55
鸽	ko13
割	ko13
葛	ko13
各	ko13
阁	ko13
搁	ko13
铬	ko13
郭	ko13
廓	ko13
国	ko13
帼	ko13
蝈	ko13
掴	ko13
革	ko13
骼	ko13
胳	ko13
虢	ko13
果	ko42
裹	ko42
粿	ko42
椁	ko42
舸	ko42
个	ko35
过	ko35
科	kʰo55
窠	kʰo55
棵	kʰo55
颗	kʰo55
苛	kʰo55
柯	kʰo55
珂	kʰo55
轲	kʰo55
疴	kʰo55
蚵	kʰo55
稞	kʰo55
蚪	kʰo55
磕	kʰo13
瞌	kʰo13
嗑	kʰo13
渴	kʰo13
壳	kʰo13
阔	kʰo13
扩	kʰo13
酷	kʰo13
括	kʰo13
可	kʰo42
渴	kʰo42
课	kʰo35
廓	kʰo35
喝	xo13
呵	xo13
河	xo13
何	xo13
禾	xo13
合	xo13
活	xo13
鹤	xo13
霍	xo13
或	xo13
惑	xo13
获	xo13
涸	xo13
核	xo13
劾	xo13
贺	xo13
豁	xo13
荷	xo13
和	xo13
龢	xo13
郃	xo13
颌	xo13
盒	xo13
豁	xo13
郝	xo13
藿	xo13
火	xo42
伙	xo42
贺	xo35
货	xo35
祸	xo35
褐	xo35
壑	xo35
荷	xo35
和	xo35
倭	Øo55
窝	Øo55
屙	Øo55
挝	Øo55
涡	Øo55
蜗	Øo55
鹅	Øo13
