#調值	[1]11 [2]32 [3]52 [4]55 [5]25				
#符號說明:	-白=文				
#aŋ					
b	[2]龐旁磅螃彭{～德懷}[5]蜯棒{太～了}蚌{～殼}傍				
d	[2]唐糖餹堂塘膛溏螳棠[5]蕩宕				
dz	[2]長場腸嫦藏掁[5]杖丈仗				
g	[2]扛				
h	[2]行{～頭}莖横{～条}蟥{螞～}[5]項巷				
k	[1]剛=缸鋼崗肛岡罡江-[3]港[5]槓□{钻}艦埂				
kʰ	[1]康糠慷[3]坑{碓~}[5]抗炕亢				
l	[1]晾[2]狼郎啷琅瓤[4]朗盪蕩[5]浪				
m	[2]忙盲芒茫氓蝱{牛～}[4]莽蟒猛-網-				
p	[1]幫邦弸{～硬}[2]棒{冰～}[3]綁榜[4]蚌{河～}棒{冰～}[5]謗迸{～開}泵				
pʰ	[1]烹{～红薯}[2]閛{關門聲}[3]碰砰搒{打擊}[4]□{變質}[5]胖				
s	[1]傷商裳桑喪槡搡生深[2]□{懶散}常嘗盛{～不起}[3]賞晌㾪{瘦}[4]上[5]喪盛{人名}上尙				
t	[1]當襠鐺{鍋}[2]鐺{金屬聲}[3]擋[5]當				
tʰ	[1]湯□{第三人稱複數}[3]躺趟[4]挺{～平}盪蕩[5]褪{～皮}燙				
ts	[1]章張髒仗賍樟彰臧爭{欠;差}[2]仗{炮仗}[3]長漲掌整{～票子}撐{抵住}[4]杖[5]帳脹障瘴葬挣{用力}				
tsʰ	[1]倉蒼滄昌娼猖[3]廠[5]唱暢倡				
Ø	[2]昂□{表示迴應}[3]□{第一人稱複數}[5]戆				
#uaŋ					
dz	[2]床[5]狀				
h	[1]方芳藩荒[2]防房肪妨黃皇蝗簧[3]恍[4]晃[5]放横{～木}□{～是:總是}				
k	[3]獷[5]逛				
g	[2]轟				
kʰ	[1]匡筐框[2]□[4]倾{碰}[5]礦鑛曠眶爌磬				
s	[1]雙霜孀双[3]爽				
ts	[1]莊裝妝桩庄[5]壯				
tsʰ	[1]窗创[3]爽{亮~}[4]幢撞[5]创				
