"#参考资料"	"《安徽宿松方言同音字汇》"
"#调值"	" [1]²¹³ [2]³⁵ [3]⁴² [5]²¹ [6]²⁴ [7]⁵"
"#ɿ"	""
"ts"	"[1]资姿咨滋[3]紫姊子梓滓"
"tsʰ"	"[1] 雌疵[2]慈磁饲辞词祠[3]此[5]次[6]自字寺痔侍"
"s"	"[1]斯私师狮思司丝[3]死使史驶[5]]四肆[6]似祀巳士仕事"

"#ʅ"	""
"ʈʂ"	"[1]知支枝肢之芝[3]纸脂旨指止趾址[5]制志痣置致至智"
"ʈʂʰ"	"[1]侈痴嗤[2]池马匙迟持治{宰杀}[3]耻齿[5]翅稚[6]直值殖植侄"
"ʂ"	"[1]施尸诗[2]时[3]矢屎始[5]世势逝嗜试式[6]誓是氏豉实示视市食蚀石十拾"

"#i"	""
"p"	"[1]屄[3]比彼[5]蔽敝闭"
"pʰ"	"[1]蓖批披[2]皮疲脾琵枇[3]丕痞坯[5]屁[6]被避庇痹弊币毙备鼻"
"m"	"[1]眯咪[2]眉迷[3]米糜尾[6]谜"
"t"	"[1]低[3]底抵[5]帝缔蒂"
"tʰ"	"[1]梯[2]堤题提蹄啼[3]体[5]剃屉递替嚏[6]第弟地笛"
"ȵ"	"[2]泥弥宜仪尼疑[3]拟蚁[6]艺谊义议毅"
"l"	"[2]犁梨黎离篱璃厘[3]礼履李里理鲤旅狸[6]例厉励丽荔利痢吏"
"tɕ"	"[1]鸡饥肌基几{~乎}机讥箕[3]挤几嘴己纪{~律}[5]计继祭济季寄既醉纪{~年}"
"tɕʰ"	"[1]蛆趋溪企欺[2]徐奇骑其棋期旗祈祁[3]取娶决岂[5]趣契砌器气汽脆[6]聚椅技妓弃脐忌去集籍疾"
"ɕ"	"[1]须需西犀牺希稀[3]洗喜髓[5]细婿絮穗戏岁[6]序叙绪系习席"
"Ø"	"[1]医衣依倚[2]移姨遗[3]椅已以[5]意揖忆亿[6]易异"

"#u"	""
"p"	"[3]补[5]布怖"
"pʰ"	"[1]铺捕[2]蒲菩脯莆[3]谱普浦铺[6]孵部簿步"
"f"	"[1]夫麸肤敷[2]俘符扶芙[3]俯甫斧抚釜腐辅[5]赋傅副富[6]赴附服佛伏负妇"
"k"	"[1]姑孤辜咕[3]古估枯股鼓[5]故固锢雇顾"
"kʰ"	"[1]箍枯[2]葫[3]虎浒火伙[5][6]户沪互护瓠斛"
"Ø"	"[1]乌污巫诬[2]吴吾梧无糊[3]五伍午武舞侮鹉[5]恶[6]误悟务雾戊"

"#ʯ"	""
"ɳ"	"[2]愚虞娱鱼渔[3]语女[6]御遇寓"
"ʈʂ"	"[1]猪诸居车{象棋}蛛株朱珠拘[3]煮举主矩[5]著据驻注蛀铸句"
"ʈʂʰ"	"[1]渠吹躯区驱[2]除储厨锤[3]拒距拄[5]处[6俱柱住具惧"
"ʂ"	"[1]书舒虚嘘枢输[2]殊[3]暑鼠许署薯水[5]恕戍术述[6]竖树"

"#a"	""
"p"	"[1]巴疤把爸扒{~开}趴[3]靶把[5]霸坝[6]罢"
"pʰ"	"[1]杷琶[2]爬扒笆[5]怕[6]拔耙"
"m"	"[1]妈蟆[2]麻[3]马码蚂[5]骂"
"f"	"[6]伐罚乏筏"
"t"	"[3]打"
"tʰ"	"[6]达"
"n"	"[1][2]拿[3][5]那[6][7]"
"l"	"[1]拉"
"ts"	"[1]渣楂[2][3][5]诈榨炸蔗"
"tsʰ"	"[1]叉杈差钗[2]茶搽[5]茬岔"
"s"	"[1]纱沙杉砂痧[3]傻洒撒"
"ʈʂ"	"[1]遮"
"ʈʂʰ"	"[1]车[3]扯"
"ʂ"	"[1]赊[2]蛇[3]舍"
"k"	"[1]家枷加[3]假[5]架嫁驾稼"
"kʰ"	"[2]蛤[3]卡"
"ŋ"	"[1]丫鸦[2]牙伢芽[3]哑[6]轧"
"x"	"[1]虾哈[6]下"
"Ø"	"[1]阿"

"#ia"	""
"tɕ"	"[1]佳[3]姐贾[5]借价"
"ɕ"	"[1]斜邪匣霞[3]写[5]泻卸[6]夏厦谢"
"Ø"	"[2]爷[3]也野[6]夜"

"#ua"	""
"k"	"[1]瓜呱[3]寡[5]挂卦"
"kʰ"	"[1]夸[3]剐垮[5]跨"
"x"	"[1]花[2]华桦划{~船}[5]化[6]划滑猾"
"Ø"	"[1]蛙[3]瓦[5]洼[6]话画"

"#æ"	""
"p"	"[6]白"
"pʰ"	"[1]咩"
"tʰ"	"[6]特"
"ts"	"[1]啧"
"tsʰ"	"[6]贼择"
"s"	"[1]甥"
"ʈʂ"	"[5]这"
"ʈʂʰ"	"[1]奢[5]舍{宿~}[6]社射舌"
"ʐ"	"[3]惹"

"#iæ"	""
"pʰ"	"[6]别"
"t"	"[1]爹"
"tʰ"	"[6]叠碟"
"tɕʰ"	"[3]且[6]捷杰截绝"
"ɕ"	"[6]协穴携"

"#uæ"	""
"x"	"[6]获或"
"Ø"	"[6]活"

"#ʯæ"	""
"ʈʂ"	"[1]抓"
"ʈʂʰ"	"[6]瘸掘"
"ʂ"	"[1]靴[3]耍"

"#o"	""
"p"	"[1]波菠坡玻[3]跛[5]簸"
"pʰ"	"[2]婆[3]剖[5]破[6]薄雹"
"m"	"[1]摸[2]魔膜磨模摹馍[3]么母姆拇[6]磨暮慕墓募莫"
"t"	"[1]多哆[3]躲[5]剁"
"tʰ"	"[1]拖[2]驮驼[3]椭妥[5]唾惰堕[6]夺舵"
"n"	"[2]挪[6]懦糯"
"l"	"[2]罗锣萝箩骡螺[3]探抨裸虏[6]落"
"ts"	"[1]啄[3]左佐[5]做"
"tsʰ"	"[1]搓[5]锉措错[6]坐座昨浊"
"s"	"[1]蓑梭唆[3]所琐锁"
"ʈʂʰ"	"[6]着"
"k"	"[1]歌哥[3]果裹[5]个过"
"kʰ"	"[1]科棵颗[3]可[5]课"
"ŋ"	"[2]鹅蛾俄讹[3]我[6]饿"
"x"	"[2]河何荷禾和[5]货[6]贺学鹤盒合"

"#io"	""
"tɕʰ"	"[6]爵嚼"
"Ø"	"[5]哟"

"#uo"	""
"Ø"	"[1]窝锅[6]卧祸"

"#ai"	""
"p"	"[3]摆[5]拜"
"pʰ"	"[2]牌排[5]派[6]败稗"
"m"	"[2]埋[3]买[6]卖迈"
"t"	"[1]呆[3]歹逮[5]戴带"
"tʰ"	"[1]胎苔[2]台[5]太泰[6]大代袋待怠态贷逮"
"n"	"[1]奶{祖母}[3]奶[6]耐奈"
"l"	"[6]赖癫"
"ts"	"[1]灾斋[3]宰载[5]再载债"
"tsʰ"	"[1]猜差[2]柴材才财豺[3]彩采踩[6]在"
"s"	"[1]筛衰[5]赛晒帅"
"kʰ"	"[1]揩[3]凯楷[5]慨概溉"
"ŋ"	"[1]哀挨[2]埃崖握癌[3]矮[5]爱[6]蔼艾隘碍"
"x"	"[2]孩谐鞋[3]海[6]蟹"

"#uai"	""
"k"	"[1]乖[3]拐[5]怪"
"kʰ"	"[5]块快筷"
"x"	"[2]槐淮"
"Ø"	"[1]歪[2]怀[6]外坏"

"#ʯai"	""
"ʈʂ"	"[3]拽"
"ʈʂʰ"	"[3]揣踹"
"ʂ"	"[3]甩"

"#ei"	""
"p"	"[1]杯悲[5]辈背贝"
"pʰ"	"[2]培陪赔[3]胚[5]配佩髻[6]倍焙背"
"m"	"[2]梅枚媒煤媚霉[3]每美[6]妹昧媚寐"
"f"	"[1]飞非妃[2]肥[3]匪翡[5]痱费废肺"
"t"	"[1]堆[5]对队兑"
"tʰ"	"[1]推[2]抬[3]腿[5]退褪蜕[6]袋"
"n"	"[3]馁[6]内"
"l"	"[2]雷来[3]垒蕾儡蕊屡[6]累类泪"
"ts"	"[1]栽[5]最"
"tsʰ"	"[1]崔催摧[2]裁[5]菜蔡翠[6]罪"
"s"	"[1]鳃虽[2]随隋[5]碎[6]隧"
"k"	"[5]盖该"
"kʰ"	"[1]开"
"x"	"[1]嗨[6]害"
"Ø"	"[6]哎"

"#uei"	""
"k"	"[1]圭闺规龟归[3]轨鬼诡[5]桂贵跪绘"
"kʰ"	"[1]溃亏窥愧盔[2]奎葵逵[5]刽会{~计}[6]柜"
"x"	"[1]恢摩挥辉微灰[2]回茵蛔[3]毁[5]晦贿悔惠慧讳[6]汇会"
"Ø"	"[1]偎威[2]桅危为伪维唯违围苇微[3]萎委伟纬[5]畏慰喂[6]卫位魏胃未味为"

"#ʯei"	""
"ʈʂ"	"[1]锥追[5]坠赘缀"
"ʈʂʰ"	"[3]垂"
"ʂ"	"[3]睡税[6]瑞"

"#au"	""
"p"	"[1]包褒胞[3]饱堡宝保[5]豹报"
"pʰ"	"[1]抛[2]刨袍[3]跑[5]泡炮[6]抱暴"
"m"	"[1]猫[2]毛矛茅锚谋[3]亩[5]冒[6]帽卯贸茂貌"
"t"	"[1]刀叨[3]岛祷倒{打~}[5]到倒{~水}"
"tʰ"	"[1]掏滔[2]桃逃淘陶萄涛[3]讨[5]套导[6]道稻盗"
"n"	"[1]孬[2]饶挠[3]脑恼[5]闹"
