	南通新开沙里话	字表来源：《新开方言语音研究》							
	阴平	阳平	阴上	阳上	阴去	阳去	阴入	阳入	
	54	24	435	231	45	213	5	2	
tsɿ	猪蜘朱诛株珠知蜘支枝肢栀资姿咨之芝智脂诸		拄柱主紫纸姊旨指止址嘴-		雉至志痣掷铸制注蛀驻				
tsʰɿ	雌疵眵嗤吹-差（参~）		褚此侈齿处（~理）		刺赐翅豉次鼠处（到~）				
dzɿ		池驰除厨锄-瓷迟词饲-		豉		住滞			
sɿ	书舒输斯厮施私师狮尸诗殊-梳-尿-撕=		暑矢屎始死=		世势四肆视试侍戍饲=殊				
szɿ		时鲥		是竖乳（~腐）仕水-		市树自氏字示			
pi	屄		彼鄙比		闭臂庇痹蔽弊弼				
pʰi	披批		□（车轮在路面上打滑）		屁譬				
bi		皮脾疲		被-（~头：被子）		避陛婢币毙			
mi	咪眯	糜弥迷靡眉-		米		味-（~道）			
fi	非飞妃-				肺费-（浪~）				
fvi		肥				味=（~精）费（姓）			
ti	低堤		底抵帝		□（水滴下来）				
tʰi	梯		体		替涕剃屉				
di		题提蹄啼		弟		地第递			
li	哩（叽~咕噜）	离篱璃厘狸梨黎	履李里理鲤吕旅缕礼			利痢吏虑滤屡丽隶泪厉励例			
tɕi	饥肌机讥基奇骑居拘驹鸡稽屐车象棋几（茶~）		己举戟挤几（~个）给（补~）		寄记纪既季据锯句具惧俱祭际寂技巨拒炬距计继剧贵-系（~鞋带）				
tɕʰi	欺期祈蛆驱区妻龟-		企起岂取娶启乞讫鬼-		器弃气汽趣契戚贵-				
dʑi		祁鳍其棋渠瞿岐脐=齐=		跪-柜-		妓忌聚=左-			
ȵi	腻	尼泥倪疑-	女			语耳-尾-二-贰-			
ɕi	西栖牺希稀需墟嘘奚溪兮犀须=		喜许死-徙		戏絮序叙绪系（关~）				
ɕʑi		徐齐-		聚-序叙绪					
ki	□（这个那个）								
kʰi					去				
gi		他							
ʔi	衣依伊医倚椅		已以		谊义议毅意肄异御遇寓预豫喻裕艺缢逸忆抑翼郁役疫易（容~）与（连词）忆亿喂-				
