tsɿ435资姿咨兹滋之芝
tsɿ213瓷慈鹚磁秩嗣
tsɿ55子仔紫雉梓
tsɿ53致稚
tsɿ33字牸自
tsɿ22巳
tsʰɿ435雌痴
tsʰɿ213词祠饲辞
tsʰɿ55此
tsʰɿ53次赐
sɿ435私诗狮司斯撕饰{又}师{又}
sɿ33士仕事寺侍伺似氏豉
mi55皿
ti33德
li33咧
tsi435支枝肢栀知{又}
tsi213池驰
tsi55纸止址趾旨指脂{脂肪}剂矢岂滞只{又}挤{又}
tsi53志痣痔际技治济智置祭
tsi33至
tsi22汁诸{训}
tsi31缉
tsʰi435黐{黏}
tsʰi213持
tsʰi55齿始耻
tsʰi53翅
ȵi435倪{指人的量词}
ȵi213人银仪仁宜谊疑愚阎
ȵi55议{议论}
ȵi53认韧
ȵi33二义要{训}议{会议}
ȵi22耳忍日{又}
ȵi31入日{又}
si435尸希稀施牺熙
si213时匙
si55屎史驶嬉
si53试式示视弃誓逝
si33市
si22湿饰
si31拾适释十{又}
ki435机饥讥肌基箕杞几{茶几}攲
ki213奇骑其棋期旗祈岐鳍
ki55己纪几佢
ki53记寄季继忌既计{又}
ki33徛{站}
ki22桔徛
kʰi435欺
kʰi55启
kʰi53戏气汽器企契
xi55喜起许{又}
xi53系还{副词}
xi22系
i435医衣依
i213移姨艺遗矣{又}译{又}
i55椅已以拟
i53亿忆意异毅抑翼肆
i33易{难易}
pu435煲
pu213菩
pu55保堡宝补{又}
pu53报暴怖布{又}
pu22膊□{泡沫}
pu31薄
pʰu55捕脯浦蒲{又}谱普{又}
pʰu53铺{铺开}
pʰu31朴
mu435模
mu213毛矛茅{单念}
mu53耄{老人神志不清}
mu33帽貌墓幕募慕唔
mu22母拇冇{又}
mu31目莫穆牧
fu435肤夫乎呼俘敷薅
fu213符扶芙
fu55府腑俯苦{又}好{好坏}
fu53富
fu33号父互负付副腐赋傅附
fu22妇壳
fu31学
tu33嘟
tu31督
lu55鲁虏卤
ku435高篙蒿羔糕
ku55稿{又}
ku53告
ku22角蛤阁{又}咕
ku31□{~指寨：蝉}
ŋu55误
u435诬
u213抚
u55悟
u33务雾恶可恶戊
u22舞武鹉
ty435猪
ty213除厨
ty53蠹{蚊虫叮咬}
ty33住驻箸
ty22柱轴竹{竹子}
ty31直
tʰy435□{~鱼：塘角鱼}
tʰy55丑
tʰy22畜筑{又}
ly213刘流硫琉留馏榴{又}
ly55𠛓{宰杀}
ly33虑滤
ly22柳旅吕屡履里{又}
ly31六陆力绿律率
tsy435朱株珠诛蛛硃殊州洲
tsy213徐
tsy55酒
tsy53著蛀铸聚骤注{又}咒
tsy33袖
tsy22烛祝卒足触竹{腐竹}织{又}
tsʰy435秋趋蛆
tsʰy55取娶醜
tsʰy53臭处趣兽
ȵy33诱{又}
ȵy22女语蚁
sy435收修须需荽输{运输}
sy213储
sy55手首守餵{训}
sy53序叙绪恕絮庶
sy33树竖寿
sy22受叔识宿粟熄
sy31术述俗续熟属赎恤
ky435居车{车马炮}
ky213求球蛷
ky55九久疚举矩韭
ky53巨句拒距据剧锯具惧俱救
ky33旧究枢
ky22舅
kʰy435区枢驱拘
kʰy22屈倔
kʰy31曲菊麯
xy435虚墟
xy55许{又}
y435忧愉逾榆
y213油由邮于淤余虞娱如役尤犹游悠儒鱿
y55与羽
y53裕
y33玉右誉预御寓遇喻{又}
y22友雨宇乳酉褥艺{又}
y31育欲域饫
pa435巴芭疤胞包{又}
