字	音	注釋		调类	阴平	阳平	上声	去声	阴入	阳入
巴	pa³⁵	~結		调值	35	13	21	53	3	5
疤	pa³⁵									
把	pa²¹	~握								
	pa⁵³	刀~								
霸	pa⁵³									
壩	pa⁵³									
爸	pa⁵³									
罷	pa⁵³	~工，~官								
爬	pʰa¹³									
怕	pʰa⁵³									
媽	ma³⁵									
麻	ma¹³									
馬	ma³⁵									
罵	ma⁵³									
打	ta²¹									
大	tʰai⁵³									
他	tʰa³⁵									
拿	lak⁵									
灑	sai²¹	~水								
渣	tsa³⁵									
詐	tsa⁵³									
榨	ʦa⁵³									
炸	ʦa⁵³	~醬面，用油~；爆~								
叉	ʦʰa³⁵	交~，刀~								
茶	ʦʰa¹³									
搽	ʦʰa¹³									
查	ʦʰa¹³	調~								
岔	ʦʰa⁵³	~路								
沙	sa³⁵									
紗	sa³⁵									
傻	sa²¹									
加	ka³⁵	白								
	cia³⁵	文								
嘉	cia³⁵									
家	ka³⁵	白								
	cia³⁵	文								
佳	cia³⁵									
假	ka²¹	白，真~								
	cia²¹	文，放~								
賈	ka²¹	白，姓								
	cia²¹	文								
架	ka⁵³	白								
	cia⁵³	文								
嫁	ka⁵³									
駕	ka⁵³	白								
	cia⁵³	文								
價	ka⁵³	白								
	cia⁵³	文								
卡	kʰa²¹	關~；~車								
蝦	xa¹³	~蟆								
霞	xa¹³	白								
	çia¹³	文								
夏	xa⁵³	白								
	çia⁵³	文								
下	xa³⁵									
鴉	a³⁵	烏~，~片								
牙	ŋa¹³									
芽	ŋa¹³									
雅	ŋa²¹	白								
	ia²¹	文，~座，文~								
啞	a²¹									
亞	ŋa⁵³									
抓	tʂa³⁵									
	ia²¹	“掗”的訓讀音								
耍	sa²¹									
瓜	kua³⁵									
寡	kua²¹									
掛	kua⁵³									
卦	kua⁵³									
誇	kʰua³⁵									
花	fa³⁵									
華	fa¹³	中~								
	fa⁵³	~山								
畫	fa⁵³									
化	fa⁵³									
話	ua⁵³	動詞								
	fa⁵³	名詞								
瓦	ŋa²¹									
遮	tʂa³⁵									
者	tʂa²¹	記~								
車	tʂʰa³⁵									
扯	tʂʰa²¹	白								
	tʂʰe²¹	文								
蛇	ʂa¹³									
舍	ʂa²¹	~得								
	ʂa⁵³	宿~								
赦	ʂa⁵³	~免，大~								
社	ʂa³⁵	白								
	ʂa⁵³	文								
惹	ɲia³⁵									
歌	ko³⁵									
科	kʰo³⁵									
顆	kʰo²¹	~粒，一~牙齒								
可	kʰo²¹									
課	kʰo⁵³									
河	xo¹³									
何	xo¹³									
荷	xo¹³	~花								
禾	uo¹³									
和	uo¹³	~尚								
	xo¹³	~氣								
賀	fo⁵³									
蛾	ŋo¹³									
鵝	ŋo¹³									
俄	ŋo¹³									
餓	ŋo⁵³									
波	po³⁵									
播	po⁵³									
玻	po³⁵									
坡	pʰo³⁵									
婆	pʰo¹³									
破	pʰo⁵³									
魔	mo¹³									
模	mu¹³	~範；~子								
摩	mo¹³	按~，~托								
磨	mo¹³	~刀								
	mo⁵³	石~								
多	to³⁵									
朵	to²¹									
躲	to²¹									
惰	tʰo⁵³	懶~								
舵	tʰo⁵³	船~，~手								
拖	tʰo³⁵									
駝	tʰo¹³	~背								
馱	tʰo¹³	~運；~子								
妥	tʰo²¹									
糯	lo⁵³									
騾	lo¹³									
羅	lo¹³									
鑼	lo¹³									
籮	lo¹³									
左	ʦo²¹									
坐	ʦʰo³⁵									
做	ʦo³⁵	~事，~人								
座	ʦʰo⁵³									
搓	ʦʰo³⁵	~衣板								
錯	ʦʰo⁵³	~誤，~過								
蓑	so³⁵	~衣								
梭	so³⁵									
鎖	so²¹									
瑣	so²¹	煩~，~碎								
所	so²¹									
鍋	ko³⁵	高壓~，~爐								
果	ko²¹	水~								
裹	ko²¹									
過	ko⁵³									
火	fo²¹									
禍	fo⁵³									
貨	fo⁵³									
我	ŋai¹³	白								
	ŋo²¹	文								
臥	uo⁵³									
	mo⁵³	~單：床單								
爹	tia³⁵									
街	kai³⁵									
階	kai³⁵									
解	kai²¹	~決，~鞋帶								
姐	ʦia²¹									
借	ʦia⁵³	~銭，~貸，~口								
介	kai⁵³									
界	kai⁵³									
芥	kai⁵³	~菜								
疥	kai⁵³									
戒	kai⁵³									
茄	cʰio¹³	~子								
且	ʦʰia²¹									
些	sia³⁵									
鞋	xai¹³									
邪	sia¹³									
寫	sia²¹									
瀉	sia⁵³									
卸	sia⁵³									
謝	ʦʰia⁵³									
蟹	xai²¹									
野	ia³⁵									
也	ia³⁵									
夜	ia⁵³									
靴	çia³⁵									
姿	ʦɿ³⁵									
資	ʦɿ³⁵									
滋	ʦɿ³⁵									
紫	ʦɿ²¹	~妹								
姊	ʦi²¹	~孫								
子	ʦɿ²¹									
