#调值	[7]5 [8]23
biᶽʔ	[8]鼻枇{枇杷}荸{荸荠}孛{孛相}
piᶽʔ	[7]笔逼
pʰiᶽʔ	[7]劈
pɪʔ	[7]瘪
miᶽʔ	[7]篾{篾席，读/miᶽʔ ʑiᶽʔ/}
liᶽʔ	[7]力立栗历列{此字在罗溇上一70后男子名中出现，读作/liᶽʔ/。不确定口语字是否会读作/lɪʔ/}
tiᶽʔ	[7]嫡扚{用指甲去掐的动作称为/tiᶽʔ/，有说本字为"摘"。如摘花时，用指甲掐断花的动作为/tiᶽʔ/，被蚊子咬了起蚊子块之后，用指甲去按的动作称为/tiᶽʔ/}摘{扚，用指甲去掐的动作称为/tiᶽʔ/，有说本字为"摘"。如摘花时，用指甲掐断花的动作为/tiᶽʔ/，被蚊子咬了起蚊子块之后，用指甲去按的动作称为/tiᶽʔ/}
tʰiᶽʔ	[7]踢
tʰɪʔ	[7]铁贴帖
diᶽʔ	[8]蝶{"叶蝶"读/ɪʔ diᶽʔ/，仅一读。"蝴蝶"有/ɪʔ/、/iᶽʔ/两读}
ʨiᶽʔ	[7]急激鲫渍{/ʨiᶽʔ tsʊ/，污渍之义。首字可能是"渍"或"迹"}迹{/ʨiᶽʔ tsʊ/，污渍之义。首字可能是"渍"或"迹"}
ʨʰiᶽʔ	[7]吃七漆{漆匠}
ɕiᶽʔ	[7]膝锡蟋{翼蟋:蟋蟀}
ʨiʏʔ	[7]接节结搛橘
ʨʰiʏʔ	[7]切缺
ɕiʏʔ	[7]屑{脚屑}雪血歇掀{镬子盖/ɕiʏʔ/开来，怀疑是"掀"字}
ʑiᶽʔ	[8]集席习
ʑiʏʔ	[8]绝{绝细}
ȵiᶽʔ	[7]热日月{白读}孽
iᶽʔ	[7]一{"一"单字读时读/iᶽʔ/，且大多数情况读/iᶽʔ/，在少数词词首可以读/ɪʔ/}翼{翼蟋:蟋蟀}越{"越"大多数情况读/ɪʔ/，只有"越剧"一词可以/ɪʔ/、/iᶽʔ/两读，因人而异}
iʏʔ	[7]月{文读，用于人名}
tsʊʔ	[7]作桌斫{斫草：割草}
tsəuβʔ	[7]竹粥烛
tsʰʊʔ	[7]戳龊{龌龊/ʊʔ tsʰʊʔ/}
sʊʔ	[7]啥{常用词"做啥"，发音为/tsʊ sʊʔ/22 41，单字"啥"发音亦同阴入调。}
səuβʔ	[7]缩嗍{嗍口，吸之义}叔{叔伯母}
dzʊʔ	[8]镯
zʊʔ	[8]勺昨
zəuβʔ	[8]熟续
tʊʔ	[7]啄{拨条蛇tʊʔ口，拨只鸡tʊʔ口}厾{~石头，扔之义}笃{胖~~，~定}□{嘴巴~起来}
tʰʊʔ	[7]托
dʊʔ	[8]踱{~头:莽撞的人，莽撞的傻子}喥{~头:莽撞的人，莽撞的傻子}
dəuβʔ	[8]读毒
nʊʔ	[7]诺
lʊʔ	[7]落乐
ləuβʔ	[7]六绿
kʊʔ	[7]角搁{摆放}阁觉{觉着}
kəuβʔ	[7]谷
kʰʊʔ	[7]壳
kʰəuβʔ	[7]哭
hʊʔ	[7]□{一种用手掌吸住的动作}
ŋʊʔ	[7]鹤{太湖边的白色水鸟}岳
pʊʔ	[7]八
puβʔ	[7]剥北膊{赤膊，读/tsʰaʔ puβʔ/。而手臂称作/pi pʊ/，是“臂把”，非“臂膊”}
pʰuβʔ	[7]扑
bʊʔ	[8]箔濮{溇港地名:濮溇}薄
buβʔ	[8]伏
fuβʔ	[7]福复
uβʔ	[7]服缚
ʊʔ	[7]恶{打恶：干呕}龌{龌龊}学{白读，学堂}
uβʔ	[7]屋镬{镬子}□{~煞：淹死}
mʊʔ	[7]木目莫摸
ʨiʊʔ	[7]菊{~花，且"菊"为人名常用字}
ʨʰiəuβʔ	[7]曲{只脚曲曲：脚扭了一下}蛐{蛐蟮}
ʥiʊʔ	[8]局{又读ʥiəuβʔ}
ʥiəuβʔ	[8]局{又读ʥiʊʔ}
ȵiəuβʔ	[7]玉肉褥揉
iʊʔ	[7]学{文读，学习、学费、大学}
iəuβʔ	[7]浴{潮浴}
tsɪʔ	[7]折侧者{孙行者}只{只有、只得}织职汁卒则疖{此字读/tsɪʔ/，同"折卒"等字，常见“疖”{单字}、“热疖头”}
tsʰɪʔ	[7]撮{撮起来:捡起来}出
sɪʔ	[7]湿虱说失塞色识释式适刷圾{垃圾/lɪʔ sɪʔ/}
dzɪʔ	[8]直值
zɪʔ	[8]舌食{"小食"读为/zɪʔ/，新词"食品橱"读为/zaʔ/}实{"老实"读为/zɪʔ/，"实事求是"读为/zaʔ/}贼{多读为/zaʔ/，"做贼"有/zaʔ//zɪʔ/两读}入{"入屄"、"入材"（入殓）读为/zaʔ/，新词"收入"读为/zɪʔ/}石{多读为/zaʔ/，如"石头"。"石榴"只能读为/zɪʔ/}十{多读为/zaʔ/，如单字"十"。"初十"只能读为/zɪʔ/}
pɪʔ	[7]不{单读"无不"，为/m pɪʔ/}拨
pʰɪʔ	[8]泼
bɪʔ	[8]蹩拨别{此字读/bɪʔ/，"别"在大多数吴语中可读/bəʔ/}
mɪʔ	[7]谜末墨默没
vɪʔ	[8]佛
tɪʔ	[7]得掇德
tʰɪʔ	[7]脱忒
dɪʔ	[8]特蝶{"蝴蝶"有/ɪʔ/、/iᶽʔ/两读。但"叶蝶"读/ɪʔ diᶽʔ/，仅一读}
nɪʔ	[7]衲尔{第二人称单数}
lɪʔ	[7]粒{此字读/lɪʔ/，湖州市区、桐乡、海宁"粒"读/ləʔ/}肋垃{垃圾/lɪʔ sɪʔ/}
kɪʔ	[7]割鸽蛤合格{大多读为/kaʔ/，如"格子"。新词"及格"读为/kɪʔ/}
kʰɪʔ	[7]克刻咳磕
hɪʔ	[7]黑
gɪʔ	[8]搿{~牢:抱牢}
ɪʔ	[7]一{"一"单字读时读/iᶽʔ/，且大多数情况读/iᶽʔ/，在少数词词首可以读/ɪʔ/}合叶越{"越"大多数情况读/ɪʔ/，只有"越剧"一词可以/ɪʔ/、/iᶽʔ/两读，因人而异}
ŋɪʔ	[7]扼{有/ŋɪʔ//ŋaʔ/两读}
kuɪʔ	[7]国郭骨
kʰuɪʔ	[7]阔
huɪʔ	[7]忽
uɪʔ	[7]活或核{指果实的核，如“个核吐出来”}
fəʔ	[7]弗{否定词"弗"仍读 /fəʔ/，无/fɪʔ/的音节}
pəʔ	[7]不{"无不"加语气词"哎、啊"，为/m pəʔ E/、/m pəʔ ã/，也可连读成/m pE/、/m pã/}
tsᴀʔ	[7]着只扎摘撒{撒的动作。本字存疑}
tsʰᴀʔ	[7]拆绰赤尺册察
sᴀʔ	[7]萨杀煞
dzᴀʔ	[8]着{着火}
zᴀʔ	[8]若弱闸宅煠{水煮之义}日{文读，如"日本人"}食{"小食"读为/zɪʔ/，新词"食品橱"读为/zaʔ/}实{"老实"读为/zɪʔ/，"实事求是"读为/zaʔ/}贼{多读为/zaʔ/，"做贼"有/zaʔ//zɪʔ/两读}入{"入屄"、"入材"（入殓）读为/zaʔ/，新词"收入"读为/zɪʔ/}石{多读为/zaʔ/，如"石头"。"石榴"只能读为/zɪʔ/}十{多读为/zaʔ/，如单字"十"。"初十"只能读为/zɪʔ/}
tᴀʔ	[7]搭答
tʰᴀʔ	[7]榻{/tʰᴀʔ sᴀʔ/，形容人得重病的状态。怀疑本字为“榻杀”，得重病卧床不起，最终可能在床上去世，由此义引申}塔塌{塌鼻头、塌饼、扑塌困:趴着俯睡}搨{搨药膏}□{连词，帮、替}
dᴀʔ	[8]踏达
nᴀʔ	[7]㑚{第二人称复数，你们}□{~进去，一个用手指推的动作}
lᴀʔ	[7]辣蜡腊
kᴀʔ	[7]隔甲夹{夹里:衣服的里层}格{大多读为/kaʔ/，如"格子"。新词"及格"读为/kɪʔ/}
kʰᴀʔ	[7]客
hᴀʔ	[7]吓瞎
gᴀʔ	[8]轧{轧闹猛}夹{夹钳、夹牢、夹辣里向}
ŋᴀʔ	[7]额{额角、额角头}扼{扼断}伢{第一人称复数，我们}
pᴀʔ	[7]百柏
pʰᴀʔ	[7]拍
bᴀʔ	[8]白拔
fᴀʔ	[7]发法
vᴀʔ	[8]罚
mᴀʔ	[7]抹袜陌麦脉𢫦{莫白切，打之义}
ᴀʔ	[7]阿轧{地名:轧村}鸭压匣押狭
ʨiᴀʔ	[7]脚雀
ʨʰiᴀʔ	[7]雀却鹊
ɕiᴀʔ	[7]削
ʑiᴀʔ	[8]嚼
ȵiᴀʔ	[7]捏箬{裹粽子的箬，有粽箬、芦箬}
iᴀʔ	[7]约药
liᴀʔ	[7]略
kuᴀʔ	[7]括刮
huᴀʔ	[7]□{~转}霍{~闪:出闪电。本字存疑}
uᴀʔ	[7]滑划
