#漢字	音標
氐	ti1
氐	tsɿ1
胝	tsɿ1
秪	tsɿ1
疷	tsɿ1
知	tsɿ1
知	tɕi1
蜘	tsɿ1
蜘	tɕi1
䣽	tsɿ1
䝷	tsɿ1
鼅	tsɿ1
䵹	tsɿ1
呲	tsɿ1
呲	tsʰɿ2
鴜	tsɿ1
鴜	tsʰɿ2
嫢	kʰui6
嫢	tsɿ1
嫢	ɕien6
鮆	tsɿ1
媊	tsɿ1
媊	tɕien3
惢	so3
惢	tsɿ1
惢	tsʰui6
𨚖	tsɿ1
㠿	tsɿ1
姕	tsɿ1
姕	tsʰɿ1
㰣	tsɿ1
㰣	tɕi5
鄑	tsɿ1
䖪	tsɿ1
貲	tsɿ1
鈭	tsɿ1
鈭	tsʰɿ1
髭	tsɿ1
𦺱	tsɿ1
頾	tsɿ1
頿	tsɿ1
𪕊	tsɿ1
訾	tsɿ1
訾	tsɿ3
厜	tsɿ1
纗	fa6
纗	fui5
纗	fɨi5+
纗	tsɿ1
纗	ui6
㭰	tsui1
㭰	tsui3
㭰	tsɿ1
觜	tsui3
觜	tsɿ1
鶿	tsɿ1
鶿	tsʰɿ2
鷀	tsɿ1
鷀	tsʰɿ2
孖	tsɿ1
孖	tsʰɿ6
孜	tsɿ1
茲	tsɿ1
茲	tsʰɿ2
兹	tsɿ1
兹	tsʰɿ2
嗞	tsɿ1
嵫	tsɿ1
孳	tsɿ1
孳	tsʰɿ6
滋	tsɿ1
稵	tsɿ1
稵	tɕiu1
鼒	tsɿ1
鼒	tsʰai2
鎡	tsɿ1
鰦	tsɿ1
𪑿	tsɿ1
𩆂	tsɿ1
𩆂	tsʰɿ2
蒫	tsɿ1
蒫	tsʰo2
蒫	tɕia1
齎	tsɿ1
齎	tɕi1
咨	tsɿ1
姿	tsɿ1
𣳩	tsɿ1
粢	tsɿ1
資	tsɿ1
諮	tsɿ1
澬	tsɿ1
澬	tsʰɿ2
𩄚	tsɿ1
齍	tsɿ1
𪗉	tsɿ1
𧞓	tsɿ1
𪗋	tsɿ1
茬	tsɿ1
茬	tsʰɿ2
甾	tsɿ1
菑	tsɿ1
䊷	tsɿ1
䣎	tsɿ1
淄	tsɿ1
葘	tsɿ1
椔	tsɿ1
椔	tsɿ5
湽	tsɿ1
䎩	tsɿ1
𦸜	tsai1
𦸜	tsɿ1
緇	tsɿ1
輜	tsɿ1
輜	tsʰɿ1
輺	tsɿ1
錙	tsɿ1
𥀜	tsɿ1
鍿	tsɿ1
鯔	tsɿ1
鶅	tsɿ1
鶅	tsɿ5
甾	tsɿ1
齜	tsɿ1
齜	tsʰai2
眵	tsɿ1
眵	tsʰɿ1
䡋	tsɿ1
支	tsɿ1
支	tɕi1
卮	tsɿ1
巵	tsɿ1
