// HSD Syllabary Data Partition
// 地区：寧夏回族自治區-中衛市-沙坡頭區-濱河鎮/文昌鎮
// 来源：林濤，馮萬和，范學靈《中衛方言志》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	寧夏回族自治區-中衛市-沙坡頭區-濱河鎮/文昌鎮
@SRC	林濤，馮萬和，范學靈《中衛方言志》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	k	kʰ	x	tʂ	tʂʰ	ʂ	ts	tsʰ	s	Ø
@FIN	a
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	13

// Initial	Final	Tone	CharList (Space separated)
p	a	陰平	巴{盼望} 芭{~蕉} 笆{扒~灰} 疤{~痕}
p	a	陽平上	把{一~（量詞）；~守（動詞）} 靶{~子} 眉{~屎（動詞）} □{~一（名詞）}
p	a	去聲	八 把{刀~（名詞）} 爸 壩{堤~} 罷 拔{~蘿蔔（動詞）} 跋{後~} 耙{（名詞）~地（動詞）} 霸{~佔}
pʰ	a	陰平	啪{（象聲詞）} □{粗疏、不結實：布~得很}
pʰ	a	陽平上	帕{手~} 趴{~下} 杷{枇~} 琶{琵~} 鈀{釘~子}
pʰ	a	去聲	怕
m	a	陰平	媽 麻{~煩}
m	a	陽平上	馬 瑪{~} 碼{~起來（動詞）} 螞{~蟻} 麻{~繩，~疹}
f	a	陽平上	乏{疲~}
f	a	去聲	法{方~} 發 伐{討~} 琺{~瑯} 砝{~碼} 筏{皮~子} 閥{~門} 罰
v	a	陰平	哇{（象聲詞）} 蛙 媧{女~} 挖{~土}
v	a	陽平上	娃 瓦{擦舀：~麵}
v	a	去聲	窪 襪 凹
t	a	陰平	嗒 噠{（象聲詞）} 耷{~拉} 瘩{疙~} 絡{紇~}
t	a	陽平上	打{（動詞）一~（量詞）}
t	a	去聲	大 達 搭 褡{~褳（名詞）} 韃{~子}
tʰ	a	陰平	沓{（又音）} 趿{~拉鞋}
tʰ	a	陽平上	拓{姓}
tʰ	a	去聲	沓{一~（量詞）} 塔 踏 榻{下~} 蹋 塌{倒~} 拓{~碑文} 溻{~濕} 褟{汗~子} 獺{水~}
n	a	陽平上	拿 哪{~裡：疑問}
n	a	去聲	吶{嗩~} 納{姓} 衲{百~衣} 鈉 捺 娜 那=
l	a	陰平	拉 垃{~圾} 剌{~一刀（動詞）} 啦{~~隊}
l	a	陽平上	喇{~叭}
l	a	去聲	辣 蠟{~燭} 臘{~月} 落{~巴子} 邋{~遢}
k	a	陰平	嘎{（象聲詞）} 疙{~瘩} 紇{~絡}
k	a	陽平上	旮{~日鬼} 尕{~~即奶頭} 虼{跳~子}
k	a	去聲	革{~命} 格{~子} 隔{~開} 嗝{打~} 膈{橫~膜}
kʰ	a	陰平	喀{~喳（象聲詞）} □{拋~子：舊時小孩玩的一種遊戲}
kʰ	a	陽平上	卡{~車} 咖{~啡} 咯{用力咳：~痰}
kʰ	a	去聲	客 咳{~} 刻{~字（動詞）；一~（量詞）} 克{~服}
x	a	陰平	哈{（象聲詞）點頭~腰} 呵{~氣} 煆 熘 餎{~饃饃，蒸熟的饅頭放涼後再入籠加熱}
x	a	陽平上	哈{姓}
x	a	去聲	瞎{壞：這個娃娃~~的}
tʂ	a	陰平	喳{（象聲詞）} 渣{~滓} 齄{~~裙} 挖{伸開} 臿{舉起：~胳膊揚腿}
tʂ	a	陽平上	碴{~子} 閘{電~} 劄{~肉，~胳膊} 拃{張開大拇指和中指度量（動詞）；一~長（量詞）}
tʂ	a	去聲	紮{~頭繩} 札{駐~} 笮{~菜} 詐{~哄} 痄{~腮} 吒{叱~風雲} 柵{~欄} 眨 軋{~銅} 閘{水~} 鍘{~刀} 蠟{年祭（又音）}
tʂʰ	a	陰平	叉 杈{木~} 差{~錯} 詫{~異}
tʂʰ	a	陽平上	茶 搽{塗抹：~胭脂} 查 碴{玻璃~} 茬{倒~} 察 奼{~紫嫣紅} 剎{古~}
tʂʰ	a	去聲	岔{打~} 衩 插 餷{~黏飯} 碴{腳~到泥裡了}
ʂ	a	陰平	沙 紗{~布} 砂 痧{刮~} 裟{袈~} 鯊{~魚} 杉{~木}
ʂ	a	陽平上	廈{高樓大~} 傻{~子} 霎{~時} 啥=
ʂ	a	去聲	殺 煞{~車}
ts	a	陽平上	咱{自稱} 咋{（疑問代詞）} 噆{呼語：長呼幼}
ts	a	去聲	咂{~奶} 砸{~核桃} 雜
tsʰ	a	陰平	嚓{（象聲詞）}
tsʰ	a	陽平上	鑔{民間樂器}
tsʰ	a	去聲	擦 礤{把瓜、蘿蔔刮成絲的用具：~子}
s	a	陰平	仨{三個} 薩{姓} 靸{~鞋（象聲詞）} 颯{風聲}
s	a	陽平上	灑{~水} 撒{~種} 啥-{幹~}
s	a	去聲	撒{（又音）~手不管} 靸{~鞋（動詞）；~板子（名詞）：一種木拖鞋}
Ø	a	陰平	阿{~姨} 啊{（嘆詞）}
Ø	a	陽平上	啊{（應答詞）} 兒 而 耳 爾 洱{~海} 餌{魚~}
Ø	a	去聲	啊{表反問（嘆詞）} 二 貳 阿{自稱之詞，即我} 額-{橫~}
﻿// HSD Syllabary Data Partition
// 地区：寧夏回族自治區-中衛市-沙坡頭區-濱河鎮/文昌鎮
// 来源：林濤，馮萬和，范學靈《中衛方言志》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	寧夏回族自治區-中衛市-沙坡頭區-濱河鎮/文昌鎮
@SRC	林濤，馮萬和，范學靈《中衛方言志》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	k	kʰ	x	tʂ	tʂʰ	ʂ	ʐ	ts	tsʰ	s	Ø
@FIN	aŋ
@TON	陰平	44
@TON	陽平上	53
@TON	去聲	13

// Initial	Final	Tone	CharList (Space separated)
p	aŋ	陰平	邦{治國安~} 幫{~助} 梆{~子} 乒乓{~球} 濱{水邊}
p	aŋ	陽平上	綁 榜{~樣} 膀{~子} 鎊{英~} 磅{~秤}
p	aŋ	去聲	蚌{~殼子} 棒{木~} 半{（又音）一個饃饃}
pʰ	aŋ	陰平	胖{腫~~}
pʰ	aŋ	陽平上	徬{~徨} 龐{~大} 旁{~邊} 膀{~胱} 磅{~礡} 傍{~晚} 蒡{牛~子} 螃{~蟹}
pʰ	aŋ	去聲	胖
m	aŋ	陰平	□{~哥：小孩的愛稱}
m	aŋ	陽平上	忙 盲{文~} 邙 氓{流~} 莽{草~} 蟒{~蛇} 硭{~硝}
f	aŋ	陰平	方 妨{不~事} 枋
f	aŋ	陽平上	防{~止} 仿{寫~} 紡{~織} 房{~子} 坊{牌~} 訪{~問} 舫{畫~} 芳{~草} 肪{脂~}
f	aŋ	去聲	放
v	aŋ	陰平	汪
v	aŋ	陽平上	王{姓} 芒{麥~} 亡{死~} 枉{冤~} 往{~前（動詞）} 網{~羅} 罔{置若~聞} 惘{~悵} 輞{車~子} 魍{~魎}
v	aŋ	去聲	旺{興~} 忘{~記} 望{希~} 往{~東（介詞）} 妄{~想}
t	aŋ	陰平	當{~家、正~} 璫{（象聲詞）} 襠{褲~}
t	aŋ	陽平上	黨{~派} 擋{~風}
t	aŋ	去聲	當{~鋪} 擋{（又音）阻~} 檔{~案} 宕 茛{~片} 碭{~山梨} 蕩{動~} 讜{嫡~}
tʰ	aŋ	陰平	湯{菜~} 鏜{（象聲詞）}
tʰ	aŋ	陽平上	唐 溏{雞~屎} 搪{~瓷} 塘{池~} 糖{赭紫~臉} 堂 膛{胸~} 螳{~螂} 棠{海~} 淌{~汗} 倘{~若} 躺{~下}
tʰ	aŋ	去聲	燙{~傷} 趟{一~（量詞）} 儻{倜~}
n	aŋ	陰平	囊{~膪} □{~包} 饢 囔{嘟~}
n	aŋ	陽平上	攮{戳：一~刀} 饢{~飯}
n	aŋ	去聲	齉{~鼻子}
l	aŋ	陰平	□{~球} 啷{（象聲詞）}
l	aŋ	陽平上	郎{新~} 廊{房~簷} 榔{~頭} 螂{螳~} 狼 琅{書聲~~} 閬{稀：~溏子稀飯}
l	aŋ	去聲	浪{~門子（動詞）、波~（名詞）} 朗{~讀} 莨{~宕}
k	aŋ	陰平	岡 剛 鋼{大~} 綱 青{~} 鋼{~刀} 扛{抬~（動詞）} 肛{~門} 缸{水~} 罡{天~星}
k	aŋ	陽平上	崗{山~} 港{香~}
k	aŋ	去聲	杠{木~子（名詞）} 鋼{~刀（動詞）} 虹{雙~} 戇{性~、~脾氣}
kʰ	aŋ	陰平	康{姓} 慷{~慨} 糠{米~} 糠{蘿蔔~了}
kʰ	aŋ	陽平上	扛{~糧食} 抗{（又音）有~勁}
kʰ	aŋ	去聲	亢 伉{~儷} 抗{~糧} 炕{暖~（名詞）、~糧食、~花椒（動詞）}
