汉字	ipa	声母	韵母	声调
爸	pa51	p	a	陰平51
疤	pa51	p	a	陰平51
巴	pa51	p	a	陰平51
爬	pa31	p	a	陽平31
把	pa55	p	a	陰上55
霸	pa35	p	a	陰去35
欛	pa35	p	a	陰去35
壩	pa35	p	a	陰去35
垻	pa35	p	a	陰去35
罷	pa212	p	a	陽去212
怕	pʰa35	pʰ	a	陰去35
麻	ma31	m	a	陽平31
媽	ma55	m	a	陰上55
馬	ma24	m	a	陽上24
罵	ma212	m	a	陽去212
花	fa51	f	a	陰平51
華	va31	v	a	陽平31
鏵	va31	v	a	陽平31
化	va35	v	a	陰去35
畫	va212	v	a	陽去212
劃	va212	v	a	陽去212
話	va212	v	a	陽去212
打	ta55	t	a	陰上55
他	tʰa51	tʰ	a	陰平51
它	tʰa51	tʰ	a	陰平51
拿	na31	n	a	陽平31
渣	tʃa51	tʃ	a	陰平51
抓	tʃa51	tʃ	a	陰平51
茶	tʃa31	tʃ	a	陽平31
查	tʃa31	tʃ	a	陽平31
搽	tʃa31	tʃ	a	陽平31
詐	tʃa35	tʃ	a	陰去35
榨	tʃa35	tʃ	a	陰去35
炸	tʃa35	tʃ	a	陰去35
乍	tʃa35	tʃ	a	陰去35
差	tʃʰa51	tʃʰ	a	陰平51
參	tʃʰa51	tʃʰ	a	陰平51
差	tʃʰa51	tʃʰ	a	陰平51
叉	tʃʰa51	tʃʰ	a	陰平51
差	tʃʰa51	tʃʰ	a	陰平51
別	tʃʰa51	tʃʰ	a	陰平51
價	tʃʰa51	tʃʰ	a	陰平51
岔	tʃʰa35	tʃʰ	a	陰去35
沙	ʃa51	ʃ	a	陰平51
紗	ʃa51	ʃ	a	陰平51
耍	ʃa55	ʃ	a	陰上55
加	ka51	k	a	陰平51
嘉	ka51	k	a	陰平51
家	ka51	k	a	陰平51
茄	ka31	k	a	陽平31
假	ka55	k	a	陰上55
賈	ka55	k	a	陰上55
嫁	ka35	k	a	陰去35
駕	ka35	k	a	陰去35
稼	ka35	k	a	陰去35
價	ka35	k	a	陰去35
架	ka35	k	a	陰去35
卡	kʰa55	kʰ	a	陰上55
牙	ŋa31	ŋ	a	陽平31
芽	ŋa31	ŋ	a	陽平31
啞	ŋa55	ŋ	a	陰上55
白	ŋa55	ŋ	a	陰上55
雅	ŋa24	ŋ	a	陽上24
蝦	ha51	h	a	陰平51
霞	ha31	h	a	陽平31
霞	ha212	h	a	陽去212
下	ja35	j	a	陰去35
面	ja35	j	a	陰去35
山	ja35	j	a	陰去35
鴉	øa51	ø	a	陰平51
啞	øa55	ø	a	陰上55
亞	øa55	ø	a	陰上55
波	po51	p	o	陰平51
玻	po51	p	o	陰平51
坡	po51	p	o	陰平51
婆	po31	p	o	陽平31
簸	po35	p	o	陰去35
箕	po35	p	o	陰去35
動	po35	p	o	陰去35
播	po35	p	o	陰去35
棵	pʰo51	pʰ	o	陰平51
白	pʰo51	pʰ	o	陰平51
頗	pʰo55	pʰ	o	陰上55
摩	mo51	m	o	陰平51
魔	mo51	m	o	陰平51
貨	fo35	f	o	陰去35
蓑	θo51	θ	o	陰平51
梭	θo51	θ	o	陰平51
鎖	θo55	θ	o	陰上55
瑣	θo55	θ	o	陰上55
所	θo55	θ	o	陰上55
左	θo55	θ	o	陰上55
坐	θo24	θ	o	陽上24
座	θo212	θ	o	陽去212
多	to51	t	o	陰平51
駝	to31	t	o	陽平31
馱	to31	t	o	陽平31
朵	to55	t	o	陰上55
躲	to55	t	o	陰上55
惰	to212	t	o	陽去212
