	注释：-白读，=文读
#ɯ	
t	[1]猪[2]除[4]伫{在，处在；正在}[5]著箸
tʰ	[2]锄[3]储褚
l	[2]如□{乱，原文作“茹”}[3]女旅汝屡[4]驴吕稆[5]虑滤
ts	[1]书诸资姿咨兹滋辎[2]薯{白～}慈磁{磁石}[3]煮紫{～色}子梓滓[5]自
tsʰ	[1]舒{动词，铺开，展开}蛆疵[2]瓷{陶～}糍{糍粑}雌[3]鼠此侈{奢～}[5]处{相处；处所}次
s	[1]思{～想}舒{～服}斯厮私师司{～机}[2]徐伺词嗣[3]暑似祀{祭～}使史驶矢[4]士仕序叙侍巳{辰巳}[5]事絮绪庶恕赐祠薛思{意～}四=肆
k	[1]居车{车马炮}[2]渠佢[3]举[4]巨拒距矩{规～}[5]据锯{锯子，锯木头}
kʰ	[5]去{来去，去皮}
x	[1]墟{～市}虚嘘{吹～}[2]鱼渔[3]许
ɡ	[3]语[5]御御
∅	[1]於{于此}淤迂于[2]余舁{抬}[3]与{及，给与}[5]预誉{荣～}豫
#ɯʔ	
tsʰ	[7a]䟙{1动词，向前扑跌；2可重叠表示困倦的样子}
#e	
p	[2]爬琶杷耙[3]把{量词，一手抓起的数量}[4]白[5]币弊蔽敝毙陛{陛下}
pʰ	[5]帕{自下往上兜住，拢住}
b	[2]迷谜[3]马码[4]脉麦
t	[1]低[2]茶[4]□{“第一”的合音，相当于“最”}[5]帝第递戴{～云山}□{打}滞
tʰ	[1]□{斜躺}[2]提堤[3]体䖳[4]宅
l	[2]璃黎[3]礼[5]例励丽隶利厉
ts	[2]齐[5]债寨祭际济荠剂製{制造}制{制度}□{这里}
tsʰ	[1]岔妻差{出差；差遣，使唤}叉{～仔，发卡；夹发卡}杈栖[5]砌
s	[1]纱西捞犀{～利}[2]垂{澜～，围嘴}[5]世细势誓逝□{摔，打；摔倒}
k	[1]加{多}闺家[2]椵{卡住}[3]假{真假}[4]□{价钱低}□{噎住}[5]架嫁价计继
kʰ	[3]启[4]下{放置}
x	[2]虾{鱼～}□{代词，那，原文作“奚”}携[4]下{放置，投放；许愿}[5]系夏{春～}兮
ɡ	[2]芽衙个{一个；结构助词，相当于普通话的“的”和“地”}[5]艺毅
∅	[1]哑{～狗，哽巴}[4]厦{～门}解{明白，会}[5]下{1动量词；2名量词，用于不定量的一些，或整体的一部分；3名词，次序靠后的}缢
#eʔ	
p	[7a]伯-擘檗□{～腹，担心，原文作“憋”}□{爬；坐或站起来}柏
t	[7a]□{压；种植}硩{压；种植}
tʰ	[7a]□{精光；裸露，原文作“澈”}
l	[7a]□{lak7b～，邋遢}
ts	[7a]叔□{现在，从此以后}
tsʰ	[7a]册厕
k	[7a]隔{1动词，～开；2量词，用于器物隔成的格子或者表格方格纸的格子}格
kʰ	[7a]客
x	[7a]□{那时，可指过去，也可指将来}
ɡ	[7a]□{夹住}
#a	
p	[1]巴芭疤[3]饱把{～握}[4]爸[5]霸罢豹
pʰ	[1]脖葩{量词，用于电灯、火，也用于辫子}[4]泡雹[5]怕帕
b	[2]麻{～痹}猫{山～，野猫}
t	[1]焦{干}大{～家，婆婆}[4]踏
tʰ	[4]叠{叠；量词，用于成叠的东西}[5]□{挑，拨动}
l	[1]拉[2]蟧{～蜈，蜘蛛的一种，腿细长}[4]蜡腊镴猎挠{搅动}曆{～日}[5]□{卜～，要做什么}
ts	[1]楂渣查{调～}茬[3]早[4]闸锄[5]炸{炸弹；油炸}诈榨昨柞
tsʰ	[1]差{～别}叉[2]柴查{查找}[3]吵炒
s	[1]捎{抓}莎纱[2]傻[3]洒{潇～}[4]煠{焯，食物放在滚水里稍煮一下}
k	[1]佳茄{雪～}家加痂嘉傢稼胶皎铰{动词，剪；名词，剪刀}夹{～克}交{～定，预定}[3]假{放假}贾{姓}绞{转动（轴、齿轮等）；碾磨谷物；肚子绞痛}□{闹腾，疯玩}[4]咬[5]驾教{～书}漖{粥、面等汤水多}架{量词，用于电器和交通工具}
kʰ	[1]骹{腿，脚}尻{～川，屁股}奇{量词，用于袋桶等容器，也用于单只鞋、袜、手镯等}[3]巧{乖～，听话}[5]敲{～门；～电话，打电话}
x	[2]霞遐暇□{系，围（围巾、围裙等）}[3]哈{～腰}[4]合{适合，符合}下{～降}□{竹皮，某些植物的包皮，原文作“筪”}[5]厦{大～}夏{姓}
ɡ	[2]牙
∅	[1]鸦丫亚腌{～臜，肮脏}[2]阿[4]盒{烟～}匣{箱～}
#aʔ	
p	[7a]百
pʰ	[7a]拍{相当于普通话的“打”}
b	[7a]□{肉，原文作“觅”}
t	[7a]搭{1用手轻轻拍打表示抚慰；2简单搭盖，架；3沽，购买；4紧贴着，挨着，靠近；5与指示代词连用，表示地所在}贴嗒{儿语，吃}
tʰ	[7a]塔
ts	[7a]扎{身上携带钱物等}
tsʰ	[7a]插
s	[7a]□{咬，尤指狗等凶猛地咬}
k	[7a]甲{干支里的“甲”}□{程度补语，相当于普通话的“得很”；述补之间的助词}裌{马甲，背心}胛合{～意；连词，介词，相当于“和”}夹{搭配（其他东西）}盖{～被}□{叫，使唤}
kʰ	[7a]卡较{副词，放在形容词前表比较}
x	[7a]哈{喝（酒）}
ɡ	[7a]□{a3～，大约}
∅	[7a]鸭押益{～母草}抑{连词，或者，而}
#o	
p	[1]玻波{微～炉}菠煲{烹饪方法；容器}[2]婆[3]保堡宝[4]薄[5]报
pʰ	[1]波坡[4]抱{动词，量词，用于花草，相当于“丛”}
b	[2]无[4]膜{薄～}[5]帽
t	[1]刀叨[2]投驼驮逃[3]到{倒下来，躺}[4]着{着火；灯亮}择{～菜}[5]倒{～水；返回}
tʰ	[1]叨{鸭、鹅等伸头吃食或咬人}[2]桃萄□{tʰit7b～，游玩，玩耍}[3]讨[5]套椭
l	[1]啰{～嗦}[2]罗锣箩唠{用撒娇或者不停劝说、哀求等方法央求、纠缠}骆{～驼}[3]脑{恼}[4]落{～后；烹饪时放油、调味料等}
ts	[1]邹□{随便、胡乱涂抹}[2]槽[3]枣[4]座{□lo5～，调皮，好玩}皂[5]造{建造}座{量词}皱
tsʰ	[1]臊{腥气}[3]草=[5]错{～误}措糙莝{用刀斧砍、劈，原文作“剉”}
s	[1]骚梭唆搜挲{抚摸；抹，搓}[2]趖{（爬行动物）爬；（人）闲逛}[3]锁琐{～碎}嫂[4]镯[5]燥{尿尿布瘦}
k	[1]哥锅膏篙羔糕咖{～啡}高{～丽参}[2]□{搅拌；结交不三不四的朋友}[3]稿{单字音；量词，称量样状的或带杆的蔬菜，生熟均可}[4]膏{涂，抹}[5]告{起～，起诉}个{个人；时间量词，只用于月}
kʰ	[1]□{慢煮使熟，汤水较多}[3]洘{汤粥等汤水少，浓稠}[4]□{量词，用于称量粪便、鼻涕等，相当于“坨”}[5]靠{硌}
x	[2]毫豪荷{～花}和{符合，吻合；～气}[3]好{形容词，与坏相对}[4]鹤[5]号{1名词，号数，号码；2动词，命名，起名字；3动词，在名义上占有}荷{薄～}贺
ɡ	[5]饿
∅	[1]埚{1慢煮使熟，汤水少或没有汤水，或者用少量油慢火煎煮；2热菜热饭}阿{～咾，称赞}窝蜗[2]河蚝{海蛎}[4]学-[5]奥袄懊沃{肥～}
#oʔ	
pʰ	[7a]粕{渣滓；重叠后形容像嚼渣滓一样无味}
b	[7a]膜{紧贴，附着}卜{要，方言俗字}□{要}
t	[7a]桌
l	[7a]□{形容词，叠用，形容软塌塌、烂烂的状态，常用于形容食物}
ts	[7a]作{～塍，～工}
tsʰ	[7a]□{很凶地骂}
s	[7a]索{绳索}
k	[7a]□{副词，再，还}佫{副词，再，还}阁廓
