#ɿ		
x	①喝{老文读} ②河和 ③火 ⑤贺和{∽面}货祸 ⑦合盒喝{∽彩}鹤斛活霍	
ŋ	③我 ⑦恶{老文读}	
ts	①猪 ③左 ⑤坐 ⑦作桌酌着缀辍拙镯	
tsʰ	⑤错锉 ⑦戳着{白，觉觉∽}撮凿	
s	③所 ⑦说索缩勺	
z	⑦若弱	
Ø	①窝 ②俄 ⑤饿卧 ⑦握沃	
#uo		
k	①过 ⑤过	
Ø	⑤饿	
#io		
n	⑦略	
tɕ	⑦觉脚绝角	
tɕʰ	⑦确雀	
ɕ	⑦学	
Ø	⑦虐岳约藥阅越	
#ɤ		
k	①哥歌 ⑤个 ⑦鸽割阁搁合{∽升}葛各角	
kʰ	①科 ③可 ⑤课 ⑦磕壳渴阔	
x	⑦喝盒或鹤豁	
ŋ	③我 ⑦恶腭鄂	
#e		
t	⑦得	
#ie		
p	⑦别憋	
pʰ	⑦撇别{白，~针}	
m	⑦灭㩢{掰}	
t	⑦跌帖	
tʰ	⑦铁贴跌	
n	⑦列劣	
ȵ	⑦捏臬聂业镊孽	
tɕ	③解{文} ⑤戒借 ⑦揭杰接节结竭截去{白}	
tɕʰ	⑦切	
ɕ	⑤蟹{文}谢 ⑦胁协歇血穴	
Ø	⑤夜 ⑦葉谒	
#ye		
tɕ	⑦决绝	
tɕʰ	⑦缺	
ɕ	⑦薛削雪血	
Ø	⑦阅月越曰	
#ɚ		
k	①个	
Ø	②而兒 ③耳尔 ⑤二贰	
#ae		
p	③摆 ⑤拜败 ⑦北白伯百	
pʰ	②排牌 ⑤派 ⑦拍泊迫	
m	②埋 ③買 ⑤賣 ⑦麦墨	
t	①在{白} ⑤代待带袋在{白} ⑦得德	
tʰ	①胎 ②台 ③大{白} ⑤泰太 ⑦特忒	
n	①奶{白，吃∽~} ②來 ③乃奶 ⑤赖 ⑦勒	
k	①该街皆 ③改解{白} ⑤盖 ⑦隔革格	
kʰ	①开 ③楷 ⑤忾概 ⑦克刻客	
x	①害{白，~怕} ②鞋还 ③海蟹 ⑤亥害 ⑦吓{恐∽}赫黑核	
ŋ	①哀 ②崖岩 ③矮 ⑤艾爱 ⑦额厄	
ts	①灾斋在{白} ③宰 ⑤再在债寨 ⑦摘则贼窄责折侧{白}	
tsʰ	①猜 ②才柴 ③採 ⑤蔡菜 ⑦辄徹辙澈测侧泽择策宅	
s	①腮筛 ⑤晒射社舍{宿~} ⑦设涉色涩瑟舌虱塞	
z	⑦热	
#uae		
k	①乖 ③拐 ⑤怪 ⑦国郭	
kʰ	③块□{个} ⑤快会{∽计} ⑦阔括廓扩	
x	②怀 ⑤坏	
tsʰ	③揣	
s	①衰 ⑤帥	
Ø	①歪 ③歪{口} ⑤外	
#iai		
tɕ	③解{20后老派} ⑤介{20后老派}界{20后老派}戒{20后老派}械{20后老派}	
ɕ	②偕{20后老派}谐{20后老派}	
#ei		
p	①卑悲碑杯 ⑤倍贝臂背	
pʰ	①披胚批 ②赔培陪 ③丕 ⑤配佩譬	
m	①没 ②梅煤眉{~山} ③美 ⑤妹	
f	①飞非妃 ②肥 ③匪 ⑤肺费废	
ts	①这遮 ③者 ⑤这 ⑦这	
tsʰ	①车 ③扯	
s	①赊 ②蛇 ③舍{~弃}捨	
z	③惹	
t	①堆 ⑤在{白}对	
tʰ	①推 ③腿 ⑤退	
n	①那{白}的{白} ⑦那{白}	
k	①给 ③给	
#uei		
t	①堆 ⑤对队兑	
tʰ	①推 ②颓 ③腿 ⑤退	
n	②雷 ③累 ⑤内类累彙	
k	①归龟规 ③鬼 ⑤桂贵柜跪	
kʰ	①亏魁 ②葵 ⑤溃愧	
x	①灰徽 ②回 ③毀 ⑤会惠慧	
ts	①锥追 ②贼 ③嘴 ⑤罪最醉	
tsʰ	①吹 ②垂锤 ⑤脆翠悴粹碎	
s	②随谁 ③水 ⑤岁税睡瑞	
z	⑤銳	
Ø	①威 ②危微围维惟為 ③委尾 ⑤卫畏位未味為胃	
#ao		
p	①包抱雹 ③饱宝 ⑤报暴瀑曝抱{文}	
pʰ	①抛泡{口，水~} ②袍 ③跑 ⑤礮泡	
m	①貓 ②毛茅 ③卯 ⑤帽貌	
t	①刀 ③倒{~塌}着{白，站~} ⑤到道稻盗导{新}倒{~水}	
tʰ	①滔 ②桃涛 ③討 ⑤套导	
n	①捞 ②牢 ③腦老 ⑤闹	
k	①高 ③稿 ⑤告觉{白，~~}	
kʰ	①敲 ③考 ⑤靠	
x	②豪 ③好 ⑤好号	
ŋ	②熬 ③袄咬 ⑤奧	
s	①烧 ②苕 ③掃嫂少 ⑤绍少	
ts	①槽朝招昭 ②着{白} ③早找澡 ⑤罩赵照灶	
tsʰ	①超抄 ②曹巢潮朝 ③草炒 ⑤造糙躁燥	
z	②绕挠 ③绕{围~，~线} ⑤绕{~线}	
#iao		
