pi53卑悲碑陂{小水坝}
pi44比畀髀{大腿}
pi513泌秘痹臂
pi312备鼻避被{～动}
pʰi53披胚纰痞
pʰi32皮疲脾枇
pʰi44彼鄙
pʰi24婢被{棉～}
pʰi513屁
mi53眯靡糜
mi32眉媚微薇
mi24尾美
mi513沕{潜水}
mi312未味
fi53飞妃司丝
fi32肥词饲祠
fi44死匪翡
fi24巳似祀俟
fi513四肺废费
fi312自字寺
ti53咨姿兹资
ti44子姊紫梓
ti312地
tʰi53雌疵
tʰi44此
tʰi513次刺厕
ni53呢弥{阿～陀佛}
ni32尼弥{～补}
ni24你尔
ni312腻
li53梨痢璃篱{笊～}
li32厘狸离漓篱{～芭}
li24李里理鲤
li312利莉吏
tɕi53知之支枝
tɕi44止只旨址
tɕi513至志致质{人～}
tɕi312治痔稚雉
tɕʰi53差痴眵黐
tɕʰi32池弛驰持
tɕʰi44矢齿侈岂
tɕʰi513帜翅
ɕi53尸师诗狮
ɕi32时迟恃嗜
ɕi44史屎
ɕi24市事柿是
ɕi513试
ɕi312士氏示侍
ȵi53儿{粒～}宜{便～}
ȵi32仪而谊疑儿{～童}宜{合～}
ȵi24议耳饵拟
ȵi312二义贰倪
ki53讥饥机期{～年}奇{～数}几{茶～}
ki44己纪杞几{～个}
ki513记既寄
ki312技忌妓
kʰi32其棋旗骑期{时～}奇{～怪}
kʰi24企{～业。～起：站起來}
kʰi513冀
hi53欺希稀牺
hi44起喜
hi513气汽戏弃
ji53衣依医姨
ji32夷异移肄
ji44倚椅
ji24已以矣
ji513意
i312易
bu24妇
pu44补
pu24簿
pu513布怖
pu312步部埠阜
pʰu53铺敷
pʰu32脯葡蒲
pʰu44甫捕圃浦
pʰu513舖{店～}
mu53摹模诬
mu32无
mu44巫舞{～弄}
mu24母武拇侮舞{～蹈}
mu312务戊募墓
fu53夫苏呼肤
fu32扶芙符
fu44抚苦虎斧
fu513库咐诉素
fu312父负付附
tu53都租
tu44堵赌组祖
tu513妒做
tu312度渡镀屠
tʰu53粗
tʰu32杜图徒途
tʰu44土
tʰu24肚
tʰu513吐兔措醋
nu53呶
nu32奴
nu24努
nu312怒
lu53噜{凶狠}
lu32卢芦炉
lu24卤虏掳鲁
lu312路露鹭赂
ku53估咕姑孤
ku44古股鼓贾{商～}
ku513固故顾
ku312□{眼～～：怒目}
kʰu53箍罟{～鱼：捕鱼}
wu53乌污呜坞
wu32壶乎狐
wu44捂{掩}
wu24扈
wu513戽恶{厌～}
wu312互户护沪
fy53须需
fy32徐
fy44仔{～细}
fy24序叙绪储
fy513庶赐恕絮{又读}
