			中山石岐話			中山環城話			南蓢白話			珠海唐家話												
	單字		聲母	韻母	聲調	聲母	韻母	聲調	聲母	韻母	聲調	聲母	韻母	聲調	注釋									
	東		t	ʊŋ	1	t	ʊŋ	1	t	ʊŋ	1	t	ʊŋ	1										
	凍		t	ʊŋ	3	t	ʊŋ	3	t	ʊŋ	3	t	ʊŋ	3										
	鶇		t	ʊŋ	1	t	ʊŋ	1	t	ʊŋ	1	t	ʊŋ	1										
	通		tʰ	ʊŋ	1	tʰ	ʊŋ	1	tʰ	ʊŋ	1	tʰ	ʊŋ	1										
	俑		j	ʊŋ	2	j	ʊŋ	2	j	ʊŋ	2	j	ʊŋ	2										
	桐		tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4										
	洞		t	ʊŋ	3	t	ʊŋ	3	t	ʊŋ	3	t	ʊŋ	3										
	筒		tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4										
	銅		tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4										
	僮		tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4	書僮									
	僮		ts	ɔŋ	3	ts	ɔŋ	3	ts	ɔŋ	3	ts	ɔŋ	3	僮族									
	童		tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4										
	同		tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4										
	仝		tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4	tʰ	ʊŋ	4										
	聾		l	ʊŋ	4	l	ʊŋ	4	l	ʊŋ	4	l	ʊŋ	4										
	朧		l	ʊŋ	4	l	ʊŋ	4	l	ʊŋ	4	l	ʊŋ	4										
	嚨		l	ʊŋ	4	l	ʊŋ	4	l	ʊŋ	4	l	ʊŋ	4										
	瓏		l	ʊŋ	4	l	ʊŋ	4	l	ʊŋ	4	l	ʊŋ	4										
	籠		l	ʊŋ	4	l	ʊŋ	4	l	ʊŋ	4	l	ʊŋ	4										
	隆		l	ʊŋ	4	l	ʊŋ	4	l	ʊŋ	4	l	ʊŋ	4										
	窿		l	ʊŋ	1	l	ʊŋ	1	l	ʊŋ	1	l	ʊŋ	1										
	聰		tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1										
	囪		tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1										
	蔥		tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1										
	叢		tsʰ	ʊŋ	4	tsʰ	ʊŋ	4	tsʰ	ʊŋ	4	tsʰ	ʊŋ	4										
	嵩		s	ʊŋ	1	s	ʊŋ	1	s	ʊŋ	1	s	ʊŋ	1										
	衷		ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1										
	忠		ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1										
	中		ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	中間									
	中		ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3	中獎									
	忡		tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1										
	蟲		tsʰ	ʊŋ	4	tsʰ	ʊŋ	4	tsʰ	ʊŋ	4	tsʰ	ʊŋ	4										
	沖		tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1										
	崇		s	ʊŋ	4	s	ʊŋ	4	s	ʊŋ	4	s	ʊŋ	4										
	眾		ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3	ts	ʊŋ	3										
	螽		ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1										
	終		ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1	ts	ʊŋ	1										
	充		tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1	tsʰ	ʊŋ	1										
	絨		j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4										
	功		k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1										
	工		k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1										
	蚣		k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1										
	公		k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1										
	攻		k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1										
	躬		k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1										
	宮		k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1										
	弓		k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1										
	空		kʰ	ʊŋ	1	kʰ	ʊŋ	1	kʰ	ʊŋ	1	kʰ	ʊŋ	1										
	穹		kʰ	ʊŋ	4	kʰ	ʊŋ	4	kʰ	ʊŋ	4	kʰ	ʊŋ	4										
	訌		h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4										
	洪		h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4										
	虹		h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4										
	烘		h	ʊŋ	3	h	ʊŋ	3	h	ʊŋ	3	h	ʊŋ	3										
	紅		h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4	紅色									
	紅		k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1	k	ʊŋ	1	女紅									
	鴻		h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4										
	翁		j	ʊŋ	1	j	ʊŋ	1	j	ʊŋ	1	j	ʊŋ	1										
	蓊		j	ʊŋ	2	j	ʊŋ	2	j	ʊŋ	2	j	ʊŋ	2										
	雄		h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4										
	熊		h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4										
	融		j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4	j	ʊŋ	4										
	楓		h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1										
	風		h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1										
	蓬		pʰ	ʊŋ	4	pʰ	ʊŋ	4	pʰ	ʊŋ	4	pʰ	ʊŋ	4										
	篷		pʰ	ʊŋ	4	pʰ	ʊŋ	4	pʰ	ʊŋ	4	pʰ	ʊŋ	4										
	蜂		h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1	h	ʊŋ	1										
	梵		f	an	4	f	an	4	f	an	4	f	an	4										
	馮		h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4	h	ʊŋ	4	姓馮									
