#a
p[1]巴吧疤芭豝蚆笆[3]把[5]耙弝妑欛坝灞霸壩罷爸
ph[1]葩舥[3]跁[5]怕袙帊帕[2]妑趴爬杷琶
m[3]馬媽碼瑪螞鰢[5]嗎罵[2]麻蔴痳犘
t[3]打[5]大
th[1]他
n[5]那[3]哪乸[2]拿䘫
l[3]藞
ts[3]咱
tʂ[1]楂查喳渣[3]鮮窄隻[5]乍作咋榨
tʂh[1]叉杈差[3]槎[5]岔[2]茶擦查
ʂ[1]沙砂裟桬鯋鲨紗[3]洒傻[5]耍嗄
∅[1]阿

#aʔ
p[7]八叭拔拔跋魃
m[7]襪
t[7]答搭踏妲耷鞑靼瘩
th[7]塌榻
n[7]捺納衲鈉
l[7]拉辣臘蠟蜡邋鑞喇剌瘌
k[7]夾挾
kh[7]恰
x[7]狎轄俠峽狹
ts[7]匝咂杂䨿䕹磼
tʂ[7]札紮扎蚻剳茁霅闸煠哳眨
tʂh[7]察刹插鍤侘
s[7]薩撒䪞飒鈒趿靸
ʂ[7]殺煞霎啑
f[7]髮發撥伐罰乏法

#ai
p[3]擺[5]拜败呗稗备憊棑粺
ph[1]拍[3]啡湃[5]派[2]排排俳掉牌
t[1]懛呆[3]歹[5]待代袋帶戴怠岱黛㿃㦅隶埭叇
th[1]台胎苔鲐邰[3]㘆紿[5]泰太汰態[2]臺抬苔檯薹擡駘炱
n[3]乃艿迺奶[5]奈耐鼐
l[1]孻[5]睐賴襰藾䲚赉癩[2]來萊䅘騋唻䐯梾崃郲
ts[1]哉栽災[3]宰崽縡载[5]載在再
tsh[1]猜[3]采彩採睬寀啋[5]菜蔡縩[2]才材財㒲裁
s[1]鳃䚡愢揌㩙腮[5]赛塞
k[1]該垓荄祴陔峐荄骸胲剀[3]䀭改[5]丐概蓋溉摡
kh[1]開[3]凱恺㚊铠闿硙垲[5]慨嘅
x[1]咍[3]海[5]㤥妎害亥[2]孩咳颏䠽䟐
tʂ[1]齋[5]債寨豸
tʂh[1]差钗[3]踹[5]䘍[2]柴豺
ʂ[1]篩㩄[5]曬
ŋ[1]哀唉埃[3]毐[5]愛僾嗳瞹艾碍閡鴱餀[2]敳皑獃
∅[1]挨哎[3]藹靄[5]矮壒餲隘

#an
p[1]班斑頒般搬[3]板版[5]半伴拌畔判叛辦瓣
ph[1]攀潘[5]判泮[2]盤磐胖
m[3]滿[5]慢漫謾[2]蠻瞞
f[1]番翻[3]反返[5]販飯
t[1]丹眈殚單耽[3]膽[5]蛋但旦[2]彈談淡痰潭檀
th[1]貪攤灘瘫[3]坦毯惔忐袒[5]探僋炭嘆[2]壇檀譚談覃潭痰餤
n[3]腩赧[5]難[2]男南楠
l[1]欄[3]懶[5]濫爛[2]蘭藍籃欄瀾
ts[1]簪[3]攢[5]贊讚暫
tsh[1]餐參[3]慘[5]粲燦[2]殘
k[1]干竿甘柑[3]感敢橄[5]幹贛
kh[1]刊堪[3]侃坎砍[5]看
x[1]酣憨[3]罕喊[5]漢汗旱悍翰[2]含涵寒韓
tʂ[1]沾[3]斬[5]站綻湛
tʂh[1]攙[3]產鏟[5]懺[2]潺
s[1]三[3]伞
ʂ[1]山刪衫[3]陕閃[5]訕疝[2]潺
ʐ[3]冉染[2]然燃
ŋ[1]安鞍庵[3]俺[5]暗岸按案

#aŋ
p[1]邦幫[5]謗[2]旁膀
ph[1]滂[5]胖[2]旁龐
m[1]虻[3]莽[5]夢[2]忙芒茫
f[1]方坊妨枋邡肪芳钫[3]访昉仿彷眆舫纺瓬[5]放[2]房方鲂
t[1]當[3]黨擋[5]蕩當
th[1]湯[3]躺[5]燙[2]堂棠唐糖塘
n[5]齉[2]囊
l[3]朗[5]浪[2]郎廊狼
ts[1]臧[3]駔[5]葬藏
tsh[1]倉蒼[3]槍[5]藏[2]藏
k[1]岡剛鋼缸[3]港
