IPA	Tone	Tone	字
pa	2	13	爬
ta	6	21	大
tsa	2	13	茶
sa	2	13	蛇
tsha	5	33	拆尺
kha	5	33	客
xa	6	21	夏
la	1	35	拉
Ǿa	6	21	二
pa	6	21	白麥
ta	3	55	打
tsa	6	21	雜擇
sa	6	21	射石
tsha	1	35	車
xa	3	55	下
Ǿa	5	33	鴨
pa	5	33	百
tsa	5	33	摘
sa	1	35	沙杉衫
Ǿa	3	55	啞
pa	3	55	把馬
tsa	3	55	紮
pe	6	21	密墨木
phe	5	33	潑
fe	6	21	罰佛服
te	6	21	跌特讀毒
the	5	33	踏
tse	6	21	侄直
se	6	21	十實食式
tshe	5	33	插及擦測策
ke	5	33	夾甲割角格隔
khe	5	33	各刻
xe	5	33	瞎黑
le	6	21	蠟辣
Ǿe	3	55	矮耳
pe	5	33	八撥末剝北拍
fe	5	33	去法發作
te	5	33	搭達脫得
tse	5	33	折汁側織窄
se	5	33	殺虱失塞色
po	2	13	婆磨磨
pho	5	33	破
to	2	13	台
tho	1	35	拖胎
tso	2	13	財
so	1	35	三
tsho	5	33	菜
ko	5	33	過蓋殼
kho	1	35	課
xo	2	13	河
no	2	13	南難
lo	2	13	鑼螺
Ǿo	2	13	鵝
po	6	21	磨帽
to	6	21	袋豆
tso	5	33	左
so	3	55	鎖
tsho	3	55	坐
ko	1	35	歌鴿
kho	3	55	可
xo	6	21	害盒
Ǿo	6	21	餓芋襪
to	5	33	帶
ko	3	55	果改
xo	5	33	貨禍哭
Ǿo	5	33	愛
to	1	35	多
xo	1	35	開
Ǿo	3	55	肉
to	3	55	躲
xo	3	55	火
pu	6	21	步
phu	1	35	鋪
fu	2	13	壺
tu	2	13	圖奴
thu	3	55	土
tsu	2	13	除鋤
su	6	21	樹
tshu	1	35	初
ku	5	33	鋸
khu	5	33	褲
nu	3	55	女
lu	6	21	路
Ǿu	2	13	吳魚
pu	5	33	布
phu	3	55	譜
fu	6	21	虎父
tu	3	55	賭
tsu	6	21	住
su	5	33	數
tshu	3	55	柱
ku	1	35	箍
khu	3	55	苦
Ǿu	6	21	霧
fu	5	33	戶付富副福
tsu	5	33	做
su	1	35	書輸
ku	3	55	古
Ǿu	1	35	烏
fu	3	55	苦府
tsu	1	35	租豬
su	3	55	數豎
Ǿu	3	55	五武雨
tsu	3	55	主
pi	2	13	皮眉匹
phi	5	33	屁
fi	2	13	肥
ti	2	13	泥
thi	6	21	弟
tɕi	2	13	騎棋
ɕi	5	33	世系戲
tɕhi	5	33	契器氣
mi	6	21	妹
li	2	13	犁
Ǿi	2	13	移姨
pi	6	21	貝鼻
phi	3	55	被
fi	5	33	肺費
ti	6	21	地
thi	5	33	剃遞
tɕi	5	33	寄治記季
ɕi	1	35	西
tɕhi	1	35	溪
li	3	55	李
Ǿi	6	21	藝義
pi	1	35	碑
fi	1	35	飛
ti	1	35	低
thi	1	35	梯
tɕi	1	35	雞知饑更
ɕi	3	55	洗喜
Ǿi	5	33	意
pi	3	55	米比
tɕi	3	55	幾
Ǿi	1	35	衣
tɕy	2	13	徐隨錘
ɕy	6	21	鼠
tɕhy	1	35	吹
Ǿy	2	13	如余
tɕy	5	33	醉
ɕy	5	33	碎歲
tɕhy	3	55	取罪
Ǿy	6	21	遇玉
tɕy	1	35	追
ɕy	3	55	許水
Ǿy	5	33	裕
tɕy	3	55	舉
kai	1	35	該
xai	2	13	還
lai	2	13	來
xai	3	55	海
tau	2	13	頭
thau	1	35	偷
tsau	2	13	愁
sau	5	33	瘦
tshau	5	33	湊
kau	5	33	夠
khau	5	33	敲
xau	6	21	後
ŋau	3	55	藕
lau	2	13	樓
Ǿau	5	33	屋
tau	6	21	鬧豆
tsau	3	55	找走
tshau	1	35	抄
kau	1	35	鉤
khau	3	55	口
xau	3	55	後有
Ǿau	3	55	叫
tau	3	55	抖
kau	3	55	狗
pəu	2	13	賠煤毛浮
phəu	5	33	配
təu	5	33	凍
thəu	5	33	托
tsəu	5	33	灶作
səu	3	55	嫂
tshəu	5	33	錯糙
kəu	1	35	高
khəu	5	33	靠
xəu	6	21	號
ləu	3	55	老
pəu	6	21	薄
phəu	3	55	婦
təu	1	35	刀
thəu	3	55	討道
tsəu	3	55	早
tshəu	3	55	草造
xəu	3	55	好
pəu	5	33	背母
pəu	1	35	杯妹
pəu	3	55	寶母
tsɿ	2	13	池遲
sɿ	2	13	時
ɕɿ	5	33	氣
tsɿ	6	21	字寺
sɿ	6	21	事
tsɿ	5	33	制
sɿ	5	33	四試市
tsɿ	1	35	祠
sɿ	1	35	師絲
tsɿ	3	55	紫紙指子
sɿ	3	55	死
pia	5	33	壁
phia	5	33	劈
tia	6	21	笛
thia	5	33	踢
tɕia	2	13	茄斜
ɕia	5	33	錫
lia	2	13	曆
Ǿia	2	13	牙爺
pia	3	55	摸
tɕia	6	21	謝席
ɕia	1	35	蝦
lia	6	21	栗
Ǿia	6	21	夜額
tɕia	5	33	嫁借隔
ɕia	3	55	寫
Ǿia	3	55	野
tɕia	1	35	姐
tɕia	3	55	假姐
pie	2	13	排埋牌平
phie	5	33	派
fie	6	21	犯飯
tie	6	21	別
thie	5	33	塔貼鐵
sie	5	33	索
tɕie	6	21	截
ɕie	2	13	鞋行
tɕhie	5	33	契柿切七吃
mie	6	21	慢滅
nie	1	35	捏
ȵie	6	21	業硬
lie	2	13	失
Ǿie	6	21	熱孽日食
pie	6	21	賣敗篾病
fie	1	35	翻
tie	5	33	桃碟
tɕie	5	33	戒接急及吸節結吉積穀
ɕie	5	33	曬歇雪惜宿
tɕhie	1	35	坑
mie	3	55	晚
ȵie	5	33	蟻
lie	6	21	立爛舌律力六綠
Ǿie	5	33	一益
pie	5	33	拜扮憋筆逼
fie	3	55	反
tie	3	55	尾腦鳥
tɕie	1	35	街肩爭
ɕie	1	35	參山生
tɕhie	3	55	鏟廠
ȵie	3	55	眼
lie	5	33	梨栗
pie	1	35	班
tɕie	3	55	解減
ɕie	3	55	使省
lie	3	55	冷
pie	3	55	擺買板
piau	1	35	包
phiau	5	33	炮票
tɕiau	1	35	交
ɕiau	6	21	學
miau	2	13	貓
liau	6	21	落
piau	3	55	飽
ɕiau	5	33	孝
piəu	6	21	廟
tiəu	2	13	條
tɕiəu	2	13	朝橋綢
ɕiəu	6	21	壽
tɕhiəu	5	33	臭舊
liəu	2	13	流
Ǿiəu	2	13	搖牛油
piəu	1	35	焦
tiəu	5	33	釣丟
tɕiəu	6	21	袖著
ɕiəu	5	33	笑
tɕhiəu	1	35	抽
liəu	6	21	料
Ǿiəu	6	21	右葉約藥
piəu	3	55	表
tɕiəu	5	33	照腳角
ɕiəu	1	35	燒簫修休削
tɕhiəu	3	55	舅
Ǿiəu	5	33	要幼
tɕiəu	1	35	州
ɕiəu	3	55	小手
Ǿiəu	1	35	腰
tɕiəu	3	55	酒九
kua	1	35	瓜
xua	2	13	華
Ǿua	6	21	話
xua	6	21	畫話劃
Ǿua	3	55	瓦
xua	5	33	化
xua	1	35	花畫
kue	5	33	怪掛慣刮骨國穀
khue	5	33	塊快闊
xue	6	21	壞活
Ǿue	2	13	頑還橫
kue	1	35	關
khue	1	35	圈
Ǿue	6	21	外滑萬
kue	3	55	拐梗
Ǿue	5	33	挖
Ǿue	1	35	彎
Ǿue	3	55	歪
tuei	5	33	對
kuei	6	21	櫃
khuei	1	35	虧
xuei	2	13	回
luei	2	13	雷
Ǿuei	2	13	危圍
kuei	5	33	句桂貴
khuei	3	55	跪
xuei	6	21	會
Ǿuei	6	21	外位味
kuei	1	35	規龜
xuei	1	35	灰
kuei	3	55	鬼
sya	5	33	縮
tɕya	1	35	抓
ɕya	6	21	刷
ɕya	1	35	靴
tɕye	6	21	轎絕決局
ɕye	6	21	勺熟贖
tɕhye	5	33	缺畜
Ǿye	6	21	入月越
tɕye	5	33	竹足燭
ɕye	5	33	血出叔
tɕye	3	55	嘴
Ǿyn	2	13	營
paŋ	6	21	便
taŋ	2	13	甜田藤
thaŋ	5	33	聽
tsaŋ	2	13	錢前
saŋ	2	13	程城
tshaŋ	5	33	靜
kaŋ	2	13	鉗
khaŋ	5	33	欠
xaŋ	2	13	含鹹嫌降形
maŋ	2	13	棉明名
naŋ	2	13	年能膿
laŋ	2	13	連蓮零
Ǿaŋ	2	13	岩鹽贏
paŋ	5	33	變
taŋ	6	21	墊定
thaŋ	1	35	添天
tsaŋ	5	33	占正
saŋ	5	33	線扇姓
tshaŋ	1	35	簽清
kaŋ	5	33	見
khaŋ	1	35	輕
xaŋ	6	21	現
maŋ	6	21	面命
naŋ	6	21	念
laŋ	3	55	領
Ǿaŋ	5	33	厭
paŋ	1	35	棒冰兵
taŋ	5	33	凳
tsaŋ	1	35	尖奸證青
saŋ	1	35	鮮先聲
tshaŋ	3	55	淺
kaŋ	1	35	吞根經
xaŋ	5	33	牽現
Ǿaŋ	1	35	煙恩
taŋ	1	35	燈
tsaŋ	3	55	剪井整
xaŋ	1	35	項
taŋ	3	55	點典等
xaŋ	3	55	肯
pəŋ	2	13	盤盆朋棚
phəŋ	5	33	蓬
fəŋ	2	13	墳房防
təŋ	2	13	銅
thəŋ	1	35	村通
tsəŋ	2	13	層
səŋ	5	33	送宋
tshəŋ	5	33	寸
məŋ	2	13	門
nəŋ	6	21	嫩
ləŋ	1	35	聾
pəŋ	5	33	半放
phəŋ	1	35	蜂
fəŋ	6	21	鳳
təŋ	6	21	洞
tsəŋ	5	33	粽
səŋ	1	35	孫松
tshəŋ	1	35	蔥
məŋ	6	21	蚊夢
pəŋ	1	35	搬分幫
fəŋ	1	35	方風豐封
təŋ	1	35	端東冬
məŋ	3	55	滿問網
pəŋ	3	55	本紡
fəŋ	3	55	粉
təŋ	3	55	墩桶統
phoŋ	5	33	胖
toŋ	2	13	潭彈糖
thoŋ	5	33	炭
tsoŋ	2	13	蠶長床
soŋ	2	13	嘗
tshoŋ	5	33	唱
koŋ	5	33	間
xoŋ	6	21	漢汗限
moŋ	3	55	猛
noŋ	3	55	暖
loŋ	2	13	藍蘭
Ǿoŋ	2	13	黃
toŋ	1	35	單
thoŋ	1	35	貪湯
tsoŋ	6	21	賺撞
soŋ	5	33	算
tshoŋ	1	35	倉窗
koŋ	1	35	甘肝官鋼光
xoŋ	5	33	烘
loŋ	6	21	亂浪
Ǿoŋ	6	21	岸換
toŋ	3	55	膽短懂
thoŋ	3	55	毯淡斷
tsoŋ	1	35	張裝壯章樁
soŋ	1	35	酸瘡霜傷雙
koŋ	3	55	感敢
xoŋ	1	35	寬歡糠慌
loŋ	3	55	懶
Ǿoŋ	5	33	暗
soŋ	3	55	傘上
Ǿoŋ	1	35	安
Ǿoŋ	3	55	碗
piŋ	2	13	貧瓶
phiŋ	5	33	片
tiŋ	2	13	停
thiŋ	3	55	挺
tɕiŋ	2	13	尋沉琴陳松
ɕiŋ	2	13	神辰唇
tɕhiŋ	5	33	秤
ȵiŋ	2	13	人
liŋ	2	13	鄰輪蟲龍
Ǿiŋ	2	13	銀
piŋ	3	55	餅
phiŋ	3	55	品
tiŋ	5	33	鎮
tɕiŋ	5	33	浸勁鏡
ɕiŋ	6	21	剩
tɕhiŋ	1	35	親
Ǿiŋ	6	21	任認
tiŋ	1	35	釘
tɕiŋ	1	35	針金筋
ɕiŋ	5	33	興
tɕhiŋ	3	55	近
Ǿiŋ	5	33	印
tiŋ	3	55	頂
tɕiŋ	3	55	緊
ɕiŋ	1	35	心深新身升星
Ǿiŋ	1	35	音
ɕiŋ	3	55	筍
Ǿiŋ	3	55	引隱影
tɕyŋ	2	13	裙窮
ɕyŋ	2	13	雄
tɕhyŋ	1	35	春充
Ǿyŋ	2	13	勻雲濃
tɕyŋ	1	35	均軍中終
ɕyŋ	6	21	順
tɕhyŋ	3	55	重
Ǿyŋ	6	21	閏運用
tɕyŋ	3	55	准腫
ɕyŋ	1	35	熏
piaŋ	3	55	扁
phiaŋ	3	55	片
tiaŋ	3	55	點
tɕiaŋ	1	35	像
Ǿiaŋ	3	55	染
tɕioŋ	6	21	匠
ɕioŋ	5	33	像向
tɕhioŋ	3	55	搶
nioŋ	2	13	娘
lioŋ	2	13	蟲
Ǿioŋ	2	13	延榮
tɕioŋ	5	33	江
ɕioŋ	1	35	秧
lioŋ	6	21	亮
Ǿioŋ	6	21	讓樣
tɕioŋ	1	35	漿薑
ɕioŋ	3	55	險顯想響
lioŋ	3	55	兩
Ǿioŋ	3	55	癢擁
tɕioŋ	3	55	講
kuaŋ	2	13	權
xuaŋ	6	21	縣
luaŋ	2	13	圓
Ǿuaŋ	2	13	完原園王
kuaŋ	6	21	滾
xuaŋ	1	35	兄
Ǿuaŋ	1	35	冤旺
kuaŋ	5	33	勸
Ǿuaŋ	3	55	遠永
kuaŋ	3	55	卷
kuəŋ	5	33	困
xuəŋ	2	13	魂紅
Ǿuəŋ	1	35	溫
kuəŋ	1	35	公
xuəŋ	6	21	縫
kuəŋ	3	55	滾
tɕyaŋ	2	13	全傳
ɕyaŋ	2	13	船
Ǿyaŋ	3	55	軟
tɕyaŋ	6	21	傳
ɕyaŋ	1	35	閂沖
tɕyaŋ	5	33	轉
ɕyaŋ	3	55	選
tɕyaŋ	1	35	磚
tɕyaŋ	3	55	轉
