音标	调类	调值	汉字
kha	1	114	咖（～啡）咔喀
	3	55	卡咳（～痰）刻（~戳）
	5	312	¨（油霉味）
xa	1	114	哈
puə	1	114	波菠玻拨播博
	2	42	薄勃搏脖渤婆（婆婆丁：蒲公英）
	3	55	簸（动）
	5	312	擘簸（～箕）
phuə	1	114	颇坡泼泊
	2	42	婆
	5	312	破珀粕
muə	1	114	摸
	2	42	魔磨摩馍膜模（～型）蘑摹
	3	55	抹
	5	312	磨莫末沫寞陌（文）茉默（文）
mə	2	42	么
fuə	2	42	佛
fə	2	42	¨（整人）
tsə	1	114	遮蔗蜇折摺哲浙
	2	42	辙谪蜇
	3	55	者赭
	5	312	这
tshə	1	114	车测（文）策（文）册（文）彻（~天）
	3	55	扯
	5	312	侧彻撤掣澈
sə	1	114	赊奢佘
	2	42	蛇折⾆
	3	55	舍
	5	312	瑟啬⾊（～情）塞（文）射麝赦舍
tə	1	114	得（文）德（文）
thə	2	42	特
lə	5	312	乐（文）
ʒə	3	55	惹
kə	1	114	歌哥⼽割搁疙鸽胳格（文）阁隔（文）革虼骼
	2	42	嗝硌
	3	55	葛舸各哥
	5	312	个
khə	1	114	轲渴壳咳科克颗柯磕苛珂坷¨（~边：靠边）
	2	42	咳（~嗽）
	3	55	可
	5	312	课客（⽂）刻（⽂）氪
xə	1	114	喝呵豁（~上命）
	2	42	何河荷和（~气）盒核（～桃）劾阂藿（~香）
	5	312	贺赫鹤褐
ɣə	1	114	阿婀屙恶（白）
	2	42	鹅蛾俄讹峨娥
	5	312	饿恶（文）颚厄扼遏萼鄂鳄
pε	3	55	摆¨（洗去衣服上的泡沫）
	5	312	拜败
phε	2	42	徘排牌
	5	312	派湃
mε	2	42	埋霾
	3	55	买
	5	312	卖
fε	2	42	□（语⽓词）
ʋε	1	114	歪喂（打电话发语词）
	2	42	蛙（~子）
	3	55	¨（舀饭）
	5	312	外
tsε	1	114	灾栽哉斋
	3	55	崽宰年
	5	312	在载再债寨錾（～个钉⼦）
tshε	1	114	猜钗差
	2	42	才财材裁柴豺
	3	55	踩彩采睬
	5	312	菜蔡
sε	1	114	腮筛色（神态）
	3	55	舍（丢弃）
	5	312	赛晒
tε	1	114	呆待
	3	55	⽍傣逮抓住在（白）
	5	312	带岱贷代戴袋黛大（没~|恶~王）
thε	1	114	胎苔态
	2	42	台苔抬跆
	5	312	泰汰太
nε	3	55	奶乃
	5	312	耐奈
lε	2	42	来莱
	5	312	赖籁癞
kε	1	114	该
	3	55	改
	5	312	盖钙概丐
khε	1	114	开
	3	55	凯楷铠
xε	1	114	¨（~拳：猜拳）
	2	42	¨（表惋惜）还孩骇核（考~）
	3	55	海
	5	312	亥害骇氦
ɣε	1	114	埃哀唉（~嗐）
	2	42	皑癌唉
	3	55	蔼
	5	312	艾爱碍隘
ʒε	3	55	¨（扔）
pei	1	114	卑杯悲碑掰（⽩）笔（⽩）北百（⽩）柏（⽩）
	2	42	⽩（⽩）蔔（萝~）
	5	312	贝备背辈被倍焙
phei	1	114	呸胚拍（⽩）披（⽩）
	2	42	陪赔培裴
	5	312	配佩沛
mei	1	114	没
	2	42	媒玫枚梅煤霉莓眉糜
	3	55	美每
	5	312	麦魅妹脉（⽩）谜（白）
ʋei	1	114	危微威巍薇煨
	2	42	为（～人：处理人情世故）唯围桅维惟帷潍违
	3	55	伟伪苇尾纬玮委萎
	5	312	卫为未渭位蔚胃魏谓尉猬慰喂味畏
tsei	1	114	栽（老）
	2	42	贼摘(⽩)窄(⽩)择(⽩)翟（老）
tshei	1	114	拆(⽩)册(⽩)
	2	42	□（破碎）
sei	1	114	塞（⽩）⾊（⽩）
	2	42	谁
tei	1	114	得（⽩）德（白）
	2	42	特（~为）
	5	312	对（白）兑（白）
thei	1	114	推（白）忒
	3	55	腿（白）
	5	312	蜕（白）
nei	2	42	馁
	5	312	内
lei	1	114	勒
	2	42	雷
	3	55	垒磊
	5	312	擂肋泪类累
kei	1	114	格（白）隔（白）
	2	42	给嗝（鸡鸣）
khei	1	114	客（白）□（扣）刻（白）咳（~呛）
xei	1	114	⿊
pɔ	1	114	胞煲苞褒包孢
	3	55	宝堡（文）饱保
	5	312	抱趵豹暴报
phɔ	1	114	抛泡剖脬膊（在“胳膊”中读轻声）
	2	42	刨咆袍
	3	55	跑
	5	312	泡炮
mɔ	1	114	冒（~芽）
	2	42	猫⽑⽭茅髦
	3	55	卯
	5	312	帽貌茂冒贸
fɔ	3	55	否（老）
tsɔ	1	114	遭糟招昭
	3	55	早藻枣蚤澡找沼
	5	312	皂灶造燥照兆召罩赵笊
tshɔ	1	114	操糙抄吵（～～：吵架）钞超
	2	42	曹槽巢朝（～前）潮嘲绰（在“宽绰”中读轻声）
	3	55	草吵（声⾳杂乱）炒
	5	312	肏
sɔ	1	114	骚搔捎烧梢
	2	42	芍韶
	3	55	扫嫂少
	5	312	臊邵哨绍少梢（四~：手脚）
tɔ	1	114	⼑掇（在“拾掇”中读轻声）
	3	55	导祷捣岛蹈叨（鸟啄食）朵（在“耳朵”中读轻声）
	5	312	到盗道稻倒悼
thɔ	1	114	涛掏滔韬
	2	42	桃陶萄逃淘
	3	55	讨
	5	312	套
nɔ	1	114	孬
	2	42	挠
	3	55	恼脑
	5	312	闹
lɔ	1	114	捞
	2	42	劳牢崂唠捞
	3	55	⽼姥佬
	5	312	涝唠
ʒɔ	2	42	饶
	3	55	扰
	5	312	绕
kɔ	1	114	⾼羔膏糕
	3	55	搞
	5	312	告膏
khɔ	3	55	考烤拷
	5	312	铐犒靠
xɔ	1	114	蒿薅
	2	42	蚝毫豪嚎
	3	55	好
	5	312	好浩号昊耗皓
ɣɔ	1	114	凹
	2	42	敖遨熬
	3	55	袄
	5	312	傲奥澳
mou	2	42	谋（新）牟眸
	3	55	某（新）
fou	3	55	否（新）
tsou	1	114	邹掫洲州邹⾈周粥（文）
	3	55	⾛肘
	5	312	奏揍纣绉宙昼皱做（白）
tshou	1	114	抽
	2	42	仇稠畴筹惆酬愁
	3	55	丑瞅
	5	312	凑臭
sou	1	114	搜嗖馊艘收
	2	42	⼿守⾸
	3	55	擞受狩瘦授绶兽寿售
tou	1	114	兜都粥（在“糊粥”中读轻声）
	3	55	抖⽃陡蚪
	5	312	⽃⾖逗痘窦
thou	1	114	偷
	2	42	投
	5	312	透
lou	1	114	搂
	2	42	楼娄耧
	3	55	搂篓
	5	312	陋漏镂露（~出）
ʒou	1	114	□（⽤⼒摇晃）
	2	42	柔揉蹂
kou	1	114	勾沟钩篝
	2	42	沟（小沟）
	3	55	苟狗
	5	312	购构垢够
khou	1	114	抠
	2	42	¨（脾气坏）
	3	55	⼝
	5	312	叩扣
xou	1	114	齁
	2	42	侯喉猴
	5	312	后厚候
ɣou	1	114	讴欧殴鸥
	3	55	呕偶藕
	5	312	沤怄
pã	1	114	扳班颁般斑搬
	3	55	坂板版
	5	312	办半伴扮拌绊瓣
phã	1	114	潘攀扳（白）
	2	42	盘蟠
	5	312	判盼叛畔
mã	2	42	蛮瞒馒
	3	55	满螨
	5	312	曼慢
fã	1	114	帆番翻藩
	2	42	凡烦繁
	3	55	反返
	5	312	犯饭泛贬范梵
ʋã	1	114	剜蜿湾豌弯
	2	42	丸完玩顽烷
	3	55	挽晚皖宛婉碗
	5	312	万腕
tsã	1	114	簪占（⽤铜钱等判断吉凶：～⼘）沾毡粘（～贴）詹瞻
	3	55	咱攒斩盏展崭辗
	5	312	赞暂（占～有）战栈站绽湛蘸
tshã	1	114	餐参（加⼊在内：～加）掺搀闩（动）
	2	42	残蚕惭谗婵馋蝉缠禅
	3	55	惨产铲
	5	312	灿颤忏
sã	1	114	三姗杉衫⼭珊扇（～风）跚删
	2	42	伞闪陕
	3	55	散
	5	312	散讪鳝膳赡善扇子算（~了）
tã	1	114	丹单郸担
	3	55	胆掸
	5	312	旦但诞担淡蛋弹氮耽
thã	1	114	坍摊贪滩瘫
	2	42	坛谈弹痰
	3	55	坦毯
	5	312	叹炭探碳
nã	2	42	男南难楠
	3	55	暖（老）
	5	312	难
lã	2	42	兰蓝拦栏篮揽
	3	55	览揽缆懒
	5	312	烂滥
ʒã	2	42	然燃
kã	1	114	甘肝柑竿干
	3	55	感敢擀
	5	312	干赣
khã	3	55	砍刊
	5	312	看
xã	1	114	酣憨
	2	42	韩含（文）寒
	3	55	喊
	5	312	汉汗憾旱焊
ɣã	1	114	安氨鞍
	3	55	俺
	5	312	按暗岸案
pẽ	1	114	奔
	3	55	本
	5	312	奔笨
phẽ	1	114	喷
	2	42	盆
mẽ	1	114	闷焖
	2	42	门扪们
	5	312	闷
fẽ	1	114	分芬纷氛
	2	42	汾坟焚
	3	55	粉
	5	312	份分奋粪愤
ʋẽ	1	114	温瘟
	2	42	⽂纹闻蚊雯
	3	55	吻稳
	5	312	问汶
tshẽ	1	114	参（～差）伸（白）抻深（白）
	2	42	岑涔尘⾂⾠沉陈
	3	55	碜
	5	312	衬称趁□（有钱：～钱）
nẽ	3	55	恁
tsẽ	1	114	贞（新）珍针侦（新）帧真甄
	3	55	诊疹枕
	5	312	阵圳振朕赈
sẽ	1	114	申伸（文）身参深（文）森
	2	42	什神
	3	55	审沈婶
	5	312	甚瘆葚肾渗慎
ʒẽ	2	42	⼈仁壬
	3	55	忍稔
	5	312	任认刃（新）韧纫饪
kẽ	2	42	垦啃恳
xẽ	2	42	痕含（白）
	3	55	很狠
	5	312	恨
ɣẽ	1	114	恩
	5	312	摁
pɑŋ	1	114	帮邦浜梆¨（遗传）
	2	42	傍（~边）
	3	55	绑膀榜
	5	312	棒谤磅蚌
phɑŋ	1	114	乓
	2	42	庞旁
	3	55	耪
	5	312	胖
mɑŋ	2	42	忙茫盲芒氓
	3	55	蟒莽
fɑŋ	1	114	⽅芳
	2	42	坊房妨防
	3	55	仿纺肪访防
	5	312	放
ʋɑŋ	1	114	汪
	2	42	亡王
	3	55	⽹枉往惘
	5	312	妄忘旺望
tsɑŋ	1	114	脏（不⼲净：～水）赃张章彰
	2	42	长（⽣～)涨(～⽔)掌¨（舔加）（使用，助词）
	3	55	丈涨胀账杖障帐
	5	312	脏葬藏
tshɑŋ	1	114	仓沧苍舱昌娼猖
	2	42	藏长场（打～）尝肠偿常嫦
	3	55	⼚场（～⼦）敞
	5	312	畅倡唱怅
sɑŋ	1	114	丧
	3	55	嗓搡偿（老）晌赏桑
	5	312	丧上尚
tɑŋ	1	114	当铛螳
	3	55	挡党
	5	312	档荡当
thɑŋ	1	114	汤蹚
	2	42	堂膛唐棠塘糖
	3	55	淌
	5	312	烫趟
nɑŋ	1	114	囔(在嘟~中读轻声)
	2	42	囊
	3	55	攮
	5	312	齉（在鼻~中读轻声）
lɑŋ	2	42	狼郎廊螂
	3	55	朗
	5	312	浪
ʒɑŋ	2	42	瓤
	3	55	壤嚷攘
	5	312	让
kɑŋ	1	114	缰（老）刚（文）纲冈肛钢缸
	2	42	¨（程度词）
	3	55	¨（~子：胼胝）岗港
	5	312	杠
khɑŋ	1	114	康慷糠
	2	42	扛
	5	312	亢抗炕
xɑŋ	1	114	夯¨（声音大）
	2	42	⾏名词：银～杭航
ɑŋ	1	114	肮
	2	42	昂
pəŋ	1	114	崩绷嘣迸¨（程度词）
	3	55	绷
	5	312	泵蚌镚蹦
phəŋ	1	114	抨烹嘭
	2	42	彭膨棚鹏澎蓬篷朋
	3	55	捧
	5	312	碰
məŋ	1	114	蒙懵
	2	42	萌蒙
	3	55	猛蜢盟
	5	312	孟梦
fəŋ	1	114	风疯峰封丰锋蜂枫
	2	42	冯逢
	3	55	讽峰锋
	5	312	凤奉缝
tsəŋ	1	114	增曾蒸正（～⽉）挣征睁筝争贞（老）侦（老）
	3	55	整
	5	312	憎赠郑证症挣
tshəŋ	1	114	称（～重）撑铛
	2	42	曾丞呈程诚承城乘盛惩澄成
	3	55	逞
	5	312	蹭秤
səŋ	1	114	僧升⽣声牲笙甥
	2	42	绳
	3	55	省
	5	312	圣胜盛剩
təŋ	1	114	灯登噔
	2	42	腾（在“翻腾”中读轻声）
	3	55	等
	5	312	邓瞪凳
thəŋ	2	42	疼腾藤滕誊
nəŋ	2	42	能
	5	312	弄
ləŋ	1	114	¨（程度词）
	2	42	棱
	3	55	冷
	5	312	愣¨（莽撞）
kəŋ	1	114	庚更羮
	3	55	哽耿梗
	5	312	更颈（白）
khəŋ	1	114	吭坑
	3	55	倾（白）
xəŋ	1	114	亨哼
	2	42	恒横（～梁）衡
	5	312	横（凶暴）¨（丢弃）
ɣəŋ	5	312	¨（丢弃）
pi	1	114	逼必（~须）
	2	42	⿐
	3	55	⼔⽐彼鄙
	5	312	必毕闭毙臂币蔽
phi	1	114	批霹劈砒丕
	2	42	⽪疲琵啤
	3	55	匹劈痞
	5	312	屁辟僻
mi	1	114	咪眯
	2	42	弥迷眯猕谜
	3	55	⽶靡
	5	312	泌秘密蜜
fi	1	114	⾮飞
	2	42	肥淝
	3	55	匪
	5	312	废肺痱费吠
ti	1	114	低堤滴¨（程度词：~软乎）
	2	42	迪敌笛
	3	55	抵底的（目~）
	5	312	地弟帝递第
thi	1	114	梯剔踢
	2	42	提啼蹄题
	3	55	体
	5	312	剃替涕惕屉
li	1	114	哩
	2	42	狸梨鹂璃犁黎篱（在“笊篱”中读作轻声）
	3	55	礼⾥李理鲤
	5	312	吏荔⼒⽴利⾪厉丽栗例莉历粒离
ȵi	1	114	妮（⼥孩）
	2	42	尼泥呢（语气词）倪
	3	55	你
	5	312	逆溺腻昵
tɕi	1	114	⼏讥叽击饥圾机肌鸡奇姬基积犄缉畸济（～南）脊
	2	42	及疾吉即急集辑极棘级籍剂
	3	55	⼏⼰给（文）挤
	5	312	计记伎纪系忌际妓技季迹既济继绩祭寄寂
tɕhi	1	114	七凄妻戚欺栖期缉（～边⼉）漆蹊
	2	42	齐脐骑棋旗奇其歧骐琪鳍岐豉杞
	3	55	企起启
	5	312	去汽弃⽓泣器
ɕi	1	114	西希析蟋昔息惜悉稀犀溪熙熄吸膝夕¨（程度词）
	2	42	习席袭媳畦
	3	55	洗玺喜¨（笑）
	5	312	戏系细隙
i	1	114	⼀伊⾐依医揖
	2	42	沂宜仪移怡姨疑胰
	3	55	⼄以已尾倚蚁椅
	5	312	义亿艺忆益谊疫⾢毅溢意
lia	3	55	俩
ȵia	5	312	娘（老）
tɕia	1	114	家加痂嘉夹佳枷甲⻆（⽜～）
	2	42	荚戛颊
	3	55	贾假胛
	5	312	架嫁价驾稼
tɕia	1	114	掐
	3	55	卡（发～）
	5	312	恰洽
ɕia	1	114	虾呷瞎
	2	42	峡侠辖霞
	5	312	吓下夏厦（～门）
ia	1	114	鸦丫压押鸭
	2	42	牙芽衙蚜
	3	55	雅哑
	5	312	亚轧（～棉花）讶娅
piə	1	114	憋鳖
	2	42	别蹩
	3	55	瘪
	5	312	别（～扭）
phiə	1	114	（撇～下）瞥
	3	55	（撇～嘴）
miə	5	312	灭蔑
tiə	1	114	爹跌
	2	42	迭谍叠碟蝶
thiə	1	114	贴帖铁
liə	1	114	列劣烈
	3	55	咧
	5	312	冽裂猎
ȵiə	1	114	捏摄（~影）
	3	55	聂镊孽
tɕiə	1	114	节结接揭洁结拮
	2	42	劫杰捷睫竭截
	3	55	姐
	5	312	借
tɕhiə	1	114	切
	2	42	茄
	3	55	且
	5	312	切窃
ɕiə	1	114	些（数目多）楔歇蝎⾎（白）
	2	42	斜挟胁邪
	3	55	写
	5	312	泻卸谢泄
iə	1	114	掖椰噎业（毕~）液
	2	42	爷
	3	55	也野冶
	5	312	业腋叶页夜
miε	1	114	咩
tɕiε	1	114	皆秸街阶
	3	55	解
	5	312	介戒届界芥诫械（老）
ɕiε	2	42	鞋谐
	5	312	懈蟹¨（邋遢）
iε	1	114	挨（白）
	2	42	崖（白）挨（白）捱（白）¨吃得过饱
	5	312	矮（白）
piɔ	1	114	标彪骠
	3	55	表裱
phiɔ	1	114	漂飘
	2	42	嫖瓢
	3	55	漂
	5	312	票漂
miɔ	2	42	苗描瞄
	3	55	秒淼渺
	5	312	妙庙
tiɔ	1	114	雕叼貂凋碉刁
	5	312	吊钓调掉
thiɔ	1	114	挑
	2	42	条迢调笤
	3	55	挑
	5	312	跳
liɔ	1	114	撩
	2	42	疗潦聊寥辽撩嘹
	3	55	了
	5	312	料撂廖瞭镣
ȵiɔ	3	55	鸟
	5	312	尿
tɕiɔ	1	114	交浇跤郊骄胶教蕉焦娇椒饺（新）
	3	55	侥绞皎铰矫搅缴较
	5	312	叫觉轿窖酵教
tɕhiɔ	1	114	悄敲
	2	42	乔侨荞桥瞧朝（白）¨（程度词）
	3	55	巧
	5	312	跷俏诮峭窍翘撬
ɕiɔ	1	114	消宵潇硝肖箫销萧
	3	55	⼩晓筱
	5	312	校哮孝效笑啸
iɔ	1	114	妖要腰邀
	2	42	遥肴瑶姚窑谣摇
	3	55	咬舀
	5	312	要耀¨（撬而不动）跃（老）
tyʊu	1	114	丢
lyʊu	1	114	溜
	2	42	浏刘硫琉留榴流瘤
	3	55	柳绺
	5	312	六遛馏溜
ȵyʊu	1	114	妞
	2	42	⽜
	3	55	忸纽钮¨（瓜~）
tɕyʊu	1	114	纠鸠究揪
	3	55	九久灸⾲酒
	5	312	旧⾅舅救就
tɕhyʊu	1	114	蚯丘邱鳅秋
	2	42	球囚求
ɕyʊu	1	114	休修羞
	3	55	朽宿
	5	312	秀袖绣锈嗅
yʊu	1	114	优忧幽悠邮
	2	42	尤游由油蚰
	3	55	友有
	5	312	⼜右幼佑柚诱
piã	1	114	边编蝙鞭
	3	55	贬扁匾¨（踩）
	5	312	变便遍辨辩辫
phiã	1	114	⽚偏篇
	3	55	□（炫耀）
	5	312	⽚骗
miã	2	42	眠绵棉
	3	55	勉腼娩缅免
	5	312	⾯
tiã	1	114	颠掂滇巅
	3	55	典踮碘点
	5	312	店惦垫电淀
thiã	1	114	天添
	2	42	⽥恬甜填
	3	55	腆舔
liã	2	42	连镰帘莲涟廉怜联
	3	55	敛脸
	5	312	练恋链潋
ȵiã	1	114	拈
	2	42	年粘黏鲇
	3	55	捻撵辇碾
	5	312	念
tɕiã	1	114	尖监奸煎坚间肩艰歼兼
	3	55	拣捡俭碱减剪睑茧简践（实~）
	5	312	见件间建贱剑渐健践毽鉴键溅箭
tɕhiã	1	114	千仟谦牵铅签迁
	2	42	钱钳乾前潜
	3	55	浅遣谴
	5	312	⽋倩嵌歉
ɕiã	1	114	纤仙先掀锨鲜
	2	42	闲贤嫌衔咸
	3	55	显险鲜
	5	312	县陷献线县现羡宪馅限
iã	1	114	殷胭腌嫣淹烟焉阉蔫
	2	42	闫沿严⾔盐岩炎妍研颜延檐
	3	55	奄演掩衍眼
	5	312	厌砚咽
piẽ	1	114	宾彬斌缤槟濒
	5	312	鬓
phiẽ	1	114	拼频
	2	42	贫频
	3	55	品
	5	312	聘
miẽ	2	42	民岷
	3	55	闽抿敏¨（贴合）¨（稍微尝点）
liẽ	1	114	拎
	2	42	邻临鳞磷琳林霖淋
	5	312	吝赁
tɕiẽ	1	114	⼱津⽄今⾦筋襟¨（使顺直）
	2	42	涔（白）
	3	55	仅尽（～边上）紧锦谨
	5	312	尽烬近劲晋浸进禁
tɕhiẽ	1	114	钦侵亲
	2	42	芹秦琴禽勤擒
	3	55	寢
ɕiẽ	1	114	⼼新芯⾟欣锌薪鑫
	2	42	姓（动）邢（~沟）
	5	312	信衅
iẽ	1	114	因茵阴⾳姻殷
	2	42	吟银淫
	3	55	尹引饮蚓隐瘾
	5	312	印饮胤
liɑŋ	2	42	良凉（～⽔）梁量粮粱
	3	55	两
	5	312	亮凉
ȵiɑŋ	2	42	娘（新）
	5	312	酿
tɕiɑŋ	1	114	姜将江浆僵疆缰（新）刚（白）
	3	55	讲奖桨蒋耩
	5	312	匠降将酱犟糨虹（老）
tɕhiɑŋ	1	114	呛（吃饭~着）枪腔
	2	42	强墙
	3	55	抢¨（在表面上刮擦）
	5	312	呛（火大忒~）
ɕiɑŋ	1	114	乡相⾹厢湘箱襄镶
	2	42	详降祥翔
	3	55	享响饷想相（~互）
	5	312	向项巷相象像橡
iɑŋ	1	114	央鸯秧殃嚷
	2	42	扬洋⽺阳杨烊
	3	55	仰养氧痒
	5	312	样漾
piŋ	1	114	冰兵
	3	55	丙饼秉柄
	5	312	并病
phiŋ	1	114	乒
	2	42	平坪评萍屏瓶苹凭
miŋ	2	42	明鸣名铭冥
	5	312	命
tiŋ	1	114	丁仃叮盯钉
	3	55	顶鼎
	5	312	订钉定
thiŋ	1	114	厅听
	2	42	廷亭庭停婷
	3	55	挺艇
liŋ	2	42	伶灵菱凌龄羚陵苓铃零玲
	3	55	岭领
	5	312	令另
ȵiŋ	2	42	宁咛柠凝
	3	55	拧
	5	312	宁拧（脾⽓倔）
tɕiŋ	1	114	经惊精茎睛荆京晶鲸
	3	55	井阱景警耕（白）境（环~）
	5	312	竞净镜竟静径境靖敬亲（~家）
tɕhiŋ	1	114	轻氢倾卿清蜻
	2	42	情擎
	3	55	顷请庆
	5	312	罄亲（～家）
ɕiŋ	1	114	兴星猩腥
	2	42	刑邢⾏形型
	3	55	醒擤
	5	312	兴杏幸性姓
iŋ	1	114	樱英鹦缨应（回～）莺婴嘤鹰
	2	42	迎盈荧蝇莹营萤
	3	55	颖影
	5	312	应（答～）映硬
pu	1	114	不
	3	55	补⼘捕哺
	5	312	布部步簿
phu	1	114	铺噗扑
	2	42	仆蒲葡菩匍
	3	55	谱朴普脯圃濮
	5	312	铺瀑
mu	3	55	母亩牡拇姆某（老）
	5	312	⽊⽬沐慕穆幕牧暮募墓睦
fu	1	114	夫肤敷孵福复麸
	2	42	俘幅扶符服佛（仿～）拂蝠浮袱（在“包袱”中读轻声）
	3	55	府腐辅斧腑俯
	5	312	富⽗付赋副⾩负妇附腹赴缚驸
tsu	1	114	租足（文）猪朱珠诛蛛侏茱⽵烛触（接~）组嘱
	2	42	卒族轴
	3	55	祖阻煮拄嘱主
	5	312	住祝助注柱驻铸箸贮
tshu	1	114	出初束（白）¨（铺床）舒（~坦）缩（在“ku55缩”中读轻声）
	2	42	除厨锄橱殊（老）
	3	55	处（～治）杵础储楚雏
	5	312	处（长～）畜搐矗帚（在“扫帚”中读轻声）
su	1	114	苏酥肃书叔殊（新）梳淑舒疏输蔬速
	2	42	秫孰赎塾熟术蜀
	3	55	暑⿉属署⿏数薯曙
	5	312	诉塑溯粟戍束述树竖恕庶数墅漱锈（在“生锈”中读轻声）
tu	1	114	都嘟督笃突（在“ɣə21突”中读轻声）
	2	42	毒独犊涂（在“糊涂”中读轻声）
	3	55	堵睹
	5	312	度肚渡镀
thu	1	114	突秃凸
	2	42	徒图涂屠途
	3	55	⼟吐
	5	312	兔
nu	2	42	奴农（老）浓（老）脓（老）
	3	55	努弩驽
	5	312	怒
lu	1	114	撸
	2	42	卢芦泸颅炉
	3	55	鲁卤掳辱（老）虏乳（老）
	5	312	路录露（～⽔）陆⿅璐碌泸入（老）褥（老）
ʒu	2	42	如（新）茹（新）儒（新）蠕（新）
	3	55	汝（新）乳（新）辱（新）
	5	312	⼊（新）褥（新）
ku	1	114	姑菇估咕孤轱⻣辜箍牯跍⾕
	3	55	古股⿎
	5	312	固顾雇故
khu	1	114	枯哭窟
	3	55	苦
	5	312	库裤酷
xu	1	114	乎呼忽惚糊
	2	42	蝴囫弧壶核（桃～）葫湖狐胡糊（～弄）
	3	55	虎浒唬
	5	312	互户护沪
u	1	114	乌呜屋污侮
	2	42	⽆芜蜈吴梧
	3	55	午伍武捂鹉舞
	5	312	⺎悟物勿务戊误恶雾
tsua	1	114	抓
	3	55	爪
sua	1	114	刷唰
	3	55	耍
kua	1	114	⽠呱刮鸹
	3	55	剐寡
	5	312	卦挂褂
khua	1	114	夸
	3	55	垮
	5	312	挎胯跨
xua	1	114	花哗
	3	55	划华哗猾滑
	5	312	桦化划画话
tsuə	1	114	作捉桌装（白）卓
	2	42	琢昨茁啄拙着（~火）琢逐（老）
	3	55	左佐撮
	5	312	坐座作
tshuə	1	114	搓撮戳
	2	42	¨（触摸）
	5	312	措错啜辍绰（文）
suə	1	114	梭缩唆说
	2	42	勺缩
	3	55	锁所索唢
	5	312	烁朔硕
tuə	1	114	多哆
	2	42	夺踱
	3	55	躲朵
	5	312	垛舵跺驮驮子剁惰堕
thuə	1	114	拖托脱
	2	42	驮陀驼坨佗
	3	55	妥椭
	5	312	唾拓
nuə	1	114	搦
	2	42	挪
	5	312	糯
luə	1	114	啰烙
	2	42	罗锣骡逻箩萝螺
	3	55	裸
	5	312	络摞骆落若（老）偌（老）弱（老）洛
ʒuə	5	312	若（新）偌（新）弱（新）
kuə	1	114	锅郭聒蝈
	2	42	国
	3	55	果裹括（白）
	5	312	过
khuə	1	114	棵（白）
	5	312	扩括阔廓
xuə	1	114	豁（文）¨（洒出）
	2	42	和（仁~：地名）活
	3	55	⽕伙
	5	312	货祸或（新）获（新）惑霍
ʋə	1	114	蜗倭窝（文）踒挝莴
	2	42	窝（报~）
	5	312	卧沃握
tsuε	1	114	¨（使劲扔）
	5	312	拽
tshuε	1	114	揣
	3	55	揣
	5	312	踹
suε	1	114	衰摔
	3	55	甩
	5	312	帅率蟀
kuε	1	114	乖
	3	55	拐
	5	312	怪
khuε	3	55	¨（～痒痒）
	5	312	会块快筷
xuε	2	42	怀徊淮槐
	5	312	坏获（老）
tsuei	1	114	堆追椎锥
