"#符号说明：-白=文/书*俗?待考"	
"#调值"	"［1］陰平³³［3］上⁵¹［5］去²⁴［7］ 入ʔ³¹       #陽平歸入，入声爲喉塞音。"
"#a"	
"p"	"［1］巴芭疤笆峇粑捌叭吧［3］把{刀～}靶［5］爸坝霸罢灞"
"pʰ"	"［1］趴葩啪［5］怕帕"
"m"	"［1］妈［5］骂［3］马码蚂玛犸"
"f"	"［1］发{～送}"
"v"	"［1］挖蛙洼娲娃［5］瓦佤"
"t"	"［5］大［3］打"
"tʰ"	"［1］他=它=牠祂"
"n"	"［5］呐纳娜捺钠衲"
"l"	"［1］拉喇垃［3］邋-{~遢：肮脏}哪［5］那="
"ts"	"［1］渣［5］楂乍诈榨炸栅"
"tsʰ"	"［1］叉杈差{～别}岔汊［3］诧"
"s"	"［1］莎沙纱鲨刹［3］洒傻撒"
"z"	"［1］鸦丫桠"
"k"	"［1］家［3］遢-{邋~：肮脏}嘎{～喇：吵闹}［5］嫁"
"kʰ"	"［3］卡"
"h"	"［1］哈"
"Ø"	"［1］啊阿［3］哑［5］阿{～哥}"
"#aʔ"	
"p"	"［7］把{～握}八拔跋魃"
"pʰ"	"［7］爬扒耙琶"
"m"	"［7］麻蟆抹{～布}蔴"
"f"	"［7］法伐罚阀乏筏砝珐"
"v"	"［7］袜"
"t"	"［7］达答搭鞑妲靼瘩"
"tʰ"	"［7］踏塔搨榻塌拓蹋遢="
"n"	"［7］拿"
"l"	"［7］辣邋="
"ts"	"［7］杂眨砸扎札轧铡闸匝"
"tsʰ"	"［7］茶搽茬查插霎擦察碴"
"s"	"［7］杀煞"
"z"	"［7］牙芽衙雅闸鸭押压"
"k"	
"kʰ"	"［7］掐"
"h"	"［7］蛤"
"#ɔ"	
"p"	"［1］波菠玻钹播［3］跛"
"pʰ"	"［1］坡婆［5］破"
"m"	"［1］摩摸［5］磨{石～}"
"v"	"［1］窝涡［5］饿"
"t"	"［1］多哆［3］朵躲垛［5］舵剁堕惰跺"
"tʰ"	"［1］拖［3］妥椭［5］拓"
"n"	"［5］懦诺"
"l"	"［1］啰［3］裸［5］糯那-"
"ts"	"［1］捉［3］左［5］佐坐座"
"tsʰ"	"［1］搓初磋［5］锉措错挫"
"s"	"［1］蓑梭唆梳疏蔬说"
"z"	"［5］跃"
"k"	"［1］歌哥戈［5］个"
"kʰ"	"［1］柯轲［3］可渴［5］阔扩括廓"
"h"	"［5］获或惑贺"
"ŋ"	"［3］我"
"Ø"	
"#ɔʔ"	
"p"	"［7］拨薄博钵勃剥驳卜柏伯帛搏珀箔舶脖膊渤泊"
