字	IPA	调值
玻	po	55
牙	ɕia	31
待	tai	13
牛	niəɯ	31
窄	tse	31
令	li	13
確	tɕʰio	31
棍	kue	13
音	ɕi	55
衰	ʂuai	55
早	tsau	42
申	ʂe	55
鄉	ɕiaŋ	55
髮	fa	31
該	kai	55
父	fu	13
銀	ɕi	31
遇	ɕi	13
緊	tɕi	42
屈	tɕʰiu	31
百	pe	31
桃	tʰau	31
紙	tʂʅ	42
落	lo	31
棵	kʰo	55
義	ɕi	13
毫	xau	31
辰	ʂe	31
經	tɕi	55
楷	kʰai	42
曹	tsʰau	31
體	tʰi	42
實	ʂʅ	31
四	sɿ	13
昨	tso	31
京	tɕi	55
權	tɕʰiɛ	31
妹	mei	13
母	mu	42
祭	tɕi	13
邑	ɕi	31
宫	koŋ	55
朋	pʰoŋ	31
胸	ɕioŋ	55
是	ʂʅ	13
斷	tuaŋ	13
平	pʰi	31
合	xo	31
别	pie	31
必	pi	31
陷	ɕiɛ	13
溪	ɕi	55
稿	kau	42
棧	tʂaŋ	13
虎	xu	42
常	tʂʰaŋ	31
凳	te	13
丈	tʂaŋ	13
蟬	ʂaŋ	31
萬	xuaŋ	13
衣	ɕi	55
跪	kuei	13
殊	ʂu	55
從	tsʰoŋ	31
繡	ɕiəɯ	13
厭	ɕiɛ	13
孕	ɕi	13
臂	pei	13
慣	kuaŋ	13
車	tʂʰe	55
剛	kaŋ	55
隱	ɕi	42
膽	taŋ	42
芳	faŋ	55
泌	mi	31
充	tʂʰoŋ	55
察	tʂʰa	31
寨	tʂai	13
市	ʂʅ	13
欽	tɕʰi	55
闢	pʰi	31
崇	tsʰoŋ	31
屢	luei	42
意	ɕi	13
對	tuei	13
南	naŋ	31
鄭	tʂe	13
蘇	su	55
將	tɕiaŋ	55
汗	xaŋ	13
俗	su	31
姜	tɕiaŋ	55
弱	ʐo	31
窩	xo	55
福	fu	31
侯	xəɯ	31
追	tʂuei	55
低	ti	55
頭	tʰəɯ	55
頭	tʰəɯ	31
聊	liau	31
茄	tɕʰie	31
記	tɕi	13
當	taŋ	55
當	taŋ	13
彪	piəɯ	55
帥	ʂuai	13
厄	xe	31
迫	pʰe	31
獸	ʂəɯ	13
昭	tʂau	55
足	tsu	31
努	nu	42
託	tʰo	31
彎	xuaŋ	55
感	kaŋ	42
房	faŋ	31
甫	fu	42
承	tʂʰe	31
飛	fei	55
巾	tɕi	55
肚	tu	13
肚	tu	42
坑	kʰe	55
背	pei	55
爹	tie	55
掛	kua	13
厚	xəɯ	13
喜	ɕi	42
聞	xue	31
退	tʰuei	13
戚	tɕʰi	31
恨	xe	13
骨	ku	31
王	xuaŋ	31
演	ɕiɛ	42
禀	pi	42
腔	tɕʰiaŋ	55
學	ɕio	31
張	tʂaŋ	55
握	xo	31
豆	təɯ	13
漲	tʂaŋ	42
婦	fu	13
奏	tsəɯ	13
達	ta	31
扯	tʂʰe	42
譜	pʰu	42
乎	xu	55
鍋	ko	55
暖	nuaŋ	42
院	ɕiɛ	13
姐	tɕie	42
頃	tɕʰi	42
魚	ɕi	31
光	kuaŋ	55
差	tsʰa	55
亨	xe	55
遠	ɕiɛ	42
燭	tʂu	31
起	tɕʰi	42
試	ʂʅ	13
靴	ɕie	55
捉	tʂo	31
