	注释：-白读；=文读
b	[2]名=铭螟暝瞑明=盟萌[3]孟蜢=猛=[6]命=
t	[1]登灯丁钉靪疔[2]澄橙=亭=庭=蜓重-[3]等=顶鼎=酊[5]钉盯中-{～意}[6]定=邓锭=
tʰ	[1]汀厅=听=[2]程=呈=停=腾胜[3]逞挺艇[5]听
l	[2]灵铃零=囹龄陵宁咛龙-能仍[3]冷岭=领=[6]另令冗-{松}
ts	[1]正=征睛钟-舂-晶曾增争蒸贞[2]晴情层=曾[3]井整种-肿-[5]正=政证症众-种-[6]靖静赠=
tsʰ	[1]青=蜻清=千-菁[2]松-[3]筅-请=[5]秤称[6]□{穿}
s	[1]升=星=生=声=甥先-牲=腥=[2]成=城=乘=承=丞=[3]省=醒=[5]性胜姓=圣=[6]盛剩
k	[1]京=庚=间-更=惊=弓-[3]拣-耿景炯[5]警敬劲竞径供[6]競
kʰ	[1]坑=轻=倾筐-氢=卿[2]琼擎[5]庆[6]虹
h	[1]兴=胸-[2]行=恒形型刑雄-还-[5]兴=[6]幸杏行{品～}
ɡ	[2]凝迎=[3]研-[6]硬=
∅	[1]英莺鹰缨=婴=樱膺[2]荣营莹赢=盈=[3]往-影=永颖咏泳[5]应=壅=
#ik	
p	[7]百=伯=逼=壁=璧[8]白=帛=愎
pʰ	[7]拍=僻=璧劈擘=癖=[8]甓=
b	[8]墨=麦=默脉=觅=
t	[7]的得德摘滴竹[8]狄籴择掷迪敌翟泽
tʰ	[7]斥拆=踢=饬惕[8]宅=
l	[8]历=力=烁栗慄绿-
ts	[7]责积迹绩质烛-叔-则[8]贼=
tsʰ	[7]册=策赤=测粟-[8]䟉{车真～}
s	[7]析色塞式=拭=惜=宿-锡=释瑟室蟋饰悉[8]席=蓆=石=熟-
k	[7]革隔=激击戟[8]极
kʰ	[7]刻客=隙=克=
h	[7]黑赫劾[8]或域获惑
ɡ	[8]逆额=
∅	[7]益=忆=亿扼厄[8]亦=役=疫=翼=
#aŋ	
p	[1]帮邦梆枋-{柴～}崩-[2]房-冯-缝-[3]绑[5]放-[6]蚌棒
pʰ	[1]芳-蜂-[2]篷-庞捧-[3]纺-[5]胖[6]缝-
b	[2]忙芒[3]蠓-蟒[6]梦-网-望-
t	[1]当东-冬-中-{～央}[2]同-铜-筒-[3]董-党-[5]冻-[6]动-洞-重-
tʰ	[1]通-窗-[2]桐-{～油}虫-[3]桶-统-{长～}[5]痛-□{透过}
l	[2]侬{人，原文作“农”}脓-聋-砻-笼{～床：蒸笼}[3]笼-[6]弄-
ts	[1]鬃-[2]丛-[3]总-[5]粽-壮-
tsʰ	[1]葱-[5]□{～须}
s	[1]松-[5]送-
k	[1]江工-公-{鸡～：配种公鸡}[3]讲=港□{牛～：公牛}[5]降绛[6]共-
kʰ	[1]空-康-{姓}[5]控-空-
h	[1]烘-[2]降行杭[3]哄-[6]巷项
∅	[1]翁-{丈夫}[2]红-洪-[5]瓮-
#ak	
p	[7]剥-驳北-幅-腹-[8]缚-
pʰ	[7]覆-仆-[8]曝-
b	[7]沐{～水}[8]目-蜜-木-墨-
t	[7]□{触着}[8]独-毒-逐-浊-{水～}
tʰ	[8]读-
l	[7]落-[8]六-
ts	[7]促-
tsʰ	[8]凿-
s	[7]□{推}
k	[7]觉角谷-{五～}
kʰ	[7]确壳曲-
h	[8]学=礐{屎～，原文作“𥨍”}
ɡ	[8]岳嶽乐{音～}
∅	[7]沃-{～水}握
#iaŋ	
t	[1]张=[2]长=场=[3]长=[5]帐=涨=胀=[6]丈=
l	[2]娘=梁=量=粮=樑=凉[3]两=[6]量=亮
ts	[1]章=漳=鱆浆=[3]桨=奖掌=蒋=[5]酱=
tsʰ	[1]昌=鲳=枪=[2]墙=[3]厂=抢=[5]唱=[6]匠=像=
s	[1]相=伤=箱=[3]想赏=[5]相=
dz	[3]嚷=
k	[1]姜=[3]强
kʰ	[1]腔=
h	[1]香=乡=[5]向=
∅	[1]央=秧=[2]羊=洋=杨=[3]养=痒=[6]样=
#iak	
t	[8]着=
l	[8]略掠
dz	[8]若弱
∅	[7]约=
#ɔŋ	
p	[2]房=旁[3]榜=[6]榜
pʰ	[2]蓬篷[3]捧[5]胖
b	[1]摸[2]亡芒盲蒙濛[3]莽蠓=网=[6]望=墓-梦=
t	[1]冬=东=当=铛[2]同=桐=筒=铜=童=堂=螳唐=塘=[3]董懂[5]栋冻蝀当=[6]洞=动=
tʰ	[1]汤=通=[2]糖=[3]统=桶=[5]烫=
l	[2]囊郎狼笼农=浓脓=[6]弄=浪
ts	[1]宗踪庄=鬃=[2]崇藏丛=[3]总=[5]葬壮=
tsʰ	[1]窗=囱仓=苍舱=[2]床=[5]创
s	[1]桑=丧=霜=[3]爽=[5]送=丧床
k	[1]光=公=工=[2]狂[3]广=讲-[5]贡摃
kʰ	[1]康=糠=空=匡筐=[3]孔[5]空=抗囥=矿旷
h	[1]丰封蜂=峰方=芳=烘=轰荒=风枋=[2]洪=冯=防虹红=逢宏弘皇凰隍杭航黄=[3]晃纺=仿坊[5]放=[6]奉缝=
ɡ	[2]昂[5]戆{傻}
∅	[1]翁=汪[2]王[3]往=枉[5]瓮=[6]旺
#ɔk	
p	[7]驳北=[8]薄=
pʰ	[7]朴扑並搏[8]暴瀑曝=
b	[8]木=目=牧=
t	[7]桌=啄[8]独=毒=
tʰ	[7]托=[8]读=
l	[8]落=骆乐鹿
ts	[7]作=[8]浊=族镞
tsʰ	[7]簇错[8]凿
s	[7]速肃数索=
k	[7]谷=郭=国
kʰ	[7]扩哭=壳=廓酷
h	[7]福蝠幅腹覆霍壑[8]服伏鹤=获
ɡ	[8]鳄鄂锷噩
∅	[7]屋沃=恶
#iɔŋ	
t	[1]中=忠[2]重=[5]中=[6]重=仲
tʰ	[1]衷[2]虫=[3]冢宠
l	[2]龙隆[3]垄[6]冗=
ts	[1]终钟=盅舂[2]从[3]肿=种[5]众种=
tsʰ	[1]充衝冲[5]铳
s	[1]嵩[2]松榕-[6]诵讼颂
dz	[2]绒
k	[1]宫弓=躬恭供[2]穷[3]拱[5]供=[6]共=
kʰ	[3]恐巩
h	[1]凶兇匈胸=[2]雄
∅	[1]拥壅[2]容蓉庸[3]勇甬涌=[6]用=
#iɔk	
t	[7]竹筑竺[8]逐=轴=
l	[8]六=陆=録绿=
ts	[7]足烛=
tsʰ	[7]尺={～牍}促
s	[7]缩叔粟夙[8]熟=俗蜀赎续
dz	[8]辱肉=褥
k	[7]菊[8]局
kʰ	[7]曲
h	[7]畜{～牧；牲～}旭
ɡ	[8]玉=
∅	[8]育欲浴=毓
#ĩ	
p	[1]鞭-编-边-[3]扁-[5]变-
pʰ	[1]篇-偏-[5]片-[6]鼻
m	[2]棉-暝{半～：半夜}[6]面-
t	[1]甜-[2]缠-[6]滇{水满}
tʰ	[1]天-添-[3]䋎{缝}
n	[1]拈-[2]年-泥-[3]染-你
ts	[1]櫼{柴～}[2]钱-塕{疑为错记}[3]子{～鸡}[5]箭-
tsʰ	[1]鲜-{新鲜}腥-[3]浅-{～色}
s	[2]盐-{橄榄～}[3]闪-[5]扇-[6]豉盐-{～卤菜}
k	[2]墘{边缘，原文作“弦”}[5]见-
kʰ	[2]钳-
h	[6]砚-
∅	[2]圆丸{训“圆”，肉～}[5]燕-[6]异院-易
#ĩʔ	
m	[8]物-
n	[7]𥍉蹑{～骹尾}
#ũ	
m	[1]茅-{～草}[2]毛-{头～}
#ã	
pʰ	[5]怕冇{～粟，原文作“䁒”}
m	[2]麻=蔴=[3]马=码=妈={～祖}蚂=[6]骂=
t	[1]担-[3]胆-[5]担-
tʰ	[3]挺{～悬}
n	[2]蓝-篮-岩-{龙～}林-{树～}咙{～喉}[3]拿娜那
ts	[3]铲{～仔}
s	[1]三-衫-
k	[1]监-[2]含-[3]敢-[5]酵-
kʰ	[1]坩
h	[2]明{～仔载}
ŋ	[3]雅
∅	[6]馅
#ãʔ	
n	[7]□{凹陷}
s	[7]趿{猫扑捉}
#iã	
p	[3]丙-饼-[5]拼-
pʰ	[1]𩩍[2]坪-
m	[2]名-[6]命-
t	[2]埕-庭-{厝～}呈-{送～}[3]鼎-[6]定-锭-
tʰ	[1]听-厅-[2]程-[3]痛{训读，爱，痛}□{爱，痛}
n	[3]领-岭-
ts	[1]精-{～肉}正-{～月}[2]成-情-[3]䭕-{淡}[5]正-
tsʰ	[1]清-[2]成-[3]请-[5]倩-{雇佣}
s	[1]声-[2]成-城-[5]圣-[6]𣛮{～篮}
k	[1]京-惊-[2]行-[3]囝-[5]镜-[6]件-健-
h	[1]兄-[2]燃-[6]艾-
ŋ	[2]迎-
∅	[2]营-赢-[3]影-
#uã	
p	[1]般-搬-[2]盘-[3]坂-[5]半-[6]拌-绊-
pʰ	[1]潘-[2]盘-[5]判-贩-[6]伴-
m	[2]蔴-瞒-[3]瞒-
t	[1]单-[2]坛-弹-[5]旦-[6]惮-段-弹-
tʰ	[1]摊-滩-[5]炭-
n	[2]栏-拦-[6]烂-懒-澜僆{鸡～：小母鸡（未下蛋）}
ts	[1]煎-[2]泉-[3]盏-[6]溅-
tsʰ	[1]䉔{竹～}[5]闩
s	[1]山-[3]散-[5]伞-散-线-
k	[1]官-关-肝-乾-[2]寒-[3]赶-[6]汗
kʰ	[1]宽-[5]看-快-{～活}
h	[1]欢-[2]横-[6]岸-捍
∅	[1]安-垵-鞍-[3]碗-[5]案-晏-[6]换-旱-
#ɔ̃	
m	[1]膜[2]毛魔摩[6]冒
n	[6]怒两-{～个}
h	[3]火=[5]好
ŋ	[3]我=五=伍=午仵忤[6]卧
#ɛ̃	
p	[2]平-坪-棚-[5]柄-[6]病-
pʰ	[2]彭-澎-
m	[2]盲-芒-瞑-[3]猛-蜢-[6]骂-
t	[1]㬹{后～，原文作“𩍐”}[6]郑-
tʰ	[2]呈=程={～溪：地名}
ts	[1]争-[2]晴-{天～}[3]井-[5]争-[6]静-
tsʰ	[1]生-青-星-
s	[1]生-牲-{头～：牲畜}[3]省-
k	[1]更-庚-经-粳-羹-[3]哽-
kʰ	[1]坑
ŋ	[3]雅-[6]硬-
∅	[1]缨-婴-[3]哑-{～口：哑巴}
#ɛ̃ʔ	
p	[7]百-伯-[8]白-帛-
m	[8]脉-
h	[7]歇-{～睏}
#iũ	
t	[1]张-[2]场-[3]长-[5]帐-胀-涨-[6]丈-
n	[2]娘-量-梁-樑-粮-[3]两-[6]量-让-
ts	[1]浆-章-鱆-[2]裳-[3]浆-掌-蒋-[5]酱-[6]上-养-{头～囝}痒-
tsʰ	[1]枪-昌-鲳-[2]墙-扬-[3]抢-厂-[5]唱-[6]匠-{木～}象-像-橡-
s	[1]伤-{～火}箱-厢-[2]疡-[3]赏-[5]相-[6]想
k	[1]姜-
kʰ	[1]腔-
h	[1]香-
∅	[2]羊-洋-杨-[3]养-[6]样-
#uĩ	
p	[1]方-枫-[6]饭-
m	[2]门-[3]晚-每[6]问
t	[3]转-[5]顿-[6]断-
tʰ	[2]团-传-[5]褪-
n	[3]软-[6]卵-
ts	[1]砖-[2]全-[5]钻-[6]旋-{头～}
tsʰ	[1]穿-川{尻～：屁股}[3]吮[5]串-
s	[1]孙-{姓}酸-闩[3]损-[5]算-
k	[1]光-[3]管-{水～}捲-广-[5]贯-卷-
kʰ	[5]劝-
h	[1]昏-荒-[2]园-[6]远-
∅	[2]黄-[3]箢碗-
#ãi	
pʰ	[3]否{坏，原文作paĩ3，应为误记}
m	[3]买=[6]卖=迈
n	[3]奶[6]耐奈赖癞
h	[2]还-
ŋ	[6]艾=
#ãu	
m	[2]矛茅=锚=[6]貌
n	[3]脑[6]闹=
#iãu	
n	[1]猫-[3]鸟
#uẽ	
m	[2]糜-{食～}[6]妹
h	[2]横-{凶恶}
