片	区	小片	方言点	声母	韵母	调值	调类	备注
一	汀州片		武平(福建)	0	iʔ	2	阴入	
七	汀州片		武平(福建)	tɕʰ	iʔ	2	阴入	
丄	汀州片		武平(福建)	s/s	ɔŋ/ɔŋ	31/45	上声/阴平	上山,文读,白读<br>上山,文读,白读
丅	汀州片		武平(福建)	h/h	a/a	31/45	上声/阴平	文读,白读,方位<br>文读,白读,方位
丈	汀州片		武平(福建)	tsʰ/tsʰ	ɔŋ/ɔŋ	31/45	上声/阴平	文读<br>白读
上	汀州片		武平(福建)	s/s	ɔŋ/ɔŋ	31/45	上声/阴平	上面,文读,白读<br>上面,文读,白读
下	汀州片		武平(福建)	h/h	a/a	31/45	上声/阴平	文读,白读,方位<br>文读,白读,方位
不	汀州片		武平(福建)	p	ɛʔ	2	阴入	
世	汀州片		武平(福建)	s	ɿ	452	去声	
丗	汀州片		武平(福建)	s	ɿ	452	去声	
丘	汀州片		武平(福建)	tɕʰ	iu	45	阴平	
业	汀州片		武平(福建)	n	iaʔ	5	阳入	
东	汀州片		武平(福建)	t	əŋ	45	阴平	
丝	汀州片		武平(福建)	s	ɿ	45	阴平	
丠	汀州片		武平(福建)	tɕʰ	iu	45	阴平	
两	汀州片		武平(福建)	t	iɔŋ	45	阴平	儿俩
严	汀州片		武平(福建)	n	iaŋ	22	陽平	
中	汀州片		武平(福建)	ts	əŋ	45	阴平	中间
丸	汀州片		武平(福建)	v	iɛŋ	22	阳平	
主	汀州片		武平(福建)	ts	u	31	上声	
丼	汀州片		武平(福建)	tɕ	iɒŋ	31	上声	
久	汀州片		武平(福建)	tɕ	iu	31	上聲	
义	汀州片		武平(福建)	n	i	31	上声	
之	汀州片		武平(福建)	ts	ɿ	45	阴平	
乌	汀州片		武平(福建)	v	u	45	阴平	
乏	汀州片		武平(福建)	f	aʔ	5	阳入	
乖	汀州片		武平(福建)	kv	a	45	阴平	
九	汀州片		武平(福建)	tɕ	iu	31	上声	
习	汀州片		武平(福建)	ɕ	iʔ	5	阳入	
乡	汀州片		武平(福建)	ɕ	iɔŋ	45	阴平	
书	汀州片		武平(福建)	s	u	45	阴平	
买	汀州片		武平(福建)	m	ɛi	45	阴平	
乱	汀州片		武平(福建)	l	uɛŋ	31	上声	
亂	汀州片		武平(福建)	l	uɛŋ	31	上声	
了	汀州片		武平(福建)	l	iɒu	31	上声	
事	汀州片		武平(福建)	s/s	ɛi/ɿ	31/31	上声/上声	白读<br>文读
二	汀州片		武平(福建)	n	i	452	去声	
亏	汀州片		武平(福建)	kʰv	ɛi	45	陰平	
五	汀州片		武平(福建)	0	ŋ	31	上声	
井	汀州片		武平(福建)	tɕ	iɒŋ	31	上聲	
亖	汀州片		武平(福建)	ɕ	i	452	去声	
交	汀州片		武平(福建)	k	ɒu	45	阴平	
产	汀州片		武平(福建)	s/tsʰ	aŋ/aŋ	31/31		文读<br>文读
亲	汀州片		武平(福建)	tɕʰ	iŋ	45	阴平	
人	汀州片		武平(福建)	n	iŋ	22	阳平	
从	汀州片		武平(福建)	tɕʰ	iəŋ	22	阳平	从来
仓	汀州片		武平(福建)	tsʰ	ɔŋ	45	阴平	
仙	汀州片		武平(福建)	ɕ	iɛŋ	45	陰平	
代	汀州片		武平(福建)	tʰ	uɛi	31	上声	
以	汀州片		武平(福建)	0	i	452	去声	
件	汀州片		武平(福建)	tɕʰ	iɛŋ	31	上声	
任	汀州片		武平(福建)	0/n	iŋ/iŋ	31/31	上声/上声	责任,文读,白读<br>责任,文读,白读
休	汀州片		武平(福建)	ɕ	iu	45	阴平	
会	汀州片		武平(福建)	f	ɛi	31	上声	开会
伞	汀州片		武平(福建)	s	aŋ	31	上声	
伟	汀州片		武平(福建)	v	i	452	去声	
伤	汀州片		武平(福建)	s	ɔŋ	45	阴平	
伯	汀州片		武平(福建)	p	ɒuʔ	2	阴入	
伴	汀州片		武平(福建)	pʰ	aŋ	31	上声	
位	汀州片		武平(福建)	v	i	31	上声	
低	汀州片		武平(福建)	t	ɛi	45	阴平	
住	汀州片		武平(福建)	tsʰ	u	31	上声	
余	汀州片		武平(福建)	0	i	45	陰平	
佛	汀州片		武平(福建)	f	eiʔ	5	阳入	
作	汀州片		武平(福建)	ts	ɔu	452	去聲	
使	汀州片		武平(福建)	s	ɿ	31	上声	
來	汀州片		武平(福建)	l	uɛi	22	阳平	
例	汀州片		武平(福建)	l	ɛi	31	上声	
俗	汀州片		武平(福建)	ɕ	iək	5	阳入	
信	汀州片		武平(福建)	ɕ	iŋ	452	去声	
修	汀州片		武平(福建)	ɕ	iu	45	阴平	
俻	汀州片		武平(福建)	pʰ	i	31	上声	
倉	汀州片		武平(福建)	tsʰ	ɔŋ	45	阴平	
倍	汀州片		武平(福建)	pʰ	ɛi	31	上声	
借	汀州片		武平(福建)	tɕ	ia	452	去声	文读
债	汀州片		武平(福建)	ts	a	452	去声	
倾	汀州片		武平(福建)	tɕʰ	iŋ	45	阴平	
假	汀州片		武平(福建)	k	a	31	上聲	真假
偉	汀州片		武平(福建)	v	i	452	去声	
偏	汀州片		武平(福建)	pʰ	iɛŋ	45	阴平	
停	汀州片		武平(福建)	tʰ	iŋ	22	阳平	
健	汀州片		武平(福建)	tɕʰ	iɛŋ	31	上声	
偪	汀州片		武平(福建)	p	iʔ	2	阴入	
偷	汀州片		武平(福建)	tʰ	əɯ	45	阴平	
傑	汀州片		武平(福建)	tɕʰ	iɛʔ	5	阳入	
傘	汀州片		武平(福建)	s	aŋ	31	上声	
備	汀州片		武平(福建)	pʰ	i	31	上声	
催	汀州片		武平(福建)	tsʰ	ɛi	45	陰平	
傲	汀州片		武平(福建)	ŋ	ɒu	31	上声	
債	汀州片		武平(福建)	ts	a	452	去声	
傷	汀州片		武平(福建)	s	ɔŋ	45	阴平	
傾	汀州片		武平(福建)	tɕʰ	iŋ	45	陰平	
僊	汀州片		武平(福建)	ɕ	iɛŋ	45	阴平	
像	汀州片		武平(福建)	tɕʰ	iɔŋ	31	上声	像不像
儛	汀州片		武平(福建)	v	u	313		
允	汀州片		武平(福建)	0	iŋ	31	上声	
元	汀州片		武平(福建)	n	iɛŋ	22	阳平	
兄	汀州片		武平(福建)	ɕ	iəŋ	45	阴平	
先	汀州片		武平(福建)	ɕ	iɛŋ	45	阴平	
光	汀州片		武平(福建)	k	ɔŋ	45	阴平	
免	汀州片		武平(福建)	m	iɛŋ	45	陰平	
兒	汀州片		武平(福建)	0	i	22	阳平	
兔	汀州片		武平(福建)	tʰ	u	452	去声	
兜	汀州片		武平(福建)	t	əɯ	45	阴平	
入	汀州片		武平(福建)	n	iaʔ	5	阳入	
全	汀州片		武平(福建)	tɕʰ	iɛŋ	22	陽平	
兩	汀州片		武平(福建)	t	iɔŋ	45	陰平	兒倆
八	汀州片		武平(福建)	p	aʔ	2	阴入	
公	汀州片		武平(福建)	k	əŋ	45	阴平	
六	汀州片		武平(福建)	t	iək	2	阴入	
兰	汀州片		武平(福建)	l	aŋ	22	阳平	
共	汀州片		武平(福建)	kʰ/tɕʰ	əŋ/iəŋ	31/31	上声/上声	文读<br>白读
关	汀州片		武平(福建)	kv	aŋ	45	阴平	
兴	汀州片		武平(福建)	ɕ	iŋ	45	阴平	兴旺
兵	汀州片		武平(福建)	p	iŋ	45	阴平	
具	汀州片		武平(福建)	tɕʰ	i	31	上声	
兼	汀州片		武平(福建)	tɕ	iaŋ	45	阴平	
写	汀州片		武平(福建)	ɕ	ia	31	上声	
军	汀州片		武平(福建)	tɕ	iŋ	45	阴平	
农	汀州片		武平(福建)	n	əŋ	22	阳平	
冤	汀州片		武平(福建)	0/v	iɛŋ/iɛŋ	45/45	阴平/阴平	文读<br>白读
冫	汀州片		武平(福建)	p	ɛŋ	45	陰平	
冬	汀州片		武平(福建)	t	əŋ	45	阴平	
冰	汀州片		武平(福建)	p	ɛŋ	45	阴平	
冲	汀州片		武平(福建)	tsʰ	əŋ	45	阴平	
准	汀州片		武平(福建)	ts	eŋ	31	上声	
凉	汀州片		武平(福建)	t	iɔŋ	22	阳平	
凡	汀州片		武平(福建)	f	aŋ	22	阳平	
凤	汀州片		武平(福建)	f	əŋ	31	上声	
凶	汀州片		武平(福建)	ɕ	iəŋ	45	阴平	
凷	汀州片		武平(福建)	kʰ	a	452	去声	
凿	汀州片		武平(福建)	tsʰ	ɔuʔ	5	阳入	
