tsɿ	1陰平	支枝肢資姿咨滋之芝姕{女陰，俗字}知=癡□{手哩uai3~，手欠}□{~tɕy1，不捨得花錢}
	5	魄=迫=
mɛ	1	㜆{媽媽}□{氣鼓~hɛ1,氣喘吁吁}□{小牛叫聲}
	2	明-{清~}名
	3	
	5	物{什~，什麽}□{ɑŋ1心~te3，受冤枉}□{hɛ3~子，螞蟻}
fɛ	1	
	2	去-
	3	
	5	
tɛ	1	低嘚{完成時标記}
	2	□{嬉鬧}蹄{~掌}□{ȵiəu~，十分柔韌}□{纔，於是}
	3	底鼎{飯鍋}抵得{又音}□{ɑŋ1心mɛ4~，受冤枉}
	5	□{这}蒂{~頭婆，瓜蒂}德□{...裡}
thɛ	1	廳
	2	
	3	{腆著，挺著}
	5	聽特=
nɛ	1	
	2	泥尼{~姑}鮎{黄~kua3、滑~kua3，鲇魚}
	3	□{~~，小兒語肉}
	5	
lɛ	1	嶺剺{割}□{刺}
	2	零-{~碎}犁□{~la5~la5，喚鴨聲}
	3	□{炫耀}
	5	勒=肋=
tsɛ	1	腈{(肉)瘦的}
	2	
	3	井-
	5	則窄責摘=
tshɛ	1	青-清-{清澈。~明}
	2	齊
	3	請-{請人}
	5	澤擇策冊廁={~所}撤
sɛ	1	聲-
	2	
	3	洗銑{鑿深磨盤上的條紋}
	5	细色=瑟嗇設摄涉澀性-
kɛ	1	雞箇{結構助詞“的”}
	2	□{燒~，焦煳煳}刉{割}
	3	頸許-{那，遠指}
	5	割=格=革=
khɛ	1	輕
	2	
	3	恰{~~，剛剛}克{~婆，撲克牌K}咳{~嗽}
	5	克=刻=儆{~頸，忌口}
ŋɛ	1	
	2	
	3	
	5	額=
hɛ	1	□{氣鼓mɛ5~，氣喘吁吁}兄{~倈，兄弟}
	2	□{感嘆詞，表反問，“怎麽會呢”}
	3	□{傻}□{打~~，打哈欠。打~tɕhiəu5，打噴嚏}□{~mɛ5子，螞蟻}
	5	係{是}□{饱~，十分飽}黑=
ɛ	1	□{哭聲}
	2	訛二={官}
	3	耳爾餌
	5	二-{又音}貳而={官}
piɛ	1	鞭編邊蝙
	2	便{~宜}
	3	扁匾憋
	5	變便{方~}別遍辮畢必
phiɛ	1	篇偏
	2	
	3	瞥撇
	5	騙片-
miɛ	1	
	2	綿棉眠㒙{称低}
	3	免搣{掰，拔}
	5	面麵滅篾{竹片}蔑密蜜
tiɛ	1	顛癲
	2	甜田填
	3	點跌踮{~~腳，踮腳}滴
	5	電殿墊笛簟{~𣝎，装穀物的竹席}店-{旅~}敵的{目~}疊□{~實，大，結實}滴=狄
thiɛ	1	添{食~，先吃}天
	2	
	3	貼鐵帖
	5	鐵=帖=貼=
liɛ	1	斂{收拾}
	2	廉鐮簾連{~貼}聯憐蓮鰱
	3	理{大~石，慣用音}
	5	立列烈裂練煉歷曆瀝勵{慣用音}例{慣用音}笠□{水沸騰}栗利{~母草，益母草}律
tsiɛ	1	尖煎些
	2	
	3	剪接節鯽癤積笮只
	5	箭濺
tshiɛ	1	千
	2	前錢泉
	3	切七漆
	5	疾賤膝戚
siɛ	1	仙鮮先櫼
	2	成-塍
	3	熄
	5	十鏾{(雞)閹割過的}綫□{鋼~，鋼釺}
tɕiɛ	1	尖煎些莢{皂~，小稱變調}□{大衣~，短褂}氊
	2	借={官}
	3	者檢接汁急揀撿剪節鯽只{渠~，那什么}癤笮{壓緊}澀{訓讀}積-結-□{瓦~板，碎瓦片}
	5	劍箭濺件傑建薦見吉籍積=節=級顫{打冷~}□{煉(豬油)}疾=佔{~位置}□{抖落}結=
tɕhiɛ	1	遷千牽=
	2	錢前□{隘~，十分窄}泉□{~哐，鈸}□{瘦~，十分瘦}鉗
	3	淺切七漆□{甩動}
	5	歉疾{痛}戚賤膝{~頭牯}脅{胳~窠，胳肢窝}切{~莫可，千萬不要}□{唔tshɑu2~，垂死}
ȵiɛ	1	你
	2	燃年嚴娘然{實~，實在}□{喺hɪŋ1~，在}人{别~家}
	3	染尐{一~~，一點點，俗字}
	5	熱日念□{~人，小孩吵鬧煩人}業義{無情無~}
ɕiɛ	1	仙鮮先櫼{牛鼻~，栓在牛鼻子上的棍子}鱔{又音}
	2	社={官}赦={官}嫌舷{旁邊}成-□{~肩頭，溜肩膀}塍{田~，田埂}
	3	濕歇顯失-
	5	釋協習襲十綫羡扇舌折獻悉實失=室=舍{宿~}食=石=蟋相{tɛ2里kuai3~，嘻嘻哈哈}□{鋼~，鋼釺}
iɛ	1	腌煙淹
	2	閻鹽檐{~老鼠，蝙蝠}𣝎{簟~，装穀物的竹席}
	3	也演一熨{~帖，舒服，漂亮}偃{瘪}□{薄~，薄}益-𥣘{~穀，不飽滿的穀粒}膉{油~氣，油變質味}噎
	5	厭葉頁宴乙一=厴{~皮，螺螄圓片状的盖}咽{~頭，咽喉}燕敥{撒}入={~黨}日={~本}益=熱=翼
kuɛ	1	抲{又音}
	2	
	3	□{殺豬叫聲}
	5	國
khuɛ	1	
	2	
	3	撅{折}咳{又音}摑{摑掌，又音}
	5	
huɛ	1	
	2	
	3	
	5	或活獲
uɛ	1	
	2	
	3	□{彎折}
	5	物={動~}
tyɛ	1	張{又音}
	2	
	3	
	5	轉-{旋轉。轉移}著{又音}
lyɛ	1	兩{又音}
	2	連-{~衫，縫衣服}量{又音}
	3	□{圖~ɕyɛ5，誆騙}
	5	劣律率{概~}
tsyɛ	1	
	2	
	3	
	5	
tshyɛ	1	
	2	全
	3	
	5	旋
syɛ	1	宣
	2	
	3	選雪
	5	勺
tɕyɛ	1	專磚捐□{開~，手心上的大開裂}
	2	
	3	卷{形容詞}捲□{tɕi3~，吃饭吧唧聲}轉=
	5	圈{圈養}倦絕决訣
tɕhyɛ	1	川穿圈{圓圈}近
	2	全傳拳權顴玄{~孙，曾孙}撏{~痧，扯痧}
	3	缺出䘆{~公，蚯蚓}
	5	串勸著{歇~，睡著}撳{按}漩{~水湖，漩渦}旋□{~時，令人滿意}欠屈絕-{~種}
ȵyɛ	1	軟□{磨蹭}
	2	
	3	
	5	入-願
ɕyɛ	1	靴薛軒宣鱔{~尾，黄鱔}
	2	船懸椽{~盤}
	3	選血□{軟~，柔軟}啜{~螺螄，嗦}雪
