tsɿ	1陰平	支枝肢資姿咨滋之芝姕{女陰，俗字}知=癡□{手哩uai3~，手欠}□{~tɕy1，不捨得花錢}
	5	說勺術朮□{圖lyɛ3~，誆騙}
yɛ	1	遠養癢
	2	丸圓沿鉛元原源園□{生蟲，被蟲污染}洋{~蝞，蜻蜓}芫援緣□{怎麽}
	3	抈{彎折}𦉟{咧嘴}
	5	院閱越粤疫鬱域
mɯœ	1	
	2	□{~tɕʰy5鳥崽，麻雀}芒{~槌，洗衣槌}
	3	
	5	望-
tɯœ	1	張{裝}□{偷襲}
	2	
	3	
	5	著{穿衣服}漲{肚子撑}□{~心，扎心}
lɯœ	1	兩{數量}
	2	量{動詞}
	3	
	5	
tsɯœ	1	
	2	
	3	
	5	斫
tshɯœ	1	丈
	2	長腸
	3	搶
	5	唱
sɯœ	1	上{動詞}
	2	嚐
	3	晌
	5	上{名詞}
kɯœ	1	
	2	
	3	
	5	腳角{貨幣單位}
khɯœ	1	抲{用虎口掐}
ɯœ	1	噦{嘔吐聲}
	2	
	3	
	5	
pai	1	跛{又音}拜{拜~}
	2	排={~場}牌=
	3	百北擺柏
	5	白=敗{耗费，挥霍}□{~鞋，提鞋}
phai	1	
	2	派={官}
	3	拍{動詞}
	5	派拍{~照}
mai	1	㜆
	2	邁={官}
	3	買={官}
	5	麦脉墨没{~土腳，地名}密
fai	1	
	2	
	3	攉{甩，俗字}
	5	
tai	1	獃
	2	台苔擡={舉}待={官}怠={官}殆={官}
	3	歹
	5	戴貸代带{動詞}岱{~下，地名}
thai	1	胎
	2	泰={官}大={正~}
	3	踢特
	5	太
nai	1	奶-
	2	耐={官}奈={官}
	3	乃
	5	搦{捏}
lai	1	邋{~遢}
	2	□{~ɕiɛ5，骯髒，不整潔}
	3	倈{~kuai3，小孩子}
	5	粒{個}簕肋
tsai	1	灾栽□{(動物)瘟死的}□{uai1~，搗蛋}哉{嗚呼哀~}
	2	再={官}在={官}
	3	宰=崽=
	5	再□{獃~，死板}哉{我~，感嘆詞}債載{年~}
tshai	1	猜差{出差}
	2	才材財裁
	3	彩采睬踩
	5	寨=
sai	1	衫
	2	賽={}官塞={官}
	3	色{~子}
	5	賽
kai	1	該阶街={街道}
	2	械={官}盖={官}
	3	改解格隔閣□{~氣，情緒低落}革割結{~頭，繩結}
	5	介届界戒
khai	1	開揩=
	2	概={官}
	3	凱慨{大~，大方}楷客掐咳剋{命中相剋}
	5	概-
ŋai	1	哀埃挨
	2	捱{磨蹭}獃{~tsai5，死板}
	3	矮=
	5	愛癌={官}□{唔愛的合音，不愿意}
hai	1	嗨{感嘆詞，表應答}喺{~la1，在，又音}
	2	□{~tsɿ3花，石蒜}
	3	嚇海黑□{~底板，垫在門軸下以便開合的板子}
	5	害=
ai	1	
	2	
	3	□{…粒~老子，詈語…个鬼}矮=藹=
	5	哎
iai	1	
	2	涎{粘液}□{~頭毛，女性額頭邊上的細縷頭髮}
	3	□{(飞蟲)密布}
	5	
tsuai	1	
	2	
	3	拽
	5	
tshuai	1	揣=
	2	踹={官}
	3	
	5	
suai	1	摔衰
	2	帅={官}率={官}
	3	甩
	5	
kuai	1	乖
	2	怪={官}
	3	拐□{女陰}□{倈~，小孩}詿{~tshɑŋ2，遭殃}□{tɛ2里~相，嘻嘻哈哈}
	5	怪
khuai	1	□{圈，環}
	2	會={~計。官}
	3	□{該~，糟糕了}塊{貨幣單位}
	5	快筷
huai	1	
	2	懷
	3	攉{又音，俗字}
	5	坏淮={官}
uai	1	挖{又音}□{~tsai1，搗蛋}
	2	外={官}
	3	挖歪崴□{手里~tsɿ1，手欠}
	5	外={~甥}滑
pei	1	杯碑卑悲□{喂}
	2	倍={官}陪{岩泉音}賠{岩泉音}坪{岩泉音}平{岩泉音}
	3	醅{酒~，酒曲}
	5	輩=柄病背{岩泉音}被{岩泉音}備{岩泉音}倍{岩泉音}
phei	1	胚
	2	佩={官}
	3	□{吐槽}
	5	配佩
mei	1	糜{腐烂}㜆{岩泉音}
	2	媒{岩泉音}煤{岩泉音}名{岩泉音}
	3	每美
	5	命枚=望{又音}
fei	1	非=
	2	廢={官}
	3	匪
	5	廢
tei	1	低{岩泉音}
	2	蹄{岩泉音}
	3	得底{岩泉音}抵{岩泉音}
	5	□{這。岩泉音}□{們。岩泉音}□{...裡。岩泉音}蒂{岩泉音}
thei	1	廳{岩泉音}
	2	
	3	
	5	替{岩泉音}剃{岩泉音}聽{岩泉音}
nei	1	你{長村音}
	2	泥{岩泉音}尼{岩泉音}
	3	
	5	
lei	1	嶺{岩泉音}
	2	零-{岩泉音}
	3	領{岩泉音}
	5	力
tsei	1	腈{岩泉音}
	2	
	3	織醒{訓讀}蚱井-{岩泉音}
	5	儕{們，訓讀}
tshei	1	青{岩泉音}清{岩泉音}
	2	齊{岩泉音}
	3	請{岩泉音}
	5	直值侄净-{岩泉音}
sei	1	食聲-{岩泉音}
	2	成{岩泉音}
	3	虱媳□{慢慢~~，慢慢悠悠}殺色錫洗{岩泉音}
	5	食席={酒席}細{岩泉音}性{岩泉音}十{又音}
kei	1	雞{岩泉音}
	2	
	3	頸{岩泉音}
	5	
khei	1	輕{岩泉音}
	2	
	3	
	5	儆{岩泉音}
hei	1	兄{岩泉音}
	2	□{感嘆詞，表反問“怎麽會呢”}
	3	
	5	嘿係{又音}
ei	1	
	2	欸
	3	
	5	欸
tuei	1	堆=
	2	對={官}兌={官}隊={官}
	3	
	5	
thuei	1	推=
	2	退={官}褪={官}
	3	腿=
	5	頹={官}
nuei	1	
	2	内=
	3	
	5	
luei	1	
	2	擂={官}耒={官}
	3	纍{積~}屢壘
	5	雷={官}
tsuei	1	錐椎
	2	墜={官}贅={官}
	3	嘴=
	5	
tshuei	1	崔
	2	翠={官}萃={官}粹={官}
	3	璀=
	5	垂={官}
suei	1	雖=
	2	睡={官}瑞={官}遂={官}穗={官}
	3	水=
	5	誰={官}
kuei	1	龜歸=規瑰
	2	桂={官}
	3	軌詭
	5	
khuei	1	亏=
	2	櫃={官}愧={官}潰={官}
	3	跪{岩泉音}
	5	葵={官}奎={官}魁={官}櫃
huei	1	徽灰=恢輝揮盔{慣用音}
	2	彙={官}匯={官}惠={官}慧={官}繪={官}回
	3	毁={官}
	5	會{開~}
uei	1	威
	2	爲={官}胃={官}僞={官}桅{~子樹，旗桿}
	3	偉尾={官}委葦維
	5	危={官}微={官}爲{~什物}維={官}唯={官}違={官}胃味
møy	1	
	2	芒{~槌，洗衣槌。岩泉音}
	3	
	5	望{岩泉音}
tøy	1	張{裝。岩泉音}
	2	
	3	竹
	5	著{岩泉音。~衫}䏨{𦢏~，蠢，獃}
thøy	1	
	2	
	3	托
	5	袋{又音}
nøy	1	
	2	
	3	
	5	内
løy	1	㔣{又音}兩{岩泉音}
	2	𦢏{~䏨，蠢，獃}蕤{又音}來{又音}量{岩泉音}
	3	
	5	類慮濾綠六陸
tsøy	1	追
	2	
	3	足{足量}
	5	最斫{岩泉音}
tshøy	1	丈{岩泉音}
	2	長{岩泉音}腸{岩泉音}
	3	促{嗆。~記，突然想不起來}搶{岩泉音}
	5	唱{岩泉音}
søy	1	虽上{動詞。岩泉音}
	2	随
	3	俗{~事，俗話}
	5	粟税上{名詞。岩泉音}
khøy	3	局{駝背}
øy	1	
	2	
	3	
	5	吁{~唷，感嘆詞，表震驚}
pɑu	1	包胞苞
	2	袍暴={官}抱={官}报={官}刨
	3	保=寶=飽堡{城~}
	5	報暴豹爆刨□{~廳屋，舊時大戶人家的婦女用來哺乳的房間}
phɑu	1	抛泡{名詞}藨{蛇~，蛇莓}□{打牙骹~，牙齒打戰}脬{尿~，膀胱}
	2	炮={官}
	3	跑泡{~沫，塑料泡沫}
	5	泡{泡沫。泡水。膨胀}炮疱孵{孵蛋}□{豬用鼻子拱。小孩撅嘴}□{十圓爲一~塊，俗字𣕅}
mɑu	1	猫=冇{動詞}□{青~，十分青}
	2	冇{副詞}茅毛={毛发}貌={官}□{tɑu2里tɑu2~，囉嗦}麻{蓖~}
	3	卯
	5	帽貌
tɑu	1	刀
	2	桃淘陶逃綯{用繩栓}萄□{~里~mɑu2，囉嗦}□{~行，将田地挖成行}錭{用銼磨平}
	3	搗島到{作動詞補語}倒{~水}導擣禱鑄-
	5	到{到達}倒{~過來}道稻盗
thɑu	1	滔掏濤饀{~環，一種油炸小吃}
	2	套={官}
	3	討
	5	套
nɑu	1	腦{鐵質農具與柄相連的地方}
	2	鬧={官}□{大聲叫喊、訓斥。~躁，急躁}
	3	腦=恼
	5	鬧□{~死，中毒而死}
lɑu	1	老撈□{牛盖~，牛籠嘴}□{羊肉膻味}
	2	勞撈牢痨{失神}□{ɑu1~，將就}
	3	老=佬{弟弟，妹妹}
	5	饒={官}□{捆綁}
tsɑu	1	遭召昭招㷮{炸出來十分脆}糟{糟蹋}□{~雷，響雷}
	2	詔={官}照={官}
	3	早枣蚤澡爪找笊沼
	5	躁竈噪罩兆照皂{~角}□{勞~，積極，有熱情}
tshɑu	1	操糙抄鈔超皂-筲躁{毛毛~~，馬馬虎虎}
	2	曹槽巢潮朝□{唔~tɕhiɛ5，垂死}□{~酒，釀酒}嘈{勞~，吵鬧}
	3	草炒吵騲
	5	造朝=䜊{作聲}□{~子，橡皮擦}□{齊~，整齊}□{吊~，屠宰前整豬稱重}
sɑu	1	騷稍燒□{雄~，莽撞衝動}
	2	少={~年。官}紹={官}邵={官}□{翹的}韶
	3	掃{動詞}少{多~}□{貶義，大吃}嫂
	5	潲掃{動詞。名詞}哨
kɑu	1	高膏羔糕□{走~嘚，走遍了}胶骹{下~，下巴}
	2	告={官}
	3	稿{~字，草書}搞
	5	告教覺{睡覺}叫{~化子}窖較{~場，古代練兵場}
khɑu	1	敲
	2	靠={官}
	3	考烤
	5	拷靠
ŋɑu	1	咬
	2	𢳆{晃動}熬厫{糧倉}
	3	咬=
	5	傲坳□{~板，合頁。阻塞}□{骨頭~嘚，骨頭斷了}垇{小水~，地名}拗{~脾氣}
hɑu	1	𣭹{攪}篙{竹竿}□{摇摇晃晃}薅{拔草}
	2	毫{~子，鋼蹦}荷{天~芋，野芋}
	3	好=哭{又音}
	5	□{感嘆詞，該死了}孝{~衫，孝服}浩{~源冲，地名}好{偏好}
ɑu	1	□{~糟，淫邪污穢}□{~lɑu2，將就}
	2	澳={官}奧={官}
	3	拗{折}屋{又音}郁{又音}
	5	坳{又音}
piɑu	1	標彪猋{跳}滮{噴湧}膘
	2	嫖
	3	表
	5	俵{給}
phiɑu	1	飄縹
	2	漂={官}票={官}
	3	漂{~白}瞟
	5	票漂{漂選}□{賒}
miɑu	1	貓
	2	苗貓{~兒}瞄{看}妙={官}
	3	秒喵{唤貓聲}藐渺
	5	廟妙
tiɑu	1	刁雕彫貂凋□{蜂叮咬}
	2	條調-{嬉笑}
	3	鳥屌
	5	釣掉調-{曲調}
thiɑu	1	挑
	2	跳={官}糶={官}
	3	斢{調換}挑{~眼~背，翻白眼}
	5	調={~整。官}糶跳
liɑu	1	撩蹽{用腳撥}了{完了}
	2	寮{小村落，偏遠}遼聊療獠{~牙，虎牙}
	3	了={~解。...得~，能夠…}
	5	燎料廖尥{睡覺多動}嫽{玩耍}
tsiɑu	1	焦椒蕉
	2	
	3	罺{水中抄物用的網}繳{慣用音}
	5	
tshiɑu	1	
	2	
	3	
	5	噍{咀嚼}
siɑu	1	消宵霄硝銷𣕇{~梨}
	2	
	3	小
	5	笑
tɕiɑu	1	交郊焦蕉椒驕嬌澆
	2	教={官}校={官}□{干~，十分瘦}
	3	剿繳僥絞狡罺{水中抄物用的網}
	5	轎叫較{比~}
tɕhiɑu	1	鍬藠
	2	瞧橋
	3	巧
	5	翹撬鵲噍{咀嚼}
ȵiɑu	1	
	2	堯{姓~}
	3	繞
	5	尿嫑{无要的合音}
ɕiɑu	1	消宵霄硝銷囂瀟簫𣕇{~梨}□{便宜~利，愛撿便宜}
	2	校={學~。官}酵={發~。官}
	3	小曉
	5	效笑孝={~崽~孫}□{~崽，熱氣瘡}
iɑu	1	腰幺邀
	2	窑摇瑶猺姚
	3	舀擾
	5	要
pəu	1	菠{岩泉音}玻{岩泉音}疤{岩泉音}
	2	婆{岩泉音}
	3	腹{肚子}泊{~岸，地名，今作北岸}北{~岸，地名}
	5	簸{岩泉音}薄{岩泉音}白{岩泉音}
phəu	1	
	2	
	3	伏{卧倒}
	5	破{岩泉音}帕{岩泉音}
məu	1	摸{岩泉音}
	2	貿=茂=磨{岩泉音}麻{岩泉音}毛{岩泉音}
	3	某=牡亩馬{岩泉音}碼{岩泉音}
	5	謀=牟=罵{岩泉音}
fəu	1	
	2	
	3	否福-{~氣}
	5	浮=服-
təu	1	都=兜=多{岩泉音}都{岩泉音}
	2	豆=鬥=逗=舵{岩泉音}馱{岩泉音}塘{岩泉音}
	3	斗=抖=蚪=朵{岩泉音}躲{岩泉音}
	5	剁{岩泉音}讀{岩泉音}毒{岩泉音}
thəu	1	偷拖{岩泉音}
	2	透={官}
	3	
	5	投={官}骰={官}頭={官}
nəu	1	
	2	挪{岩泉音}
	3	
	5	糯{岩泉音}
ləu	1	
	2	陋={官}鏤={官}羅{岩泉音}鑼{岩泉音}籮{岩泉音}騾{岩泉音}螺{岩泉音}腡{手指紋。岩泉音}郎{~頭子，女婿。岩泉音}
	3	摟={官}簍={官}
	5	婁={官}落{岩泉音}
tsəu	1	周{姓~}
	2	揍={官}奏={官}
	3	做捉
	5	軸={官}
tshəu	1	坐{岩泉音}
	2	凑={官}茶{岩泉音}查{岩泉音}床{岩泉音}
	3	丑=
	5	愁={官}
səu	1	搜={官}餿={官}艘={官。岩泉音}紗{岩泉音}杉{岩泉音}
	2	瘦={官}
	3	缩叔索-喌{喚雞聲}鎖{岩泉音}瑣{岩泉音}
	5	熟-
kəu	1	歌{岩泉音}哥{岩泉音}鍋{岩泉音}家-{岩泉音}加{岩泉音}痂{岩泉音}
	2	垢={官}購={官}
	3	枸苟谷榖鴿角{~頭，角落}
	5	過{岩泉音}架{岩泉音}嫁{岩泉音}價{岩泉音}
kəu	1	摳=
	2	扣={官}
	3	□{駝背}殼可{岩泉音}
	5	貨{岩泉音}
ŋəu	1	鷗歐=瓦{岩泉音}
	2	蛾{岩泉音}鵝{岩泉音}牙{岩泉音}芽{岩泉音}呀{张嘴。岩泉音}
	3	藕=
	5	餓{岩泉音}
həu	1	𠷋{感嘆詞，表贊同}蝦{岩泉音}下{底~。岩泉音}
	2	候={官}河{岩泉音}何{岩泉音}荷{岩泉音}和{岩泉音}
	3	哭吼火{岩泉音}伙{岩泉音}
	5	侯={官}禍{岩泉音}下{岩泉音}學{岩泉音}
əu	1	歐=毆=
	2	
	3	偶=嘔=屋郁{~水塘，地名}
	5	
piəu	1	
	2	瓢
	3	
	5	□{槍聲}菢{孵}
phiəu	1	
	2	
	3	鼻{嗅}
	5	鼻{嗅}
miəu	1	
	2	繆={官}謬={官}
	3	
	5	
tiəu	1	丢
	2	
	3	
	5	
liəu	1	溜
	2	溜{滑~，十分滑}劉留流硫
	3	柳{~樹}蓼{辣~}
	5	餾={官}
tsiəu	1	
	2	
	3	酒
	5	
tshiəu	1	秋鰍
	2	
	3	
	5	就
siəu	1	修{削}
	2	
	3	□{鞭打，抽}
	5	銹秀綉
tɕiəu	1	周{~圍}舟州洲糾鄒□{~苔皮，青苔}
	2	就={官}
	3	酒九久韭灸扭{擰}守肘
	5	救㲃{轉变朝向}究{~竟}柩{出~，出殡}□{雞婆~，雞皮疙瘩}□{䯲䯲~，髪髻}
tɕhiəu	1	秋抽丘舅邱鰍
	2	求球仇綢
	3	丑醜
	5	就酬舊{~年，去年}臭□{整合，拼凑}袖□{打hɛ3~，打噴嚏，俗字鼽}
ȵiəu	1	妞
	2	牛
	3	鈕扭=
	5	肉□{柔韌的}
ɕiəu	1	修{削}羞收休□{凉~，冷冰冰}
	2	秀={官}獸={官}授={官}售={官}
	3	手首朽
	5	綉銹受壽{~料，生前置的棺材}畜{家養的}□{清~，十分清澈}粟{又音}
iəu	1	有悠優憂□{~里ia3趤，不务正业}
	2	游遊油釉
	3	友
	5	柚幼{细腻}又由={官}右育
pɐø	1	
	2	浮-薸{浮萍}
	3	
	5	□{倚仗，依靠}
phɐø	1	□{沸騰噴出}□{浮腫}
	2	
	3	
	5	疱
mɐø	1	
	2	□{瞞著}
	3	某
	5	
fɐø	1	
	2	□{浮腫}
	3	
	5	
tɐø	1	兜蔸{量詞，株，棵}吺{挑釁，惹}□{(牛)用角頂人}篼{豬~，長豬槽}
	2	頭投{~水，跳河自盡}
	3	抖{顫抖。捣}陡□{踹，俗字𧿫}斗{墨~}□{把灌溉水攔到田裡去}
	5	鬥豆竇斣{拼接}
thɐø	1	偷
	2	
	3	㪗{休息，喘氣}
	5	透□{~水，裝水}
lɐø	1	□{輕~，十分輕}
	2	樓□{精神不振。枯萎}
	3	摟簍耬{播種用的農具}□{絆腳}褸{~水襪，綫襪}
	5	漏𡀿{趕(牲口)}
tsɐø	1	□{蹲，俗字𨃘}
	2	
	3	走
	5	皺
tshɐø	1	搊{托著向上}
	2	愁
	3	
	5	凑
sɐø	1	餿搜
	2	
	3	□{摘}
	5	嗽瘦
kɐø	1	鈎溝鳩{斑~}鬮{撿~}笱{魚~，捕魚籠}□{奴~，奴僕}
	2	痀{駝}
	3	狗苟
	5	夠□{凝固，污垢積聚}
khɐø	1	摳□{~坑，排屋檐水的溝}
	2	
	3	口
	5	叩扣
ŋɐø	1	勾{鈎取。~機，挖掘機}歐{姓~}
	2	
	3	藕
	5	
hɐø	1	後{~日}厚
	2	喉猴瘊
	3	好-
	5	後{以~}候
ɐø	1	憂{~愁}
	2	
	3	嘔
	5	慪{~氣}漚{~肥}熰{~火}
øɯ	1	
	2	兒{貓~，貓}
	3	
	5	
pan	1	搬頒扳
	2	半={官}拌={官}
	3	板=版跘{~跤，摔跤}
	5	辦瓣絆
phan	1	攀拌{摔}潘
	2	判={官}叛={官}
	3	
	5	盼=
man	1	
	2	曼={官}漫={官}蔓={官}幔={官}饅={~頭。官}
	3	蟎晚{~崽，小孩昵稱}
	5	蠻={官}
fan	1	翻=番
	2	煩繁販={官}
	3	返
	5	繁={官}樊
tan	1	丹單=擔=
	2	但={官}彈={官}蛋={官}旦={官}潭{湘~}
	3	膽=
	5	但彈{子~}蛋
than	1	攤=癱灘=貪=
	2	嘆={官}
	3	坦=毯=
	5	罎={官}壇={官}檀={官}談={官}潭={官}彈={子~，慣用音}
nan	1	奶{祖母，又音}
	2	難={灾~。官}
	3	
	5	難={困~。官}
lan	1	
	2	濫={官}來{~日，將來}
	3	攬覽
	5	蘭={官}
tsan	1	沾粘
	2	戰={官}暫={官}棧={官}贊={官}
	3	斬=展盞=嶄
	5	站
tshan	1	攙摻參{~加}
	2	燦={官}孱={~頭。官}
	3	鏟產慘
	5	殘={官}慚={官}讒={官}饞={官}蟬={官}
san	1	姍=珊=
	2	散={官}膳={官}
	3	散=閃陝
	5	散
kan	1	監=乾={~燥}姦甘艱間={中~}
	2	榦={官。樹~}
	3	感趕=竿=桿=稈=减
	5	
khan	1	刊看{~護}勘堪
	2	看={官。~望}
	3	砍坎槛
	5	
ŋan	1	鵪安=啱{~tɕhian3 ，剛剛，俗字}桉
	2	案=按=
	3	
	5	案按暗
han	1	喺{~ȵiɛ2，在，俗字}
	2	漢={官}
	3	喊=
	5	限函={官}焊=
an	1	安=
	2	暗=
	3	
	5	暗
pian	1	邊=鞭=辮
	2	便={官。~利}辨={官}辯={官}遍={官}
	3	匾=扁=貶=揙{玩弄，摆弄}
	5	變={變賣}
phian	1	編=篇=偏=片{~子}
	2	片={官}遍={官}騙={官}
	3	□{蘸}
	5	片{量詞}
mian	1	
	2	面={官}麵={官}
	3	免={官}勉={官}
	5	眠={官}
tian	1	顛=癲=
	2	電={官}殿={官}
	3	□{敷衍了事}店{店鋪}
	5	
thian	1	天=添=
	2	
	3	舔=
	5	填={官}
lian	1	
	2	憐戀={官}練={官}煉={官}鏈={官}
	3	□{(衣服拉鏈)敞開}臉=
	5	聯={官}廉={官}
tɕian	1	□{挨，碰}兼堅尖=煎=
	2	建={官}健={官}漸={官}薦={官}踐={官}間={官。~隔}
	3	碾{~米}檢簡繭簡
	5	件見={唔~得，不見得}
tɕhian	1	殲纖{~維。~細。~夫}謙遷=箋籖=簽鉛=
	2	歉={官}
	3	□{~水棒，汲水器}□{啱~，剛好}
	5	乾{~坤}=虔=潜=
ȵian	1	研
	2	驗=
	3	碾=
	5	黏=念
ɕian	1	興{福~寺，地名}籖-{牙~}
	2	憲={官}獻={官}羡={官}陷={官}餡={官}
	3	險□{用身体晃動}□{挺著}陝
	5	賢={官}銜={官}閑={官}
ian	1	胭閹=
	2	厭={官}宴={官}艷={官}雁={官}
	3	掩=%
	5	□{新~，十分新}延={官}炎={官}言={官}
tuan	1	端=
	2	緞={官}鍛={官}
	3	短=
	5	
thuan	1	湍=
	2	
	3	
	5	團={官}
nuan	1	
	2	
	3	暖=
	5	
luan	1	
	2	亂={官}
	3	卵=軟=
	5	欒={官}鸞={官}
tsuan	1	專=磚=鑽={~研}
	2	篆={官}傳={官。~記}鑽={~頭。官}
	3	轉=
	5	
tshuan	1	穿=川=
	2	篡={官}窜={官}
	3	喘=
	5	傳={官。~說}
suan	1	刪酸=閂=栓=
	2	算={官}蒜={官}
	3	
	5	
kuan	1	冠={衣~}官=觀关=
	2	灌={官}貫={官}慣={官}
	3	管=館=莞
	5	罐{藥~}
khuan	1	寬=歡{喜~}
	2	
	3	款=
	5	
huan	1	歡=環{饀~}
	2	喚={官}桓={官}患={官}煥={官}瘓={官}渙={官}
	3	緩=
	5	換還={官}環={官}完={官}
uan	1	彎灣豌
	2	玩頑
	3	宛婉惋晚=挽
	5	萬={~安寺，地名}
tɕyan	1	專=磚=捐=娟=
	2	傳={官。~記}篆={官}卷={官。書~}倦={官}眷={官}圈={官。~養}券={官}
	3	轉={~移}卷={~曲}
	5	
tɕhyan	1	穿=圈={圓~}
	2	串={官}勸={官}
	3	犬
	5	泉={官}傳={官。~說}鶉{慣用音}
ȵyan	1	
	2	
	3	軟=
	5	
ɕyan	1	掀鮮=
	2	縣={官}玄={~孫}懸=
	3	選
	5	弦={官}旋={官}掀{又音}
yan	1	鴛淵冤=
	2	院={官}願={官}怨={官}
	3	遠=
	5	元={官}源={官}猿={官}袁={官}轅={官}
poŋ	1	分-{~開}崩=
	2	蓬{蓬草}盆朋棚䭰{香~，十分香}瓶篷{斗~}湓{溢出}
	3	笨{厚~，十分厚}捧-{抱起}本
	5	□{捧，推。~屎蛆，蜣螂}□{翹起屁股}糞{~箕}□{簕~窠，荊棘叢生的地方}
phoŋ	1	□{爉~，火十分猛}蓬{蓬鬆}蜂鋒{三角~，尖角}
	2	碰={官}
	3	捧{掬}
	5	嘭{銃聲}碰
moŋ	1	蒙懵
	2	蒙門蚊
	3	蠓{蒼蠅}猛
	5	孟問夢
foŋ	1	風封鋒楓分={~鐘}丰峰瘋吩
	2	墳{~頭}鳳={官}縫{縫補}馮逢魂-{迷~鬼，使人迷路的鬼怪}
	3	諷粉□{臭~，十分臭}
	5	份奉縫{縫隙}
toŋ	1	東冬□{鼓~，十分鼓}□{蓋，蒙}墩
	2	桐銅筒□{光~，十分亮堂}同眮{凑近看}瞳動={官}童{~運，小孩的命數}
	3	𣎴{樁子，俗字}懂董礅{磙~}
	5	凍垌{成片的農田}洞棟敦{竪立}動
thoŋ	1	通吞
	2	痛={官}
	3	桶捅統
	5	痛
noŋ	1	噥{嘟囔}
	2	農膿
	3	□{推搡}儂{你的}□{病怏怏}
	5	□{~䖯崽，蝌蚪}齈{鼻塞}嫩
loŋ	1	□{~桐樹，泡桐}聾
	2	龍礱{~鈎，磨盤手柄}籠輪{動量詞}隆嚨□{~萁，芒萁}
	3	□{苦~皮，楝樹}竉{炭~，煤礦道}攏冗
	5	綸={腈~}弄{欺騙，溺愛}
tsoŋ	1	㯶中□{塞，堵}宗{種類}鬃忠終□{~一拳，打一拳}
	2	重={官。重量}
	3	種{種類}准-{允許}總腫
	5	衆{公家的}種{種植}中{~奨}
tshoŋ	1	葱椿春-囱重冲{山間平地}村聰充舂㷓{烘乾}
	2	蟲重{疊放}松{~樹}存叢層
	3	寵蠢揰{推搡}
	5	寸銃重={官。~複}冲{火氣大}昨{~日，連音}□{猛戳，猛鏟}
soŋ	1	鬆孙嵩
	2	倯{醜。凶}
	3	筍損隼榫摐{~鼻涕，擤鼻涕}
	5	聖{~卦，聖杯一正一反}送頌訟順剩
koŋ	1	公君{~子嶺，地名}弓工蚣躬攻供{供应}恭
	2	貢={官}□{用酒舀按進缸中}
	3	拱巩滚汞
	5	棍供{供奉}貢羾{钻洞}□{黄~，十分黄}
khoŋ	1	空{空曠}□{~𧊘，俗字𧌆，螃蟹}涳{水滲出}
	2	窮裙
	3	菌孔
	5	控空{空閑}共{~娘~爺，同父同母}
hoŋ	1	烘
	2	紅洪鴻雄
	3	哄恐
	5	鴻={官}洪={官}
oŋ	1	五-伍-溫壅{掩埋}女-
	2	魚漁{~家山，地名}炆{熬，燉}
	3	兀{訓讀，突起}□{感嘆詞，喏}穩
	5	□{悶}搵{圈養}䔨{~菜}
tɕioŋ	1	㯶{百堆音}中{百堆音}宗{百堆音}鬃{百堆音}鐘{百堆音}
	2	
	3	炯種{百堆音}准{百堆音}總{百堆音}腫{百堆音}
	5	衆{百堆音}種{百堆音。種植}
tɕhioŋ	1	葱{百堆音}囱{百堆音}重{百堆音}冲{百堆音}村{百堆音}聰{百堆音}充{百堆音}
	2	蟲{百堆音}重{百堆音。叠放}松{百堆音}叢{百堆音}層{百堆音}
	3	蠢{百堆音}揰{百堆音}
	5	瓊={官}穹={官}寸{百堆音}銃{百堆音}冲{百堆音}
ȵioŋ	1	
	2	濃
	3	
	5	濃={官}
ɕioŋ	1	兄胸凶兇鬆{百堆音}孙{百堆音}
	2	熊雄{又音}倯{百堆音}
	3	恐{又音}筍{百堆音}損{百堆音}榫{百堆音}
	5	雄=鱅=嗅送{百堆音}訟{百堆音}順{百堆音}
ioŋ	1	雍庸暈{又音}□{~頭，額邊}
	2	雲{又音}勻{又音}融容榕溶熔鎔絨
	3	允{又音}勇踴湧詠
	5	榮={官}用佑{保~}
pɪŋ	1	冰兵斑
	2	坪={太~圩，地名}平={~時}瓶彭{姓~}
	3	餅丙
	5	□{開枝~khua3，形容樹不直}捹{扯}□{老~，十分老}笨
phɪŋ	1	□{打~顫，因酸而發抖}
	2	
	3	□{小~，小氣}品{并排}
	5	□{打~顫，因酸而發顫抖，又音}
mɪŋ	1	悶=
	2	明{形容詞}
	3	抿{閉著嘴。小口喝}
	5	悶
fɪŋ	1	□{幼~，十分細膩}分=芬
	2	糞={官}
	3	粉奮{~耳刮子，打耳光}
	5	喷{戽水}
tɪŋ	1	燈墩{圝~，十分圓}驐{閹割}叮{蜇咬}丁盯疔釘□{小氣}□{對準扔小石子}□{~kɔ1鰍，一種像鮎魚的魚}砧箏□{ȵiəu5~，十分柔韌}飩{又音}
	2	藤停亭尋{訓讀，尋找}
	3	顶等{等待。給}
	5	□{重~，十分重}鄧□{(金銀)壓手}定訂
thɪŋ	1	□{紫~，十分紫}吞{~唔~吐唔吐}
	2	
	3	䮴{路不平坦}□{天理唔~，天理難容}□{打~，走路搖搖晃晃}
	5	□{~手，幚忙}磴{馬~，臺階}□{打~，走走停停}
nɪŋ	1	拈□{形容男子吃飯像女人}
	2	能仍{~~，仍然}
	3	□{被撓癢癢的感覺}
	5	能={官}
lɪŋ	1	□{花~，十分花哨}丁{~光，不穿衣服}
	2	临邻靈零={數字}鈴伶林淋鱗鯪{穿山甲}輪
	3	冷
	5	令另棱{絲瓜棱}
