#i
p [1] 冰- 
p' [2] 平-坪- [6] 病-
m [2] 明-名- [6] 命-
t [1] 钉-~子街-间-1{一~房} [3] 顶- [5] 钉-{~书}芥-戒-界-盯-
t' [1] 听-厅- [2] 停-台{圪~}[3] 挺- [6] 定-{饭~啦}锭-{~子}
n [1] 秧- [3] 影-{~子}
l [2] 铃-零-凉-梁-梁-粮-凌- [3] 领-岭-两-俩-
tɕ [1] 荆-精-{~明}皆阶惊- [3] 姐解井- [5] 镜-介界=届戎=械虹-浆-芥=酱-借=浆-
tɕ' [1] 青-轻-姜-清- [2] 晴墙强² [3] 籍=抢 [6] 匠-呛-{~得不行}净-静-
ɕ [1] 星-腥-厢-霄{圪～：开始下雨}香-箱- [3] 响-想-享-揩写= [5] 醒-¹ [6] 象-谢=卸=
ø [2] 赢-蝇-羊-扬-阳-{～圪篓：阳光照射到的避风角落}杨- [3] 养- [6] 液腋样-钥

#u
p [1] 拨博剥播=钵□{打~~：啄木鸟}
p' [1] 泼 [2] 铵 [6] 炮-蚌{圪~油}
m [1] 摸末沫 [2] 猫-模{~范}寞膜
t [1] 朵 [3] 躲 [5] 剁掇 [6] 惰堕
t' [1] 脱托妥 [2] 饪坨 [6] 道-
l [2] 鹿禄落烙洛络乐罗勒肋裸 [2] 辘轳 [3] 篓-
ts [1] 作庄-装-做-桌 [3] 枣 [6] 昨
ts' [1] 搓错窗-锥疮-挫 [2] 藏- [5] 错 [6] 坐座锉
s [1] 索霜-双- [2] □{长而高的凳子} [3] 锁琐响- [6] 尚-嗽
z [1] 弱
k [1] 锅搁鸽割葛各阁格羔光-瓜 [3] 果裹 [5] 过
k' [1] 科渴磕瞌刻克糠-1可1{~顶可卵} [3] 棵颗 [5] 课骡
ŋ [1] 恶1 [2] 蛾= [3] 祄{花花~}
x [1] 喝豁霍藿慌- [2] 和黄-禾 [3] 火伙 [5] 货 [6] 祸获=
ø [1] 窝 [2] 碣王-{~家庄} [6] 卧

#y
n [2] 鱼渔 [3] 女=雨语羽禹
l [2] 驴 [3] 吕旅 [6] 虑滤泪-律=率=
tɕ [1] 居车拘驹 [3] 举咀 [5] 醉-剧=巨拒俱句据锯 [6] 聚
tɕ' [1] 区驱瞿椿- [2] 渠 [3] 取1娶趣 [5] 去= [6] 具□{—~纸}惧趋
ɕ [1] 虚嘘墟须需畜萎搐 [2] 徐续 [3] 许 [5] 岁-絮 [6] 穗-胥序肃旭
ø [2] 盂愈喻淤榆=逾芋余馀于 [3] 宇虞娱 [5] 与喂{~狗} [6] 预遇御慰-

#ɑ
p [1] 芭爸八捌 [3] 把{一~}巴疤 [5]霸坝 [6] 罢={~官} [0] 吧
p' [2] 爬琶拔 [5] 怕 [9] 耙罢-叭
m [1] 抹 [2] 妈麻 [3] 马码 [6] 骂
f [1] 法发 [2] 乏伐筏罚阀
v [1] 袜
t [1] 答搭{白~}打{从} [2] 达打{一~鞑} [3] 打{~酒} [6] 大{老~}□{吆喝牲口} [0] 去5{快回~。}
t' [1] 塔榻塌拓他 [2] 踏{~步} [3] □{象声词，形容马蹄的声音} [5] 踏{~实}
n [1] 纳捺 [2] 拿
l [2] 拉腊蜡辣 [2] 拉{~木头} [3] 啦{象声词，小孩跑动的声音} [6] 晃{圪~} [0] 啦{语气助词}
ts [1] 扎渣遮-眨 [2] 杂=咱铡= [3] 扎{用力~}乍 [5] 炸诈榨闸
ts' [1] 叉差{~别}擦诧插车镖 [2] 茶搽察查杂- [3] 噪扯-¹ [5] 岔杈 [6] □{不~子：盛鸡狗食的器皿。}
s [1] 沙莎萨杀赊傻煞 [2] 铊蛇-霞-些-{这～人：这么多人} [3] 洒霎舍{～不得}撒 [6] 厦
z [3] 惹- [6] □{踩泥路}□{~剪子：空剪的动作}
k [6] 尬□{脾气~}
k’ [3] 卡
x [1] 瞎- [2] 匣-狭-还{~没有} [5] 吓哈 [9] 下-夏-
ø [3] 阿

#iɑ
p [5] □{象声词，打人脸的声音}
p' [5] □{象声词，形容人摔到的声音}□{两手拉劈树杈的行为}
t [1] 夹-家-1甲-枷-痂 [3] 贾假-{~的} [5] 架-驾-
t' [1] 掐
n [1] 押鸭 [2] 牙芽□{看} [3] 哑 [6] 压轧
l [2] □{赤不～：上身裸露。}[4] □{形容嘴大，嘴角伸向两边} [5] □{～瓜：骂举止不规，办事靠不住的人} [9] □{腰骨受锉}
tɕ [1] 家=加嘉夹=甲=颊枷=佳稼= =[5] 假={放~}价借-架=驾=姐-{~夫}嫁 [0] 去³{快回~}
tɕ' [1] 挟{~娃娃：抱娃娃} [2] 茄 [3] 卡 [5] 恰去-²{~吧}
ɕ [1] 虾瞎 [2] 霞=瑕遐斜洽峡匣=侠狭= [2] 写- [5] 卸- [6] 谢-下夏
ø [1] 鸦丫 [2] 爷-衙雅讶迓 [3] 也-野□{丢失} [6] 夜亚 [0] 呀

#uɑ
ts [1] 抓 [4] 爪
ts' [2] □{象声词，流水的声音} [6] □{不~}
s [1] 刷 [3] 耍
z [2] □{圪～：形容衣服、布料等被挤揉得有了皱纹。}
k [1] 呱瓜刮鸹□{~~：瓷碗下的圆底座} [3] 寡剐 [5] 挂卦挂{一~：数量词}
k' [1] 夸垮 [5] 垮跨
x [1] 花 [2] 华滑猾划{~算} [5] 化 [8] 话画划
ø [1] 蛙洼挖凹 [2] 娃瓦{名词} [6] 瓦{动词} [0] 哇鸹{黑老～：乌鸦}

#yɑ
tɕ [1] 攫[2]□{大～：人名}[0]□{吃～：棉花细卷}
tɕ' [2] 瘤
l [1] □{摘捋花、叶儿}

#iu
t [1] 角-{~~：豆角}觉-椒 [5] 觉-{睡~} [6] 角{墙～}
t' [1] 帖 [5] 鹊{野~子：喜鹊}
n [1] 约-业
p [1] 略掠□{扫}劣猎
tɕ [1] 脚觉={~悟}羯洁角=
tɕ' [1] 确怯却 [2] 强-1嚼 [5]雀{~~：通称鸟类} [6] 翠鹊=
ɕ [1] 削 [2]学
ø [1] 药唐乐岳吆{~喝}

#ɪ
p [7] 伯柏百掰𡴳{玍～：当地俗字，雨后地皮晒硬，种子顶不出。}□{～裂；物体裂开缝子}
p' [1] 攀-{～说}□{～～，盖容器的小板板}拍{～手}
m [1] 麦脉墨
f [1] 说- [6] 仿-¹
l [0] 里
ts [1] 淅窄摘折哲
ts' [1] 侧测拆策册
s [1] 涩-虱舍{居～}设 [3] 捨
