tsɿ1资姿咨兹滋
tsɿ3紫姊子梓滓
tsɿ5置
tsɿ6□{疑问副词，表判断。如“~会”，即“会不会”；“~好”，即“好不好”；“可以”，即“可不可以”}
tsʰɿ1厕{~所}雌
tsʰɿ2瓷{~器}慈磁{~石}辞词祠
tsʰɿ3此
tsʰɿ5赐次
tsʰɿ6刺自字寺嗣
sɿ1斯厮撕私师狮司丝伺梳{~头}饲
sɿ3豕使史驶
sɿ6四肆似祀{祭~}巳{辰~}士仕柿思
pi1碑蓖{~麻}
pi2俾
pi3比{~较}
pi5毙闭庇痹{麻~}臂
pʰi1批披陛{~下}彼
pʰi2皮疲脾琵{~琶}枇{~杷}
pʰi3鄙
pʰi5屁蔽敝弊币背
pʰi6被{~子，~打}避备鼻
mi2迷谜眉楣
mi3米
mi6泌秘媚寐尾
fi1非飞妃
fi5费{~用}
vi6会{~不会}
ti1低堤
ti2□{动词，用语言作弄人}
ti3底抵
tʰi1梯题提蹄啼
tʰi3体
tʰi5帝替涕{鼻~}剃
tʰi6屉{抽~}第递地弟
ȵi2泥倪仪尼疑你
ȵi3蚁拟耳
ȵi5谊
ȵi6义议二腻艺
li2犁黎离{~别}篱璃{玻~}梨厘
li3礼李里理鲤{~鱼}履
li6例励厉丽隶荔{~枝}利痢吏
tɕi1姐稽饥{~饿}肌{~肤}基几{~乎}机饥{~饿}鸡稽
tɕi2渠{他}
tɕi3矩{规~}几{茶~}挤己纪{年~}几{~个}
tɕi5祭际济计继系{~鞋带}髻寄冀纪{~律、世~}记既季
tɕi6忌
tɕʰi1妻企欺岂
tɕʰi2齐脐奇骑岐祁其棋期{时~}旗祈
tɕʰi3启
tɕʰi5契器气汽弃戏
tɕʰi6籍□{立}技妓
ɕi1牺熙西棲犀溪奚兮嬉希稀玺徙
ɕi3死起喜
ɕi5去{来~}续系
ɕi6系{关~，联~}
tʃi1支枝肢之芝知蜘{~蛛}
tʃi3纸只{~有}脂旨指止趾址齿
tʃi5制至志痣
tʃi6稚智
tʃʰi1痴嗤{~笑}
tʃʰi3侈{奢~}始耻
tʃʰi2池驰迟持
tʃʰi6滞{停~}痔治翅
ʃi1诗施尸
ʃi2时
ʃi3矢屎
ʃi5匙{钥~}
ʃi6试是{文}氏示世势
ʃi6豉{豆~}视嗜市恃誓逝侍
i1与{~此}迂伊医衣依
i2移夷姨饴遗宜
i3毅与宇俞羽矣已以倚
i5缢椅肄{~业}意异
i6易{难~}
pu1□{动词，蹲}
pu3补
pu5布埠{商~}捕
pʰu1部簿铺{店~}怖{恐~}
pʰu2菩{~萨}扶
pʰu3谱普浦脯{杏~}辅
pʰu5蒲{~公英}
pʰu6步铺{~设}脯{胸~}讣
mu2模{~子}模{~范}模{~仿}
mu3母拇
mu6暮慕幕募
fu1呼夫肤敷俘{~虏}戽{~水}
fu2胡湖狐壶乎葫{~芦}符芙{~蓉}
fu3虎浒{水~}府腑俯斧抚釜腐
fu5富副付赋裤胡{~须}
fu6傅户沪互护瓠{~子}赴妇负附复{~兴}父
vu1乌污坞巫诬侮{~辱}
vu2□{名词，小水坑}
vu3鹉{鹦~}武舞□{动词，做(饭、菜)}
vu5无{文}恶{可~}
vu6误悟务雾
tu1都{~城}都{~是}
tu3堵赌肚{猪~}吐{~痰}
tʰu2徒屠途涂图
tʰu3土肚{腹~}
tʰu6杜兔度渡镀
nu3努
nu5奴
nu6怒
lu6路赂露
lu2炉芦庐{~山}驴如儒
lu3鲁橹虏卤儒吕乳{文}旅{~游}
tsu1租诸
tsu3祖组阻举
tsu5著{显~}
tsʰu1粗助
tsʰu2徐除储{~蓄}厨雏锄
tsʰu3楚处{相~}
tsʰu5醋处{~所}
tsʰu6初
su1苏酥疏{~远}蔬{~菜}
su3暑黍署{专~}蜀
su5素诉塑{~料}恕树序絮
su6叙
tʃu1诛蛛株朱硃珠
tʃu3主
tʃu5驻註注蛀铸
tʃʰu1渠趋区{~域}驱
tʃʰu2厨
tʃʰu3取娶
tʃʰu6趣住树柱
ʃu1书舒墟{~市}虚嘘{吹~}须需枢输{赢输，运输}戍
ʃu3许殊数{动词}
ʃu5数{名词}
ʃu6竖
ku1姑孤箍估{~计}
ku3古牯股鼓
ku5故固雇顾
kʰu1枯
kʰu3苦
kʰu5库酷
u2吴蜈{~蚣}
ly3缕{丝~}屡
ly5锐垒
ly6虑滤类泪
tɕy1居拘驹追锥
tɕy3矩{规~}
tɕy5据句
tɕʰy1俱吹炊
tɕʰy2瞿槌锤垂
tɕʰy6巨拒距具惧坠
ɕy3水
ɕy6瑞绪
y1榆逾愉寓愈{病~}
y2愚虞
y5娱
y6御寓
pa1巴芭疤
pa3把{~握}
pa5霸欛壩坝
pa6罢爸
pʰa2爬琶{琵~}杷{枇~}耙{犁~}
pʰa5怕帕稗
pʰa6秕
ma2麻痲蟆{蝦~}
ma3马码
ma5骂
fa1花划
fa2华
fa5化华{~山、姓}
fa6画
va1窪{~地}挖{文}蛙
va6话
ta3打
tʰa3他{文}
na1拿
la1癞{~痢}
tsa1楂{山~}渣遮抓
tsa5诈榨{~油}炸{~弹}炸{用油~}
tsʰa1叉杈{树~}差{~别，~不多}
tsʰa2茶搽查{调~}
tsʰa3扯
tsʰa5岔{三~路}乍栅{~栏}
sa1沙纱
sa3耍洒
sa5晒{白}
tʃa3者
tʃa5蔗
tʃʰa1车
tʃʰa3扯
ʃa1奢赊
ʃa2蛇
ʃa3舍傻社
ʃa6麝{~香}赦
ka1家加嘉家{~具}瓜佳
ka3假{真~}贾剐
ka5假{放~}架驾嫁价挂卦
kʰa1虾{鱼~}誇
kʰa2虾{~蟆}
kʰa3垮寡
kʰa6跨
xa1吓
xa2霞瑕遐蝦{~蟆}
xa6下{底~}厦{姓}厦{~门}夏{春~}
ŋa2牙芽衙伢{小孩子}涯{天~}崖{山~}
ŋa3瓦雅
ŋa6□{动词，强迫试地去喂}
a1鸦丫{~头}桠{~杈}
a3哑
a5亚□{动词，强迫试地给、强力要求}
ȵia1□{~子：一种植物，多用来作柴火}
ȵia3惹□{副词，不乐意(干活或做某件事)}
tɕia5借
tɕʰia6褯{~子}
tɕʰia2斜
tɕʰia3且
ɕia1些
ɕia2邪
ɕia3写
ɕia6谢
ia2爺者{~也}
ia3也{~是}野
ia6夜
pe1杯悲卑
pe3□{形容词，差}
pe5辈贝
pʰe1丕
pʰe2培陪赔裴
pʰe3背{~诵}
pʰe5沛配佩
pʰe6倍
me2梅枚媒煤
me3每美
me5昧
fe1灰飞妃
fe2肥翡{~翠}
fe3匪
fe5废肺
ve1微威苇{芦~}畏慰
ve2维惟唯违围
ve3危为{作~}伟纬伪委
ve6卫为{~什么}位未味魏胃谓
te2□{动词，用语言作弄人}
ne5□{~~se⁴⁴se⁴⁴：形容词，形容人很麻烦、很拖拉}
le2儡{傀~}来
le6□{动词，过滤}
tsʰe1蛆{生~}
se3洗
se5细{白}婿{女~}岁
tsʰe6在{白}
se6事
tʃe1车{~马跑}猪
tʃe3煮
tʃʰe3苎{~麻}
ʃe3舐{以舌取物}
ʃe3薯{白~}
ʃe5鼠
ke5锯{~子}
kʰe3□{~坏：动词，指对……很苛刻}
xe6是{白}
tɕʰiɛ6砌
ɕiɛ5谐
ɕiɛ6解{姓}睡
pɔ1波菠{~菜}坡玻{~璃}
pɔ3簸{~箕}
pʰɔ2颇婆
pʰɔ5剖破
pʰɔ6薄{~荷}
mɔ1馍摸
mɔ2魔摩
mɔ3□{动词，拔(草)}
mɔ5磨{~刀}
mɔ6磨{~面，石~}
vɔ1倭窝
vɔ2禾和{~面}
tɔ1多
tɔ3朵躲
tɔ5剁垛{柴~}
tɔ6惰
tʰɔ1拖
tʰɔ2鸵驮{~起来}舵
tʰɔ3妥椭{~圆}
nɔ2挪
nɔ6糯{~米}
lɔ1□{动词，拉}
lɔ2羅纙籮罗骡螺{~丝}脶
lɔ3裸{~体}
tsɔ3左
tsɔ5做佐
tsʰɔ1搓错{~杂}
tsʰɔ5锉措{~施}错{~误}
tsʰɔ6坐座
sɔ1蓑梭{织布~}嗦{啰~}
sɔ3锁所
kɔ1歌哥过锅戈
kɔ3果裹馃
kɔ5过
kʰɔ1科窠棵
kʰɔ3可
kʰɔ5课
ŋɔ2蛾鹅俄
ŋɔ6饿
xɔ1贺
xɔ2河何荷{~花}和{~气}
xɔ3火
xɔ5货荷{薄~}
xɔ6贺祸
ɔ1阿{~胶}
tɕʰiɔ2瘸{~脚}茄
ɕiɔ1靴
pæ3摆
pæ5拜
pʰæ2排牌簰{筏}
pʰæ3□{动词，倾向一边}
pʰæ5派
pʰæ6败
mæ2埋
mæ3买
mæ6卖迈
fæ2怀槐淮
fæ6坏
væ1歪
væ5□{~天~地，即哭天叫地}
tæ1呆
tæ5戴带
tʰæ2抬
tʰæ6大{~小，~夫}态太泰
næ3乃奶
næ6哪耐奈
læ2□{动词，丢失东西。~屎、~尿，即小孩把屎尿拉在裤裆里}
læ6赖
tsæ1灾斋
tsæ3载{年~、满~}载{~重}
tsæ5再债
tsʰæ1猜钗差{出~}
tsʰæ2豺柴
tsʰæ3採睬
tsʰæ5寨蔡
tsʰæ6在{文}
sæ1筛{~子}
