#參考文獻 《興化方言地理語言學研究》《興化方言志》	
#調值	陰平陽去21 陽平35 上213 陰去443 陰入3 陽入45
#ɿ	
n	[2]鑢驢[3]女呂鋁旅
tɕ	[1]錐-追-居拘車{棋子}苣 [3]舉嘴-[5]句巨具鋸最-墜-贅-懼據劇碓罪=醉
tɕʰ	[1]聚催-吹-炊-崔-催-區序-蛆覷罪-[2]徐渠隨-{~便}隋-捶-錘-[3]取娶[5]去趣脆-翠-
ɕ	[1]尿穗荽虛雖-須需[2]隨-+垂- [3]水-許[5]婿歲-序碎-稅-睡-絮緒遂
0	[1]與淤玉=芋迂預遇譽[2]餘俞榆盂愚漁虞魚[3]語雨喻羽禹[5]諭裕
#ɑ	
p	[1]叭吧巴扒疤笆粑爬-䶕[3]㞎把靶[5]把罷霸爸壩
pʰ	[1]趴𤆵[2]扒{~手}爬=耙[5]怕
m	[1]媽馬{～虎}罵[2]嫲蟆麻[3]把-碼螞馬
t	[1]大-[3]打[5]大={老~}
tʰ	[1]他它她
n	[2]拿[3]哪[5]那
l	[1]啦拉垃[5]拉
k	[1]家-傢袈[3]玍[5]嫁尬架-{～子}
kʰ	[3]卡[5]抲{抓}
x	[1]下-哈蝦𨉣{～腰}[2]蛤還-
ts	[1]喳渣楂奓{張開}遮[3]拃蔗[5]榨炸詐這-
tsʰ	[1]叉差車[2]查茶搽[3]扯[5]杈岔
s	[1]沙砂[2]蛇[3]傻灑舍{～得}[5]嗄舍赦
z	[3]惹
0	[1]丫二啊砑鴉[2]伢兒庌牙-而[3]也-+啞爾耳[5]堊
#iɑ	
t	[1]爹{～～：爺爺}[3]嗲
tɕ	[1]佳加嘉袈家=枷[3]假姐賈[5]價借架=駕腳
tɕʰ	[1]趄[2]斜茄邪[5]笡
ɕ	[1]下-些-夏蝦謝-[2]暇瑕霞[3]寫-[5]下=卸瀉-愜
0	[1]夜鴉椰[2]爺{～～：叔叔}牙=芽衙[3]野雅
#uɑ	
k	[1]瓜[3]剮寡[5]卦掛褂
kʰ	[1]誇垮[2]刳{刮}[3]侉[5]跨
x	[1]畫=花話[2]華[5]化
0	[1]哇蛙窪[2]娃[3]搲㧚瓦
#yɑ	
tɕ	[1]抓[3]爪
tɕʰ	[2]瘸
ɕ	[1]靴[3]耍
0	[1]𦚢
#ʊ	
p	[1]波菠玻[3]播跛[5]簸
pʰ	[1]坡[2]婆[5]破
m	[1]墓磨[2]摩模磨蘑魔[3]畝母姆牡某沫[5]貿募慕茂
t	[1]多[3]躲朵惰[5]剁惰
tʰ	[1]垛拖舵[2]沱砣馱駝[3]妥
n	[1]糯[2]挪奴[3]努[5]怒懦那
l	[1]囉摞螺[2]籮羅腡蘿螺鑼騾[3]裸
k	[1]哥歌鍋過{～頭}戈 [3]果裹菰{茨～}[5]個過
kʰ	[1]棵科窠[3]可[5]課錁
x	[1]呵炣煆禍賀歡{～喜}[2]䗙{～䘆：蚯蚓}何和河荷[3]夥火伙[5]和貨
ts	[3]左[5]做
tsʰ	[1]坐座搓[2]矬[5]錯挫銼
s	[1]唆嗦梭蓑[3]所瑣鎖
0	[1]屙窩蝸阿餓萵[2]訛鵝蛾娥[3]我=[5]臥
#ɛ	
p	[1]爸[3]擺[5]別拜
pʰ	[1]䟺敗呸[2]排牌[5]派
m	[1]賣邁[2]埋[3]買
v	[1]外-歪[2]懷-[3]崴
t	[1]呆[3]逮歹[5]帶待=戴逮
tʰ	[1]代大-待-怠汏汰胎袋苔{青～}[2]臺苔抬[5]太態泰
n	[1]耐[3]奶
l	[1]癩賴[2]倈來
k	[1]秸街-階-該 [3]改解-[5]介戒-械概界蓋
kʰ	[1]開揩[2]䬵{～氣}[3]楷凱[5]隑
x	[1]亥害-懈解{姓}[2]孩鞋[3]海蟹
ts	[1]哉齋栽災[3]宰載者[5]債再
tsʰ	[1]在差猜[2]才財材裁[3]䜺彩睬踩採[5]菜蔡
s	[1]塞篩鰓腮揌[2]柴[5]賽射社曬
0	[1]艾哀埃挨礙唉[2]呆捱[3]矮[5]愛
#iɛ	
tɕ	[1]街=階=[3]解=[5]戒=
tɕʰ	[3]且=
ɕ	[3]寫=[5]些=謝=
#uɛ	
k	[1]乖[3]拐柺[5]怪
kʰ	[1]擓[3]擓傀蒯[5]會塊快筷
x	[1]壞[2]懷=槐淮踝[3]㩓
#yɛ	
tɕ	[3]跩[5]拽
tɕʰ	[1]揣搋[3]揣[5]踹
ɕ	[1]摔衰[3]甩[5]帥率
#ɔ	
p	[1]包胞[3]保堡寶飽[5]報暴曝瀑豹
pʰ	[1]刨抱泡脬[2]袍跑[5]泡炮
m	[1]□{黴菌}冒帽貌[2]毛貓錨矛茅髦[3]卯鉚
t	[1]刀叨朵{耳~}[3]導倒島搗禱[5]倒{~水}到道=盜=
tʰ	[1]掏滔盜-稻道-{~士}[2]桃淘陶逃[3]討[5]套
n	[1]孬鬧[2]撓[3]惱腦
l	[2]勞撈澇牢[3]老佬
k	[1]教-篙羔糕膏{～藥}茭高[3]攪-搞稿[5]告斠{校對}窖膏{藥～子}覺酵校{校對}□{遍}
kʰ	[1]拷敲蹺[3]烤拷考[5]犒靠銬
x	[1]號-蒿薅[2]嚎毫豪[3]好[5]好浩耗
ts	[1]召招朝糟遭[3]找早棗沼澡爪蚤[5]竈灶照笊罩躁燥噪
tsʰ	[1]抄皁皂譟{叫}趙超造-[2]嘈曹朝槽漕潮[3]吵炒草[5]糙
s	[1]捎梢燒稍騷[2]睄[3]嫂少掃[5]哨少掃𢜶{快}
z	[1]繞-[2]饒[3]擾繞{圍～}
0	[2]熬[3]咬襖懊[5]傲=扷{～膀：掰手腕}拗
#iɔ	
p	[1]標膘[3]婊表錶裱
pʰ	[1]漂飄[2]嫖瓢[5]票鰾漂{～亮}
m	[1]廟妙[2]苗描瞄[3]秒渺
t	[1]刁叼貂雕[3]屌[5]吊掉=調=釣
tʰ	[1]挑掉-調-{~頭}銚[2]條調{~和}[3]挑{～撥}斢[5]跳
n	[1]撂{扔}料[2]僚撩{挑逗}燎療聊 [3]了鳥
tɕ	[1]交膠郊嬌椒澆焦蕉礁[3]絞餃繳[5]叫=教=較
tɕʰ	[1]撬繰蹺轎-鍬[2]喬憔橋蕎翹[3]巧悄[5]俏竅翹
ɕ	[1]宵枵{薄}消肖銷蕭簫𢳚{翻}校{～園}[2]餚淆[3]小曉[5]孝笑
0	[1]妖腰要{~求}邀[2]搖窯謠遙姚[3]夭舀[5]要耀
#ɤɯ	
t	[1]兜鬥{～架：打架}[3]抖斗陡[5]鬥逗
tʰ	[1]偷豆痘竇[2]頭投[5]透
l	[1]漏陋[2]樓螻[3]㧕{攪拌}簍摟
k	[1]勾溝鉤[3]狗苟枸[5]夠構購彀
kʰ	[1]扣摳[3]口[5]扣寇
x	[1]厚-後后齁候[2]侯喉猴瘊[3]吼[5]䞧{往前～}候
ts	[1]周州謅[3]帚肘走[5]咒皺縐宙晝
tsʰ	[1]抽[2]仇綢愁籌[3]丑醜[5]湊臭
s	[1]受壽收餿搜[3]守手首[5]獸瘦
z	[2]柔揉
0	[1]歐毆甌謳鷗熰[2]牛[3]嘔藕偶[5]慪漚
#iɤɯ	
m	[5]謬
t	[1]丟
n	[1]溜熘蹓[2]流硫牛=留瘤榴劉[3]扭紐柳
tɕ	[1]揪灸糾鬮鬏鳩究[3]久韭九酒[5]㾭{～筋}救皺究鯽
tɕʰ	[1]丘就-秋臼舅鰍舊[2]仇{姓}囚揂求球虯[3]搝{捉弄}糗
ɕ	[1]修脩休羞[3]朽 [5]秀繡袖嗅
0	[1]優又右憂悠幽佑[2]油遊由尤郵游[3]友有酉[5]幼誘
#ɪi	
p	[1]悲杯碑背[5]倍備背臂被=貝狽輩避
pʰ	[5]沛佩配=
m	[1]昧-妹[2]媒=梅煤眉=脢黴=[3]每美
f	[1]非飛妃[2]肥[3]匪菲翡[5]䉬廢肺費
v	[1]爲位味威未煨萎痿衛[2]爲危圍圩微維違韋[3]萎偉尾痿葦僞[5]畏胃謂喂餵慰
t	[1]堆低[3]抵底[5]對隊遞的帝兌兑
tʰ	[1]推梯[2]提題蹄啼堤[3]腿體[5]退剃替褪蛻蜕涕嚏屜
n	[1]內離擂膩[2]離泥雷梨犁尼黎籬璃狸倪漓釐厘鸝[3]你李累里裏禮理鯉擬儡磊壘[5]淚
#uɪi	
k	[1]歸規龜[3]癸軌鬼[5]桂貴鱖=
kʰ	[1]虧櫃跪[2]奎葵魁茴[5]潰愧
x	[1]會灰燴輝徽[2]回蛔[3]悔[5]惠慧晦賄
#yɪi	
