
ʦɿ[1]支枝肢栀姿咨资脂兹滋之芝
ʦɿ[3]紫纸姊旨指子梓滓籽止趾址
ʦɿ[5]做制智只{~有，又ʨya44}雉致稚至置痔志痣
ʦɿ[7]织=职执直=值=只={又tsɿ42}滞质
ʦʰɿ[1]字-疵痴雌□{~手：伸手}
ʦʰɿ[2]池驰瓷糍{~粑：一种用糯米做成的粑粑}迟慈磁辞词祠饲持
ʦʰɿ[3]此侈耻齿
ʦʰɿ[5]刺赐翅次自字=秩斥
ʦʰɿ[7]殖植赤=尺=吃=
sɿ[1]斯厮撕施私师狮尸司丝思诗侍{护~：照顾}豉
sɿ[2]时
sɿ[3]死矢屎史驶使始
sɿ[4]是-
sɿ[5]是=世势誓逝氏四肆示视嗜伺似祀巳寺嗣士仕柿事匙试市恃式饰适=释=莳{~田：插秧}
pi[1]屄{女子的阴门}
pi[3]鄙比彼
pi[5]秘闭臂滗{挡住渣滓或泡着的东西，把液体倒出：~水}
pi[7]笔毕必弼逼璧壁=碧蓖
pʰi[1]批披劈=砒
pʰi[2]皮=疲脾琵枇啤
pʰi[3]痞匹
pʰi[4]被{絮~：棉被，又phi42}
pʰi[5]婢被{~打，又phi31}譬庇屁备币鼻僻辟避陛蔽弊敝毙篦痹泌
pʰi[7]皮-
mi[2]迷=谜=
mi[3]米={长度单位}
mi[7]蜜=密=
fi[1]非飞
fi[2]肥
fi[3]匪翡
fi[5]废肺痱费吠
ti[1]爹低堤
ti[3]底抵
ti[5]帝蒂的{目~，又ti35}
ti[7]的{~确，又ti42}滴=嫡笛敌狄
tʰi[1]梯踢=地
tʰi[2]题提=蹄啼
tʰi[3]体剔
tʰi[4]弟-
tʰi[5]替涕屉弟=第递剃
li[1]粒-哩{语气助词，相当于“了”}
li[2]犁黎离篱璃梨厘狸
li[3]礼李{姓氏，又li35}里{长度单位，又li31}理鲤
li[4]你=里{~子：衣服、帽子、鞋子等的内衬，又li313}
li[5]滤虑厉历励丽隶荔利例痢莉沥吏立笠粒=力腻{~子胶,又i42}
li[7]栗=李{~子，又li313}
ʨi[1]鸡挤稽缉知饥肌基机讥汁织-纪{年~，又ʨi313}
ʨi[3]几己纪{~律，又ʨi44}
ʨi[4]渠{第三人称单数，又ʨhi24}
ʨi[5]祭际剂计继系{~鞋带，又ɕi42}寄冀记既迹绩济季
ʨi[7]蜘急级吉即鲫积蛰脊击激
ʨʰi[1]七-漆妻溪欺期膝
ʨʰi[2]齐脐奇岐祁鳍其{又ʨi31}棋旗祈
ʨʰi[3]启企起杞岂
ʨʰi[4]徛{站立}
ʨʰi[5]去-契砌技妓忌嫉器弃治气汽直-值-戚寂泣及-乞
ʨʰi[7]七=骑集疾侄籍极及=
ɕi[1]西犀兮牺嘻熙希稀湿-吸
ɕi[3]洗玺徙喜
ɕi[5]细婿系{关~，又ʨi42}戏十拾{“十”的大写，又ɕi35}食-实-隙析适-释-息
ɕi[7]习袭拾{又ɕi42}悉失室熄媳食=实=蚀识昔惜夕席石=湿=日=
i[1]伊医衣依一-
i[2]仪谊尼={~龙}移夷姨疑饴遗怡
i[3]倚椅矣已以
i[4]蚁=
i[5]艺易肄意异毅忆亿译易抑缢匿
i[7]一=逸益亦逆
pu[3]补
pu[5]布怖埠

pu[7]不
ɸu[1]捕铺{~路，又ɸu42}伏{趴}卜{萝~}仆{倒}扑秃-突-覆-{~碗：将碗倒扣}肚{巴~：怀孕，又tu313}
ɸu[2]蒲菩葡脯徒-屠-途-涂-{涂改，又u35}图-朴{~素}仆{~人}
ɸu[3]普谱浦土-
ɸu[4]部{量词：一~手机，又ɸu42}簿
ɸu[5]铺{商~，又ɸu44}部{干~，又ɸu31}吐-杜-兔-度-渡-镀-伏-破-读-步瀑曝讣
ɸu[7]婆-{雌性：~子，鸡~，又pho35}
tu[1]都督
tu[3]堵赌肚{又ɸu44}笃
tu[5]妒度=渡=镀=杜=
tu[7]独毒牍犊读=
tʰu[1]秃=突=
tʰu[2]图=屠=途=涂=
tʰu[3]土=
tʰu[5]吐=兔=
lu[1]路-鹿
lu[2]如=儒=奴庐炉芦驴□{抱}
lu[3]努汝=乳=辱=鲁虏卤
lu[5]怒路=赂露鹭□{从水中捞出}
lu[7]禄陆绿=录
ʦu[1]租
ʦu[3]祖组阻
ʦu[7]卒足
ʦʰu[1]粗初
ʦʰu[2]锄雏
ʦʰu[3]楚础
ʦʰu[5]醋助猝
ʦʰu[7]族促
su[1]苏酥梳疏蔬
su[3]数{动词，又su42}
su[5]素诉数{名词，又su313}漱束
su[7]宿{寄~，又ɕiəu42}俗速肃
ku[1]姑孤箍估谷-
ku[3]古牯{~子：雄性牲畜}股鼓□{~子，一种用来装酒的塑料扁桶}
ku[4]□{相当于近指代词“这”：~个，~里。}
ku[5]过-故固雇顾
ku[7]骨=谷=䀦{瞪}
kʰu[1]枯窟哭
kʰu[3]苦
kʰu[5]库裤酷
kʰu[7]跍{蹲}□{住}
xu[1]乎呼夫肤敷傅{师~，又xu44}袱俘麸
xu[2]符扶芙浮=胡=湖葫蝴糊=狐壶
xu[3]虎浒府腑俯甫斧釜腐辅抚
xu[5]户沪互护父付赋傅{姓氏，又xu44}赴附富副妇负阜戽{~桶：一种大方木桶，用于收割稻谷时扬击稻杆，装掉下谷粒。泼：~水}
xu[7]忽幅蝠福复腹覆=服伏=佛拂缚
u[1]乌污巫诬屋坞
u[2]吴蜈吾梧无禾-
u[3]五伍午武舞侮鹉捂
u[5]误悟恶{可~，又o35}务雾戊
u[7]握沃勿物胡-糊-涂{涂抹，又ɸu24}
ʨy[1]猪诸居车{~马炮，又ʨhya44}蛛诛株朱珠拘驹
ʨy[3]煮举主矩嘴-
ʨy[5]著注蛀驻柱=住=铸句醉-据剧
ʨy[7]橘桔菊局□{用手抠}
ʨʰy[1]蛆趋区驱吹-黢出-
ʨʰy[2]除储徐渠厨橱捶-锤-槌-随-
ʨʰy[3]褚处{相~，又ʨhy42}杵取娶
ʨʰy[4]柱-
ʨʰy[5]处{好~，又ʨhy313}住-巨距拒具惧去=聚趣
ʨʰy[7]屈出=□{~子：没有手或脚的残疾人}
