来源：	本地方言调查；山佳木 整理录入
#uɤ(ʔ)	
t	［3］夺咄铎掇敠
tʰ	［3］托脱庹
n	［3］诺
k	［3］聒郭国
kʰ	［3］扩括阔廓
x	［3］或惑霍藿
ʂ	［3］说硕朔烁
tʂ	［3］拙灼酌镯
ts	［3］嘬
tsʰ	［3］撮族
s	［3］索梭
#əʔ	
p	［3］不
pʰ	［3］朴仆扑
m	［3］没木目睦
f	［3］伏服袱幅福辐复蝠缚腹氟覆栿
k	［3］圪胳
kʰ	［3］可{程度副词，很：～大叻}去-{～哪圪呀：去哪里}
x	［3］黑郝蛤核
tʂ	［3］直=这{～俩天}汁织只{量词}执侄直=值职植炙质秩稙
tʂʰ	［3］吃尺斥赤直-
ʂ	［3］失湿十什石识实拾蚀食式饰室适释殖射{～出圪}实{老～。连读变调阳入}食{粮～。连读变调阳入}殖{骨～。连读变调阳入}十{五～。连读变调阳入}石{青～。连读变调阳入}
ʐ	［3］日
ts	［3］侧{～楞}指{～头}子{儿～}脊{～背}
v	［3］屋勿物
#iɛ(ʔ)	
p	［3］白-柏憋鳖别檗伯掰
pʰ	［3］拍撇迫
m	［3］灭麦脉蔑觅-
t	［3］跌谍叠碟蝶喋滴
tʰ	［3］贴铁帖餮
n	［3］捏聂镊蹑疟孽逆虐
l	［3］列烈猎裂捩掠略
tɕ	［3］脚接捷羯揭结截-节杰劫竭隔及{趁}
tɕʰ	［3］妾怯切却窃客-鹊{野～子：喜鹊}雀{麻～}
ɕ	［3］学薛歇楔歇蝎协
Ø	［3］乐药业叶页约岳钥噎掖压
#yɛ(ʔ)	
tɕ	［3］决诀掘倔厥蕨橛爵嚼绝崛蹶獗噘䦆
tɕʰ	［3］缺雀=确榷搉
ɕ	［3］雪血薛=
Ø	［3］曰月{～亮}悦阅粤越
#iəʔ	
p	［3］北逼鼻笔必毕弼碧壁璧
pʰ	［3］劈辟霹匹僻
m	［3］泌觅秘密蜜墨-默苜
t	［3］狄敌笛嫡得德的滴
tʰ	［3］剔踢
l	［3］力历立笠粒栗
tɕ	［3］给{～予}击迹积绩激及吉级即极急疾集=辑籍脊=戟寂鲫藉
tɕʰ	［3］缉七戚漆乞讫沏惜{可～}
ɕ	［3］夕吸昔析息悉惜锡熄膝蟋习席袭媳
Ø	［3］一揖乙亦役抑译疫益逸邑驿缢溢=
#uəʔ	
t	［3］厾独读督掇毒㞘{～子：臀部}犊-{牛～子}
tʰ	［3］秃凸独{～扫：用来扎扫帚的一种植物}
l	［3］氯禄陆{～地}录辘轳绿蝼{～蛄}肋{～肢：肋骨}
ts	［3］做
tsʰ	［3］促猝
s	［3］速
ʐ	［3］辱褥入
tʂ	［3］竹堵{代字，堵塞，不通}妯{～娌}
tʂʰ	［3］出绌{线～住了}
ʂ	［3］叔淑秫赎熟术束述属
k	［3］轱{～辘子}谷骨个{量词：两～，几～}核{桃～子}
kʰ	［3］哭窟酷{残～}圐{～圙：圆圈}
x	［3］忽惚喉{～咙：所指范围大,指嗓子}
f	［3］福幅复覆伏辐{～丝}服
ø	［3］物屋勿兀焐{热}
#yəʔ	
tɕ	［3］局菊足橘掬焗
tɕʰ	［3］曲屈黢焌觑{近～：近视}
ɕ	［3］旭俗肃宿戌恤畜续蓄穴削蓿{苜～}
l	［3］律率勒
ø	［3］育郁狱浴域
