来源：	本地方言调查；山佳木 整理录入
v	［1］挖洼蛙［3］瓦{砚～}［5］凹窊
#ia	
l	［3］两俩
tɕ	［1］遮-{林~峪：地名}加痂家嘉佳袈{～裟}［3］贾稼假{真～}［5］架嫁假{放～}价驾
tɕʰ	［1］揢抲{～上：抱上}［［3］卡{关～；～子；发～}
ɕ	［2］虾霞［5］下={～放}夏{立～}
Ø	［1］丫{～鬟}［3］雅哑［2］押{关～}涯衙鸦［5］压={电～}亚
#ua	
k	［1］瓜剐［3］寡［5］褂挂卦
kʰ	［1］夸［3］垮胯侉［5］挎跨
x	［1］花华［2］铧晔划［5］划{计～}桦化话华{～山}画
tʂ	［1］抓［3］爪{鸡～子}
tʂʰ	［5］歘{跳得～～地}
ʂ	［3］耍
ʐ	［2］挼
#ɯ	
p	［1］波菠玻［3］跛簸{～给下：簸一簸}［2］薄{厚~}［5］薄{～荷}簸{～箕}播
pʰ	［1］颇坡［2］婆［5］破
m	［1］馍［2］摩磨魔［5］磨
t	［1］多［5］驮{~子：骡马背货物的容器}
tʰ	［1］拖-［2］驼鸵驮
n	［1］挪
l	［2］螺罗箩萝逻{巡～}骡锣［3］剆{～动：触碰}［5］摞
k	［1］哥歌柯［5］个{～子}
kʰ	［3］可{～以）［5］可{正好}
x	［1］呵{短时间蒸，主要是加热}呵{～牙：哈欠}［2］何河荷［5］贺
v	［1］倭窝挝捼［5］卧
Ø	［3］我［2］讹俄鹅蛾［5］饿
#iɛ	
p	［1］崩?{～了一搭：拍了一掌}［3］蚍{蚂～～：蚂蚁}［5］别{～扭}迸-{～开一绽：裂开一条缝}
pʰ	［3］撇{代字，用手折断：～树枝：折树枝}［2］棚-{房～：房顶}
m	［5］咩{牛～子：小牛}咩{代字，～～：--种可吹出声音的玩具}
t	［1］爹=
n	［3］仰-{圪~：躺下}［2］苶{～人：呆子的统称}娘-{入你～}
l	［3］咧［5］猎
tɕ	［3］姐［5］借
tɕʰ	［3］且［1］坑-{~窟：水坑}［2］茄［5］趄{代字，用双手用力卡住脖子或身体其他部位令其窒息或疼痛的动作}
ɕ	［1］些［3］写［2］邪协［5］泄泻谢卸灺{灭：火～咧}杏-{依～塔：地名}
Ø	［3］野也［2］爷［5］夜曳
#uɯ	
t	［3］朵躲［5］跺堕舵垛惰剁
tʰ	［3］椭妥［2］坨砣{车～：车轮子}［5］唾
n	［5］糯
l	［3］裸
k	［1］戈锅过{～于}［3］果裹［5］过{～河}
kʰ	［1］科棵窠颗［5］课嗑
x	［1］［3］火伙夥［2］禾和［5］货祸和{~起来}
ts	［3］佐左=［5］坐座
tsʰ	［1］搓=［5］锉错
s	［1］唆梭蓑娑挲［3］所琐锁
#yɛ	
tɕ	［1］撅{～出来：用劲拽出来；把耳环子～下：用力把耳环揪下}□{圪～～：小而软且呈锥形的物体}［5］倔{形容一个人脾气古怪：～脾气}
tɕʰ	［2］瘸
ɕ	［1］靴［2］横-{~顺；～竖；～柳八怪}［5］谑
Ø	［1］哕
#ai	
p	［3］摆背-{脊～后：背后}［2］白=［5］败=拜稗
pʰ	［2］排牌［5］派败-{衰～}
m	［3］买［2］埋［5］迈卖
t	［1］呆［3］逮［5］大代带待息殆贷袋戴
tʰ	［1］胎苔［2］台抬［5］太态泰
n	［3］乃奶氖［2］捱崖-［5］内耐奈
l	［2］来［5］赖癞
k	［1］该［3］改［5］丐盖溉概钙
kʰ	［1］开［3］凯慨楷
x	［3］海［2］孩鞋-［5］亥骇氦害澥-{～开}懈-{松～～}
ts	［1］灾栽宰斋［3］载［5］载再在债寨
