汉字	ipa	声母	韵母	声调	
塔	tʰap53	tʰ	ap	中陰入53	
塌	tʰap53	tʰ	ap	中陰入53	
搭	ɗap53	d	ap	中陰入53	
答	ɗap53	d	ap	中陰入53	
插	tʃʰap53	tʃʰ	ap	中陰入53	
裌	kap53	k	ap	中陰入53	
匣	kap53	k	ap	中陰入53	
甲	kap53	k	ap	中陰入53	
鴨	øap53	ø	ap	中陰入53	
押	øap53	ø	ap	中陰入53	
鴿	kap53	k	ap	中陰入	53
八	ɓat53	b	at	中陰入	53
發	fat53	f	at	中陰入	53
髮	fat53	f	at	中陰入	53
法	fat53	f	at	中陰入	53
挖	wat53	w	at	中陰入	53
札	tʃat53	tʃ	at	中陰入	53
扎	tʃat53	tʃ	at	中陰入	53
紮	tʃat53	tʃ	at	中陰入	53
擦	tʃʰat53	tʃʰ	at	中陰入	53
察	tʃʰat53	tʃʰ	at	中陰入	53
殺	ʃat53	ʃ	at	中陰入	53
涮	kwat53	kw	at	中陰入	53
括	kwat53	kw	at	中陰入	53
刷	kwat53	kw	at	中陰入	53
壓	øat53	ø	at	中陰入	53
雪	θit53	θ	it	中陰入	53
脫	tʰit53	tʰ	it	中陰入	53
劣	lit53	l	it	中陰入	53
拙	tʃit53	tʃ	it	中陰入	53
說	ʃit53	ʃ	it	中陰入	53
決	kʰit53	kʰ	it	中陰入	53
缺	kʰit53	kʰ	it	中陰入	53
血	hit53	h	it	中陰入	53
柏	ɓak53	b	ak	中陰入	53
窄	tʃak53	tʃ	ak	中陰入	53
赫	hak53	h	ak	中陰入	53
客	hak53	h	ak	中陰入	53
撲	pʰɔːk(uɔk)53	pʰ	ɔːk(uɔk)	中陰入	53
僕	pʰɔːk(uɔk)53	pʰ	ɔːk(uɔk)	中陰入	53
搏	ɓɔːk(uɔk)53	b	ɔːk(uɔk)	中陰入	53
駁	ɓɔːk(uɔk)53	b	ɔːk(uɔk)	中陰入	53
幕	mɔːk(uɔk)53	m	ɔːk(uɔk)	中陰入	53
剝	mɔːk(uɔk)53	m	ɔːk(uɔk)	中陰入	53
皮	mɔːk(uɔk)53	m	ɔːk(uɔk)	中陰入	53
索	θɔːk(uɔk)53	θ	ɔːk(uɔk)	中陰入	53
作	tɔːk(uɔk)53	t	ɔːk(uɔk)	中陰入	53
錯	tʰɔːk(uɔk)53	tʰ	ɔːk(uɔk)	中陰入	53
託	tʰɔːk(uɔk)53	tʰ	ɔːk(uɔk)	中陰入	53
托	tʰɔːk(uɔk)53	tʰ	ɔːk(uɔk)	中陰入	53
洛	lɔːk(uɔk)53	l	ɔːk(uɔk)	中陰入	53
駱	lɔːk(uɔk)53	l	ɔːk(uɔk)	中陰入	53
