tɕʰiy	秋丘邱蚯鬏鳅□(~更头:不知好歹)	求球裘囚洇仇(姓)虬酋	搝	就舅旧						
ɕiy	休修羞	挦(~毛)	朽□(挣扎)	秀绣锈嗅袖						
iy	忧优攸悠幽	游犹尤疣铀邮油由	有友酉	幼诱黝粙又柚釉右宥佑祐						
tɐ			打	大=(~学)						
nɐ		拿(又读)		那娜						
lɐ	拉(~扯)垃啦	拉(~尿)	喇哪							
sɐ			傻洒							
kɐ	嘎(拟声词：吱~)									
kʰɐ	咖									
xɐ	哈	蛤(~蟆)虾(~蟆)								
ɻɐ			惹							
ɐ	啊	啊		啊						
tiɐ	爹(~~：祖父)		嗲							
miɐ			瞄(~下子)							
tɕiɐ	加嘉家=(~庭)佳稼伽枷袈苴(~镇，地名)		假姐贾	借价=(~钱)架=(~势)驾嫁=(~人)						
tɕʰiɐ	斜	邪斜=茄犟-(~头)		笡(斜撑)趄(柱子~了)谢榭						
ɕiɐ	些虾=	霞暇瑕遐	写	泻卸下=(~降)吓=夏厦						
iɐ	鸦耶	爷牙=蚜衙崖涯	野雅也=	讶亚夜						
kuɐ	乖呱(拟声词)		拐	怪						
kʰuɐ			傀擓蒯	会(~计)快块筷侩脍刽 桧						
xuɐ	歪	怀槐淮徊踝	甩-(猛击)	坏						
tʃuɐ		□(显摆：格个人~得不得过)								
tʃʰuɐ	揣	瘸	揣							
ʃuɐ	衰摔靴		甩	率帅=						
pa	爸		摆	拜						
pʰa		排徘牌		派湃败稗						
ma		埋	买妈	卖迈						
va	歪		崴	外(内~)坏-(破：鞋子~了)						
ta	呆		歹	带戴						
tʰa	胎咍(~舌头)苔	台抬薹	大-(口语)	太泰汰(~衣裳)袋代袋玳贷埭态待怠代殆绐(沙发~下来)炱大-(~家)						
na	奶-(吃~)		乃艿奶=(~粉)	耐奈						
la		来莱	褦(~襶)	赖□(在)癞籁						
tsa	灾栽斋哉		载(一年半~)宰	再载(~重)债						
tsʰa	猜差(出~)搋	才财材豺裁柴	彩采睬踩	菜蔡在						
sa	腮鳃筛			赛塞(边~)晒						
ka	街该赅阶皆□(用手拨开东西)秸(麦~)		改解(~开)邂	介芥界届诫戒解(押~)盖丐械尬概溉						
kʰa	开揩	餩(~气)	凯楷慨忾	隑(~椅)						
ŋa	哀挨哀埃㨟(碰)	呆(~胎)挨(被：~骂)皑癌(新派)埃(旧读)	矮蔼	爱暖嫒艾碍隘						
xa	咳	鞋嗐(大声喊叫)偕谐孩骸	海蟹	害亥骇氦解(姓)懈						
a		还	也							
po	巴笆粑芭吧=(~台)疤		把(~手)㞎(~~:大便)	坝霸把(~子)						
pʰo	趴	扒趴爬耙		怕罢耙(~田)						
mo	妈	麻	马马蚂吗=(~啡)看码(~砖)头玛杩(~头)	骂						
tʰo	他她它									
tso	查(姓)渣遮蔗拃(一~宽)奓(嘴~叨)			窄诈榨炸(~弾)柞(~蚕丝)						
tsʰo	叉汊钗杈车(~子)差(~别)扯(~旗)茬(~口)	茶搽查茬(新派)	扯(~布)	岔						
so	沙纱赊砂鲨痧	蛇余	舍(~得)捨	赦嗄社-(东~：地名)麝						
ko	家(~去)			嫁-(~妆)架-(~子)						
kʰo		□(~食)	卡咔							
ŋo	丫桠挜(硬挤、塞：~饭)鸦-鹗爊	牙-芽伢砑(~玉米)	哑	垩(~田)砑(~平)						
xo	虾			下-(~去)						
kuo	瓜呱(~~叫)		寡剐	挂褂卦						
kʰuo	夸	括(~钢板)	侉垮	挎胯跨						
xuo	花劐(~竹子)	华哗骅桦划=(~算)	□(极碎，稀烂：纸浸~了)	化话=(~筒)划=(计~)画戽(~儿斗板)						
uo	蛙搲(抓：~泥)剜(割肉)	娃划-(~船)	瓦□(呕吐)	凹话-(说~)						
tʃuo	抓		爪-(~子)							
ʃuo			耍							
pɤ	包胞苞孢煲=(~汤)		宝保堡褓褒饱鸨煲-(鸡~)	报釣豹暴曝爆(~炸)瀑						
pʰɤ	泡-(~儿)抛脬(尿~)抱	跑袍庖炮(~制)		炮泡=(~茶)疱刨疱铇鲍						
mɤ		猫毛牦茅锚矛蟊	卯铆	冒帽瑁貌						
tɤ	刀鱽叨(唠~)朝-(今~、明~)着-叨(轻声，助词)		倒(~下来)倒岛捣祷导=	到倒(~车)						
