// HSD Syllabary Data Partition
// 地区：甘肅省-平涼市-靜寧縣-城川鎮
// 来源：呂超榮《甘肅靜寧（城川）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-平涼市-靜寧縣-城川鎮
@SRC	呂超榮《甘肅靜寧（城川）方言語音研究》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	tʂ	tʂʰ	ʂ	ʐ	k	kʰ	ŋ	x
@FIN	aɣ̃
@TON	平聲	213
@TON	上聲	52
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
p	aɣ̃	平聲	幫 邦 兵 乒 乓{~球} □{~一口：親一下}
p	aɣ̃	上聲	綁 榜 膀{①肩~，翅~；②量詞，兩臂伸開的長度}
p	aɣ̃	去聲	棒 謗 半{~個} 磅 蚌 旁{偏~個}
pʰ	aɣ̃	平聲	旁 滂 龐 螃 胖{~胖}
pʰ	aɣ̃	去聲	胖 傍{~晚}
m	aɣ̃	平聲	忙 芒 盲 茫 氓 虻 牸{牛~} □{人或物比較圓潤豐滿，褒義：這小伙子長的~很}
m	aɣ̃	上聲	莽 蟒 □{牛用犄角攻擊他物：防著牛~呢}
f	aɣ̃	平聲	方 房 防 妨 坊 肪 芳
f	aɣ̃	上聲	仿 紡 訪 彷{~彿}
f	aɣ̃	去聲	放
v	aɣ̃	平聲	王 亡 芒{麥~兒} 汪
v	aɣ̃	上聲	網 綱 惘 往 枉 汪{擬聲詞，指狗的叫聲}
v	aɣ̃	去聲	忘 望 旺 妄
t	aɣ̃	平聲	當{①正，恰好：~時；②偶然遇上或憑運氣答對題：~對了幾道題} 鐺{鈴~} 襠{~褲}
t	aɣ̃	上聲	黨{~員}
t	aɣ̃	去聲	黨{姓} 擋 宕 蕩 鐺 餅{~：烙餅用具，方言直接借用普通話的說法} 當{~作}
tʰ	aɣ̃	平聲	湯 堂 糖 唐 唐 棠 螳{~螂} 膛 糖{燙，動詞，~方便麵} □{空氣中充滿灰塵或其他污染物的狀態：~土：塵土}
tʰ	aɣ̃	上聲	躺 倘 儻 哐{~：擬聲詞，物體掉落，摔倒的聲音}
tʰ	aɣ̃	去聲	趟 燙{~頭，麻辣~}
n	aɣ̃	平聲	□{“na²¹³ 我”的合音，多用於句首：~趕緊做飯}
n	aɣ̃	上聲	曩{膠~} 攘{用刀子等尖東西插}
n	aɣ̃	去聲	曩{形容髒、亂：杯子~得很} 齉{鼻子不通}
l	aɣ̃	平聲	狼 螂{螳~} 郎 廊 榔{檳~}
l	aɣ̃	上聲	啷{哐~，擬聲詞}
l	aɣ̃	去聲	朗 浪
ts	aɣ̃	平聲	髒 贓
ts	aɣ̃	上聲	□{副詞，方言中使用頻率極高：他~怕不來了/你~好好緩著}
ts	aɣ̃	去聲	葬 藏{西~} 奘 臟{內~} □{~人：開某人玩笑}
tsʰ	aɣ̃	平聲	倉 蒼 艙 藏{隱~}
tsʰ	aɣ̃	去聲	□{~錢：賺錢}
s	aɣ̃	平聲	桑 喪{~事} 礅{柱下石}
s	aɣ̃	上聲	搡 嗓
s	aɣ̃	去聲	喪{~失}
tʂ	aɣ̃	平聲	張{①姓；②張開；③形容人傻，呆滯：你真個~著呢} 章 樟 彰
tʂ	aɣ̃	上聲	長{~大} 漲 掌
tʂ	aɣ̃	去聲	丈 脹 賬 帳 仗 杖 障 瘴{~氣：生氣}
tʂʰ	aɣ̃	平聲	長{~短；多出、多餘：~了幾塊錢} 常 嫦 腸 嘗{~試} 場{~地} 杖{擀~：擀麵杖}
tʂʰ	aɣ̃	上聲	廠 昌 倡 暢 菖{~蒲} 場{多，~地；~~敞}
tʂʰ	aɣ̃	去聲	唱
ʂ	aɣ̃	平聲	商 嫡{保~} 傷 晌{~午} 常{姓} 嘗{~一口} 裳
ʂ	aɣ̃	上聲	賞 償
ʂ	aɣ̃	去聲	上 尚 緔{~鞋}
ʐ	aɣ̃	平聲	瓤 穰 禳{農村用法術祛除災害的行為}
ʐ	aɣ̃	上聲	壤 嚷 釀{~皮} 釀{~酒} □{踩：把地~平}
ʐ	aɣ̃	去聲	讓
k	aɣ̃	平聲	剛 鋼 岡 崗 缸 綱
k	aɣ̃	上聲	港
k	aɣ̃	去聲	槓 鋼{磨：刀鈍了，~~} □{塗，抹，蹭：不要把油~著衣裳上} □{冒濃煙：煙筒眼裏死煙~著呢}
kʰ	aɣ̃	平聲	康 扛 糠 慷 腔{~子：①人或動物的胸部；②鼓等器物的內部} □{門~：門檻}
kʰ	aɣ̃	去聲	渴 □{渴} 抗 亢 炕{①名詞，臥具；②把東西放在鍋底、爐蓋等地方用慢火烘烤：在鍋裏~些豆豆吃}
ŋ	aɣ̃	平聲	昂{~首挺胸} 骯{~髒}
x	aɣ̃	平聲	杭 絎{使用較大的針、較粗的線縫，針刺的距離大} 行{銀~} □{用力擠撞某物：不要往前~了}
x	aɣ̃	上聲	□{~店：指多人擠在一起睡覺} 夯
x	aɣ̃	去聲	行{量詞，~~項~圈} 巷{~子}
// HSD Syllabary Data Partition
// 地区：甘肅省-平涼市-靜寧縣-城川鎮
// 来源：呂超榮《甘肅靜寧（城川）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	甘肅省-平涼市-靜寧縣-城川鎮
@SRC	呂超榮《甘肅靜寧（城川）方言語音研究》

@INI	p	pʰ	m	f	v	t	ts	s	tʂ	tʂʰ	ʂ	ʐ	k	x
@FIN	ei
@TON	平聲	213
@TON	上聲	52
@TON	去聲	44

// Initial	Final	Tone	CharList (Space separated)
p	ei	平聲	悲 背{脊~} 憋 鱉 膊{胳~} 彆 擘{~開幅} 愊
p	ei	上聲	愊{~嘴}
