tsɿ55资姿咨兹滋嗞孳吱{~声儿}孜淄辎
tsɿ35自{连词}
tsɿ214滓梓紫秭姊子籽仔{~猪}
tsɿ51字恣自渍
tsʰɿ55刺{象声}疵呲{~儿}跐{脚滑}
tsʰɿ35雌辞词祠
tsʰɿ214此跐{~门槛儿}
tsʰɿ51次刺赐伺
sɿ55斯厮撕嘶蛳{螺~}思私司丝咝鸶鹭{鹭~}饲-
sɿ214死
sɿ51肆寺四驷似嗣饲=巳祀
sɿ0厕{茅~}
tʂʅ55汁之芝支枝吱肢掷{~色子}只织知蜘指{指甲}脂
tsʅ35职直植殖值执指{~头}侄
tʂʅ214止址芷趾只纸旨指
tʂʅ51治志痣痔至窒致掷挚识帜置制秩智稚质炙
tʂʰʅ55痴眵{~目糊}哧吃蚩嗤
tʂʰʅ35迟持池弛驰匙{汤~}
tʂʰʅ214耻豉齿侈尺
tʂʰʅ51炽赤敕翅叱斥饬
ʂʅ55湿诗师狮嘘失施尸虱
ʂʅ35实识十什石时拾食蚀
ʂʅ214史使驶矢屎始
ʂʅ51室市柿视式拭示士仕恃侍世嗜事誓逝势是释适似氏舐饬
sʅ0匙
ɚ35而儿
ɚ214耳饵尔
ɚ51二贰
pi55逼屄
pi35荸{~荠}鼻
pi214鄙笔匕比秕妣彼
pi51笔愎闭蔽币必秘={便~}碧庇毕荜哔筚毙陛畀痺箅裨婢蓖篦辟避壁臂弼
pʰi55坯砒批纰披霹噼劈匹
pʰi51屁媲辟{~谣}譬僻
mi55咪眯
mi35糜麋迷谜弥猕
mi214米
mi51泌蜜秘幂觅密
ti55滴嘀堤提低
ti35涤嘀{~咕}嫡敌迪笛
ti214底抵邸
ti51帝缔弟第递地的{目~}
tʰi55梯踢
tʰi35啼蹄题提
tʰi214体
tʰi51涕剃替惕剔屉
ni35霓尼泥呢
ni214你拟
ni51逆匿腻溺
li55哩{~~啰啰}
li35离璃篱厘狸犁黎
li214礼李里理鲤
li51立粒丽栗吏厉励詈利痢莉例隶力历沥雳荔
tɕi55激积击基犄唧几讥机叽肌饥鸡姬缉
tɕi35疾=脊瘠吉籍辑集及极急即
tɕi214脊{又音}挤戟几己
tɕi51寂济霁荠剂计蓟技妓寄冀季祭际系{打结}记忌纪继绩迹嫉
tɕʰi55期欺漆戚七柒彻栖妻凄
tɕʰi35齐脐祁其麒旗祺琪棋歧奇琦崎骑畦
tɕʰi214启企乞起杞岂
tɕʰi51泣弃契茸{修~}器气汽讫迄
ɕi55嘻嬉昔惜熙膝西牺蜥锡吸奚溪希稀悉蟋息熄夕犀
ɕi35席袭媳习
ɕi214喜洗铣玺
ɕi51隙系戏细
i55衣依一壹医揖伊咿
i35沂宜夷咦胰姨颐遗仪移彝疑怡贻饴谊
i214椅倚蚁乙以已尾-
i51意癔益溢谊=易义议屹逸肄毅疫役忆亿艺译异翼
pu55拨{~拉}
pu35吥{屁声}
pu214捕哺补吥{又音}
pu51部簿不布怖步
pʰu55铺扑噗
pʰu35菩葡匍脯仆=蹼-
pʰu214普谱溥圃朴蹼=仆-
pʰu51铺瀑堡{十里~}
mu35模
mu214亩牡母拇姆
mu51墓幕慕木沐目牧穆
fu55夫麸肤敷孵
fu35芙扶福幅匐浮俘伏符服
fu214府腐俯抚斧釜腹-
fu51父傅富副讣赋复覆腹=付咐附驸负妇阜
tu55都嘟督
tu35毒读犊独
tu214堵赌笃肚
tu51度渡镀杜肚妒
tʰu55突凸秃
tʰu35徒屠图涂途
tʰu214土吐
tʰu51吐兔
nu35奴
nu214努
nu51怒
lu55撸
lu35庐炉芦卢
lu214芦{油葫~}卤虏掳鲁
lu51鹿辘赂路露戮录绿{~林}
