#阴平[44]、阳平[24]、上声[55]、阴去[41]、阳去[21]、阴入[3]、阳入[5]
ɿ
ts         [1]知 {2～识}枝 {2 }租知 {2 }资姿咨脂兹滋之芝[3]紫祖 {1 }组 {1 }阻 {1 }姊旨子梓 止{2 }址[5]智做 {1 }刺致稚至 {2 }置{位~}
tsʰ        [1]雌疵{吹毛求～}粗 {1 }初痴嗤{～笑}差{参～ }[2]锄脐瓷{～器}糍{～巴}慈磁{～石}辞词祠嗣 饲池 {2 }驰 {2 }持 {2 }[3]楚 {2 }础 {2 柱下石}此侈{奢～}齿{～轮 }[5]醋 {1 }制 {2～度}制 {2～造}翅次[6]自痔字牸{牝牛}治 {2}
s         [1]斯厮撕苏酥 {1 广糖～}梳 {1～头}疏 {1～远}蔬 {1 }私师狮司丝思[3]所 {1 }死使史 驶[5]素 {1 }诉 {1 }四肆[6]似祀{祭～ }巳{辰～}寺士仕柿事恃

i
p         [1]碑卑椑{～哩：一种小柿子，较涩；～哩树；好～口}杯悲婢[2]培陪[3]比{比～ }[5]臂贝蔽敝陛{～下}闭辈 {2 }泌痹{麻～}毕必 {2 }碧
pʰ        [1]披批[2]皮疲脾赔 {2～偿}裴[3]彼鄙[5]譬{～喻；～如}避沛配佩庇屁弼 僻辟[6]被{～子}被{～打；～迫}弊币毙蓖{蓖麻：发音老师认为没有}倍 {2 单音动词}背 {2～诵}备箆
m         [2]糜{粥}弥迷谜{是个～}梅枚媒{多～体}眉楣媚[3]靡米每美[5]秘寐[6]谜{～语}昧尾{白读 1～毛：尾巴}
f         [1]麾非飞妃挥辉徽[2]回茴{～香}肥[3]毁匪翡{～翠 }[5]贿悔废肺秽 痱{～子}费{～用 }[6]汇{～合；～款}桧会{开～}绘惠慧汇{词～}讳
t          [1]知 {1～识}支枝 {1 }低栀{～子花 }[2]离{～别}篱璃{玻～}犁黎厘狸{～猫}梨[3]纸吕旅 屡底抵礼履旨 {1 }指{动词：～责}止 {1～血}缕{丝～；一丝一～}李里{一～路}里{～面}理鲤[5]制 {1~ 度；～造}致 {1 }至 {1 }置 {1 }志 {1～气}痣[6]荔{～枝}例厉励丽{美～}利痢吏{官～；～部尚书}类 {1 分~ }泪 {1}
tʰ         [1]弟[2]池 {1 }驰 {1 }堤题提{～问}蹄啼迟持 {1 支～ }[3]体耻齿[5]滞{停～ ；积}梯{电～}替剃屉{抽～ ；笼～}递{快～ }[6]弟{老～ ；～子；子～}第隶{～书}地痔 {1 }治 {1}
tɕ         [1]居车{～马炮}拘驹鸡稽饥{～饿}肌几{2 茶～}基几{～乎}机讥饥{～荒 }[3]举挤几 {1 茶~ }己纪{～律}杞{枸～}几{～个}嘴戟矩{规～ }[5]寄据句祭际济剂{一～药；～子}计继冀纪{世~ ;  年～}记忌既季即{立～}剧{～烈}剧{戏～}寂[6]具惧
tɕʰ        [1]徛{立}趋区{～域}驱妻溪欺[2]奇骑岐渠 {2 }瞿齐祁鳍其棋期{时～}旗祈[3]企启起岂取娶[5]趣砌契{～约}器弃气汽[6]技妓渠 {1～道}巨拒距俱聚
ȵ         [2]宜{～春}仪谊愚娱泥倪{～萍}尼疑饴{高粱～ ；甘之如～ }[3]蚁语拟[6]义议遇寓{～言}艺腻毅 {1}
ɕ         [1]施匙{汤～ ；钥～}是墟{～市；当～ ：逢集}虚嘘{吹～}须{必～ ；胡～}需吁{～尿：给孩子把尿}西栖犀奚{～落}尸{死～}诗希稀嬉熙[2]徐时[3]玺徙许洗矢屎始喜髓{骨～ }[5]戏 世势逝细[6]序叙绪誓系{中文～}系{是}视市[·]豉{豆～}婿{女～[新说法]}系{连~}
Ǿ           [1]于{～此}淤于盂伊医衣依[2]余{姓}余{多～}虞榆逾愉夷姨遗{～产；～腹子 }[3]羽{～毛球}矣已以雨宇禹[5]意逸忆亿[6]预豫愈{～好；病～}芋喻裕易{难～}肄{~ 业}异毅 {2 }易{交～}玉{～石}

u
p         [3]补[5]布{～匹}布{发～ ；～告}怖{恐~}
ph          [1]铺{～设}簿捕[2]蒲菩{～萨}脯{胸～}脯{杏～ }[3]谱普浦甫辅[5]铺{店～ }[6]部步埠{商~}
m         [2]模{～子}模{～范 }[3]母[6]暮慕墓募穆牧
f         [1]呼乎夫肤敷俘{～虏}孵{～小鸡 }[2]胡狐壶葫{～芦}符扶芙{～蓉 }[3]虎浒{水～}府 腑俯斧抚腐{～败 }[5]付赋傅赴富副[6]户沪互护父辅 {2～导}附妇负[·]麸 {麦～子}
t         [1]都{～城}都{～是}堵赌督[3]主肚{鱼～；猪～}笃[5]妒{嫉～；天～红颜}著{显～}驻注{批~ ; ~ 册}注{～射；～意}蛀铸
