							#調值 [1]213 [2]45 [3]24 [5]53 [7]55
字號	字	聲母	韻母	調值	調類	備註	
67	蟲	tsʰ	oŋ	45	陽平		
113	狨	z	oŋ	45	陽平		
114	絨	z	oŋ	45	陽平		
115	弓	k	oŋ	213	陰平		
125	雄	ɕ	yoŋ	45	陽平		
157	豐	x	oŋ	213	陰平		
165	充	tsʰ	oŋ	213	陰平		
192	公	k	oŋ	213	陰平		
262	紅	x	oŋ	45	陽平		
287	翁	β	oŋ	213	陰平		
297	葱	tsʰ	oŋ	213	陰平		
310	通	tʰ	oŋ	213	陰平		
343	篷	pʰ	oŋ	45	陽平		
361	冬	t	oŋ	213	陰平		
362	𡘬	t	oŋ	213	陰平		
424	鬆	s	oŋ	213	陰平	鬆緊。	
425	䯳	s	oŋ	213	陰平	鬆緊。	
428	鐘	ts	oŋ	213	陰平		
445	龍	l	oŋ	45	陽平		
460	松	x	oŋ	213	陰平	松樹。	
461	㮤	x	oŋ	213	陰平	松樹。	
547	濃	n	oŋ	45	陽平		
584	蠭	x	oŋ	213	陰平		
585	蜂	x	oŋ	213	陰平		
586	𧒒	x	oŋ	213	陰平		
633	恭	k	oŋ	213	陰平		
698	䆫	tsʰ	uɑ̃	213	陰平		
699	牎	tsʰ	uɑ̃	213	陰平		
700	窓	tsʰ	uɑ̃	213	陰平		
706	邦	p	ɑ̃	213	陰平		
707	𤰫	p	ɑ̃	213	陰平		
725	雙	s	uɑ̃	213	陰平		
772	支	ts	ɿ	213	陰平		
891	吹	tsʰ	ei	213	陰平		
908	碑	p	ei	213	陰平		
925	騎	tɕʰ	i	45	陽平		
959	犧	ɕ	i	213	陰平		
999	皮	pʰ	i	45	陽平		
1018	兒	∅	ə	45	陽平		
1019	𠒆	∅	ə	45	陽平		
1193	知	ts	ɿ	213	陰平		
1225	危	β	ei	45	陽平		
1288	姨	∅	i	45	陽平		
1314	師	s	ɿ	213	陰平		
1317	篩	s	ai	213	陰平	篩子。	
1344	資	ts	ɿ	213	陰平		
1358	飢	tɕ	i	213	陰平		
1410	遲	tsʰ	ɿ	45	陽平		
1411	遟	tsʰ	ɿ	45	陽平		
1460	葵	kʰ	uei	45	陽平		
1468	追	ts	ei	213	陰平		
1471	龜	k	uei	213	陰平		
1472	龜	k	uei	213	陰平		
1473	𠃾	k	uei	213	陰平		
1484	衰	s	uai	213	陰平		
1514	雖	s	ei	213	陰平		
1718	詩	s	ɿ	213	陰平		
1759	基	tɕ	i	213	陰平		
1825	醫	∅	i	213	陰平		
1826	毉	∅	i	213	陰平		
1880	徽	x	uei	213	陰平		
1914	飛	x	uei	213	陰平		
1925	肥	x	uei	45	陽平		
1986	稀	ɕ	i	213	陰平		
1995	衣	∅	i	213	陰平		
2010	魚	∅	y	45	陽平		
2011	𩺰	∅	y	45	陽平		
2020	初	tsʰ	uɤ	213	陰平		
2022	書	s	u	213	陰平		
2029	居	tɕ	y	213	陰平		
2069	余	∅	y	45	陽平	節余。	
2118	蛆	tɕʰ	y	213	陰平		
2125	鉏	tsʰ	uɤ	45	陽平		
