#ɿ
tθʰ[33]次
tsʰ[21]磁

#i
p[31]蓖皮脾琵枇鼻肥匹[33]臂被滗[24]毙闭箅避秕庇痹备篦[21]毕必
pʰ[433]鄙比痞[33]披屁
m[52]敏[31]迷[433]微[33]谜{破~儿}眉尾[24]谜{~语}秘
f[52]飞挥辉徽[33]废肺吠费
t[31]敌[33]的{目~}[24]隶地[33]砌刺
n[33]你
l[31]荔篱璃离{~开}梨厘狸[33]礼李里{~程}里{~外}理鲤[24]例励丽利
tθ[52]资[433]挤紫姊子梓
θ[52]须{胡~}斯撕私狮蛳司丝思诗[31]糍祠寺[433]死[33]嗉四巳士[24]字牸
tʃ[52]知蜘支枝[433]纸旨指止趾址[33]制{~度}制{~造}济只技姿至痔治之芝志{~向}痣[24]际置志{杂~}进[21]绩
tʃʰ[52]企[433]齿始[33]翅[21]迟持
ʃ[52]尸[31]池匙视时悉膝石[433]屎使{~用}史[33]世势誓是市适[24]豉示事试式饰
k[52]饥{~饿}基几{~乎}机饥{~荒}[31]奇{~数}奇{~怪}其棋期旗及[433]己纪几{~个}[33]佢{第三人称代词}计继寄徛记杞既季剧
kʰ[52]欺[433]起
ŋ[31]鱼宜仪耳疑萤[433]议[24]艺义二贰
x[52]奚稀[433]喜[33]启系{联~}戏器弃气汽希[52]涴医衣依[31]愚娱移姨遗[433]语与羽椅已以[33]亿疫[24]誉预喻易意异易液狱

#u
p[31]菩葡浮[433]补[33]布{~匹}簿傅瀑[24]布{宣~}怖部步
pʰ[52]铺{~设}扑[433]谱普浦捕[33]铺{店~}
m[52]模[24]墓幕寞
f[52]呼[31]瓠[433]苦虎浒府俯斧[33]裤乎夫肤痱富副妇[24]护付负
t[52]多[31]徒涂图[433]堵赌肚{动物内脏}[33]肚{腹~}[24]杜度渡镀
tʰ[433]土楚娶□{买}[33]吐{~痰}吐{呕~}兔醋
n[31]努
l[31]卢炉芦庐鹿[433]虏[33]卤搂{~抱}[24]路露{~出来}露{~水}[433]语与羽椅已以[33]亿疫[24]誉预喻易意异易液狱
tθ[52]租[433]祖组[33]助
tθʰ[52]粗
θ[52]苏酥[33]素诉塑蔬漱
tʃ[433]阻
tʃʰ[52]初[433]础
θ[52]梳疏[31]锄[433]数{~一~}[33]数{~日}
k[52]姑[31]葫[433]古牯股鼓[33]孤鸪估固雇顾库[24]故
kʰ[52]箍枯[33]酷
∅[31]蒲吴蜈梧悟胡{姓}湖狐壶胡{~须}蝴糊扶芙无握[33]户乌污巫[24]误恶{可~}务雾戊

#y
tʰ[52]蛆
n[33]女
l[31]驴[33]吕旅[24]虑滤[21]律率
tʃ[52]猪株朱珠[433]煮主[33]柱注蛀[24]著嘱
tʃʰ[433]处{~理}取[33]处{到~}[24]趣
ʃ[52]书须{必~}师[31]徐舒薯厨[433]暑鼠[33]嘘需树[24]序叙箸住成竖树旭
k[52]车{~马炮}[31]拄菊鞠曲{酒~}曲{~折}曲{歌~}局[433]举矩[33]据锯距拘俱句具[24]巨拒[52]区
x[52]墟虚输[433]许
∅[31]渔於余多{~于}雨宇[24]乳遇芋裕郁{忧~}玉

#a
p[52]巴芭疤笆把{~守、一~}爸[31]爬琶杷粑[323]霸坝罢[24]□{~木树：枫树}
pʰ[323]怕[5]仆{~到}
m[52]妈[31]麻痲牡[323]马码[24]沫墨默木目
f[52]花[323]化画划{计~}[24]埠服伏[5]福幅复{~杂}复{恢~}
t[52]打[31]都{~是}
n[52]捺[24]那
l[24]栗
tθ[5]卒鲫责
θ[33]耍[24]绝贼族[5]塞{~车}宿缩粟
tʃ[52]楂渣[323]诈榨炸[5]笡侧{两~}
tʃʰ[52]叉差{~别}差{~错}[323]权岔汊
ʃ[52]沙纱杉[31]茶搽查察[24]直
k[52]加嘉家{~具}假{真~}贾假{放~}[323]架嫁价[5]蛤[213]跨
kʰ[52]卡客[5]刻{时~}刻{用刀~}克
ŋ[52]桠[31]牙芽[323]瓦
x[52]虾哈[5]黑核{~对}核{~桃}
∅[52]鸦哑[31]丫

#ia
p[52]百[213]泊白
pʰ[52]拍魄
m[213]猫麦脉
fʰ[52]测拆策册
k[52]格革隔[5]脚
ŋ[52]轭[33]仰[213]刃硬额
x[52]吓客[24]厦{大~}夏{姓}[323]下{底~}下{~降}[24]药[213]夏{~天}

#ua
t[24]屠独读毒
n[24]浓
l[24]鲁禄六陸绿录
tθ[5]足促
tʃ[5]矬织竹轴祝粥烛
tʃʰ[5]畜
ʃ[24]术叔熟俗续
k[52]瓜寡[323]挂卦[5]谷{五~，稻~}
kʰ[52]夸跨跨
x[5]哭[31]华{中~}华{姓}桦[5]屋

#æ
m[33]米
l[323]赖
tʃʰ[52]钗差{出~}
ʃ[433]使{大~}

#ɛ
p[52]畀宾冰兵[5]别笔北
pʰ[5]鐾
m[213]抹{~布，~桌子}
f[213]伐罚
t[52]丁钉疗钉[24]笛[5]得德[213]沓
tʰ[5]七漆
n[33]拿[213]纳
l[5]□{相当于官话中的装示少量事物的量词“些”}[213]腊蜡邋辣
θ[52]撒{~手}撒{~种}[433]醒[5]昨[213]杂
tʃ[5]摘
tʃʰ[5]除出斥
