cid	cʰaracter	initian	final	tone	note
1	多	t	o	45	
2	拖	tʰ	o	45	
3	大	t	ᴀ	24	
4	锣	n	o	21	
5	左	ts	o	42	
6	歌	k	o	45	
7	个	k	o	24	
8	可	kʰ	o	42	
9	鹅	∅	o	21	
10	饿	∅	o	24	
11	河	x	o	21	
12	茄	tɕʰ	ye	21	
13	破	pʰ	o	24	
14	婆	pʰ	o	21	
15	磨	m	o	21	
16	磨	m	o	24	
17	躲	t	o	42	
18	螺	n	o	21	
19	坐	ts	o	24	
20	锁	s	o	42	
21	果	k	o	42	
22	过	k	o	24	
23	课	kʰ	o	24	
24	火	x	o	42	
25	货	x	o	24	
26	祸	x	o	24	
27	靴	ɕ	ye	45	
28	把	p	ᴀ	42	
29	爬	p	ᴀ	45	～山
29	爬	pʰ	ᴀ	21	地上～
30	马	m	ᴀ	42	
31	骂	m	ᴀ	24	
32	茶	tsʰ	ᴀ	21	
33	沙	s	ᴀ	45	
34	假	tɕ	iᴀ	42	
35	嫁	tɕ	iᴀ	24	
36	牙	∅	iᴀ	21	
37	虾	ɕ	iᴀ	45	
38	下	ɕ	iᴀ	24	
39	夏	ɕ	iᴀ	24	
40	哑	ŋ	ᴀ	42	
41	姐	tɕ	ie	42	
42	借	tɕ	ie	24	
43	写	ɕ	ie	42	
44	斜	ɕ	ie	21	
45	谢	s	e	24	姓～
45	谢	ɕ	ie	24	
46	车	tsʰ	e	45	
47	蛇	s	e	21	
48	射	s	e	24	
49	爷	∅	ie	21	
50	野	∅	ie	42	
51	夜	∅	iᴀ	24	白
51	夜	∅	ie	24	文
52	瓜	k	uᴀ	45	
53	瓦	∅	uᴀ	42	
54	花	x	uᴀ	45	
55	化	x	uᴀ	24	
56	华	x	uᴀ	21	
57	谱	pʰ	uᶹ	42	
58	布	p	uᶹ	24	
59	铺	pʰ	uᶹ	45	
60	簿	p	o	21	
61	步	p	uᶹ	24	
62	赌	t	uᶹ	42	
63	土	tʰ	uᶹ	42	
64	图	tʰ	uᶹ	21	
65	杜	t	uᶹ	24	
66	奴	n	uᶹ	21	
67	路	n	uᶹ	24	
68	租	ts	uᶹ	45	
69	做	ts	uᶹ	24	
70	错	tsʰ	o	24	
71	箍	kʰ	uᶹ	45	
72	古	k	uᶹ	42	
73	苦	kʰ	uᶹ	42	
74	裤	kʰ	uᶹ	24	
75	吴	v	uᶹ	21	
76	五	v	uᶹ	42	
77	虎	f	uᶹ	42	
78	壶	f	uᶹ	21	
79	户	f	uᶹ	24	
80	乌	∅	uᶹ	45	
81	女	n	yi	42	
82	吕	n	uei	42	
83	徐	ɕ	yi	21	
84	猪	ts	uᶹ	45	
85	除	tsʰ	uᶹ	21	
86	初	tsʰ	uᶹ	45	
87	锄	tsʰ	uᶹ	21	
88	所	s	o	42	
89	书	s	uᶹ	45	
90	鼠	ɕ	yi	42	白
90	鼠	s	uᶹ	42	文
91	如	z	uᶹ	21	
92	举	tɕ	yi	42	
93	锯	tɕ	yi	24	
94	去	kʰ	i	24	上～又/白
94	去	tɕʰ	i	24	上～又/白
94	去	tɕʰ	yi	24	～年/上～文
95	渠	tɕʰ	yi	21	
96	鱼	∅	yi	21	
97	许	ɕ	yi	42	
98	余	∅	yi	21	
99	府	f	uᶹ	42	
100	付	f	uᶹ	24	
101	父	f	uᶹ	24	
102	武	v	uᶹ	42	
103	雾	v	uᶹ	24	
104	取	tɕʰ	yi	42	
105	柱	ts	uᶹ	24	
106	住	ts	o	24	
107	数	s	uᶹ	42	
108	数	s	uᶹ	24	
109	主	ts	uᶹ	42	
110	输	s	uᶹ	45	
111	竖	s	uᶹ	24	
112	树	s	uᶹ	24	
113	句	tɕ	yi	24	
114	区	tɕʰ	yi	45	
115	遇	∅	yi	24	
116	雨	∅	yi	42	
117	芋	∅	yi	24	
118	裕	∅	yi	24	
119	胎	tʰ	ai	45	
120	台	tʰ	ai	21	
121	袋	t	ai	24	
122	来	n	ai	21	
123	菜	tsʰ	ai	24	
124	财	tsʰ	ai	21	
125	该	k	ai	45	
126	改	k	ai	42	
127	开	kʰ	ai	45	
128	海	x	ai	42	
129	爱	ŋ	ai	24	
130	贝	p	ei	24	
131	带	t	ai	24	
132	盖	k	ai	24	
133	害	x	ai	24	
134	拜	p	ai	24	
135	排	pʰ	ai	21	
136	埋	m	ai	21	
137	戒	tɕ	iai	24	
138	摆	p	ai	42	
139	派	pʰ	ai	24	
140	牌	pʰ	ai	21	
141	买	m	ai	42	
142	卖	m	ai	24	
143	柴	tsʰ	ai	21	
144	晒	s	ai	24	
145	街	k	ai	45	
146	解	k	ai	42	
147	鞋	x	ai	21	
148	蟹	x	ai	42	
149	矮	ŋ	ai	42	
150	败	p	ai	24	
151	币	p	i	24	
152	制	ts	ɿ	24	
153	世	s	ɿ	24	
154	艺	n	i	24	
155	米	m	i	42	
156	低	t	i	45	
157	梯	tʰ	i	45	
158	剃	tʰ	i	24	
159	弟	t	i	24	
160	递	t	i	24	
161	泥	n	i	21	
162	犁	n	i	21	
163	西	ɕ	i	45	
164	洗	ɕ	i	42	
165	鸡	tɕ	i	45	
166	溪	tɕʰ	i	45	
167	契	tɕʰ	i	24	
168	系	ɕ	i	24	
169	杯	p	ei	45	
170	配	pʰ	ei	24	
171	赔	pʰ	ei	21	
172	背	p	ei	24	
173	煤	m	ei	21	
174	妹	m	ei	24	
175	对	t	uei	24	
176	雷	n	uei	21	
177	罪	ts	uei	24	
178	碎	tsʰ	uei	24	玻璃～了
178	碎	s	uei	24	～米
179	灰	x	uei	45	
180	回	x	uei	21	
181	外	∅	uai	24	
182	会	x	uei	24	
183	怪	k	uai	24	
184	块	kʰ	uai	42	
185	怀	x	uai	21	
186	坏	x	uai	24	
187	拐	k	uai	42	
188	挂	k	uᴀ	24	
189	歪	∅	uai	45	
190	画	x	uᴀ	24	
191	快	kʰ	uai	24	
192	话	x	uᴀ	24	
193	岁	s	uei	24	
194	卫	∅	uei	24	
195	肺	f	ei	24	
196	桂	k	uei	24	
197	碑	p	ei	45	
198	皮	pʰ	i	21	
199	被	p	i	24	
200	紫	ts	ɿ	42	
201	刺	tsʰ	ɿ	24	
202	知	ts	ɿ	45	
203	池	tsʰ	ɿ	21	
204	纸	ts	ɿ	42	
205	儿	∅	ɚ	21	
206	寄	tɕ	i	24	
207	骑	tɕʰ	i	21	
208	蚁	n	i	24	
209	义	n	i	24	
210	戏	ɕ	i	24	
211	移	∅	i	21	
212	比	p	i	42	
213	屁	pʰ	i	24	
214	鼻	pʰ	i	21	
215	眉	m	i	21	
216	地	t	i	24	
217	梨	n	i	21	
218	资	ts	ɿ	45	
219	死	s	ɿ	42	
220	四	s	ɿ	24	
221	迟	tsʰ	ɿ	21	
222	师	s	ɿ	45	
223	指	ts	ɿ	42	
224	二	∅	ɚ	24	
225	饥	tɕ	i	45	
226	器	tɕʰ	i	24	
227	姨	∅	i	21	
228	李	n	i	42	
229	子	ts	ɿ	42	
230	字	ts	ɿ	24	
231	丝	s	ɿ	45	
232	祠	tsʰ	ɿ	21	
233	寺	s	ɿ	45	白
233	寺	s	ɿ	24	文
234	治	ts	ɿ	24	
235	柿	s	ɿ	24	
236	事	s	ɿ	24	
237	使	s	ɿ	42	
238	试	s	ɿ	24	
239	时	s	ɿ	21	
240	市	s	ɿ	24	
241	耳	∅	ɚ	42	
242	记	tɕ	i	24	
243	棋	tɕʰ	i	21	
244	喜	ɕ	i	42	
245	意	∅	i	24	
246	几	tɕ	i	42	
247	气	tɕʰ	i	24	
248	希	ɕ	i	45	
249	衣	∅	i	45	
250	嘴	ts	uei	42	
251	随	s	uei	21	
252	吹	tsʰ	uei	45	
253	垂	tsʰ	uei	21	
254	规	k	uei	45	
255	亏	kʰ	uei	45	
256	跪	k	uei	24	
257	危	∅	uei	21	
258	类	n	uei	24	
259	醉	ts	uei	24	
260	追	ts	uei	45	
261	锤	tsʰ	uei	21	
262	水	s	uei	42	
263	龟	k	uei	45	
264	季	tɕ	i	24	
265	柜	k	uei	24	
266	位	∅	uei	24	
267	飞	f	ei	45	
268	费	f	ei	24	
269	肥	f	ei	21	
270	尾	∅	uei	42	
271	味	∅	uei	24	
272	鬼	k	uei	42	
273	贵	k	uei	24	
274	围	∅	uei	21	
275	胃	∅	uei	24	
276	宝	p	ᴀu	42	
277	抱	p	ᴀu	24	
278	毛	m	ᴀu	21	
279	帽	m	ᴀu	24	
280	刀	t	ᴀu	45	
281	讨	tʰ	ᴀu	42	
282	桃	tʰ	ᴀu	21	
283	道	t	ᴀu	24	
284	脑	n	ᴀu	42	
285	老	n	ᴀu	42	
286	早	ts	ᴀu	42	
287	灶	ts	ᴀu	24	
288	草	tsʰ	ᴀu	42	
289	糙	ts	ᴀu	24	
290	造	tsʰ	ᴀu	24	
291	嫂	s	ᴀu	42	
292	高	k	ᴀu	45	
293	靠	kʰ	ᴀu	24	
294	熬	ŋ	ᴀu	21	
295	好	x	ᴀu	42	
296	号	x	ᴀu	24	
297	包	p	ᴀu	45	
298	饱	p	ᴀu	42	
299	炮	pʰ	ᴀu	24	
300	猫	m	ᴀu	45	
301	闹	n	ᴀu	24	
302	罩	ts	ᴀu	24	
303	抓	ts	uᴀ	45	
304	找	ts	ᴀu	42	
305	抄	tsʰ	ᴀu	45	
306	交	tɕ	iᴀu	45	
307	敲	kʰ	ᴀu	45	
308	孝	ɕ	iᴀu	24	
309	校	ɕ	iᴀu	24	
310	表	p	iᴀu	42	
311	票	pʰ	iᴀu	24	
312	庙	m	iᴀu	24	
313	焦	tɕ	iᴀu	45	
314	小	ɕ	iᴀu	42	
315	笑	ɕ	iᴀu	24	
316	朝	tsʰ	ᴀu	21	
317	照	ts	ᴀu	24	
318	烧	s	ᴀu	45	
319	绕	z	ᴀu	21	
320	桥	tɕʰ	iᴀu	21	
321	轿	tɕ	iᴀu	24	
322	腰	∅	iᴀu	45	
323	要	∅	iᴀu	24	
324	摇	∅	iᴀu	21	
325	鸟	n	iᴀu	42	
326	钓	t	iᴀu	24	
327	条	tʰ	iᴀu	21	
328	料	n	iᴀu	24	
329	箫	ɕ	iᴀu	45	
330	叫	tɕ	iᴀu	24	
331	母	m	uᶹ	42	
332	抖	tʰ	ou	42	
333	偷	tʰ	ou	45	
334	头	tʰ	ou	21	
335	豆	t	ou	24	
336	楼	n	ou	21	
337	走	ts	ou	42	
338	凑	tsʰ	ou	24	
339	钩	k	ou	45	
340	狗	k	ou	42	
341	够	k	ou	24	
342	口	kʰ	ou	42	
343	藕	ŋ	ou	42	
344	后	x	ou	24	
345	厚	x	ou	24	
346	富	f	uᶹ	24	
347	副	f	uᶹ	24	
348	浮	f	uᶹ	21	
349	妇	f	uᶹ	24	
350	流	n	iou	21	
351	酒	tɕ	iou	42	
352	修	ɕ	iou	45	
353	袖	ɕ	iou	24	
354	抽	tsʰ	ou	45	
355	绸	tsʰ	ou	21	
356	愁	tsʰ	ou	21	
357	瘦	s	ou	24	
358	州	ts	ou	45	
359	臭	tsʰ	ou	24	
360	手	s	ou	42	
361	寿	s	ou	24	
362	九	tɕ	iou	42	
363	球	tɕʰ	iou	21	
364	舅	tɕ	iou	24	
365	旧	tɕ	iou	24	
366	牛	n	iou	21	
367	休	ɕ	iou	45	
368	优	∅	iou	45	
369	有	∅	iou	42	
370	右	∅	iou	24	
371	油	∅	iou	21	
372	丢	t	ou	45	白
372	丢	t	iou	45	文
373	幼	∅	iou	24	
374	贪	tʰ	an	45	
375	潭	tʰ	an	21	
376	南	n	an	21	
377	蚕	tsʰ	an	21	
378	感	k	an	42	
379	含	x	an	21	
380	暗	ŋ	an	24	
381	搭	t	ᴀ	33	
382	踏	tʰ	ᴀ	33	
383	拉	n	ᴀ	45	
384	杂	ts	ᴀ	33	
385	鸽	k	o	33	
386	盒	x	o	33	
387	胆	t	an	42	
388	毯	tʰ	an	42	
389	淡	t	an	24	
390	蓝	n	an	21	
391	三	s	an	45	
392	甘	k	an	45	
393	敢	k	an	42	
394	喊	x	an	42	
395	塔	tʰ	ᴀ	33	
396	蜡	n	ᴀ	33	
397	赚	ts	uan	24	
398	杉	s	ᴀ	45	
399	减	tɕ	ien	42	
400	咸	x	an	21	
401	插	tsʰ	ᴀ	33	
402	闸	ts	ᴀ	33	
403	夹	tɕ	iᴀ	33	
404	衫	s	an	45	
405	监	tɕ	ien	45	
406	岩	ŋ	ai	21	
407	甲	tɕ	iᴀ	33	
408	鸭	∅	iᴀ	33	
409	黏	n	ien	24	白
409	黏	n	ien	45	文
410	尖	tɕ	ien	45	
411	签	tɕʰ	ien	45	
412	占	ts	an	24	
413	染	z	an	42	
414	钳	tɕʰ	ien	21	
415	验	n	ien	24	
416	险	ɕ	ien	42	
417	厌	∅	ien	24	
418	炎	∅	ien	45	
419	盐	∅	ien	21	
420	接	tɕ	ie	33	
421	折	ts	e	33	
422	叶	∅	ie	33	
423	剑	tɕ	ien	24	
424	欠	tɕʰ	ien	24	
425	严	n	ien	21	
426	业	n	ie	33	
427	点	t	ien	42	
428	店	t	ien	24	
429	添	tʰ	ien	45	
430	甜	tʰ	ien	21	
431	念	n	ien	24	
432	嫌	ɕ	ien	21	
433	跌	t	ie	33	
434	贴	tʰ	ie	33	
435	碟	t	ie	33	
436	协	ɕ	ie	33	
437	犯	f	an	24	
438	法	f	ᴀ	33	
439	品	pʰ	in	42	
440	林	n	in	21	
441	浸	tɕʰ	in	24	
442	心	ɕ	in	45	
443	寻	ɕ	ioŋ	21	
444	沉	tsʰ	ən	21	
445	参	s	ən	45	
446	针	ts	ən	45	
447	深	s	ən	45	
448	任	z	ən	24	
449	金	tɕ	in	45	
450	琴	tɕʰ	in	21	
451	音	∅	in	45	
452	立	n	i	33	
453	集	tɕ	i	33	
454	习	ɕ	i	33	
455	汁	ts	ɿ	33	
456	十	s	ɿ	33	
457	入	z	uᶹ	33	
458	急	tɕ	i	33	
459	及	tɕ	i	33	
460	吸	tɕ	i	33	白
460	吸	ɕ	i	33	文
461	单	t	an	45	
462	炭	tʰ	an	24	
463	弹	tʰ	an	21	
464	难	n	an	21	
465	兰	n	an	21	
466	懒	n	an	42	
467	烂	n	an	24	
468	伞	s	an	42	
469	肝	k	an	45	
470	看	kʰ	an	24	
471	岸	ŋ	an	24	
472	汉	x	an	24	
473	汗	x	an	24	
474	安	ŋ	an	45	
475	达	t	ᴀ	33	
476	辣	n	ᴀ	33	
477	擦	tsʰ	ᴀ	33	
478	割	k	o	33	
479	渴	kʰ	o	33	
480	扮	p	an	24	
481	办	p	an	24	
482	铲	tsʰ	uan	42	
483	山	s	an	45	
484	产	tsʰ	an	42	
485	间	k	an	45	白
485	间	tɕ	ien	45	文
486	眼	∅	ien	42	
487	限	ɕ	ien	24	
488	八	p	ᴀ	33	
489	扎	ts	ᴀ	33	
490	杀	s	ᴀ	33	
491	班	p	an	45	
492	板	p	an	42	
493	慢	m	an	24	
494	奸	tɕ	ien	45	
495	颜	∅	ien	21	
496	瞎	ɕ	iᴀ	33	
497	变	p	ien	24	
498	骗	pʰ	ien	24	
499	便	p	ien	24	
500	棉	m	ien	21	
501	面	m	ien	24	
502	连	n	ien	21	
503	剪	tɕ	ien	42	
504	浅	tɕʰ	ien	42	
505	钱	tɕʰ	ien	21	
506	鲜	ɕ	yᴇn	45	
507	线	ɕ	ien	24	
508	缠	tsʰ	an	21	
509	战	ts	an	24	
510	扇	s	an	24	
511	善	s	an	24	
512	件	tɕ	ien	24	
513	延	∅	ien	21	
514	别	p	iæ̞	33	白
514	别	pʰ	ie	33	文
515	灭	m	iæ̞	33	白
515	灭	m	ie	33	文
516	列	n	iæ̞	33	白
516	列	n	ie	33	文
517	撤	tsʰ	æ̞	33	白
517	撤	tsʰ	e	33	文
518	舌	s	æ̞	33	白
518	舌	s	e	33	文
519	设	ɕ	iæ̞	33	白
519	设	s	e	33	文
520	热	z	æ̞	33	白
520	热	z	e	33	文
521	杰	tɕ	iæ̞	33	白
521	杰	tɕ	ie	33	文
522	孽	n	iæ̞	33	白
522	孽	n	ie	33	文
523	建	tɕ	ien	24	
524	健	tɕ	ien	24	
525	言	∅	ien	21	
526	歇	ɕ	iæ̞	33	白
526	歇	ɕ	ie	33	文
527	扁	p	iᴀ	42	白
527	扁	p	ien	42	文
528	片	pʰ	ien	24	
529	面	m	ien	24	
530	典	t	ien	42	
531	天	tʰ	ien	45	
532	田	tʰ	ien	21	
533	垫	t	ien	24	
534	年	n	ien	21	
535	莲	n	ien	21	
536	前	tɕʰ	ien	21	
537	先	ɕ	ien	45	
538	肩	tɕ	ien	45	
539	见	tɕ	ien	24	
540	牵	tɕʰ	ien	45	
541	显	ɕ	ien	42	
542	现	ɕ	ien	24	
543	烟	∅	ien	45	
544	憋	p	ie	45	
545	篾	m	iæ̞	33	白
545	篾	m	ie	33	文
546	铁	tʰ	iæ̞	33	白
546	铁	tʰ	ie	33	文
547	捏	n	iæ̞	33	白
547	捏	n	ie	33	文
548	节	tɕ	ie	33	
549	切	tɕʰ	iæ̞	33	白
549	切	tɕʰ	ie	33	文
550	截	tɕʰ	iæ̞	33	白
550	截	tɕ	ie	33	文
551	结	tɕ	i	33	白
551	结	tɕ	ie	33	文
552	搬	p	an	45	
553	半	p	an	24	
554	判	pʰ	an	24	
555	盘	pʰ	an	21	
556	满	m	an	42	
557	端	t	uan	45	
558	短	t	uan	42	
559	断	t	uan	24	
560	暖	n	uan	42	
561	乱	n	uan	24	
562	酸	s	uan	45	
563	算	s	uan	24	
564	官	k	uan	45	
565	宽	kʰ	uan	45	
566	欢	x	uan	45	
567	完	∅	uan	21	
568	换	x	uan	24	
569	碗	∅	uan	42	
570	拨	p	o	33	
571	泼	pʰ	o	33	
572	末	m	o	33	
573	脱	tʰ	o	33	
574	夺	t	o	33	
575	阔	kʰ	uæ̞	33	白
575	阔	kʰ	ue	33	文
576	活	x	o	33	
577	顽	∅	uan	21	
578	滑	x	uæ̞	33	形
578	滑	x	uᴀ	33	动
579	挖	∅	uᴀ	45	
580	闩	s	uan	45	
581	关	k	uan	45	
582	惯	k	uan	24	
583	还	x	uan	21	
584	还	x	uan	21	
584	还	x	ai	21	又
585	弯	∅	uan	45	
586	刷	s	uᴀ	33	
587	刮	k	uᴀ	33	
588	全	tɕʰ	yᴇn	21	
589	选	ɕ	yᴇn	42	
590	转	ts	uan	42	
591	传	tsʰ	uan	21	
592	传	ts	uan	24	
593	砖	ts	uan	45	
594	船	tsʰ	uan	21	
595	软	z	uan	42	
596	卷	tɕ	yᴇn	42	
597	圈	tɕʰ	yᴇn	45	
598	权	tɕʰ	yᴇn	21	
599	圆	∅	yᴇn	21	
600	院	∅	yᴇn	24	
601	铅	∅	yᴇn	21	
602	绝	tɕ	yæ̞	33	白
602	绝	tɕ	ye	33	文
603	雪	ɕ	yæ̞	33	白
603	雪	ɕ	ye	33	文
604	反	f	an	42	
605	翻	f	an	45	
606	饭	f	an	24	
607	晚	∅	uan	42	
608	万	∅	uan	24	
609	劝	tɕʰ	yᴇn	24	
610	原	∅	yᴇn	21	
611	冤	∅	yᴇn	45	
612	园	∅	yᴇn	21	
613	远	∅	yᴇn	42	
614	发	f	ᴀ	33	
615	罚	f	ᴀ	33	
616	袜	∅	uᴀ	33	
617	月	∅	yæ̞	33	白
617	月	∅	ye	33	文
618	越	∅	yæ̞	33	白
618	越	∅	ye	33	文
619	县	ɕ	ien	24	
620	决	tɕ	yæ̞	33	白
620	决	tɕ	ye	33	文
621	缺	tɕʰ	yæ̞	33	白
621	缺	tɕʰ	ye	33	文
622	血	ɕ	yæ̞	33	白
622	血	ɕ	ye	33	文
623	吞	tʰ	ən	45	
624	根	k	ən	45	
625	恨	x	ən	24	
626	恩	ŋ	ən	45	
627	贫	pʰ	in	21	
628	民	m	in	21	
629	邻	n	in	21	
630	进	tɕ	in	24	
631	亲	tɕʰ	in	45	
632	新	ɕ	in	45	
633	镇	ts	ən	24	
634	陈	tsʰ	ən	21	
635	震	ts	ən	42	
636	神	s	ən	21	
637	身	s	ən	45	
638	辰	s	ən	21	
639	人	z	ən	21	
640	认	z	ən	24	
641	紧	tɕ	in	42	
642	银	∅	in	21	
643	印	∅	in	24	
644	引	∅	in	42	
645	笔	p	i	33	
646	匹	pʰ	i	33	
647	密	m	i	33	
648	栗	n	i	33	
649	七	tɕʰ	i	33	
650	侄	ts	ɿ	33	
651	虱	s	e	33	
652	实	s	ɿ	33	
653	失	s	ɿ	33	
654	日	z	ɿ	33	
655	吉	tɕ	i	33	
656	一	∅	i	33	
657	筋	tɕ	in	45	
658	劲	tɕ	in	24	
659	勤	tɕʰ	in	21	
