		字表来源：《启海话和南通话的语音比较研究》、《江苏南通方言的研究》					
	阴平	阳平	阴上去	阳上	阳去	阴入	阳入
	53	24	45	31	214	44	13
tsɿ	之支芝枝知肢栀脂蜘智朱珠株硃蛛诛猪		止旨址指纸趾至志制致痣置主注滞苎稚致				
tsʰɿ	眵（眼~：眼泪，眼屎）嗤痴吹疵雌		耻齿此次刺赐伺处翅				
d̥z̥ɿ		辞池持驰迟除厨锄橱雏储瓷词慈磁		痔	治峙住柱拄		
sɿ	司私思斯丝撕厮蛳思施尸师狮诗书输		水屎史矢使始驶世势戍四肆嗣氏誓饲				
zɿ		时鲥匙		是似竖	树寺祀士示仕事逝视柿市		
pi	屄（女阴）蓖痞		比彼闭臂譬				
pʰi	庇痹丕批披		屁				
b̥i		皮疲脾		被（棉~，~絮）	秘俾（~使，~益）鄙蔽婢陛敝币弊避毙鐴（蹭，在皮布上擦刀使锋利）		
mi	眯咪	迷谜糜弥靡眉棉（棉：棉花）		米	味（~道）		
fiᶽ	妃非飞菲		翡匪肺沸痱费废				
viᶽ		肥唯维惟			味吠未		
ti	堤低		抵底帝蒂渧（~水）				
tʰi	梯		体涕剃剔屜替				
d̥i		提蹄题啼			地弟第递		
ni			你				
li		梨犁璃黎厘离篱鲤驴		李吕理里礼吏利例莉	厉励痢隶丽砾旅履 虑滤		
tɕiᶽ	车肌饥屐姬基箕机讥饥鸡羁己几虮（虱的卵）拘居驹锯=期杞		几挤矩举句冀穄（~子：高粱）济继据季计既纪记祭寄际				
tɕʰiᶽ	妻凄淒悽欺区蛆岖躯驱		企岂起启砌气弃汽器趋取取娶趣				
d̥ʑ̥iᶽ		徛（站立）岐奇齐荠瞿衢祁其萁棋旗骑鳍祈		序聚叙跪	技妓渠妗忌巨距拒具惧俱聚		
ɕiᶽ	栖夕西希奚稀犀溪熙嘻嬉牺玺些虚须墟需嘘须		许絮死徙喜禧细戏胥婿系序				
ʑiᶽ		徐					
ȵiᶽ		呢（~大衣）尼泥倪（姓）宜谊	拟	女	语腻仪义议遇		
ki	□（这）						
kʰi			去				
g̊i		佢（他）					
ɦi		于淤余盂俞娱逾愉榆虞愚渔鱼		雨屿又	易翼艺宇羽禹芋喻御寓裕愈预豫御誉		
ʔi	伊衣依医已以倚椅亿瞖（眼生白内障）与		以携夷沂怡姨移贻饴疑遗蚁亦异肄诣毅意忆				
pɯ			布怖				
pʰɯ	铺（~开，~设，~张）		铺（店~，当~）脯				
b̥ɯ		菩葡蒲			捕埠簿步部菢（~小鸡：孵小鸡）		
fɯ	夫孵麩敷肤		斧府俯釜腑辅付咐赴副傅富赋讣				
vɯ		浮腐抚芙俘符无狐壶葫湖蝴糊胡		舞武	附阜负妇父户沪护		
tɯ			肚（动物的胃：猪~）				
tʰɯ	兔		土吐				
d̥ɯ		涂图舵堕徒途屠驮驼			杜妒度肚渡镀		
lɯ		如卢芦炉鸬	鲁虏		乳卤橹路露鹭儒		
tsɯ	租诸		煮祖诅组阻				
tsʰɯ	初处粗		楚褚础醋				
d̥z̥ɯ		锄雏刍			助		
sɯ	梳=舒疏枢漱酥苏		蔬暑署蜀薯恕墅数朔素诉嗉（~囊）塑				
kɯ	孤姑辜箍		估古股牯鼓蛊故贾（商~）雇锢顾固				
kʰɯ	枯裤		苦库				
xɯ	乎呼		虎浒				
ɦɯ		吴		鹉五舞	诬吾梧蜈戊务误雾		
ʔɯ	污乌侮坞		巫午伍悟				
pu	波玻菠播						
pʰu	颇坡		破剖				
b̥u		婆					
mu		摹模摩磨魔磨模	母拇		募墓幕慕暮		
tu	都多		堵赌躲朵				
tʰu	拖		橢妥唾				
d̥u		舵堕驮驼			惰大剁		
nu		奴	努		怒糯		
lu	啰捋	脶（手指纹，圆的）螺罗骡箩锣			裸		
tsu			做左				
tsʰu	搓		挫措锉错				
su	唆梭蓑		所琐锁				
ku	哥歌锅		果裹过				
kʰu	科棵窠颗枯		苦可课				
ŋu		俄讹蛾鹅		我=	卧饿		
xu			火伙				
xʱu		禾何和荷贺货祸					
ʔu	莴窝蜗						
pa	爸		摆拜				
pʰa			派				
b̥a		拔排徘牌		罢	败稗		
ma	妈马（~虎）	埋		买	卖迈		
va	歪娃洼娲	淮槐			坏		
ta	□（这么、那么：~个人）		带戴				
tʰa	他拖		泰太（~阳）				
d̥a		□（挪动：~开点）			大汏埭（~岸(堵水的土坝)）		
la	拉垃	喇垃		哪	癞辣赖		
tsa	□（看：~一~）明）		债□（粘住使不落下）				
tsʰa	差扯（撕开）		扯（使均匀分配）蔡				
d̥z̥a		□（干什么）			□（大、小便的动作）		
sa	筛傻		耍撒洒啥				
za		柴□（蹩脚）		惹□（腿哆嗦）	麝		
ka	加痂家-傢阶-街		假-解-架-嫁-届-尬界-疥械价-介-戒芥锯-				
kʰa	擦揩楷卡		快（~活）				
ŋa		牙芽捱□（啃：~骨头）		外	砑捱外		
xa	哈□（割：~开）虾（~蟆：青蛙、蛙类、蝌蚪）		蟹何（什么）				
xʱa		鞋					
ʔa	挨蛤（~蜊，花~）		矮□（划：~开）				
tiɑ	爹		嗲				
tɕiɑ	佳嘉家=皆阶=		假=贾驾姐解=借稼假嫁=价=介=界=解驾架=届=				
tɕʰiɑ	□（歪：~头）						
d̥ʑ̥iɑ		瘸茄（~克衫）□（精明能干）					
ɕiɑ	靴		写卸泻				
ʑiɑ		瑕暇霞斜邪			厦夏谢		
ʔiɑ	耶椰	崖涯衙爷	亚雅	也野	夜		
kua	乖		柺拐怪				
kʰua			快				
xua	歪						
pæ̃	扳班般斑		板版扮绊				
pʰæ̃	攀				盼襻（扣住纽扣的绳套）		
b̥æ̃		爬爿			办		
væ̃	弯湾	完丸还丸完玩	皖婉宛豌碗剜挽腕幻万腕				
tæ̃	耽担		疸胆旦诞				
tʰæ̃	摊滩毯		坦炭探				
d̥æ̃		痰谈潭坛谭弹		淡			
xæ̃			喊				
xʱæ̃		咸闲含函涵		限	憾撼		
ʔæ̃	阉（切除或挫伤生殖器使无性能力）庵		揞暗				
kuɛ	关鳏		□（瞥：~见）贯惯				
kʰuɛ			筷				
g̊uɛ		环顽		掼	环（耳~）		
xuɛ	□（小孩子安静听话）		甩（丢掉、扔掉）				
pie	搬颁蝙编鞭边鳊煸		扁匾贬变半				
pʰie	篇潘盼偏		判遍片骗畔□（麻烦：~你走一趟）				
b̥ie		盘		拌篦（可抓虱子的很密的梳子：篦子）辨辩	伴汴便叛辫瓣		
mie	免蛮（动词：不讲理；副词：相当）	瞒馒鳗眠棉绵蛮	勉	满晚（~娘）	娩缅面蔓幔漫慢		
fie	番藩翻帆		反返泛贩				
vie		凡烦繁矾范			范梵饭		
tie	掂颠癫端		碘典踮点店惦踮				
tʰie	贪天添		腆舔忝掭				
d̥ie		坛田甜填		电垫	奠佃迭殿垫淀		
nie		男南楠		□（食物不管好差都能吃很多）	烂（~泥）		
lie		连莲廉怜联镰婪蓝兰篮	览	敛脸懒	敛练殓炼链恋烂揽榄缆滥		
tɕie	尖奸肩兼坚间搛煎笺艰歼涧挟参汆（~汤）簪□（用刀切）		检犍剪俭茧简件渐惨斩盏崭蘸柬趼见建毽腱贱箭剑荐饯谏溅舰键				
tɕʰie	千扦牵迁谦签且餐搀搊（手扶住一端用力向上使物体立起或翻倒）		浅遣铲产忏欠歉纤				
d̥ʑ̥ie		全泉前虔掮乾钳谗馋惭		赚	健践暂站栈绽		
ȵie	拈黏捻研	研男南年鲇阎严		染验	碾廿念砚撵		
ɕie	仙先鲜宣喧三山杉衫珊		鲜（国名朝鲜或者少有）险显选癣杉（~木）馅宪献线				
ʑie	嫌钱（姓）谐				现羡社射		
kie	甘柑泔尴间监尴艰搛（夹菜）		感敢盖橄减拣裥（衣服上的褶子，老人皮肤皱）碱间（~隔）鉴□（擦：~屁股）				
kʰie	刊堪铅勘		砍坎槛嵌勘				
ŋie	□（刚才：~~）	癌颜衔		眼			
