#a
p[33]巴芭疤[351]把{~握、~、~把}[15]霸爸坝
b[35]爬琶杷耙{~嘚}[313]怕耙{犁~}稗罢
m[33]□{藏：把东西~起来}□{~~：祖母}□{~影：虹}[35]麻[351]马码[313]骂
t[351]打[313]□{~嘚：一会儿}
d[33]他{文}
n[33]拿{又}[35]拿[351]哪[313]娜那
l[33]拉[351]哪{白}惹
ts[33]渣楂□{~连嘚：蝉}揸{轮到你~牌}[15]炸榨诈
dz[33]叉杈差岔[35]茶搽查[351]□{晒衣物的三角架}
s[33]沙莎纱挲{水~嘚：母水牛}痧{发~：中暑}[351]傻耍洒[15]厦{~屋：偏屋，用于堆放杂物}
tʂ[33]遮[351]者[15]蔗
dʐ[33]车[351]扯
ʂ[33]赊奢佘[35]蛇[351]舍{~不得}□{~人：哄骗人}[15]赦[313]舍{宿~}射麝社
k[33]家{白}加{白}嘉{白}佳{白}□{~~：蛋(儿语)}傢{白}[351]假{真~、放~}[15]嫁{白}价{白}
ɡ[35]□{骑：~在肩头上}[351]卡[313]胯{白}揢{捕、捉}
ŋ[33]挜[35]牙芽衙伢[351]哑瓦[15]亚
x[33]虾{鱼~}哈{~腰}[35]□{刺眼：日头~眼珠}[351]□{迟钝或办事不认真}[313]夏{白}下
∅[33]啊

#ia
t[33]爹{白}
d[35]提{白}[313]□{捆：把鸡~起来}
n[33]□{溺爱、娇气：爷娘~个；哩只崽仂几~}
ts[33]□{~的：婶母}[351]姐{~嘚：姐姐}[15]借藉{~口}
dz[35]斜[351]且[313]谢褯{~片嘚：尿片}
s[351]写{白}[15]泻卸
tɕ[33]家嘉傢加[351]假贾[15]驾架稼
dʑ[35]茄瘸
ɕ[33]靴□{~人：哄骗人}[35]霞瑕蛤{~蟆}[313]夏厦
∅[35]爷涯[351]野也[15]雅□{大叫：不要~}[313]夜

#ua
ɸ[33]花[35]华{中~、姓~}[15]化[313]画
k[33]瓜[351]寡[15]挂卦
ɡ[33]夸跨垮[351]剐
∅[33]蛙洼[35]娃[351]搲{抓住、抓取：~紧、~一把}[15]□{凹}[313]话{~事：说话}

#o
p[33]波坡菠玻[15]簸{~箕、~一~}□{~得来：跑来}
b[35]婆[351]跛颇[313]破
m[33]摸□{~嘚：什么}[35]魔摩磨{~刀}摹馍[313]磨{石~、~面}
t[33]多[351]朵躲[15]剁
d[33]拖[35]驮驼□{~骂：挨骂}[351]妥椭[313]唾惰舵
n[33]□{~~：叫猪的声音；引伸为猪肉：吃~~}[35]□{揉}□{~男：男人}[313]糯
l[33]啰{~嗦}[35]罗锣骡螺[351]裸[15]□{~子：大舌头}
ts[33]□{直地蹬：~一脚}[351]左佐
dz[33]搓[15]坐锉座
s[33]梭唆蓑[35]□{差劲：哩块布好~}[15]锁琐
k[33]哥歌[15]个
ɡ[33]苛[35]□{弓起：渠~着只背}[351]可[313]□{男孩发育后嗓音变粗叫~}
ŋ[33]屙[35]俄蛾鹅讹[351]我[313]饿卧
x[33]呵[35]河何荷[313]贺

#uo
ɸ[35]和[351]火伙[15]货[313]祸
k[33]戈[351]果课裹[15]过
ɡ[33]科窠棵颗[313]课
∅[33]锅蜗[35]禾[313]和{拌：~拢}

#e
p[351]□{圆形的物体不圆：哩只碗是~个}
d[313]□{衣服上的口袋}
ts[33]□{撕、抓：把书~烂了}[351]怎{白}
dz[33]□{迅速滑动：一条蛇在面前~得过去}[313]□{~动：肌肉或眼皮跳动}
s[33]□{笑、满脸笑容：~笑个、~得渠要死}[351]□{塞、藏，含贬意：~给渠十块钱}
k[315]给[15]锯{白}□{杀的戏称：把猪~嘚去}
ɡ[313]嗝{白}
ŋ[351]□{脾气犟：哩只人好~}

#ie
m[33]□{~乌：很脏}
t[33]爹[351]踮{白}
ts[33]□{~湿：很湿}[351]姐
s[351]写
dʑ[35]渠{又}[313]去
ɕ[35]□{吵闹、纠缠：崽仂嘚硬~死嘚}
∅[35]渠[351]腻[15]□{乱嚷：大喊大叫：莫~啰}

#ue
ɸ[313]□{~嘚去：贱卖}
∅[33]□{~嘚：液体从容器中溢出}[351]喂[15]唤{白：~人}

#ai
p[351]摆[15]拜
b[35]排牌[351]□{涮：~下衣裳}[313]败派
m[35]埋[315]买[313]卖迈
t[33]呆[15]带戴
d[33]胎[35]台苔抬[313]太泰大待殆态贷代袋
n[351]乃奶[313]耐奈
l[33]□{~呆：肮脏}[35]来[313]赖癞
ts[33]灾栽斋[351]宰[15]再载{年~、~重、满~而归债}
dz[33猜钗差{出~}[35]才材财裁豺柴[351]彩采[313]菜蔡在寨
s[33]腮鳃筛[35]睬[351]甩[15]赛哂
k[33]该皆阶街[351]改解[15]介芥疥届戒尬盖丐
ɡ[33]开揩[351]凯楷[313]慨概溉械
ŋ[33]哀埃[35]捱[351]矮[15]爱[313]艾蔼隘外
x[35]孩鞋□{水~嘚：袜子}[351]海蟹[313]懈亥害

#uai
ɸ[35]怀槐淮□{~头板：①棺材头部厚而重的挡板。②用笨重来比喻木头木脑}[351]□{~里~倒：走路摆摆晃晃，形容学走路的幼儿或醉汉走路的样子}[313]坏
k[33]乖[351]拐蒯[15]怪
ɡ[35]怀{白}[313]快筷会{~计}块
∅[33]歪[351]□{腻，限于甜与酸：酸得~人}[313]□{擦、揩：~得一身漆}

#ui
ɸ[33]非飞妃挥辉徽麾灰恢[35]肥回茴[351]匪毁贿悔[15]痱费废肺吠[313]惠慧穗汇桧会{开~、~不~}绘
tʂ[33]锥[15]坠
ʂ[35]谁
k[33]龟规归圭闺[351]诡轨鬼[15]癸贵桂鳜刽
ɡ[33]亏窥盔[35]逵葵奎[313]跪愧柜溃傀
∅[33]煨屋{又。~里：家里}[35]桅违围维惟唯危为{作~、~什么}蝟[351]委萎伟苇讳纬[15]畏慰胃[313]卫谓位伪

#au
p[33]包褒胞[351]保宝堡饱[15]豹爆报
b[33]抛[35]袍[351]跑[313]泡炮鲍刨抱
m[33]猫{白}[35]茅毛矛[351]卯铆[313]貌冒帽□{粗略地看：~一下}
t[33]刀叨[351]岛倒{颠~}捣捣[15]到倒{~水}祷
d[33]滔掏[35]逃桃淘陶萄涛[351]讨[313]套盗导道稻
n[33]□{憨厚、迟钝、不灵活：渠侬(他)几~啊}[35]挠[351]脑恼[313]闹
l[33]捞唠□{好~~嘚：无缘无故地}[35]劳牢痨{~病：肺病}[351]老[313]涝□{打听：~一下}
ts[33]糟遭[351]早蚤枣澡[15]灶躁燥
dz[33]操{~作}[35]曹槽[351]草□{~猪：阉过的猪，原属雌性}[313]造糙皂
s[33]骚臊[351]嫂叟[15]扫{~地、~帚}
k[15]高膏篙糕羔[351]稿搞[15]教{~书}告窖
ɡ[33]敲[35]□{狗叫声：~叫：说话象狗叫似的，骂人话}[351]考烤[313]靠犒
ŋ[33]□{抬：~起头来}[35]熬聱{~戾：不驯服}[351]袄咬[15]奥懊坳{山~}[313]傲
x[33]□{~死：禾苗疯长，倒伏而失收}[35]豪壕毫[351]好{~坏}[313]浩好{喜~}号耗

#eu
b[351]剖
m[35]谋[351]某亩牡[313]茂贸
t[33]兜[351]斗抖陡
d[33]偷[35]头投[351]㪗{~开、~气}[313]透豆逗
n[35]揉{白}[351]□{经~：摔跤或打架势均力敌}[313]□{~naŋ³³：①性变异者。②生活作风不正派者}
l[33]□{挖、抠：~耳朵}[35]楼搂柔揉[351]篓扰绕[33]漏陋
ts[33]邹[351]走[15]皱绉奏
dz[35]愁[313]骤凑
s[33]搜飕馊[35]□{抱着人抖动}[351]□{揉合粉状物：~粑}[15]瘦嗽
tʂ[33]朝{今~}昭招[351]找沼[15]照诏
dʐ[33]超[35]潮朝{~代}[351]□{闪：哩只灯啷个(怎么)一~一~}[313]赵
ʂ[33]烧[351]少{多~}[15]少{~年}[313]绍邵韶
k[33]勾钩[351]狗苟[15]够构购
ɡ[33]抠眍[35]□{~着背：拱着背}[351]口[313]扣寇
ŋ[33]欧瓯[35]□{傻：好~}[351]呕[15]沤怄
x[33]□{~病：气喘病}[35]侯喉猴䞀{渴望得到}[351]吼[313]厚候后{~面、皇~}

#ieu
p[33]标膘[351]表{报~}錶{钟~}[15]□{“不”、“要”两字的合音}
b[33]飘漂{~在水面上}[35]瓢嫖[351]漂{~白粉}[313]漂{~亮}票
m[33]喵{猫叫声}[35]苗描猫[351]藐秒渺杳[313]庙妙谬□{成条状地喷射：血~出来哩}
t[33]刁雕貂[351]鸟{白。~~：赤子阴}[15]吊钓掉调{~动}[33]挑[35]条调{~和}聊撩疗燎[351]了瞭[313]跳粜料廖{姓}寥
n[33]□{扭捏作态}[35]尧鸟{文}[313]尿
ts[33]椒焦蕉[351]剿[15]醮
dz[33]锹繰[35]樵瞧[351]悄[313]俏鞘
s[33]消肖宵硝销萧箫[351]小[15]笑
tɕ[33]交郊膠骄娇矫浇[351]缴绞狡搅[15]教{~育}较觉叫
dʑ[33]敲[35]乔侨桥荞[351]巧[313]轿窍
ɕ[33]嚣[351]晓[15]孝校{上~}[313]效校{~对、学~}淆
∅[33]腰妖邀要{~求}吆幺{~二三}[35]摇姚谣窑[351]舀[15]要{想~、重~}鹞[313]耀

ueu
ɸ[35]浮[351]否

#əu
tʂ[33]周州洲舟[351]帚肘[15]咒昼
dʐ[33]抽[35]绸稠筹仇酬[351]丑[313]宙臭{香~}售纣
ʂ[33]收[351]手首守[15]兽[313]受寿授

#iəu
t[33]丢
d[33]溜[35]流刘榴硫琉[351]柳[313]馏□{调皮：好~}
n[33]□{~筋柴：根部或有节疤的柴}[35]牛[351]扭纽[313]□{故意扭动腰肢：走路一~一~个}
ts[33]揪[351]酒[15]鬏㲃{拧}
dz[33]秋{~天、~千}[35]囚泅[351]□{使人痒：摸得好~人}[313]就袖□{手~嘚：手套}
s[33]修羞[15]秀绣锈宿{星~}
tɕ[33]纠鸠□{~圆：很圆}[351]九久韭[15]究救灸
dʑ[33]丘臼柩[35]求球[313]旧舅
ɕ[33]休[351]朽[15]嗅
∅[33]优忧悠幽[35]油尤由游犹[351]有友酉[15]诱幼[33]又右佑祐柚釉

#ɿ
ts[33]资姿咨兹滋[351]子梓紫姊[15]□{菜下热锅的声音}
dz[33]雌[35]慈瓷磁嗣饲辞词祠[313]字伺寺柿刺赐自次牸{黄~：母黄牛}
s[33]斯撕厮私思司丝师狮[351]死使史驶[35]四肆[313]似士仕俟

#ʅ
tʂ[33]知肢支枝之芝栀[351]纸只止趾址[15]志痣置至致智
dʐ[33]痴嗤[35]持迟池驰[313]翅侍治痔
ʂ[33]施尸使[35]时莳匙鲥[351]始[15]舐豉试[313]市恃示视是

#i
p[33]悲碑卑杯蓖[351]比彼俾□{打~：接吻}[15]辈闲背
b[33]批胚坯披丕[35]培陪赔裴皮疲脾琶枇[313]配佩背{~诵}倍敝币弊毙蔽被{~子}婢被{介词、文}避譬备屁庇痹
m[33]眯[35]梅枚媒煤迷弥眉楣霉媚[351]米每靡美[313]妹昧寐
t[33]低堆[351]底抵[15]对碓队
d[33]梯推[35]离篱璃梨厘狸犁黎雷驴题提蹄啼堤[351]履李礼里理鲤腿垒吕旅屡□{这}[313]荔地利痢吏例厉励丽隶累退蜕兑弟递替涕剃累{~积、连~}类泪第
n[35]尼泥艺倪仪宜疑愚娱虞鱼[351]你{文}蚁拟语女[313]内义议毅遇寓御{~防、~用}谊
ts[33]□{疮：烂头~}[351]挤最嘴[15]祭际济醉
dz[33]妻崔催趋蛆[35]齐脐荠徐[351]取娶[313]罪脆翠趣
s[33]西犀虽需须{必~、胡~}尿{~尿：解小便}[35]随[351]洗髓[15]细碎岁粹絮[313]遂隧绥序叙绪
tɕ[33]拘驹车{~马炮}居鸡机基稽溪{地名：周~乡、金~县}饥肌讥几{~个、~乎}[351]几{茶~}己纪{~律、年~}矩举[15]计记句据继系{~鞋带}髻冀既
dʑ[33]溪欺区驱[35]祁鳍奇骑崎歧其期棋祺旗[351]启起杞岂祈[313]弃技妓企气忌巨拒距去具惧徛器
ɕ[33]奚兮牺嬉熙希稀虚嘘[351]喜许[15]戏[313]系
∅[33]衣依伊医于淤吁盂[35]移夷姨饴余{姓；多~}愉榆逾[351]椅倚已以矣与雨宇禹羽[15]意[313]易{难~}肄{~业}瞖异誉预豫愈芋喻裕

#u
p[33]□{打鼾的声音：鼾得~叫}[351]补[15]布怖
b[35]铺{~设}捕[35]蒲菩[351]普谱浦[313]铺{店~}部簿步脯{胸~}孵
m[35]模{~子、~范}[351]拇[313]慕墓募暮{~力气}
ɸ[33]夫肤敷俘呼乎[35]符扶芙胡湖狐壶[351]府腑俯斧抚{~州}釜辅虎腐浒
t[33]都{~是、~城}[351]赌堵肚{猪~、腹~}[15]妬
d[33]□{倒、流：风车的谷~得下来、渠写文章蛮过劲，~出来就是}[35]徒图途涂屠[351]土吐{~痰}[313]杜吐{呕~}兔度渡镀
n[35]奴[351]努[313]怒
l[35]卢炉芦鸬儒如[351]鲁橹虏卤乳[313]路赂露鹭
ts[33]租[351]祖组阻[15]做
dz[33]粗初[35]锄[351]楚础[313]醋助
s[33]苏酥梳疏蔬[351]所数{动}[15]素诉数{名}
tʂ[33]猪朱蛛珠株硃[351]主煮[15]著驻注蛀铸
dʐ[33]吹炊[35]除储厨槌锤[351]处{相~}杵拄[313]处{~所}苎住柱
ʂ[33]书舒输{~赢；运~}殊[35]叔{面称}[351]水暑[313]署{专~}薯竖树
k[33]姑孤箍[351]古估股鼓牯{水~：水公牛}[15]故固锢雇顾
